county,office,district,party,candidate,votes,,,,,,,,,,,,,,
Apache ,U.S. House,1,DEM,Ann Kirkpatrick,15539,,,,,,,,,,,,,,
Apache ,U.S. House,1,REP,Andy Tobin,5242,,,,,,,,,,,,,,
Cochise ,U.S. House,2,DEM,Ron Barber,14682,,,,,,,,,,,,,,
Cochise ,U.S. House,2,NONE,Sampson U. Ramirez,2,,,,,,,,,,,,,,
Cochise ,U.S. House,2,REP,Sydney Dudikoff,5,,,,,,,,,,,,,,
Cochise ,U.S. House,2,REP,Martha McSally,21732,,,,,,,,,,,,,,
Maricopa ,U.S. House,3,DEM,Raul Grijalva,14052,,,,,,,,,,,,,,
Maricopa ,U.S. House,3,IND,F. Sanchez,3,,,,,,,,,,,,,,
Maricopa ,U.S. House,3,REP,Gabby Saucedo Mercer,16010,,,,,,,,,,,,,,
Maricopa ,U.S. House,3,MRK,Lee Thompson,2,,,,,,,,,,,,,,
Gila ,U.S. House,4,DEM,Mike Weisser,2222,,,,,,,,,,,,,,
Gila ,U.S. House,4,LBT,Chris Rike,437,,,,,,,,,,,,,,
Gila ,U.S. House,4,REP,Paul Gosar,7306,,,,,,,,,,,,,,
Maricopa ,U.S. House,5,DEM,James Woods,54596,,,,,,,,,,,,,,
Maricopa ,U.S. House,5,REP,Matt Salmon,124867,,,,,,,,,,,,,,
Maricopa ,U.S. House,6,DEM,W. John Williamson,70198,,,,,,,,,,,,,,
Maricopa ,U.S. House,6,REP,David Schweikert,129578,,,,,,,,,,,,,,
Coconino ,U.S. House,1,DEM,Ann Kirkpatrick,23035,,,,,,,,,,,,,,
Coconino ,U.S. House,1,REP,Andy Tobin,13561,,,,,,,,,,,,,,
Gila ,U.S. House,1,DEM,Ann Kirkpatrick,3165,,,,,,,,,,,,,,
Gila ,U.S. House,1,REP,Andy Tobin,2357,,,,,,,,,,,,,,
Graham ,U.S. House,1,DEM,Ann Kirkpatrick,2367,,,,,,,,,,,,,,
Graham ,U.S. House,1,REP,Andy Tobin,4748,,,,,,,,,,,,,,
Greenlee ,U.S. House,1,DEM,Ann Kirkpatrick,925,,,,,,,,,,,,,,
Greenlee ,U.S. House,1,REP,Andy Tobin,960,,,,,,,,,,,,,,
La Paz ,U.S. House,4,DEM,Mike Weisser,799,,,,,,,,,,,,,,
La Paz ,U.S. House,4,LBT,Chris Rike,167,,,,,,,,,,,,,,
La Paz ,U.S. House,4,REP,Paul Gosar,2447,,,,,,,,,,,,,,
Maricopa ,U.S. House,1,DEM,Ann Kirkpatrick,121,,,,,,,,,,,,,,
Maricopa ,U.S. House,1,REP,Andy Tobin,28,,,,,,,,,,,,,,
Maricopa ,U.S. House,4,DEM,Mike Weisser,2566,,,,,,,,,,,,,,
Maricopa ,U.S. House,4,LBT,Chris Rike,479,,,,,,,,,,,,,,
Maricopa ,U.S. House,4,REP,Paul Gosar,7657,,,,,,,,,,,,,,
Mohave ,U.S. House,1,DEM,Ann Kirkpatrick,93,,,,,,,,,,,,,,
Mohave ,U.S. House,1,REP,Andy Tobin,51,,,,,,,,,,,,,,
Mohave ,U.S. House,4,DEM,Mike Weisser,10280,,,,,,,,,,,,,,
Mohave ,U.S. House,4,LBT,Chris Rike,1934,,,,,,,,,,,,,,
Mohave ,U.S. House,4,REP,Paul Gosar,33472,,,,,,,,,,,,,,
Navajo ,U.S. House,1,DEM,Ann Kirkpatrick,13989,,,,,,,,,,,,,,
Navajo ,U.S. House,1,REP,Andy Tobin,13041,,,,,,,,,,,,,,
Pima ,U.S. House,1,DEM,Ann Kirkpatrick,15330,,,,,,,,,,,,,,
Pima ,U.S. House,1,REP,Andy Tobin,20837,,,,,,,,,,,,,,
Pima ,U.S. House,2,DEM,Ron Barber,94861,,,,,,,,,,,,,,
Pima ,U.S. House,2,NONE,Sampson U. Ramirez,54,,,,,,,,,,,,,,
Pima ,U.S. House,2,REP,Sydney Dudikoff,43,,,,,,,,,,,,,,
Pima ,U.S. House,2,REP,Martha McSally,87972,,,,,,,,,,,,,,
Pima ,U.S. House,3,DEM,Raul Grijalva,30980,,,,,,,,,,,,,,
