county,office,district,party,candidate,votes,winner,write-in,notes
U.S. House 1,President,,DEM,"Peter ""Simon"" Bollander",65,,,
U.S. House 2,President,,DEM,"Peter ""Simon"" Bollander",11,,,
U.S. House 3,President,,DEM,"Peter ""Simon"" Bollander",7,,,
U.S. House 4,President,,DEM,"Peter ""Simon"" Bollander",10,,,
U.S. House 5,President,,DEM,"Peter ""Simon"" Bollander",8,,,
U.S. House 6,President,,DEM,"Peter ""Simon"" Bollander",16,,,
U.S. House 7,President,,DEM,"Peter ""Simon"" Bollander",16,,,
U.S. House 8,President,,DEM,"Peter ""Simon"" Bollander",21,,,
,President,,DEM,"Peter ""Simon"" Bollander",154,,,
U.S. House 1,President,,DEM,William Campbell,89,,,
U.S. House 2,President,,DEM,William Campbell,34,,,
U.S. House 3,President,,DEM,William Campbell,22,,,
U.S. House 4,President,,DEM,William Campbell,17,,,
U.S. House 5,President,,DEM,William Campbell,19,,,
U.S. House 6,President,,DEM,William Campbell,15,,,
U.S. House 7,President,,DEM,William Campbell,29,,,
U.S. House 8,President,,DEM,William Campbell,23,,,
,President,,DEM,William Campbell,248,,,
U.S. House 1,President,,DEM,Hillary Clinton,29038,,,
U.S. House 2,President,,DEM,Hillary Clinton,34694,,,
U.S. House 3,President,,DEM,Hillary Clinton,26132,,,
U.S. House 4,President,,DEM,Hillary Clinton,19379,,,
U.S. House 5,President,,DEM,Hillary Clinton,24963,,,
U.S. House 6,President,,DEM,Hillary Clinton,26904,,,
U.S. House 7,President,,DEM,Hillary Clinton,30175,,,
U.S. House 8,President,,DEM,Hillary Clinton,38216,,,
,President,,DEM,Hillary Clinton,229501,,,
U.S. House 1,President,,DEM,Orion Daley,37,,,
U.S. House 2,President,,DEM,Orion Daley,10,,,
U.S. House 3,President,,DEM,Orion Daley,9,,,
U.S. House 4,President,,DEM,Orion Daley,1,,,
U.S. House 5,President,,DEM,Orion Daley,6,,,
U.S. House 6,President,,DEM,Orion Daley,11,,,
U.S. House 7,President,,DEM,Orion Daley,11,,,
U.S. House 8,President,,DEM,Orion Daley,13,,,
,President,,DEM,Orion Daley,98,,,
U.S. House 1,President,,DEM,Edward Dobson,88,,,
U.S. House 2,President,,DEM,Edward Dobson,61,,,
U.S. House 3,President,,DEM,Edward Dobson,50,,,
U.S. House 4,President,,DEM,Edward Dobson,31,,,
U.S. House 5,President,,DEM,Edward Dobson,36,,,
U.S. House 6,President,,DEM,Edward Dobson,34,,,
U.S. House 7,President,,DEM,Edward Dobson,51,,,
U.S. House 8,President,,DEM,Edward Dobson,47,,,
,President,,DEM,Edward Dobson,398,,,
U.S. House 1,President,,DEM,Christopher J. Dodd,86,,,
U.S. House 2,President,,DEM,Christopher J. Dodd,97,,,
U.S. House 3,President,,DEM,Christopher J. Dodd,65,,,
U.S. House 4,President,,DEM,Christopher J. Dodd,24,,,
U.S. House 5,President,,DEM,Christopher J. Dodd,51,,,
U.S. House 6,President,,DEM,Christopher J. Dodd,55,,,
U.S. House 7,President,,DEM,Christopher J. Dodd,51,,,
U.S. House 8,President,,DEM,Christopher J. Dodd,55,,,
,President,,DEM,Christopher J. Dodd,484,,,
U.S. House 1,President,,DEM,John Edwards,3003,,,
U.S. House 2,President,,DEM,John Edwards,4729,,,
U.S. House 3,President,,DEM,John Edwards,3825,,,
U.S. House 4,President,,DEM,John Edwards,1664,,,
U.S. House 5,President,,DEM,John Edwards,2847,,,
U.S. House 6,President,,DEM,John Edwards,3159,,,
U.S. House 7,President,,DEM,John Edwards,2008,,,
U.S. House 8,President,,DEM,John Edwards,2386,,,
,President,,DEM,John Edwards,23621,,,
U.S. House 1,President,,DEM,Loti Gest,24,,,
U.S. House 2,President,,DEM,Loti Gest,11,,,
U.S. House 3,President,,DEM,Loti Gest,11,,,
U.S. House 4,President,,DEM,Loti Gest,6,,,
U.S. House 5,President,,DEM,Loti Gest,3,,,
U.S. House 6,President,,DEM,Loti Gest,4,,,
U.S. House 7,President,,DEM,Loti Gest,11,,,
U.S. House 8,President,,DEM,Loti Gest,12,,,
,President,,DEM,Loti Gest,82,,,
U.S. House 1,President,,DEM,Mike Gravel,55,,,
U.S. House 2,President,,DEM,Mike Gravel,48,,,
U.S. House 3,President,,DEM,Mike Gravel,37,,,
U.S. House 4,President,,DEM,Mike Gravel,19,,,
U.S. House 5,President,,DEM,Mike Gravel,39,,,
U.S. House 6,President,,DEM,Mike Gravel,21,,,
U.S. House 7,President,,DEM,Mike Gravel,41,,,
U.S. House 8,President,,DEM,Mike Gravel,80,,,
,President,,DEM,Mike Gravel,340,,,
U.S. House 1,President,,DEM,Richard Grayson,84,,,
U.S. House 2,President,,DEM,Richard Grayson,58,,,
U.S. House 3,President,,DEM,Richard Grayson,36,,,
U.S. House 4,President,,DEM,Richard Grayson,23,,,
U.S. House 5,President,,DEM,Richard Grayson,25,,,
U.S. House 6,President,,DEM,Richard Grayson,34,,,
U.S. House 7,President,,DEM,Richard Grayson,31,,,
U.S. House 8,President,,DEM,Richard Grayson,31,,,
,President,,DEM,Richard Grayson,322,,,
U.S. House 1,President,,DEM,Tish Haymer,29,,,
U.S. House 2,President,,DEM,Tish Haymer,19,,,
U.S. House 3,President,,DEM,Tish Haymer,13,,,
U.S. House 4,President,,DEM,Tish Haymer,13,,,
U.S. House 5,President,,DEM,Tish Haymer,3,,,
U.S. House 6,President,,DEM,Tish Haymer,9,,,
U.S. House 7,President,,DEM,Tish Haymer,12,,,
U.S. House 8,President,,DEM,Tish Haymer,9,,,
,President,,DEM,Tish Haymer,107,,,
U.S. House 1,President,,DEM,Libby Hubbard,59,,,
U.S. House 2,President,,DEM,Libby Hubbard,27,,,
U.S. House 3,President,,DEM,Libby Hubbard,9,,,
U.S. House 4,President,,DEM,Libby Hubbard,13,,,
U.S. House 5,President,,DEM,Libby Hubbard,11,,,
U.S. House 6,President,,DEM,Libby Hubbard,22,,,
U.S. House 7,President,,DEM,Libby Hubbard,39,,,
U.S. House 8,President,,DEM,Libby Hubbard,29,,,
,President,,DEM,Libby Hubbard,209,,,
U.S. House 1,President,,DEM,Karl Krueger,92,,,
U.S. House 2,President,,DEM,Karl Krueger,45,,,
U.S. House 3,President,,DEM,Karl Krueger,21,,,
U.S. House 4,President,,DEM,Karl Krueger,20,,,
U.S. House 5,President,,DEM,Karl Krueger,22,,,
U.S. House 6,President,,DEM,Karl Krueger,33,,,
U.S. House 7,President,,DEM,Karl Krueger,35,,,
U.S. House 8,President,,DEM,Karl Krueger,23,,,
,President,,DEM,Karl Krueger,291,,,
U.S. House 1,President,,DEM,Dennis J. Kucinich,206,,,
U.S. House 2,President,,DEM,Dennis J. Kucinich,297,,,
U.S. House 3,President,,DEM,Dennis J. Kucinich,315,,,
U.S. House 4,President,,DEM,Dennis J. Kucinich,189,,,
U.S. House 5,President,,DEM,Dennis J. Kucinich,283,,,
U.S. House 6,President,,DEM,Dennis J. Kucinich,181,,,
U.S. House 7,President,,DEM,Dennis J. Kucinich,183,,,
U.S. House 8,President,,DEM,Dennis J. Kucinich,319,,,
,President,,DEM,Dennis J. Kucinich,1973,,,
U.S. House 1,President,,DEM,Rich Lee,50,,,
U.S. House 2,President,,DEM,Rich Lee,24,,,
U.S. House 3,President,,DEM,Rich Lee,8,,,
U.S. House 4,President,,DEM,Rich Lee,9,,,
U.S. House 5,President,,DEM,Rich Lee,6,,,
U.S. House 6,President,,DEM,Rich Lee,23,,,
U.S. House 7,President,,DEM,Rich Lee,25,,,
U.S. House 8,President,,DEM,Rich Lee,17,,,
,President,,DEM,Rich Lee,162,,,
U.S. House 1,President,,DEM,Frank Lynch,116,,,
U.S. House 2,President,,DEM,Frank Lynch,31,,,
U.S. House 3,President,,DEM,Frank Lynch,20,,,
U.S. House 4,President,,DEM,Frank Lynch,15,,,
U.S. House 5,President,,DEM,Frank Lynch,9,,,
U.S. House 6,President,,DEM,Frank Lynch,16,,,
U.S. House 7,President,,DEM,Frank Lynch,26,,,
U.S. House 8,President,,DEM,Frank Lynch,15,,,
,President,,DEM,Frank Lynch,248,,,
U.S. House 1,President,,DEM,Leland Montell,34,,,
