county,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,
Apache,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"11,921",,,,,,,,,,,,,,,
Apache,U.S. House,1,REP,(REP) Gary Kiehne ,"1,903",,,,,,,,,,,,,,,
Apache,U.S. House,1,REP,(REP) Adam Kwasman ,536,,,,,,,,,,,,,,,
Apache,U.S. House,1,REP,(REP) Andy Tobin * ,"1,084",,,,,,,,,,,,,,,
Coconino,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"10,801",,,,,,,,,,,,,,,
Coconino,U.S. House,1,REP,(REP) Gary Kiehne ,"2,482",,,,,,,,,,,,,,,
Coconino,U.S. House,1,REP,(REP) Adam Kwasman ,"1,680",,,,,,,,,,,,,,,
Coconino,U.S. House,1,REP,(REP) Andy Tobin * ,"3,529",,,,,,,,,,,,,,,
Gila,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"1,939",,,,,,,,,,,,,,,
Gila,U.S. House,1,REP,(REP) Gary Kiehne ,651,,,,,,,,,,,,,,,
Gila,U.S. House,1,REP,(REP) Adam Kwasman ,246,,,,,,,,,,,,,,,
Gila,U.S. House,1,REP,(REP) Andy Tobin * ,368,,,,,,,,,,,,,,,
Graham,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"1,247",,,,,,,,,,,,,,,
Graham,U.S. House,1,REP,(REP) Gary Kiehne ,"1,487",,,,,,,,,,,,,,,
Graham,U.S. House,1,REP,(REP) Adam Kwasman ,657,,,,,,,,,,,,,,,
Graham,U.S. House,1,REP,(REP) Andy Tobin * ,"1,003",,,,,,,,,,,,,,,
Greenlee,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,675,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,REP,(REP) Gary Kiehne ,287,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,REP,(REP) Adam Kwasman ,69,,,,,,,,,,,,,,,
Greenlee,U.S. House,1,REP,(REP) Andy Tobin * ,126,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,55,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,REP,(REP) Gary Kiehne ,2,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,REP,(REP) Adam Kwasman ,0,,,,,,,,,,,,,,,
Maricopa,U.S. House,1,REP,(REP) Andy Tobin * ,4,,,,,,,,,,,,,,,
Mohave,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,16,,,,,,,,,,,,,,,
Mohave,U.S. House,1,REP,(REP) Gary Kiehne ,18,,,,,,,,,,,,,,,
Mohave,U.S. House,1,REP,(REP) Adam Kwasman ,4,,,,,,,,,,,,,,,
Mohave,U.S. House,1,REP,(REP) Andy Tobin * ,8,,,,,,,,,,,,,,,
Navajo,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"7,614",,,,,,,,,,,,,,,
Navajo,U.S. House,1,REP,(REP) Gary Kiehne ,"3,205",,,,,,,,,,,,,,,
Navajo,U.S. House,1,REP,(REP) Adam Kwasman ,"1,611",,,,,,,,,,,,,,,
Navajo,U.S. House,1,REP,(REP) Andy Tobin * ,"3,080",,,,,,,,,,,,,,,
Pima,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"6,361",,,,,,,,,,,,,,,
Pima,U.S. House,1,REP,(REP) Gary Kiehne ,"3,279",,,,,,,,,,,,,,,
Pima,U.S. House,1,REP,(REP) Adam Kwasman ,"5,756",,,,,,,,,,,,,,,
Pima,U.S. House,1,REP,(REP) Andy Tobin * ,"3,540",,,,,,,,,,,,,,,
Pinal,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"8,847",,,,,,,,,,,,,,,
Pinal,U.S. House,1,REP,(REP) Gary Kiehne ,"4,172",,,,,,,,,,,,,,,
Pinal,U.S. House,1,REP,(REP) Adam Kwasman ,"3,902",,,,,,,,,,,,,,,
Pinal,U.S. House,1,REP,(REP) Andy Tobin * ,"4,314",,,,,,,,,,,,,,,
Yavapai,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"1,917",,,,,,,,,,,,,,,
Yavapai,U.S. House,1,REP,(REP) Gary Kiehne ,921,,,,,,,,,,,,,,,
Yavapai,U.S. House,1,REP,(REP) Adam Kwasman ,805,,,,,,,,,,,,,,,
Yavapai,U.S. House,1,REP,(REP) Andy Tobin * ,"1,758",,,,,,,,,,,,,,,
,U.S. House,1,DEM,(DEM) Ann Kirkpatrick * ,"51,393",TRUE,,,,,,,,,,,,,,
,U.S. House,1,REP,(REP) Gary Kiehne ,"18,407",,,,,,,,,,,,,,,
,U.S. House,1,REP,(REP) Adam Kwasman ,"15,266",,,,,,,,,,,,,,,
,U.S. House,1,REP,(REP) Andy Tobin * ,"18,814",TRUE,,,,,,,,,,,,,,
Cochise,U.S. House,2,DEM,(DEM) Ron Barber * ,"7,199",,,,,,,,,,,,,,,
Cochise,U.S. House,2,REP,(REP) Shelley Kais ,948,,,,,,,,,,,,,,,
Cochise,U.S. House,2,REP,(REP) Martha McSally * ,"8,994",,,,,,,,,,,,,,,
Cochise,U.S. House,2,REP,(REP) Chuck Wooten ,"3,457",,,,,,,,,,,,,,,
Pima,U.S. House,2,DEM,(DEM) Ron Barber * ,"41,840",,,,,,,,,,,,,,,
Pima,U.S. House,2,REP,(REP) Shelley Kais ,"4,155",,,,,,,,,,,,,,,
Pima,U.S. House,2,REP,(REP) Martha McSally * ,"36,498",,,,,,,,,,,,,,,
Pima,U.S. House,2,REP,(REP) Chuck Wooten ,"11,538",,,,,,,,,,,,,,,
,U.S. House,2,DEM,(DEM) Ron Barber * ,"49,039",TRUE,,,,,,,,,,,,,,
,U.S. House,2,REP,(REP) Shelley Kais ,"5,103",,,,,,,,,,,,,,,
,U.S. House,2,REP,(REP) Martha McSally * ,"45,492",TRUE,,,,,,,,,,,,,,
,U.S. House,2,REP,(REP) Chuck Wooten ,"14,995",,,,,,,,,,,,,,,
Maricopa,U.S. House,3,DEM,(DEM) Raul Grijalva * ,"6,040",,,,,,,,,,,,,,,
Maricopa,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,"7,225",,,,,,,,,,,,,,,
Pima,U.S. House,3,DEM,(DEM) Raul Grijalva * ,"15,142",,,,,,,,,,,,,,,
Pima,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,"7,798",,,,,,,,,,,,,,,
Pinal,U.S. House,3,DEM,(DEM) Raul Grijalva * ,35,,,,,,,,,,,,,,,
Pinal,U.S. House,3,REP,(REP) Gabby Saucedo Mercer * ,3,,,,,,,,,,,,,,,
