county,office,district,party,candidate,votes,winner,notes
Maricopa,State Senate,18,REP,Olivia Cortes,277,,Withdrawn
Maricopa,State Senate,18,REP,Jerry Lewis,12812,TRUE,
Maricopa,State Senate,18,REP,Russell Pearce,10121,,
