county,office,district,party,candidate,votes,winner
Cochise,U.S. House,8,DEM,Ron Barber,11946,
Cochise,U.S. House,8,GRN,Charlie Manolakis,832,
Cochise,U.S. House,8,REP,Jesse Kelly,13940,
Pima,U.S. House,8,DEM,Ron Barber,95712,
Pima,U.S. House,8,GRN,Charlie Manolakis,3933,
Pima,U.S. House,8,REP,Jesse Kelly,78697,
Pinal,U.S. House,8,DEM,Ron Barber,2485,
Pinal,U.S. House,8,GRN,Charlie Manolakis,60,
Pinal,U.S. House,8,REP,Jesse Kelly,3055,
Santa Cruz,U.S. House,8,DEM,Ron Barber,1061,
Santa Cruz,U.S. House,8,GRN,Charlie Manolakis,44,
Santa Cruz,U.S. House,8,REP,Jesse Kelly,773,
,U.S. House,8,DEM,Ron Barber,111204,TRUE
,U.S. House,8,GRN,Charlie Manolakis,4869,
,U.S. House,8,REP,Jesse Kelly,96465,
