county,office,district,party,candidate,votes,winner,write-in,notes
U.S. House 1,President,,DEM,William Barchilon,62,,,
U.S. House 2,President,,DEM,William Barchilon,12,,,
U.S. House 3,President,,DEM,William Barchilon,5,,,
U.S. House 4,President,,DEM,William Barchilon,6,,,
U.S. House 5,President,,DEM,William Barchilon,9,,,
U.S. House 6,President,,DEM,William Barchilon,13,,,
U.S. House 7,President,,DEM,William Barchilon,15,,,
U.S. House 8,President,,DEM,William Barchilon,14,,,
,President,,DEM,William Barchilon,136,,,
U.S. House 1,President,,DEM,Dianne Barker,104,,,
U.S. House 2,President,,DEM,Dianne Barker,21,,,
U.S. House 3,President,,DEM,Dianne Barker,15,,,
U.S. House 4,President,,DEM,Dianne Barker,20,,,
U.S. House 5,President,,DEM,Dianne Barker,12,,,
U.S. House 6,President,,DEM,Dianne Barker,19,,,
U.S. House 7,President,,DEM,Dianne Barker,42,,,
U.S. House 8,President,,DEM,Dianne Barker,24,,,
,President,,DEM,Dianne Barker,257,,,
U.S. House 1,President,,DEM,Keith Brand,116,,,
U.S. House 2,President,,DEM,Keith Brand,12,,,
U.S. House 3,President,,DEM,Keith Brand,7,,,
U.S. House 4,President,,DEM,Keith Brand,25,,,
U.S. House 5,President,,DEM,Keith Brand,4,,,
U.S. House 6,President,,DEM,Keith Brand,7,,,
U.S. House 7,President,,DEM,Keith Brand,37,,,
U.S. House 8,President,,DEM,Keith Brand,17,,,
,President,,DEM,Keith Brand,225,,,
U.S. House 1,President,,DEM,Carol Moseley Braun,104,,,
U.S. House 2,President,,DEM,Carol Moseley Braun,22,,,
U.S. House 3,President,,DEM,Carol Moseley Braun,24,,,
U.S. House 4,President,,DEM,Carol Moseley Braun,31,,,
U.S. House 5,President,,DEM,Carol Moseley Braun,30,,,
U.S. House 6,President,,DEM,Carol Moseley Braun,27,,,
U.S. House 7,President,,DEM,Carol Moseley Braun,56,,,
U.S. House 8,President,,DEM,Carol Moseley Braun,31,,,
,President,,DEM,Carol Moseley Braun,325,,,
U.S. House 1,President,,DEM,Ray Caplette,50,,,
U.S. House 2,President,,DEM,Ray Caplette,7,,,
U.S. House 3,President,,DEM,Ray Caplette,2,,,
U.S. House 4,President,,DEM,Ray Caplette,6,,,
U.S. House 5,President,,DEM,Ray Caplette,2,,,
U.S. House 6,President,,DEM,Ray Caplette,1,,,
U.S. House 7,President,,DEM,Ray Caplette,8,,,
U.S. House 8,President,,DEM,Ray Caplette,1,,,
,President,,DEM,Ray Caplette,77,,,
U.S. House 1,President,,DEM,Wesley K. Clark,10088,,,
U.S. House 2,President,,DEM,Wesley K. Clark,8115,,,
U.S. House 3,President,,DEM,Wesley K. Clark,6700,,,
U.S. House 4,President,,DEM,Wesley K. Clark,4445,,,
U.S. House 5,President,,DEM,Wesley K. Clark,7112,,,
U.S. House 6,President,,DEM,Wesley K. Clark,6459,,,
U.S. House 7,President,,DEM,Wesley K. Clark,7489,,,
U.S. House 8,President,,DEM,Wesley K. Clark,12848,,,
,President,,DEM,Wesley K. Clark,63256,,,
U.S. House 1,President,,DEM,Howard Dean,4179,,,
U.S. House 2,President,,DEM,Howard Dean,3096,,,
U.S. House 3,President,,DEM,Howard Dean,3559,,,
U.S. House 4,President,,DEM,Howard Dean,2510,,,
U.S. House 5,President,,DEM,Howard Dean,4020,,,
U.S. House 6,President,,DEM,Howard Dean,2515,,,
U.S. House 7,President,,DEM,Howard Dean,5252,,,
U.S. House 8,President,,DEM,Howard Dean,8424,,,
,President,,DEM,Howard Dean,33555,,,
U.S. House 1,President,,DEM,John Edwards,2355,,,
U.S. House 2,President,,DEM,John Edwards,2085,,,
U.S. House 3,President,,DEM,John Edwards,2254,,,
U.S. House 4,President,,DEM,John Edwards,1076,,,
U.S. House 5,President,,DEM,John Edwards,2411,,,
U.S. House 6,President,,DEM,John Edwards,1591,,,
U.S. House 7,President,,DEM,John Edwards,1728,,,
U.S. House 8,President,,DEM,John Edwards,3096,,,
,President,,DEM,John Edwards,16596,,,
U.S. House 1,President,,DEM,Dick Gephardt,156,,,
U.S. House 2,President,,DEM,Dick Gephardt,87,,,
U.S. House 3,President,,DEM,Dick Gephardt,87,,,
U.S. House 4,President,,DEM,Dick Gephardt,52,,,
U.S. House 5,President,,DEM,Dick Gephardt,70,,,
U.S. House 6,President,,DEM,Dick Gephardt,73,,,
U.S. House 7,President,,DEM,Dick Gephardt,113,,,
U.S. House 8,President,,DEM,Dick Gephardt,117,,,
,President,,DEM,Dick Gephardt,755,,,
U.S. House 1,President,,DEM,John F.Kerry,13931,,,
U.S. House 2,President,,DEM,John F.Kerry,13334,,,
U.S. House 3,President,,DEM,John F.Kerry,11740,,,
U.S. House 4,President,,DEM,John F.Kerry,6703,,,
U.S. House 5,President,,DEM,John F.Kerry,12792,,,
U.S. House 6,President,,DEM,John F.Kerry,9459,,,
U.S. House 7,President,,DEM,John F.Kerry,12131,,,
U.S. House 8,President,,DEM,John F.Kerry,21719,,,
,President,,DEM,John F.Kerry,101809,,,
U.S. House 1,President,,DEM,Dennis J. Kucinich,717,,,
U.S. House 2,President,,DEM,Dennis J. Kucinich,166,,,
U.S. House 3,President,,DEM,Dennis J. Kucinich,338,,,
U.S. House 4,President,,DEM,Dennis J. Kucinich,195,,,
U.S. House 5,President,,DEM,Dennis J. Kucinich,465,,,
U.S. House 6,President,,DEM,Dennis J. Kucinich,203,,,
U.S. House 7,President,,DEM,Dennis J. Kucinich,740,,,
U.S. House 8,President,,DEM,Dennis J. Kucinich,1072,,,
,President,,DEM,Dennis J. Kucinich,3896,,,
U.S. House 1,President,,DEM,Joe Lieberman,3199,,,
U.S. House 2,President,,DEM,Joe Lieberman,1669,,,
U.S. House 3,President,,DEM,Joe Lieberman,2133,,,
U.S. House 4,President,,DEM,Joe Lieberman,1079,,,
U.S. House 5,President,,DEM,Joe Lieberman,2065,,,
U.S. House 6,President,,DEM,Joe Lieberman,1329,,,
U.S. House 7,President,,DEM,Joe Lieberman,1796,,,
U.S. House 8,President,,DEM,Joe Lieberman,2636,,,
,President,,DEM,Joe Lieberman,15906,,,
