county,office,district,party,candidate,votes,winner,write-in,notes
Santa Cruz,President,,REP,Michael Burzynski,2,,,
Yavapai,President,,REP,Michael Burzynski,1,,,
Yuma,President,,REP,Michael Burzynski,5,,,
,President,,REP,Michael Burzynski,98,,,
Apache,President,,REP,Hugh Cort,3,,,
Cochise,President,,REP,Hugh Cort,0,,,
Coconino,President,,REP,Hugh Cort,1,,,
Gila,President,,REP,Hugh Cort,2,,,
Graham,President,,REP,Hugh Cort,0,,,
Greenlee,President,,REP,Hugh Cort,0,,,
La Paz,President,,REP,Hugh Cort,0,,,
Maricopa,President,,REP,Hugh Cort,40,,,
Mohave,President,,REP,Hugh Cort,0,,,
Navajo,President,,REP,Hugh Cort,1,,,
Pima,President,,REP,Hugh Cort,4,,,
Pinal,President,,REP,Hugh Cort,1,,,
Santa Cruz,President,,REP,Hugh Cort,1,,,
Yavapai,President,,REP,Hugh Cort,1,,,
Yuma,President,,REP,Hugh Cort,4,,,
,President,,REP,Hugh Cort,58,,,
Apache,President,,REP,Jerry Curry,3,,,
Cochise,President,,REP,Jerry Curry,1,,,
Coconino,President,,REP,Jerry Curry,6,,,
Gila,President,,REP,Jerry Curry,1,,,
Graham,President,,REP,Jerry Curry,0,,,
Greenlee,President,,REP,Jerry Curry,0,,,
La Paz,President,,REP,Jerry Curry,0,,,
Maricopa,President,,REP,Jerry Curry,61,,,
Mohave,President,,REP,Jerry Curry,4,,,
Navajo,President,,REP,Jerry Curry,5,,,
Pima,President,,REP,Jerry Curry,11,,,
Pinal,President,,REP,Jerry Curry,2,,,
Santa Cruz,President,,REP,Jerry Curry,0,,,
Yavapai,President,,REP,Jerry Curry,3,,,
Yuma,President,,REP,Jerry Curry,1,,,
,President,,REP,Jerry Curry,98,,,
Apache,President,,REP,John Michael Fitzpatrick,7,,,
Cochise,President,,REP,John Michael Fitzpatrick,2,,,
Coconino,President,,REP,John Michael Fitzpatrick,7,,,
Gila,President,,REP,John Michael Fitzpatrick,1,,,
Graham,President,,REP,John Michael Fitzpatrick,0,,,
Greenlee,President,,REP,John Michael Fitzpatrick,0,,,
La Paz,President,,REP,John Michael Fitzpatrick,0,,,
Maricopa,President,,REP,John Michael Fitzpatrick,124,,,
Mohave,President,,REP,John Michael Fitzpatrick,8,,,
Navajo,President,,REP,John Michael Fitzpatrick,7,,,
Pima,President,,REP,John Michael Fitzpatrick,24,,,
Pinal,President,,REP,John Michael Fitzpatrick,6,,,
Santa Cruz,President,,REP,John Michael Fitzpatrick,1,,,
Yavapai,President,,REP,John Michael Fitzpatrick,6,,,
Yuma,President,,REP,John Michael Fitzpatrick,6,,,
,President,,REP,John Michael Fitzpatrick,199,,,
Apache,President,,REP,Bob Forthan,1,,,
Cochise,President,,REP,Bob Forthan,3,,,
Coconino,President,,REP,Bob Forthan,3,,,
Gila,President,,REP,Bob Forthan,1,,,
Graham,President,,REP,Bob Forthan,0,,,
Greenlee,President,,REP,Bob Forthan,0,,,
La Paz,President,,REP,Bob Forthan,0,,,
Maricopa,President,,REP,Bob Forthan,51,,,
Mohave,President,,REP,Bob Forthan,5,,,
Navajo,President,,REP,Bob Forthan,2,,,
Pima,President,,REP,Bob Forthan,6,,,
Pinal,President,,REP,Bob Forthan,0,,,
Santa Cruz,President,,REP,Bob Forthan,0,,,
Yavapai,President,,REP,Bob Forthan,2,,,
Yuma,President,,REP,Bob Forthan,1,,,
,President,,REP,Bob Forthan,75,,,
Apache,President,,REP,Daniel Gilbert,2,,,
Cochise,President,,REP,Daniel Gilbert,0,,,
Coconino,President,,REP,Daniel Gilbert,1,,,
Gila,President,,REP,Daniel Gilbert,0,,,
Graham,President,,REP,Daniel Gilbert,0,,,
Greenlee,President,,REP,Daniel Gilbert,0,,,
La Paz,President,,REP,Daniel Gilbert,1,,,
Maricopa,President,,REP,Daniel Gilbert,29,,,
Mohave,President,,REP,Daniel Gilbert,4,,,
Navajo,President,,REP,Daniel Gilbert,4,,,
Pima,President,,REP,Daniel Gilbert,3,,,
Pinal,President,,REP,Daniel Gilbert,1,,,
Santa Cruz,President,,REP,Daniel Gilbert,0,,,
Yavapai,President,,REP,Daniel Gilbert,4,,,
Yuma,President,,REP,Daniel Gilbert,4,,,
,President,,REP,Daniel Gilbert,53,,,
Apache,President,,REP,Rudy Giuliani,25,,,
Cochise,President,,REP,Rudy Giuliani,95,,,
Coconino,President,,REP,Rudy Giuliani,80,,,
Gila,President,,REP,Rudy Giuliani,115,,,
Graham,President,,REP,Rudy Giuliani,8,,,
Greenlee,President,,REP,Rudy Giuliani,6,,,
La Paz,President,,REP,Rudy Giuliani,14,,,
Maricopa,President,,REP,Rudy Giuliani,11405,,,
Mohave,President,,REP,Rudy Giuliani,223,,,
Navajo,President,,REP,Rudy Giuliani,41,,,
Pima,President,,REP,Rudy Giuliani,725,,,
Pinal,President,,REP,Rudy Giuliani,345,,,
Santa Cruz,President,,REP,Rudy Giuliani,30,,,
Yavapai,President,,REP,Rudy Giuliani,233,,,
Yuma,President,,REP,Rudy Giuliani,313,,,
,President,,REP,Rudy Giuliani,13658,,,
Apache,President,,REP,Mike Huckabee,226,,,
Cochise,President,,REP,Mike Huckabee,1367,,,
Coconino,President,,REP,Mike Huckabee,1096,,,
Gila,President,,REP,Mike Huckabee,763,,,
Graham,President,,REP,Mike Huckabee,167,,,
Greenlee,President,,REP,Mike Huckabee,53,,,
La Paz,President,,REP,Mike Huckabee,159,,,
Maricopa,President,,REP,Mike Huckabee,28709,,,
Mohave,President,,REP,Mike Huckabee,2060,,,
Navajo,President,,REP,Mike Huckabee,573,,,
Pima,President,,REP,Mike Huckabee,7092,,,
Pinal,President,,REP,Mike Huckabee,1935,,,
Santa Cruz,President,,REP,Mike Huckabee,125,,,
Yavapai,President,,REP,Mike Huckabee,3337,,,
Yuma,President,,REP,Mike Huckabee,1187,,,
,President,,REP,Mike Huckabee,48849,,,
Apache,President,,REP,Duncan Hunter,7,,,
Cochise,President,,REP,Duncan Hunter,16,,,
Coconino,President,,REP,Duncan Hunter,10,,,
Gila,President,,REP,Duncan Hunter,13,,,
Graham,President,,REP,Duncan Hunter,3,,,
Greenlee,President,,REP,Duncan Hunter,2,,,
La Paz,President,,REP,Duncan Hunter,7,,,
Maricopa,President,,REP,Duncan Hunter,792,,,
Mohave,President,,REP,Duncan Hunter,50,,,
Navajo,President,,REP,Duncan Hunter,7,,,
Pima,President,,REP,Duncan Hunter,60,,,
Pinal,President,,REP,Duncan Hunter,33,,,
Santa Cruz,President,,REP,Duncan Hunter,3,,,
Yavapai,President,,REP,Duncan Hunter,31,,,
Yuma,President,,REP,Duncan Hunter,48,,,
,President,,REP,Duncan Hunter,1082,,,
Apache,President,,REP,Alan Keyes,3,,,
Cochise,President,,REP,Alan Keyes,40,,,
Coconino,President,,REP,Alan Keyes,18,,,
Gila,President,,REP,Alan Keyes,20,,,
Graham,President,,REP,Alan Keyes,2,,,
Greenlee,President,,REP,Alan Keyes,2,,,
La Paz,President,,REP,Alan Keyes,3,,,
Maricopa,President,,REP,Alan Keyes,600,,,
Mohave,President,,REP,Alan Keyes,19,,,
Navajo,President,,REP,Alan Keyes,14,,,
Pima,President,,REP,Alan Keyes,145,,,
Pinal,President,,REP,Alan Keyes,29,,,
Santa Cruz,President,,REP,Alan Keyes,1,,,
Yavapai,President,,REP,Alan Keyes,41,,,
Yuma,President,,REP,Alan Keyes,33,,,
,President,,REP,Alan Keyes,970,,,
Apache,President,,REP,John McCain,878,,,
Cochise,President,,REP,John McCain,4354,,,
Coconino,President,,REP,John McCain,4245,,,
Gila,President,,REP,John McCain,3120,,,
Graham,President,,REP,John McCain,696,,,
