county,office,district,party,candidate,votes,winner,write-in,,,,,,,,,,,,,,
Apache,President,,CON,Virgil Goode,9,,,,,,,,,,,,,,,,
Cochise,President,,CON,Virgil Goode,12,,,,,,,,,,,,,,,,
Coconino,President,,CON,Virgil Goode,6,,,,,,,,,,,,,,,,
Gila,President,,CON,Virgil Goode,1,,,,,,,,,,,,,,,,
Graham,President,,CON,Virgil Goode,0,,,,,,,,,,,,,,,,
Greenlee,President,,CON,Virgil Goode,0,,,,,,,,,,,,,,,,
La Paz,President,,CON,Virgil Goode,0,,,,,,,,,,,,,,,,
Maricopa,President,,CON,Virgil Goode,154,,,,,,,,,,,,,,,,
Mohave,President,,CON,Virgil Goode,4,,,,,,,,,,,,,,,,
Navajo,President,,CON,Virgil Goode,6,,,,,,,,,,,,,,,,
Pima,President,,CON,Virgil Goode,46,,,,,,,,,,,,,,,,
Pinal,President,,CON,Virgil Goode,36,,,,,,,,,,,,,,,,
Santa Cruz,President,,CON,Virgil Goode,0,,,,,,,,,,,,,,,,
Yavapai,President,,CON,Virgil Goode,12,,,,,,,,,,,,,,,,
Yuma,President,,CON,Virgil Goode,3,,,,,,,,,,,,,,,,
,President,,CON,Virgil Goode,289,,,,,,,,,,,,,,,,
Apache,President,,DEM,Barack Obama,"17,147",,,,,,,,,,,,,,,,
Cochise,President,,DEM,Barack Obama,"18,546",,,,,,,,,,,,,,,,
Coconino,President,,DEM,Barack Obama,"29,257",,,,,,,,,,,,,,,,
Gila,President,,DEM,Barack Obama,"7,697",,,,,,,,,,,,,,,,
Graham,President,,DEM,Barack Obama,"3,609",,,,,,,,,,,,,,,,
Greenlee,President,,DEM,Barack Obama,"1,310",,,,,,,,,,,,,,,,
La Paz,President,,DEM,Barack Obama,"1,880",,,,,,,,,,,,,,,,
Maricopa,President,,DEM,Barack Obama,"602,288",,,,,,,,,,,,,,,,
Mohave,President,,DEM,Barack Obama,"19,533",,,,,,,,,,,,,,,,
Navajo,President,,DEM,Barack Obama,"16,945",,,,,,,,,,,,,,,,
Pima,President,,DEM,Barack Obama,"201,251",,,,,,,,,,,,,,,,
Pinal,President,,DEM,Barack Obama,"44,306",,,,,,,,,,,,,,,,
Santa Cruz,President,,DEM,Barack Obama,"9,486",,,,,,,,,,,,,,,,
Yavapai,President,,DEM,Barack Obama,"33,918",,,,,,,,,,,,,,,,
Yuma,President,,DEM,Barack Obama,"18,059",,,,,,,,,,,,,,,,
,President,,DEM,Barack Obama,"1,025,232",,,,,,,,,,,,,,,,
Apache,President,,GRN,Jill Stein,88,,,,,,,,,,,,,,,,
Cochise,President,,GRN,Jill Stein,215,,,,,,,,,,,,,,,,
Coconino,President,,GRN,Jill Stein,301,,,,,,,,,,,,,,,,
Gila,President,,GRN,Jill Stein,64,,,,,,,,,,,,,,,,
Graham,President,,GRN,Jill Stein,28,,,,,,,,,,,,,,,,
Greenlee,President,,GRN,Jill Stein,11,,,,,,,,,,,,,,,,
La Paz,President,,GRN,Jill Stein,24,,,,,,,,,,,,,,,,
Maricopa,President,,GRN,Jill Stein,"4,091",,,,,,,,,,,,,,,,
Mohave,President,,GRN,Jill Stein,224,,,,,,,,,,,,,,,,
Navajo,President,,GRN,Jill Stein,99,,,,,,,,,,,,,,,,
Pima,President,,GRN,Jill Stein,"1,758",,,,,,,,,,,,,,,,
Pinal,President,,GRN,Jill Stein,325,,,,,,,,,,,,,,,,
Santa Cruz,President,,GRN,Jill Stein,65,,,,,,,,,,,,,,,,
Yavapai,President,,GRN,Jill Stein,417,,,,,,,,,,,,,,,,
Yuma,President,,GRN,Jill Stein,106,,,,,,,,,,,,,,,,
,President,,GRN,Jill Stein,"7,816",,,,,,,,,,,,,,,,
Apache,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
Cochise,President,,JUS,"Ross C. ""Rocky"" Anderson",1,,TRUE,,,,,,,,,,,,,,
Coconino,President,,JUS,"Ross C. ""Rocky"" Anderson",6,,TRUE,,,,,,,,,,,,,,
Gila,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
Graham,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
Greenlee,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
La Paz,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
Maricopa,President,,JUS,"Ross C. ""Rocky"" Anderson",54,,TRUE,,,,,,,,,,,,,,
Mohave,President,,JUS,"Ross C. ""Rocky"" Anderson",2,,TRUE,,,,,,,,,,,,,,
Navajo,President,,JUS,"Ross C. ""Rocky"" Anderson",2,,TRUE,,,,,,,,,,,,,,
Pima,President,,JUS,"Ross C. ""Rocky"" Anderson",41,,TRUE,,,,,,,,,,,,,,
Pinal,President,,JUS,"Ross C. ""Rocky"" Anderson",1,,TRUE,,,,,,,,,,,,,,
Santa Cruz,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
Yavapai,President,,JUS,"Ross C. ""Rocky"" Anderson",12,,TRUE,,,,,,,,,,,,,,
Yuma,President,,JUS,"Ross C. ""Rocky"" Anderson",0,,TRUE,,,,,,,,,,,,,,
,President,,JUS,"Ross C. ""Rocky"" Anderson",119,,TRUE,,,,,,,,,,,,,,
Apache,President,,LBT,Gary Johnson,354,,,,,,,,,,,,,,,,
Cochise,President,,LBT,Gary Johnson,728,,,,,,,,,,,,,,,,
Coconino,President,,LBT,Gary Johnson,941,,,,,,,,,,,,,,,,
Gila,President,,LBT,Gary Johnson,310,,,,,,,,,,,,,,,,
Graham,President,,LBT,Gary Johnson,142,,,,,,,,,,,,,,,,
Greenlee,President,,LBT,Gary Johnson,61,,,,,,,,,,,,,,,,
La Paz,President,,LBT,Gary Johnson,99,,,,,,,,,,,,,,,,
Maricopa,President,,LBT,Gary Johnson,"20,071",,,,,,,,,,,,,,,,
