county,office,district,party,candidate,votes,winner
Cochise,U.S. House,8,DEM,Ron Barber,4915,
Cochise,U.S. House,8,GRN,Richard Grayson,1,
Cochise,U.S. House,8,GRN,Charlie Manolakis,13,
Cochise,U.S. House,8,REP,Frank Antenori,2483,
Cochise,U.S. House,8,REP,Jesse Kelly,4779,
Cochise,U.S. House,8,REP,Martha McSally,3132,
Cochise,U.S. House,8,REP,Dave Sitton,843,
Pima,U.S. House,8,DEM,Ron Barber,37786,
Pima,U.S. House,8,GRN,Richard Grayson,1,
Pima,U.S. House,8,GRN,Charlie Manolakis,101,
Pima,U.S. House,8,REP,Frank Antenori,14415,
Pima,U.S. House,8,REP,Jesse Kelly,21065,
Pima,U.S. House,8,REP,Martha McSally,15194,
Pima,U.S. House,8,REP,Dave Sitton,12054,
Pinal,U.S. House,8,DEM,Ron Barber,1068,
Pinal,U.S. House,8,GRN,Richard Grayson,0,
Pinal,U.S. House,8,GRN,Charlie Manolakis,0,
Pinal,U.S. House,8,REP,Frank Antenori,412,
Pinal,U.S. House,8,REP,Jesse Kelly,1051,
Pinal,U.S. House,8,REP,Martha McSally,943,
Pinal,U.S. House,8,REP,Dave Sitton,303,
Santa Cruz,U.S. House,8,DEM,Ron Barber,416,
Santa Cruz,U.S. House,8,GRN,Richard Grayson,0,
Santa Cruz,U.S. House,8,GRN,Charlie Manolakis,2,
Santa Cruz,U.S. House,8,REP,Frank Antenori,187,
Santa Cruz,U.S. House,8,REP,Jesse Kelly,206,
Santa Cruz,U.S. House,8,REP,Martha McSally,144,
Santa Cruz,U.S. House,8,REP,Dave Sitton,99,
,U.S. House,8,DEM,Ron Barber,44185,TRUE
,U.S. House,8,GRN,Richard Grayson,2,
,U.S. House,8,GRN,Charlie Manolakis,116,TRUE
,U.S. House,8,REP,Frank Antenori,17497,
,U.S. House,8,REP,Jesse Kelly,27101,TRUE
,U.S. House,8,REP,Martha McSally,19413,
,U.S. House,8,REP,Dave Sitton,13299,
