jurisdiction,office,district,party,candidate,votes,winner
U.S. House 1,President,,REP,Wayne Charles Arnett,15,
U.S. House 1,President,,REP,Donald Benjamin,38,
U.S. House 1,President,,REP,Simon Bollander,11,
U.S. House 1,President,,REP,Mark Callahan,47,
U.S. House 1,President,,REP,Cesar Cisneros,57,
U.S. House 1,President,,REP,Kip Dean,22,
U.S. House 1,President,,REP,Newt Gingrich,10975,
U.S. House 1,President,,REP,Sarah Gonzales,179,
U.S. House 1,President,,REP,Christopher Hill,16,
U.S. House 1,President,,REP,Michael Levinson,23,
U.S. House 1,President,,REP,Frank Lynch,18,
U.S. House 1,President,,REP,Ron Paul,5721,
U.S. House 1,President,,REP,Raymond Scott Perkins,7,
U.S. House 1,President,,REP,Al 'Dick' Perry,27,
U.S. House 1,President,,REP,Rick Perry,299,
U.S. House 1,President,,REP,Buddy Roemer,70,
U.S. House 1,President,,REP,Mitt Romney,28980,
U.S. House 1,President,,REP,Rick Santorum,19333,
U.S. House 1,President,,REP,Paul Sims,45,
U.S. House 1,President,,REP,Charles Skelley,7,
U.S. House 1,President,,REP,Jim Terr,8,
U.S. House 1,President,,REP,Matt Welch,12,
U.S. House 1,President,,REP,Ronald Zack,21,
U.S. House 1,President,,GRN,Gerard Davis,3,
U.S. House 1,President,,GRN,Richard Grayson,4,
U.S. House 1,President,,GRN,Kent Mesplay,8,
U.S. House 1,President,,GRN,Michael Oatman,8,
U.S. House 1,President,,GRN,Jill Stein,63,
U.S. House 1,President,,GRN,Gary Swing,2,
U.S. House 2,President,,REP,Wayne Charles Arnett,10,
U.S. House 2,President,,REP,Donald Benjamin,34,
U.S. House 2,President,,REP,Simon Bollander,10,
U.S. House 2,President,,REP,Mark Callahan,73,
U.S. House 2,President,,REP,Cesar Cisneros,51,
U.S. House 2,President,,REP,Kip Dean,34,
U.S. House 2,President,,REP,Newt Gingrich,16574,
U.S. House 2,President,,REP,Sarah Gonzales,242,
U.S. House 2,President,,REP,Christopher Hill,21,
U.S. House 2,President,,REP,Michael Levinson,35,
U.S. House 2,President,,REP,Frank Lynch,20,
U.S. House 2,President,,REP,Ron Paul,6887,
U.S. House 2,President,,REP,Raymond Scott Perkins,18,
U.S. House 2,President,,REP,Al 'Dick' Perry,55,
U.S. House 2,President,,REP,Rick Perry,399,
U.S. House 2,President,,REP,Buddy Roemer,93,
U.S. House 2,President,,REP,Mitt Romney,39827,
U.S. House 2,President,,REP,Rick Santorum,25643,
U.S. House 2,President,,REP,Paul Sims,107,
U.S. House 2,President,,REP,Charles Skelley,7,
U.S. House 2,President,,REP,Jim Terr,12,
U.S. House 2,President,,REP,Matt Welch,13,
U.S. House 2,President,,REP,Ronald Zack,28,
U.S. House 2,President,,GRN,Gerard Davis,0,
U.S. House 2,President,,GRN,Richard Grayson,6,
U.S. House 2,President,,GRN,Kent Mesplay,3,
U.S. House 2,President,,GRN,Michael Oatman,5,
U.S. House 2,President,,GRN,Jill Stein,20,
U.S. House 2,President,,GRN,Gary Swing,0,
U.S. House 3,President,,REP,Wayne Charles Arnett,11,
U.S. House 3,President,,REP,Donald Benjamin,32,
U.S. House 3,President,,REP,Simon Bollander,7,
U.S. House 3,President,,REP,Mark Callahan,48,
U.S. House 3,President,,REP,Cesar Cisneros,66,
U.S. House 3,President,,REP,Kip Dean,34,
U.S. House 3,President,,REP,Newt Gingrich,11229,
U.S. House 3,President,,REP,Sarah Gonzales,229,
U.S. House 3,President,,REP,Christopher Hill,19,
U.S. House 3,President,,REP,Michael Levinson,51,
U.S. House 3,President,,REP,Frank Lynch,11,
U.S. House 3,President,,REP,Ron Paul,6462,
U.S. House 3,President,,REP,Raymond Scott Perkins,16,
U.S. House 3,President,,REP,Al 'Dick' Perry,48,
U.S. House 3,President,,REP,Rick Perry,266,
U.S. House 3,President,,REP,Buddy Roemer,128,
U.S. House 3,President,,REP,Mitt Romney,31415,
U.S. House 3,President,,REP,Rick Santorum,17699,
U.S. House 3,President,,REP,Paul Sims,86,
U.S. House 3,President,,REP,Charles Skelley,8,
U.S. House 3,President,,REP,Jim Terr,5,
U.S. House 3,President,,REP,Matt Welch,12,
U.S. House 3,President,,REP,Ronald Zack,22,
U.S. House 3,President,,GRN,Gerard Davis,2,
U.S. House 3,President,,GRN,Richard Grayson,3,
U.S. House 3,President,,GRN,Kent Mesplay,7,
U.S. House 3,President,,GRN,Michael Oatman,3,
U.S. House 3,President,,GRN,Jill Stein,37,
U.S. House 3,President,,GRN,Gary Swing,4,
U.S. House 4,President,,REP,Wayne Charles Arnett,6,
U.S. House 4,President,,REP,Donald Benjamin,23,
U.S. House 4,President,,REP,Simon Bollander,4,
U.S. House 4,President,,REP,Mark Callahan,21,
U.S. House 4,President,,REP,Cesar Cisneros,43,
U.S. House 4,President,,REP,Kip Dean,16,
U.S. House 4,President,,REP,Newt Gingrich,2102,
U.S. House 4,President,,REP,Sarah Gonzales,96,
U.S. House 4,President,,REP,Christopher Hill,10,
U.S. House 4,President,,REP,Michael Levinson,12,
U.S. House 4,President,,REP,Frank Lynch,8,
U.S. House 4,President,,REP,Ron Paul,1710,
U.S. House 4,President,,REP,Raymond Scott Perkins,5,
U.S. House 4,President,,REP,Al 'Dick' Perry,14,
U.S. House 4,President,,REP,Rick Perry,74,
U.S. House 4,President,,REP,Buddy Roemer,25,
U.S. House 4,President,,REP,Mitt Romney,5578,
U.S. House 4,President,,REP,Rick Santorum,3523,
U.S. House 4,President,,REP,Paul Sims,33,
U.S. House 4,President,,REP,Charles Skelley,9,
U.S. House 4,President,,REP,Jim Terr,3,
U.S. House 4,President,,REP,Matt Welch,2,
U.S. House 4,President,,REP,Ronald Zack,14,
U.S. House 4,President,,GRN,Gerard Davis,2,
U.S. House 4,President,,GRN,Richard Grayson,1,
U.S. House 4,President,,GRN,Kent Mesplay,4,
U.S. House 4,President,,GRN,Michael Oatman,2,
U.S. House 4,President,,GRN,Jill Stein,24,
U.S. House 4,President,,GRN,Gary Swing,8,
U.S. House 5,President,,REP,Wayne Charles Arnett,14,
U.S. House 5,President,,REP,Donald Benjamin,16,
U.S. House 5,President,,REP,Simon Bollander,1,
U.S. House 5,President,,REP,Mark Callahan,46,
U.S. House 5,President,,REP,Cesar Cisneros,48,
U.S. House 5,President,,REP,Kip Dean,22,
U.S. House 5,President,,REP,Newt Gingrich,10055,
U.S. House 5,President,,REP,Sarah Gonzales,202,
U.S. House 5,President,,REP,Christopher Hill,20,
U.S. House 5,President,,REP,Michael Levinson,26,
U.S. House 5,President,,REP,Frank Lynch,10,
U.S. House 5,President,,REP,Ron Paul,6472,
U.S. House 5,President,,REP,Raymond Scott Perkins,9,
U.S. House 5,President,,REP,Al 'Dick' Perry,33,
U.S. House 5,President,,REP,Rick Perry,232,
U.S. House 5,President,,REP,Buddy Roemer,121,
U.S. House 5,President,,REP,Mitt Romney,33909,
U.S. House 5,President,,REP,Rick Santorum,15197,
U.S. House 5,President,,REP,Paul Sims,90,
U.S. House 5,President,,REP,Charles Skelley,4,
U.S. House 5,President,,REP,Jim Terr,6,
U.S. House 5,President,,REP,Matt Welch,14,
U.S. House 5,President,,REP,Ronald Zack,19,
U.S. House 5,President,,GRN,Gerard Davis,3,
U.S. House 5,President,,GRN,Richard Grayson,2,
U.S. House 5,President,,GRN,Kent Mesplay,11,
U.S. House 5,President,,GRN,Michael Oatman,8,
U.S. House 5,President,,GRN,Jill Stein,45,
U.S. House 5,President,,GRN,Gary Swing,2,
U.S. House 6,President,,REP,Wayne Charles Arnett,21,
U.S. House 6,President,,REP,Donald Benjamin,17,
U.S. House 6,President,,REP,Simon Bollander,7,
U.S. House 6,President,,REP,Mark Callahan,54,
U.S. House 6,President,,REP,Cesar Cisneros,47,
U.S. House 6,President,,REP,Kip Dean,28,
U.S. House 6,President,,REP,Newt Gingrich,12524,
U.S. House 6,President,,REP,Sarah Gonzales,220,
U.S. House 6,President,,REP,Christopher Hill,17,
U.S. House 6,President,,REP,Michael Levinson,20,
U.S. House 6,President,,REP,Frank Lynch,15,
U.S. House 6,President,,REP,Ron Paul,7874,
U.S. House 6,President,,REP,Raymond Scott Perkins,16,
U.S. House 6,President,,REP,Al 'Dick' Perry,33,
U.S. House 6,President,,REP,Rick Perry,251,
U.S. House 6,President,,REP,Buddy Roemer,108,
U.S. House 6,President,,REP,Mitt Romney,51996,
U.S. House 6,President,,REP,Rick Santorum,22011,
U.S. House 6,President,,REP,Paul Sims,97,
U.S. House 6,President,,REP,Charles Skelley,7,
U.S. House 6,President,,REP,Jim Terr,9,
U.S. House 6,President,,REP,Matt Welch,12,
U.S. House 6,President,,REP,Ronald Zack,21,
U.S. House 6,President,,GRN,Gerard Davis,2,
U.S. House 6,President,,GRN,Richard Grayson,8,
U.S. House 6,President,,GRN,Kent Mesplay,6,
U.S. House 6,President,,GRN,Michael Oatman,5,
U.S. House 6,President,,GRN,Jill Stein,38,
U.S. House 6,President,,GRN,Gary Swing,1,
U.S. House 7,President,,REP,Wayne Charles Arnett,5,
U.S. House 7,President,,REP,Donald Benjamin,29,
U.S. House 7,President,,REP,Simon Bollander,2,
U.S. House 7,President,,REP,Mark Callahan,15,
U.S. House 7,President,,REP,Cesar Cisneros,50,
U.S. House 7,President,,REP,Kip Dean,6,
U.S. House 7,President,,REP,Newt Gingrich,5278,
U.S. House 7,President,,REP,Sarah Gonzales,120,
U.S. House 7,President,,REP,Christopher Hill,11,
U.S. House 7,President,,REP,Michael Levinson,16,
U.S. House 7,President,,REP,Frank Lynch,8,
U.S. House 7,President,,REP,Ron Paul,2782,
U.S. House 7,President,,REP,Raymond Scott Perkins,7,
U.S. House 7,President,,REP,Al 'Dick' Perry,42,
U.S. House 7,President,,REP,Rick Perry,158,
U.S. House 7,President,,REP,Buddy Roemer,42,
U.S. House 7,President,,REP,Mitt Romney,11100,
U.S. House 7,President,,REP,Rick Santorum,9742,
U.S. House 7,President,,REP,Paul Sims,32,
U.S. House 7,President,,REP,Charles Skelley,8,
U.S. House 7,President,,REP,Jim Terr,5,
U.S. House 7,President,,REP,Matt Welch,3,
U.S. House 7,President,,REP,Ronald Zack,10,
U.S. House 7,President,,GRN,Gerard Davis,6,
U.S. House 7,President,,GRN,Richard Grayson,5,
U.S. House 7,President,,GRN,Kent Mesplay,7,
U.S. House 7,President,,GRN,Michael Oatman,5,
U.S. House 7,President,,GRN,Jill Stein,71,
U.S. House 7,President,,GRN,Gary Swing,6,
U.S. House 8,President,,REP,Wayne Charles Arnett,14,
U.S. House 8,President,,REP,Donald Benjamin,34,
U.S. House 8,President,,REP,Simon Bollander,12,
U.S. House 8,President,,REP,Mark Callahan,54,
U.S. House 8,President,,REP,Cesar Cisneros,56,
U.S. House 8,President,,REP,Kip Dean,36,
U.S. House 8,President,,REP,Newt Gingrich,13011,
U.S. House 8,President,,REP,Sarah Gonzales,256,
U.S. House 8,President,,REP,Christopher Hill,25,
U.S. House 8,President,,REP,Michael Levinson,34,
U.S. House 8,President,,REP,Frank Lynch,20,
U.S. House 8,President,,REP,Ron Paul,6044,
U.S. House 8,President,,REP,Raymond Scott Perkins,12,
U.S. House 8,President,,REP,Al 'Dick' Perry,58,
U.S. House 8,President,,REP,Rick Perry,344,
U.S. House 8,President,,REP,Buddy Roemer,105,
U.S. House 8,President,,REP,Mitt Romney,36362,
U.S. House 8,President,,REP,Rick Santorum,24883,
U.S. House 8,President,,REP,Paul Sims,40,
U.S. House 8,President,,REP,Charles Skelley,7,
U.S. House 8,President,,REP,Jim Terr,11,
U.S. House 8,President,,REP,Matt Welch,18,
U.S. House 8,President,,REP,Ronald Zack,21,
U.S. House 8,President,,GRN,Gerard Davis,0,
U.S. House 8,President,,GRN,Richard Grayson,10,
U.S. House 8,President,,GRN,Kent Mesplay,4,
U.S. House 8,President,,GRN,Michael Oatman,3,
U.S. House 8,President,,GRN,Jill Stein,87,
U.S. House 8,President,,GRN,Gary Swing,7,
,President,,REP,Wayne Charles Arnett,96,
,President,,REP,Donald Benjamin,223,
,President,,REP,Simon Bollander,54,
,President,,REP,Mark Callahan,358,
,President,,REP,Cesar Cisneros,418,
,President,,REP,Kip Dean,198,
,President,,REP,Newt Gingrich,81748,
,President,,REP,Sarah Gonzales,1544,
,President,,REP,Christopher Hill,139,
,President,,REP,Michael Levinson,217,
,President,,REP,Frank Lynch,110,
,President,,REP,Ron Paul,43952,
