county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Richard Carmona,9066,,,
Apache,U.S. Senate,,LBT,Marc Victor,15,,,
Apache,U.S. Senate,,REP,Luis Acle,5,,,
Apache,U.S. Senate,,REP,Wil Cardon,875,,,
Apache,U.S. Senate,,REP,Jeff Flake,1842,,,
Apache,U.S. Senate,,REP,Bryan Hackbarth,332,,,
Apache,U.S. Senate,,REP,John Lyon,6,,,
Apache,U.S. Senate,,REP,Clair Van Steenwyk,250,,,
Cochise,U.S. Senate,,DEM,Richard Carmona,7451,,,
Cochise,U.S. Senate,,LBT,Marc Victor,14,,,
Cochise,U.S. Senate,,REP,Luis Acle,0,,,
Cochise,U.S. Senate,,REP,Wil Cardon,2270,,,
Cochise,U.S. Senate,,REP,Jeff Flake,8366,,,
Cochise,U.S. Senate,,REP,Bryan Hackbarth,490,,,
Cochise,U.S. Senate,,REP,John Lyon,2,,,
Cochise,U.S. Senate,,REP,Clair Van Steenwyk,1006,,,
Coconino,U.S. Senate,,DEM,Richard Carmona,8457,,,
Coconino,U.S. Senate,,LBT,Marc Victor,29,,,
Coconino,U.S. Senate,,REP,Luis Acle,2,,,
Coconino,U.S. Senate,,REP,Wil Cardon,1314,,,
Coconino,U.S. Senate,,REP,Jeff Flake,4582,,,
Coconino,U.S. Senate,,REP,Bryan Hackbarth,312,,,
Coconino,U.S. Senate,,REP,John Lyon,15,,,
Coconino,U.S. Senate,,REP,Clair Van Steenwyk,433,,,
Gila,U.S. Senate,,DEM,Richard Carmona,3739,,,
Gila,U.S. Senate,,LBT,Marc Victor,8,,,
Gila,U.S. Senate,,REP,Luis Acle,1,,,
Gila,U.S. Senate,,REP,Wil Cardon,1621,,,
Gila,U.S. Senate,,REP,Jeff Flake,4843,,,
Gila,U.S. Senate,,REP,Bryan Hackbarth,193,,,
Gila,U.S. Senate,,REP,John Lyon,2,,,
Gila,U.S. Senate,,REP,Clair Van Steenwyk,313,,,
Graham,U.S. Senate,,DEM,Richard Carmona,1453,,,
Graham,U.S. Senate,,LBT,Marc Victor,0,,,
Graham,U.S. Senate,,REP,Luis Acle,0,,,
Graham,U.S. Senate,,REP,Wil Cardon,858,,,
Graham,U.S. Senate,,REP,Jeff Flake,2688,,,
Graham,U.S. Senate,,REP,Bryan Hackbarth,94,,,
Graham,U.S. Senate,,REP,John Lyon,0,,,
Graham,U.S. Senate,,REP,Clair Van Steenwyk,155,,,
Greenlee,U.S. Senate,,DEM,Richard Carmona,895,,,
Greenlee,U.S. Senate,,LBT,Marc Victor,1,,,
Greenlee,U.S. Senate,,REP,Luis Acle,0,,,
Greenlee,U.S. Senate,,REP,Wil Cardon,103,,,
Greenlee,U.S. Senate,,REP,Jeff Flake,359,,,
Greenlee,U.S. Senate,,REP,Bryan Hackbarth,28,,,
Greenlee,U.S. Senate,,REP,John Lyon,0,,,
Greenlee,U.S. Senate,,REP,Clair Van Steenwyk,24,,,
La Paz,U.S. Senate,,DEM,Richard Carmona,515,,,
La Paz,U.S. Senate,,LBT,Marc Victor,0,,,
La Paz,U.S. Senate,,REP,Luis Acle,7,,,
La Paz,U.S. Senate,,REP,Wil Cardon,407,,,
La Paz,U.S. Senate,,REP,Jeff Flake,1003,,,
La Paz,U.S. Senate,,REP,Bryan Hackbarth,140,,,
La Paz,U.S. Senate,,REP,John Lyon,0,,,
La Paz,U.S. Senate,,REP,Clair Van Steenwyk,174,,,
Maricopa,U.S. Senate,,DEM,Richard Carmona,138359,,,
Maricopa,U.S. Senate,,LBT,Marc Victor,296,,,
Maricopa,U.S. Senate,,REP,Luis Acle,23,,,
Maricopa,U.S. Senate,,REP,Wil Cardon,65062,,,
Maricopa,U.S. Senate,,REP,Jeff Flake,219416,,,
Maricopa,U.S. Senate,,REP,Bryan Hackbarth,9710,,,
Maricopa,U.S. Senate,,REP,John Lyon,61,,,
Maricopa,U.S. Senate,,REP,Clair Van Steenwyk,15986,,,
Mohave,U.S. Senate,,DEM,Richard Carmona,4610,,,
Mohave,U.S. Senate,,LBT,Marc Victor,6,,,
Mohave,U.S. Senate,,REP,Luis Acle,0,,,
Mohave,U.S. Senate,,REP,Wil Cardon,5950,,,
Mohave,U.S. Senate,,REP,Jeff Flake,11801,,,
Mohave,U.S. Senate,,REP,Bryan Hackbarth,1566,,,
Mohave,U.S. Senate,,REP,John Lyon,5,,,
Mohave,U.S. Senate,,REP,Clair Van Steenwyk,1727,,,
Navajo,U.S. Senate,,DEM,Richard Carmona,6905,,,
Navajo,U.S. Senate,,LBT,Marc Victor,11,,,
Navajo,U.S. Senate,,REP,Luis Acle,3,,,
Navajo,U.S. Senate,,REP,Wil Cardon,1709,,,
Navajo,U.S. Senate,,REP,Jeff Flake,5972,,,
Navajo,U.S. Senate,,REP,Bryan Hackbarth,308,,,
Navajo,U.S. Senate,,REP,John Lyon,4,,,
Navajo,U.S. Senate,,REP,Clair Van Steenwyk,365,,,
Pima,U.S. Senate,,DEM,Richard Carmona,77463,,,
Pima,U.S. Senate,,LBT,Marc Victor,134,,,
Pima,U.S. Senate,,REP,Luis Acle,7,,,
Pima,U.S. Senate,,REP,Wil Cardon,15056,,,
Pima,U.S. Senate,,REP,Jeff Flake,52953,,,
Pima,U.S. Senate,,REP,Bryan Hackbarth,2536,,,
Pima,U.S. Senate,,REP,John Lyon,17,,,
Pima,U.S. Senate,,REP,Clair Van Steenwyk,4570,,,
Pinal,U.S. Senate,,DEM,Richard Carmona,13045,,,
Pinal,U.S. Senate,,LBT,Marc Victor,37,,,
Pinal,U.S. Senate,,REP,Luis Acle,1,,,
Pinal,U.S. Senate,,REP,Wil Cardon,6099,,,
