county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Ronald E. Maynard,331,,True,
Cochise,U.S. Senate,,DEM,Ronald E. Maynard,14,,True,
Coconino,U.S. Senate,,DEM,Ronald E. Maynard,2,,True,
Gila,U.S. Senate,,DEM,Ronald E. Maynard,6,,True,
Graham,U.S. Senate,,DEM,Ronald E. Maynard,9,,True,
Greenlee,U.S. Senate,,DEM,Ronald E. Maynard,0,,True,
La Paz,U.S. Senate,,DEM,Ronald E. Maynard,0,,True,
Maricopa,U.S. Senate,,DEM,Ronald E. Maynard,1112,,True,
Mohave,U.S. Senate,,DEM,Ronald E. Maynard,19,,True,
Navajo,U.S. Senate,,DEM,Ronald E. Maynard,3,,True,
Pima,U.S. Senate,,DEM,Ronald E. Maynard,34,,True,
Pinal,U.S. Senate,,DEM,Ronald E. Maynard,6,,True,
Santa Cruz,U.S. Senate,,DEM,Ronald E. Maynard,0,,True,
Yavapai,U.S. Senate,,DEM,Ronald E. Maynard,7,,True,
Yuma,U.S. Senate,,DEM,Ronald E. Maynard,2,,True,
Apache,U.S. Senate,,DEM,Stuart Starky,346,,True,
Cochise,U.S. Senate,,DEM,Stuart Starky,24,,True,
Coconino,U.S. Senate,,DEM,Stuart Starky,56,,True,
Gila,U.S. Senate,,DEM,Stuart Starky,2,,True,
Graham,U.S. Senate,,DEM,Stuart Starky,5,,True,
Greenlee,U.S. Senate,,DEM,Stuart Starky,1,,True,
La Paz,U.S. Senate,,DEM,Stuart Starky,1,,True,
Maricopa,U.S. Senate,,DEM,Stuart Starky,1714,,True,
Mohave,U.S. Senate,,DEM,Stuart Starky,113,,True,
Navajo,U.S. Senate,,DEM,Stuart Starky,8,,True,
Pima,U.S. Senate,,DEM,Stuart Starky,507,,True,
Pinal,U.S. Senate,,DEM,Stuart Starky,27,,True,
Santa Cruz,U.S. Senate,,DEM,Stuart Starky,4,,True,
Yavapai,U.S. Senate,,DEM,Stuart Starky,412,,True,
Yuma,U.S. Senate,,DEM,Stuart Starky,25,,True,
Apache,U.S. Senate,,LBT,"Barry J. Hess, II",18,,,
Cochise,U.S. Senate,,LBT,"Barry J. Hess, II",30,,,
Coconino,U.S. Senate,,LBT,"Barry J. Hess, II",61,,,
Gila,U.S. Senate,,LBT,"Barry J. Hess, II",11,,,
Graham,U.S. Senate,,LBT,"Barry J. Hess, II",5,,,
Greenlee,U.S. Senate,,LBT,"Barry J. Hess, II",1,,,
La Paz,U.S. Senate,,LBT,"Barry J. Hess, II",5,,,
Maricopa,U.S. Senate,,LBT,"Barry J. Hess, II",816,,,
Mohave,U.S. Senate,,LBT,"Barry J. Hess, II",35,,,
Navajo,U.S. Senate,,LBT,"Barry J. Hess, II",16,,,
Pima,U.S. Senate,,LBT,"Barry J. Hess, II",391,,,
Pinal,U.S. Senate,,LBT,"Barry J. Hess, II",35,,,
Santa Cruz,U.S. Senate,,LBT,"Barry J. Hess, II",6,,,
Yavapai,U.S. Senate,,LBT,"Barry J. Hess, II",129,,,
Yuma,U.S. Senate,,LBT,"Barry J. Hess, II",27,,,
Apache,U.S. Senate,,REP,Jon Kyl,1688,,,
Cochise,U.S. Senate,,REP,Jon Kyl,7578,,,
Coconino,U.S. Senate,,REP,Jon Kyl,4832,,,
Gila,U.S. Senate,,REP,Jon Kyl,2241,,,
Graham,U.S. Senate,,REP,Jon Kyl,2118,,,
Greenlee,U.S. Senate,,REP,Jon Kyl,274,,,
La Paz,U.S. Senate,,REP,Jon Kyl,1193,,,
Maricopa,U.S. Senate,,REP,Jon Kyl,156536,,,
Mohave,U.S. Senate,,REP,Jon Kyl,11462,,,
Navajo,U.S. Senate,,REP,Jon Kyl,3844,,,
Pima,U.S. Senate,,REP,Jon Kyl,32938,,,
Pinal,U.S. Senate,,REP,Jon Kyl,3938,,,
Santa Cruz,U.S. Senate,,REP,Jon Kyl,1064,,,
Yavapai,U.S. Senate,,REP,Jon Kyl,19886,,,
Yuma,U.S. Senate,,REP,Jon Kyl,6067,,,
Apache,U.S. Senate,,GRN,Vance Hansen,7,,True,
Cochise,U.S. Senate,,GRN,Vance Hansen,7,,True,
Coconino,U.S. Senate,,GRN,Vance Hansen,20,,True,
Gila,U.S. Senate,,GRN,Vance Hansen,0,,True,
Graham,U.S. Senate,,GRN,Vance Hansen,0,,True,
Greenlee,U.S. Senate,,GRN,Vance Hansen,0,,True,
La Paz,U.S. Senate,,GRN,Vance Hansen,0,,True,
Maricopa,U.S. Senate,,GRN,Vance Hansen,50,,True,
Mohave,U.S. Senate,,GRN,Vance Hansen,5,,True,
Navajo,U.S. Senate,,GRN,Vance Hansen,0,,True,
Pima,U.S. Senate,,GRN,Vance Hansen,79,,True,
Pinal,U.S. Senate,,GRN,Vance Hansen,2,,True,
Santa Cruz,U.S. Senate,,GRN,Vance Hansen,0,,True,
Yavapai,U.S. Senate,,GRN,Vance Hansen,17,,True,
Yuma,U.S. Senate,,GRN,Vance Hansen,0,,True,
Maricopa,U.S. House,1,DEM,David Mendoza,15573,,,
Maricopa,U.S. House,1,LBT,Jon Burroughs,313,,,
Maricopa,U.S. House,1,REP,Susan Bitter Smith,11763,,,
Maricopa,U.S. House,1,REP,Sal Diciccio,12490,,,
Maricopa,U.S. House,1,REP,Jeff Flake,16745,,,
Maricopa,U.S. House,1,REP,Tom Liddy,10898,,,
Maricopa,U.S. House,1,REP,Bert Tollefson,764,,,
Maricopa,U.S. House,2,DEM,Ed Pastor,5979,,,
Pima,U.S. House,2,DEM,Ed Pastor,10781,,,
Pinal,U.S. House,2,DEM,Ed Pastor,37,,,
Santa Cruz,U.S. House,2,DEM,Ed Pastor,4292,,,
Yuma,U.S. House,2,DEM,Ed Pastor,5265,,,
Maricopa,U.S. House,2,LBT,Geoffrey Weber,39,,,
Pima,U.S. House,2,LBT,Geoffrey Weber,98,,,
Pinal,U.S. House,2,LBT,Geoffrey Weber,0,,,
Santa Cruz,U.S. House,2,LBT,Geoffrey Weber,5,,,
Yuma,U.S. House,2,LBT,Geoffrey Weber,29,,,
Maricopa,U.S. House,2,NLP,Barbara Shelor,0,,,
Pima,U.S. House,2,NLP,Barbara Shelor,10,,,
Pinal,U.S. House,2,NLP,Barbara Shelor,0,,,
Santa Cruz,U.S. House,2,NLP,Barbara Shelor,0,,,
Yuma,U.S. House,2,NLP,Barbara Shelor,2,,,
Maricopa,U.S. House,2,REP,Bill Barenholtz,2373,,,
Pima,U.S. House,2,REP,Bill Barenholtz,1881,,,
Pinal,U.S. House,2,REP,Bill Barenholtz,3,,,
Santa Cruz,U.S. House,2,REP,Bill Barenholtz,812,,,
Yuma,U.S. House,2,REP,Bill Barenholtz,5661,,,
Coconino,U.S. House,3,DEM,Gene Scharer,1330,,,
La Paz,U.S. House,3,DEM,Gene Scharer,774,,,
Maricopa,U.S. House,3,DEM,Gene Scharer,8974,,,
Mohave,U.S. House,3,DEM,Gene Scharer,4163,,,
Navajo,U.S. House,3,DEM,Gene Scharer,196,,,
Yavapai,U.S. House,3,DEM,Gene Scharer,5034,,,
Coconino,U.S. House,3,LBT,Edward R. Carlson,28,,,
La Paz,U.S. House,3,LBT,Edward R. Carlson,5,,,
Maricopa,U.S. House,3,LBT,Edward R. Carlson,103,,,
Mohave,U.S. House,3,LBT,Edward R. Carlson,31,,,
Navajo,U.S. House,3,LBT,Edward R. Carlson,0,,,
Yavapai,U.S. House,3,LBT,Edward R. Carlson,123,,,
Coconino,U.S. House,3,REP,Dick Hensley,406,,,
La Paz,U.S. House,3,REP,Dick Hensley,224,,,
Maricopa,U.S. House,3,REP,Dick Hensley,5792,,,
Mohave,U.S. House,3,REP,Dick Hensley,2505,,,
Navajo,U.S. House,3,REP,Dick Hensley,15,,,
Yavapai,U.S. House,3,REP,Dick Hensley,3485,,,
Coconino,U.S. House,3,REP,Bob Stump,2015,,,
La Paz,U.S. House,3,REP,Bob Stump,1102,,,
Maricopa,U.S. House,3,REP,Bob Stump,29291,,,
Mohave,U.S. House,3,REP,Bob Stump,9915,,,
Navajo,U.S. House,3,REP,Bob Stump,38,,,
Yavapai,U.S. House,3,REP,Bob Stump,17782,,,
Maricopa,U.S. House,4,DEM,Ben Jankowski,11413,,,
Maricopa,U.S. House,4,LBT,Edward Gaudreau,68,,,
