county,office,district,party,candidate,votes,winner,write-in,notes
Apache,President,,LBT,Harry Browne,4,,,
Cochise,President,,LBT,Harry Browne,17,,,
Coconino,President,,LBT,Harry Browne,19,,,
Gila,President,,LBT,Harry Browne,12,,,
Graham,President,,LBT,Harry Browne,4,,,
Greenlee,President,,LBT,Harry Browne,0,,,
La Paz,President,,LBT,Harry Browne,2,,,
Maricopa,President,,LBT,Harry Browne,213,,,
Mohave,President,,LBT,Harry Browne,14,,,
Navajo,President,,LBT,Harry Browne,2,,,
Pima,President,,LBT,Harry Browne,202,,,
Pinal,President,,LBT,Harry Browne,10,,,
Santa Cruz,President,,LBT,Harry Browne,4,,,
Yavapai,President,,LBT,Harry Browne,37,,,
Yuma,President,,LBT,Harry Browne,13,,,
,President,,LBT,Harry Browne,553,,,
Apache,President,,LBT,Larry Hines,4,,,
Cochise,President,,LBT,Larry Hines,1,,,
Coconino,President,,LBT,Larry Hines,4,,,
Gila,President,,LBT,Larry Hines,2,,,
Graham,President,,LBT,Larry Hines,0,,,
Greenlee,President,,LBT,Larry Hines,0,,,
La Paz,President,,LBT,Larry Hines,0,,,
Maricopa,President,,LBT,Larry Hines,31,,,
Mohave,President,,LBT,Larry Hines,0,,,
Navajo,President,,LBT,Larry Hines,1,,,
Pima,President,,LBT,Larry Hines,41,,,
Pinal,President,,LBT,Larry Hines,4,,,
Santa Cruz,President,,LBT,Larry Hines,0,,,
Yavapai,President,,LBT,Larry Hines,7,,,
Yuma,President,,LBT,Larry Hines,2,,,
,President,,LBT,Larry Hines,97,,,
Apache,President,,LBT,David Lynn Hollist,1,,,
Cochise,President,,LBT,David Lynn Hollist,1,,,
Coconino,President,,LBT,David Lynn Hollist,4,,,
Gila,President,,LBT,David Lynn Hollist,2,,,
Graham,President,,LBT,David Lynn Hollist,0,,,
Greenlee,President,,LBT,David Lynn Hollist,0,,,
La Paz,President,,LBT,David Lynn Hollist,0,,,
Maricopa,President,,LBT,David Lynn Hollist,16,,,
Mohave,President,,LBT,David Lynn Hollist,2,,,
Navajo,President,,LBT,David Lynn Hollist,1,,,
Pima,President,,LBT,David Lynn Hollist,29,,,
Pinal,President,,LBT,David Lynn Hollist,2,,,
Santa Cruz,President,,LBT,David Lynn Hollist,0,,,
Yavapai,President,,LBT,David Lynn Hollist,4,,,
Yuma,President,,LBT,David Lynn Hollist,1,,,
,President,,LBT,David Lynn Hollist,63,,,
Apache,President,,REP,Gary Bauer,1,,,
Cochise,President,,REP,Gary Bauer,3,,,
Coconino,President,,REP,Gary Bauer,9,,,
Gila,President,,REP,Gary Bauer,6,,,
Graham,President,,REP,Gary Bauer,2,,,
Greenlee,President,,REP,Gary Bauer,0,,,
La Paz,President,,REP,Gary Bauer,3,,,
Maricopa,President,,REP,Gary Bauer,72,,,
Mohave,President,,REP,Gary Bauer,7,,,
Navajo,President,,REP,Gary Bauer,7,,,
Pima,President,,REP,Gary Bauer,38,,,
Pinal,President,,REP,Gary Bauer,2,,,
Santa Cruz,President,,REP,Gary Bauer,2,,,
Yavapai,President,,REP,Gary Bauer,15,,,
Yuma,President,,REP,Gary Bauer,10,,,
,President,,REP,Gary Bauer,177,,,
Apache,President,,REP,George W. Bush,561,,,
Cochise,President,,REP,George W. Bush,2596,,,
Coconino,President,,REP,George W. Bush,1980,,,
Gila,President,,REP,George W. Bush,1327,,,
Graham,President,,REP,George W. Bush,743,,,
Greenlee,President,,REP,George W. Bush,120,,,
La Paz,President,,REP,George W. Bush,451,,,
Maricopa,President,,REP,George W. Bush,70792,,,
Mohave,President,,REP,George W. Bush,3885,,,
Navajo,President,,REP,George W. Bush,1620,,,
Pima,President,,REP,George W. Bush,17772,,,
Pinal,President,,REP,George W. Bush,2813,,,
Santa Cruz,President,,REP,George W. Bush,286,,,
Yavapai,President,,REP,George W. Bush,7272,,,
Yuma,President,,REP,George W. Bush,2897,,,
,President,,REP,George W. Bush,115115,,,
Apache,President,,REP,Steve Forbes,4,,,
Cochise,President,,REP,Steve Forbes,19,,,
Coconino,President,,REP,Steve Forbes,20,,,
Gila,President,,REP,Steve Forbes,29,,,
Graham,President,,REP,Steve Forbes,9,,,
Greenlee,President,,REP,Steve Forbes,1,,,
La Paz,President,,REP,Steve Forbes,4,,,
Maricopa,President,,REP,Steve Forbes,776,,,
Mohave,President,,REP,Steve Forbes,49,,,
Navajo,President,,REP,Steve Forbes,19,,,
Pima,President,,REP,Steve Forbes,113,,,
Pinal,President,,REP,Steve Forbes,19,,,
Santa Cruz,President,,REP,Steve Forbes,4,,,
Yavapai,President,,REP,Steve Forbes,123,,,
Yuma,President,,REP,Steve Forbes,22,,,
,President,,REP,Steve Forbes,1211,,,
Apache,President,,REP,Orrin G. Hatch,21,,,
Cochise,President,,REP,Orrin G. Hatch,24,,,
Coconino,President,,REP,Orrin G. Hatch,23,,,
Gila,President,,REP,Orrin G. Hatch,8,,,
Graham,President,,REP,Orrin G. Hatch,18,,,
Greenlee,President,,REP,Orrin G. Hatch,2,,,
La Paz,President,,REP,Orrin G. Hatch,4,,,
Maricopa,President,,REP,Orrin G. Hatch,362,,,
Mohave,President,,REP,Orrin G. Hatch,13,,,
Navajo,President,,REP,Orrin G. Hatch,54,,,
Pima,President,,REP,Orrin G. Hatch,54,,,
Pinal,President,,REP,Orrin G. Hatch,23,,,
Santa Cruz,President,,REP,Orrin G. Hatch,0,,,
Yavapai,President,,REP,Orrin G. Hatch,19,,,
Yuma,President,,REP,Orrin G. Hatch,12,,,
,President,,REP,Orrin G. Hatch,637,,,
Apache,President,,REP,Alan Keyes,80,,,
Cochise,President,,REP,Alan Keyes,291,,,
Coconino,President,,REP,Alan Keyes,212,,,
Gila,President,,REP,Alan Keyes,211,,,
Graham,President,,REP,Alan Keyes,145,,,
Greenlee,President,,REP,Alan Keyes,19,,,
La Paz,President,,REP,Alan Keyes,28,,,
Maricopa,President,,REP,Alan Keyes,6880,,,
Mohave,President,,REP,Alan Keyes,340,,,
Navajo,President,,REP,Alan Keyes,266,,,
Pima,President,,REP,Alan Keyes,1733,,,
Pinal,President,,REP,Alan Keyes,247,,,
Santa Cruz,President,,REP,Alan Keyes,49,,,
Yavapai,President,,REP,Alan Keyes,781,,,
Yuma,President,,REP,Alan Keyes,218,,,
,President,,REP,Alan Keyes,11500,,,
Apache,President,,REP,John McCain,1030,,,
Cochise,President,,REP,John McCain,4795,,,
Coconino,President,,REP,John McCain,3940,,,
Gila,President,,REP,John McCain,2351,,,
Graham,President,,REP,John McCain,851,,,
Greenlee,President,,REP,John McCain,153,,,
La Paz,President,,REP,John McCain,592,,,
Maricopa,President,,REP,John McCain,107828,,,
Mohave,President,,REP,John McCain,7153,,,
Navajo,President,,REP,John McCain,2752,,,
Pima,President,,REP,John McCain,42200,,,
Pinal,President,,REP,John McCain,4610,,,
Santa Cruz,President,,REP,John McCain,693,,,
Yavapai,President,,REP,John McCain,11425,,,
Yuma,President,,REP,John McCain,3335,,,
,President,,REP,John McCain,193708,,,
Apache,President,,REP,John R. McGrath,10,,,
Cochise,President,,REP,John R. McGrath,5,,,
Coconino,President,,REP,John R. McGrath,11,,,
Gila,President,,REP,John R. McGrath,7,,,
Graham,President,,REP,John R. McGrath,0,,,
Greenlee,President,,REP,John R. McGrath,3,,,
La Paz,President,,REP,John R. McGrath,1,,,
Maricopa,President,,REP,John R. McGrath,124,,,
Mohave,President,,REP,John R. McGrath,13,,,
Navajo,President,,REP,John R. McGrath,7,,,
Pima,President,,REP,John R. McGrath,28,,,
Pinal,President,,REP,John R. McGrath,10,,,
Santa Cruz,President,,REP,John R. McGrath,0,,,
Yavapai,President,,REP,John R. McGrath,16,,,
Yuma,President,,REP,John R. McGrath,4,,,
,President,,REP,John R. McGrath,239,,,
Apache,President,,REP,Chuck See,3,,,
Cochise,President,,REP,Chuck See,0,,,
Coconino,President,,REP,Chuck See,0,,,
Gila,President,,REP,Chuck See,1,,,
Graham,President,,REP,Chuck See,0,,,
Greenlee,President,,REP,Chuck See,0,,,
La Paz,President,,REP,Chuck See,0,,,
Maricopa,President,,REP,Chuck See,19,,,
Mohave,President,,REP,Chuck See,0,,,
Navajo,President,,REP,Chuck See,2,,,
Pima,President,,REP,Chuck See,3,,,
Pinal,President,,REP,Chuck See,0,,,
Santa Cruz,President,,REP,Chuck See,0,,,
Yavapai,President,,REP,Chuck See,0,,,
Yuma,President,,REP,Chuck See,0,,,
,President,,REP,Chuck See,28,,,
Apache,President,,REP,James T. Zanon,4,,,
Cochise,President,,REP,James T. Zanon,1,,,
Coconino,President,,REP,James T. Zanon,3,,,
Gila,President,,REP,James T. Zanon,2,,,
Graham,President,,REP,James T. Zanon,0,,,
Greenlee,President,,REP,James T. Zanon,0,,,
La Paz,President,,REP,James T. Zanon,0,,,
Maricopa,President,,REP,James T. Zanon,19,,,
Mohave,President,,REP,James T. Zanon,4,,,
Navajo,President,,REP,James T. Zanon,1,,,
Pima,President,,REP,James T. Zanon,10,,,
Pinal,President,,REP,James T. Zanon,3,,,
Santa Cruz,President,,REP,James T. Zanon,0,,,
Yavapai,President,,REP,James T. Zanon,6,,,
Yuma,President,,REP,James T. Zanon,1,,,
,President,,REP,James T. Zanon,54,,,
