county,office,district,party,candidate,votes,winner,write-in
Apache,U.S. House,1,DEM,Ann Kirkpatrick,11921,,
Apache,U.S. House,1,REP,Gary Kiehne,1903,,
Apache,U.S. House,1,REP,Adam Kwasman,536,,
Apache,U.S. House,1,REP,Andy Tobin,1084,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,10801,,
Coconino,U.S. House,1,REP,Gary Kiehne,2482,,
Coconino,U.S. House,1,REP,Adam Kwasman,1680,,
Coconino,U.S. House,1,REP,Andy Tobin,3529,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,1939,,
Gila,U.S. House,1,REP,Gary Kiehne,651,,
Gila,U.S. House,1,REP,Adam Kwasman,246,,
Gila,U.S. House,1,REP,Andy Tobin,368,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,1247,,
Graham,U.S. House,1,REP,Gary Kiehne,1487,,
Graham,U.S. House,1,REP,Adam Kwasman,657,,
Graham,U.S. House,1,REP,Andy Tobin,1003,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,675,,
Greenlee,U.S. House,1,REP,Gary Kiehne,287,,
Greenlee,U.S. House,1,REP,Adam Kwasman,69,,
Greenlee,U.S. House,1,REP,Andy Tobin,126,,
Maricopa,U.S. House,1,DEM,Ann Kirkpatrick,55,,
Maricopa,U.S. House,1,REP,Gary Kiehne,2,,
Maricopa,U.S. House,1,REP,Adam Kwasman,0,,
Maricopa,U.S. House,1,REP,Andy Tobin,4,,
Mohave,U.S. House,1,DEM,Ann Kirkpatrick,16,,
Mohave,U.S. House,1,REP,Gary Kiehne,18,,
Mohave,U.S. House,1,REP,Adam Kwasman,4,,
Mohave,U.S. House,1,REP,Andy Tobin,8,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,7614,,
Navajo,U.S. House,1,REP,Gary Kiehne,3205,,
Navajo,U.S. House,1,REP,Adam Kwasman,1611,,
Navajo,U.S. House,1,REP,Andy Tobin,3080,,
Pima,U.S. House,1,DEM,Ann Kirkpatrick,6361,,
Pima,U.S. House,1,REP,Gary Kiehne,3279,,
Pima,U.S. House,1,REP,Adam Kwasman,5756,,
Pima,U.S. House,1,REP,Andy Tobin,3540,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,8847,,
Pinal,U.S. House,1,REP,Gary Kiehne,4172,,
Pinal,U.S. House,1,REP,Adam Kwasman,3902,,
Pinal,U.S. House,1,REP,Andy Tobin,4314,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,1917,,
Yavapai,U.S. House,1,REP,Gary Kiehne,921,,
Yavapai,U.S. House,1,REP,Adam Kwasman,805,,
Yavapai,U.S. House,1,REP,Andy Tobin,1758,,
,U.S. House,1,DEM,Ann Kirkpatrick,51393,TRUE,
,U.S. House,1,REP,Gary Kiehne,18407,,
,U.S. House,1,REP,Adam Kwasman,15266,,
,U.S. House,1,REP,Andy Tobin,18814,TRUE,
Cochise,U.S. House,2,DEM,Ron Barber,7199,,
Cochise,U.S. House,2,REP,Shelley Kais,948,,
