county,office,district,party,candidate,votes,winner,write-in
Apache,Attorney General,,DEM,Felecia Rotellini,14549,,
Apache,Attorney General,,NONE,Anthony Camboni,11,,TRUE
Apache,Attorney General,,REP,Mark Brnovich,5901,,
Cochise,Attorney General,,DEM,Felecia Rotellini,15548,,
Cochise,Attorney General,,NONE,Anthony Camboni,3,,TRUE
Cochise,Attorney General,,REP,Mark Brnovich,20066,,
Coconino,Attorney General,,DEM,Felecia Rotellini,21733,,
Coconino,Attorney General,,NONE,Anthony Camboni,17,,TRUE
Coconino,Attorney General,,REP,Mark Brnovich,14360,,
Gila,Attorney General,,DEM,Felecia Rotellini,6241,,
Gila,Attorney General,,NONE,Anthony Camboni,13,,TRUE
Gila,Attorney General,,REP,Mark Brnovich,9203,,
Graham,Attorney General,,DEM,Felecia Rotellini,2403,,
Graham,Attorney General,,NONE,Anthony Camboni,0,,TRUE
Graham,Attorney General,,REP,Mark Brnovich,4731,,
Greenlee,Attorney General,,DEM,Felecia Rotellini,916,,
Greenlee,Attorney General,,NONE,Anthony Camboni,1,,TRUE
Greenlee,Attorney General,,REP,Mark Brnovich,965,,
La Paz,Attorney General,,DEM,Felecia Rotellini,1075,,
La Paz,Attorney General,,NONE,Anthony Camboni,0,,TRUE
La Paz,Attorney General,,REP,Mark Brnovich,2327,,
Maricopa,Attorney General,,DEM,Felecia Rotellini,385096,,
Maricopa,Attorney General,,NONE,Anthony Camboni,127,,TRUE
Maricopa,Attorney General,,REP,Mark Brnovich,457696,,
Mohave,Attorney General,,DEM,Felecia Rotellini,13234,,
Mohave,Attorney General,,NONE,Anthony Camboni,5,,TRUE
Mohave,Attorney General,,REP,Mark Brnovich,31900,,
Navajo,Attorney General,,DEM,Felecia Rotellini,13463,,
Navajo,Attorney General,,NONE,Anthony Camboni,1,,TRUE
Navajo,Attorney General,,REP,Mark Brnovich,13483,,
Pima,Attorney General,,DEM,Felecia Rotellini,148243,,
Pima,Attorney General,,NONE,Anthony Camboni,51,,TRUE
Pima,Attorney General,,REP,Mark Brnovich,117418,,
Pinal,Attorney General,,DEM,Felecia Rotellini,29887,,
Pinal,Attorney General,,NONE,Anthony Camboni,16,,TRUE
Pinal,Attorney General,,REP,Mark Brnovich,40246,,
Santa Cruz,Attorney General,,DEM,Felecia Rotellini,6149,,
Santa Cruz,Attorney General,,NONE,Anthony Camboni,0,,TRUE
Santa Cruz,Attorney General,,REP,Mark Brnovich,3042,,
Yavapai,Attorney General,,DEM,Felecia Rotellini,26123,,
Yavapai,Attorney General,,NONE,Anthony Camboni,14,,TRUE
Yavapai,Attorney General,,REP,Mark Brnovich,46371,,
Yuma,Attorney General,,DEM,Felecia Rotellini,11394,,
Yuma,Attorney General,,NONE,Anthony Camboni,6,,TRUE
Yuma,Attorney General,,REP,Mark Brnovich,14652,,
,Attorney General,,DEM,Felecia Rotellini,696054,,
,Attorney General,,NONE,Anthony Camboni,265,,TRUE
,Attorney General,,REP,Mark Brnovich,782361,TRUE,
Apache,Corporation Commissioner,,DEM,Jim Holway,8366,,
Apache,Corporation Commissioner,,DEM,Sandra Kennedy,12466,,
Apache,Corporation Commissioner,,IND,Joe Hui,13,,TRUE
Apache,Corporation Commissioner,,REP,Tom Forese,4958,,
Apache,Corporation Commissioner,,REP,Doug Little,5085,,
Cochise,Corporation Commissioner,,DEM,Jim Holway,11337,,
Cochise,Corporation Commissioner,,DEM,Sandra Kennedy,12292,,
Cochise,Corporation Commissioner,,IND,Joe Hui,4,,TRUE
Cochise,Corporation Commissioner,,REP,Tom Forese,19501,,
Cochise,Corporation Commissioner,,REP,Doug Little,19985,,
Coconino,Corporation Commissioner,,DEM,Jim Holway,17104,,
Coconino,Corporation Commissioner,,DEM,Sandra Kennedy,19035,,
Coconino,Corporation Commissioner,,IND,Joe Hui,23,,TRUE
Coconino,Corporation Commissioner,,REP,Tom Forese,13069,,
Coconino,Corporation Commissioner,,REP,Doug Little,13623,,
Gila,Corporation Commissioner,,DEM,Jim Holway,5183,,
Gila,Corporation Commissioner,,DEM,Sandra Kennedy,5303,,
Gila,Corporation Commissioner,,IND,Joe Hui,20,,TRUE
Gila,Corporation Commissioner,,REP,Tom Forese,8477,,
Gila,Corporation Commissioner,,REP,Doug Little,8895,,
Graham,Corporation Commissioner,,DEM,Jim Holway,1868,,
Graham,Corporation Commissioner,,DEM,Sandra Kennedy,1954,,
Graham,Corporation Commissioner,,IND,Joe Hui,0,,TRUE
Graham,Corporation Commissioner,,REP,Tom Forese,4515,,
Graham,Corporation Commissioner,,REP,Doug Little,4558,,
Greenlee,Corporation Commissioner,,DEM,Jim Holway,730,,
Greenlee,Corporation Commissioner,,DEM,Sandra Kennedy,773,,
Greenlee,Corporation Commissioner,,IND,Joe Hui,1,,TRUE
Greenlee,Corporation Commissioner,,REP,Tom Forese,846,,
Greenlee,Corporation Commissioner,,REP,Doug Little,896,,
La Paz,Corporation Commissioner,,DEM,Jim Holway,794,,
La Paz,Corporation Commissioner,,DEM,Sandra Kennedy,902,,
La Paz,Corporation Commissioner,,IND,Joe Hui,3,,TRUE
La Paz,Corporation Commissioner,,REP,Tom Forese,2134,,
La Paz,Corporation Commissioner,,REP,Doug Little,2187,,
Maricopa,Corporation Commissioner,,DEM,Jim Holway,316898,,
Maricopa,Corporation Commissioner,,DEM,Sandra Kennedy,314447,,
Maricopa,Corporation Commissioner,,IND,Joe Hui,310,,TRUE
Maricopa,Corporation Commissioner,,REP,Tom Forese,453997,,
Maricopa,Corporation Commissioner,,REP,Doug Little,450896,,
Mohave,Corporation Commissioner,,DEM,Jim Holway,9552,,
Mohave,Corporation Commissioner,,DEM,Sandra Kennedy,10798,,
Mohave,Corporation Commissioner,,IND,Joe Hui,7,,TRUE
Mohave,Corporation Commissioner,,REP,Tom Forese,29551,,
Mohave,Corporation Commissioner,,REP,Doug Little,30375,,
Navajo,Corporation Commissioner,,DEM,Jim Holway,9178,,
Navajo,Corporation Commissioner,,DEM,Sandra Kennedy,11125,,
Navajo,Corporation Commissioner,,IND,Joe Hui,4,,TRUE
Navajo,Corporation Commissioner,,REP,Tom Forese,12740,,
Navajo,Corporation Commissioner,,REP,Doug Little,12854,,
Pima,Corporation Commissioner,,DEM,Jim Holway,119120,,
Pima,Corporation Commissioner,,DEM,Sandra Kennedy,123122,,
Pima,Corporation Commissioner,,IND,Joe Hui,81,,TRUE
Pima,Corporation Commissioner,,REP,Tom Forese,115090,,
Pima,Corporation Commissioner,,REP,Doug Little,118760,,
Pinal,Corporation Commissioner,,DEM,Jim Holway,23742,,
Pinal,Corporation Commissioner,,DEM,Sandra Kennedy,25194,,
Pinal,Corporation Commissioner,,IND,Joe Hui,23,,TRUE
Pinal,Corporation Commissioner,,REP,Tom Forese,37782,,
Pinal,Corporation Commissioner,,REP,Doug Little,38975,,
Santa Cruz,Corporation Commissioner,,DEM,Jim Holway,4405,,
Santa Cruz,Corporation Commissioner,,DEM,Sandra Kennedy,5495,,
Santa Cruz,Corporation Commissioner,,IND,Joe Hui,0,,TRUE
Santa Cruz,Corporation Commissioner,,REP,Tom Forese,2719,,
Santa Cruz,Corporation Commissioner,,REP,Doug Little,2878,,
Yavapai,Corporation Commissioner,,DEM,Jim Holway,21725,,
Yavapai,Corporation Commissioner,,DEM,Sandra Kennedy,22636,,
Yavapai,Corporation Commissioner,,IND,Joe Hui,32,,TRUE
Yavapai,Corporation Commissioner,,REP,Tom Forese,43313,,
Yavapai,Corporation Commissioner,,REP,Doug Little,43593,,
Yuma,Corporation Commissioner,,DEM,Jim Holway,7961,,
Yuma,Corporation Commissioner,,DEM,Sandra Kennedy,10940,,
Yuma,Corporation Commissioner,,IND,Joe Hui,8,,TRUE
Yuma,Corporation Commissioner,,REP,Tom Forese,13223,,
Yuma,Corporation Commissioner,,REP,Doug Little,13304,,
,Corporation Commissioner,,DEM,Jim Holway,557963,,
,Corporation Commissioner,,DEM,Sandra Kennedy,576482,,
,Corporation Commissioner,,IND,Joe Hui,529,,TRUE
,Corporation Commissioner,,REP,Tom Forese,761915,TRUE,
,Corporation Commissioner,,REP,Doug Little,766864,TRUE,
Apache,Governor,,AEL,John Lewis Mealer,458,,
Apache,Governor,,DEM,Fred DuVal,13562,,
