county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Jim Pederson,11402,,,
Cochise,U.S. Senate,,DEM,Jim Pederson,14849,,,
Coconino,U.S. Senate,,DEM,Jim Pederson,20610,,,
Gila,U.S. Senate,,DEM,Jim Pederson,6643,,,
Graham,U.S. Senate,,DEM,Jim Pederson,2194,,,
Greenlee,U.S. Senate,,DEM,Jim Pederson,942,,,
La Paz,U.S. Senate,,DEM,Jim Pederson,1457,,,
Maricopa,U.S. Senate,,DEM,Jim Pederson,364661,,,
Mohave,U.S. Senate,,DEM,Jim Pederson,16998,,,
Navajo,U.S. Senate,,DEM,Jim Pederson,11785,,,
Pima,U.S. Senate,,DEM,Jim Pederson,144275,,,
Pinal,U.S. Senate,,DEM,Jim Pederson,24790,,,
Santa Cruz,U.S. Senate,,DEM,Jim Pederson,4892,,,
Yavapai,U.S. Senate,,DEM,Jim Pederson,26340,,,
Yuma,U.S. Senate,,DEM,Jim Pederson,12303,,,
,U.S. Senate,,DEM,Jim Pederson,664141,,,
Apache,U.S. Senate,,LBT,Richard Mack,831,,,
Cochise,U.S. Senate,,LBT,Richard Mack,1302,,,
Coconino,U.S. Senate,,LBT,Richard Mack,1448,,,
Gila,U.S. Senate,,LBT,Richard Mack,533,,,
Graham,U.S. Senate,,LBT,Richard Mack,516,,,
Greenlee,U.S. Senate,,LBT,Richard Mack,119,,,
La Paz,U.S. Senate,,LBT,Richard Mack,173,,,
Maricopa,U.S. Senate,,LBT,Richard Mack,26733,,,
Mohave,U.S. Senate,,LBT,Richard Mack,1981,,,
Navajo,U.S. Senate,,LBT,Richard Mack,951,,,
Pima,U.S. Senate,,LBT,Richard Mack,7936,,,
Pinal,U.S. Senate,,LBT,Richard Mack,1836,,,
Santa Cruz,U.S. Senate,,LBT,Richard Mack,197,,,
Yavapai,U.S. Senate,,LBT,Richard Mack,2849,,,
Yuma,U.S. Senate,,LBT,Richard Mack,826,,,
,U.S. Senate,,LBT,Richard Mack,48231,,,
Apache,U.S. Senate,,REP,Jon Kyl,6530,,,
Cochise,U.S. Senate,,REP,Jon Kyl,20194,,,
Coconino,U.S. Senate,,REP,Jon Kyl,16003,,,
Gila,U.S. Senate,,REP,Jon Kyl,9512,,,
Graham,U.S. Senate,,REP,Jon Kyl,5127,,,
Greenlee,U.S. Senate,,REP,Jon Kyl,1068,,,
La Paz,U.S. Senate,,REP,Jon Kyl,2203,,,
Maricopa,U.S. Senate,,REP,Jon Kyl,491721,,,
Mohave,U.S. Senate,,REP,Jon Kyl,26964,,,
Navajo,U.S. Senate,,REP,Jon Kyl,13927,,,
Pima,U.S. Senate,,REP,Jon Kyl,128987,,,
