county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Jim Pederson,3997,,,
Cochise,U.S. Senate,,DEM,Jim Pederson,8527,,,
Coconino,U.S. Senate,,DEM,Jim Pederson,7273,,,
Gila,U.S. Senate,,DEM,Jim Pederson,3356,,,
Graham,U.S. Senate,,DEM,Jim Pederson,1235,,,
Greenlee,U.S. Senate,,DEM,Jim Pederson,793,,,
La Paz,U.S. Senate,,DEM,Jim Pederson,601,,,
Maricopa,U.S. Senate,,DEM,Jim Pederson,91631,,,
Mohave,U.S. Senate,,DEM,Jim Pederson,5715,,,
Navajo,U.S. Senate,,DEM,Jim Pederson,5128,,,
Pima,U.S. Senate,,DEM,Jim Pederson,60270,,,
Pinal,U.S. Senate,,DEM,Jim Pederson,10352,,,
Santa Cruz,U.S. Senate,,DEM,Jim Pederson,2068,,,
Yavapai,U.S. Senate,,DEM,Jim Pederson,8351,,,
Yuma,U.S. Senate,,DEM,Jim Pederson,5158,,,
,U.S. Senate,,DEM,Jim Pederson,214455,True,,
Apache,U.S. Senate,,LBT,Richard Mack,49,,,
Cochise,U.S. Senate,,LBT,Richard Mack,134,,,
Coconino,U.S. Senate,,LBT,Richard Mack,151,,,
Gila,U.S. Senate,,LBT,Richard Mack,46,,,
Graham,U.S. Senate,,LBT,Richard Mack,18,,,
Greenlee,U.S. Senate,,LBT,Richard Mack,0,,,
La Paz,U.S. Senate,,LBT,Richard Mack,25,,,
Maricopa,U.S. Senate,,LBT,Richard Mack,1601,,,
Mohave,U.S. Senate,,LBT,Richard Mack,195,,,
Navajo,U.S. Senate,,LBT,Richard Mack,86,,,
Pima,U.S. Senate,,LBT,Richard Mack,544,,,
Pinal,U.S. Senate,,LBT,Richard Mack,150,,,
Santa Cruz,U.S. Senate,,LBT,Richard Mack,17,,,
Yavapai,U.S. Senate,,LBT,Richard Mack,209,,,
Yuma,U.S. Senate,,LBT,Richard Mack,86,,,
,U.S. Senate,,LBT,Richard Mack,3311,True,,
Apache,U.S. Senate,,REP,Michael Aloisi,7,,True,
Cochise,U.S. Senate,,REP,Michael Aloisi,7,,True,
Coconino,U.S. Senate,,REP,Michael Aloisi,5,,True,
Gila,U.S. Senate,,REP,Michael Aloisi,2,,True,
Graham,U.S. Senate,,REP,Michael Aloisi,0,,True,
Greenlee,U.S. Senate,,REP,Michael Aloisi,0,,True,
La Paz,U.S. Senate,,REP,Michael Aloisi,0,,True,
Maricopa,U.S. Senate,,REP,Michael Aloisi,93,,True,
Mohave,U.S. Senate,,REP,Michael Aloisi,5,,True,
Navajo,U.S. Senate,,REP,Michael Aloisi,3,,True,
Pima,U.S. Senate,,REP,Michael Aloisi,16,,True,
Pinal,U.S. Senate,,REP,Michael Aloisi,0,,True,
Santa Cruz,U.S. Senate,,REP,Michael Aloisi,3,,True,
Yavapai,U.S. Senate,,REP,Michael Aloisi,8,,True,
Yuma,U.S. Senate,,REP,Michael Aloisi,6,,True,
,U.S. Senate,,REP,Michael Aloisi,155,,True,
Apache,U.S. Senate,,REP,Jon Kyl,1351,,,
Cochise,U.S. Senate,,REP,Jon Kyl,9462,,,
Coconino,U.S. Senate,,REP,Jon Kyl,5455,,,
Gila,U.S. Senate,,REP,Jon Kyl,3960,,,
Graham,U.S. Senate,,REP,Jon Kyl,1451,,,
Greenlee,U.S. Senate,,REP,Jon Kyl,252,,,
La Paz,U.S. Senate,,REP,Jon Kyl,925,,,
Maricopa,U.S. Senate,,REP,Jon Kyl,168607,,,
Mohave,U.S. Senate,,REP,Jon Kyl,12154,,,
Navajo,U.S. Senate,,REP,Jon Kyl,4622,,,
Pima,U.S. Senate,,REP,Jon Kyl,53899,,,
Pinal,U.S. Senate,,REP,Jon Kyl,9354,,,
Santa Cruz,U.S. Senate,,REP,Jon Kyl,1056,,,
Yavapai,U.S. Senate,,REP,Jon Kyl,19004,,,
Yuma,U.S. Senate,,REP,Jon Kyl,6084,,,
,U.S. Senate,,REP,Jon Kyl,297636,True,,
Apache,U.S. House,1,DEM,Mike Caccioppoli,343,,,
Coconino,U.S. House,1,DEM,Mike Caccioppoli,872,,,
Gila,U.S. House,1,DEM,Mike Caccioppoli,316,,,
Graham,U.S. House,1,DEM,Mike Caccioppoli,147,,,
Greenlee,U.S. House,1,DEM,Mike Caccioppoli,124,,,
Navajo,U.S. House,1,DEM,Mike Caccioppoli,525,,,
Pinal,U.S. House,1,DEM,Mike Caccioppoli,612,,,
Yavapai,U.S. House,1,DEM,Mike Caccioppoli,696,,,
,U.S. House,1,DEM,Mike Caccioppoli,3635,,,
Apache,U.S. House,1,DEM,Bob Donahue,751,,,
Coconino,U.S. House,1,DEM,Bob Donahue,900,,,
Gila,U.S. House,1,DEM,Bob Donahue,527,,,
Graham,U.S. House,1,DEM,Bob Donahue,348,,,
Greenlee,U.S. House,1,DEM,Bob Donahue,151,,,
Navajo,U.S. House,1,DEM,Bob Donahue,856,,,
Pinal,U.S. House,1,DEM,Bob Donahue,1247,,,
Yavapai,U.S. House,1,DEM,Bob Donahue,1147,,,
,U.S. House,1,DEM,Bob Donahue,5927,,,
Apache,U.S. House,1,DEM,Susan Friedman,954,,,
Coconino,U.S. House,1,DEM,Susan Friedman,1075,,,
Gila,U.S. House,1,DEM,Susan Friedman,610,,,
Graham,U.S. House,1,DEM,Susan Friedman,237,,,
Greenlee,U.S. House,1,DEM,Susan Friedman,179,,,
Navajo,U.S. House,1,DEM,Susan Friedman,1064,,,
Pinal,U.S. House,1,DEM,Susan Friedman,1463,,,
Yavapai,U.S. House,1,DEM,Susan Friedman,1480,,,
,U.S. House,1,DEM,Susan Friedman,7062,,,
Apache,U.S. House,1,DEM,Vic McKerlie,178,,,
Coconino,U.S. House,1,DEM,Vic McKerlie,228,,,
Gila,U.S. House,1,DEM,Vic McKerlie,93,,,
Graham,U.S. House,1,DEM,Vic McKerlie,48,,,
Greenlee,U.S. House,1,DEM,Vic McKerlie,40,,,
Navajo,U.S. House,1,DEM,Vic McKerlie,237,,,
Pinal,U.S. House,1,DEM,Vic McKerlie,174,,,
Yavapai,U.S. House,1,DEM,Vic McKerlie,514,,,
,U.S. House,1,DEM,Vic McKerlie,1512,,,
Apache,U.S. House,1,DEM,Ellen Simon,2076,,,
Coconino,U.S. House,1,DEM,Ellen Simon,4631,,,
Gila,U.S. House,1,DEM,Ellen Simon,2054,,,
Graham,U.S. House,1,DEM,Ellen Simon,650,,,
Greenlee,U.S. House,1,DEM,Ellen Simon,379,,,
Navajo,U.S. House,1,DEM,Ellen Simon,2705,,,
Pinal,U.S. House,1,DEM,Ellen Simon,3023,,,
Yavapai,U.S. House,1,DEM,Ellen Simon,4755,,,
,U.S. House,1,DEM,Ellen Simon,20273,True,,
Apache,U.S. House,1,LBT,David Schlosser,44,,,
Coconino,U.S. House,1,LBT,David Schlosser,147,,,
Gila,U.S. House,1,LBT,David Schlosser,46,,,
Graham,U.S. House,1,LBT,David Schlosser,18,,,
Greenlee,U.S. House,1,LBT,David Schlosser,0,,,
Navajo,U.S. House,1,LBT,David Schlosser,84,,,
Pinal,U.S. House,1,LBT,David Schlosser,72,,,
Yavapai,U.S. House,1,LBT,David Schlosser,195,,,
,U.S. House,1,LBT,David Schlosser,606,True,,
Apache,U.S. House,1,REP,Rick Renzi,1376,,,
Coconino,U.S. House,1,REP,Rick Renzi,5173,,,
Gila,U.S. House,1,REP,Rick Renzi,3830,,,
Graham,U.S. House,1,REP,Rick Renzi,1468,,,
Greenlee,U.S. House,1,REP,Rick Renzi,254,,,
Navajo,U.S. House,1,REP,Rick Renzi,4462,,,
Pinal,U.S. House,1,REP,Rick Renzi,2991,,,
Yavapai,U.S. House,1,REP,Rick Renzi,18110,,,
,U.S. House,1,REP,Rick Renzi,37664,True,,
Coconino,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",9,,,
La Paz,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",0,,,
Maricopa,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",3619,,,
Mohave,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",1007,,,
Navajo,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",32,,,
Yavapai,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",0,,,
,U.S. House,2,DEM,"Suchindran ""Chat"" Chatterjee",4667,,,
Coconino,U.S. House,2,DEM,Gene Scharer,34,,,
La Paz,U.S. House,2,DEM,Gene Scharer,0,,,
Maricopa,U.S. House,2,DEM,Gene Scharer,6683,,,
Mohave,U.S. House,2,DEM,Gene Scharer,1687,,,
Navajo,U.S. House,2,DEM,Gene Scharer,58,,,
Yavapai,U.S. House,2,DEM,Gene Scharer,0,,,
,U.S. House,2,DEM,Gene Scharer,8462,,,
Coconino,U.S. House,2,DEM,John Thrasher,30,,,
La Paz,U.S. House,2,DEM,John Thrasher,0,,,
