county,precinct,office,district,party,candidate,votes,election_day,early_voting,late_early_voting,provisional
Navajo,01 RED BUTTE,Registered Voters,,,,12793,,,,
Navajo,01 RED BUTTE,Ballots Cast,,,,7858,2145,5017,679,17
Navajo,01 RED BUTTE,Ballots Cast - Blank,,,,1,1,0,0,0
Navajo,01 RED BUTTE,President,,REP,"TRUMP, PENCE",1044,406,542,93,3
Navajo,01 RED BUTTE,President,,DEM,"BIDEN, HARRIS",6500,1665,4264,558,13
Navajo,01 RED BUTTE,President,,LBT,"JORGENSEN, COHEN",116,28,73,15,0
Navajo,01 RED BUTTE,President,,,Write-In Totals,26,11,14,1,0
Navajo,01 RED BUTTE,President,,,Overvotes,137,26,101,9,1
Navajo,01 RED BUTTE,President,,,Undervotes,35,9,23,3,0
Navajo,01 RED BUTTE,U.S. Senate,,REP,"MCSALLY, MARTHA",1084,404,587,91,2
Navajo,01 RED BUTTE,U.S. Senate,,DEM,"KELLY, MARK",6602,1694,4316,577,15
Navajo,01 RED BUTTE,U.S. Senate,,,Write-In Totals,31,4,26,1,0
Navajo,01 RED BUTTE,U.S. Senate,,,Overvotes,9,3,5,1,0
Navajo,01 RED BUTTE,U.S. Senate,,,Undervotes,132,40,83,9,0
Navajo,01 RED BUTTE,U.S. House,1,REP,"SHEDD, TIFFANY",1160,494,563,100,3
Navajo,01 RED BUTTE,U.S. House,1,DEM,"O'HALLERAN, TOM",6465,1582,4304,565,14
Navajo,01 RED BUTTE,U.S. House,1,,Write-In Totals,29,3,26,0,0
Navajo,01 RED BUTTE,U.S. House,1,,Overvotes,7,2,4,1,0
Navajo,01 RED BUTTE,U.S. House,1,,Undervotes,197,64,120,13,0
Navajo,01 RED BUTTE,State Senate,7,DEM,"PESHLAKAI, JAMESCITA",7117,1883,4599,618,17
Navajo,01 RED BUTTE,State Senate,7,,Write-In Totals,93,39,48,6,0
Navajo,01 RED BUTTE,State Senate,7,,Overvotes,2,1,1,0,0
Navajo,01 RED BUTTE,State Senate,7,,Undervotes,646,222,369,55,0
Navajo,01 RED BUTTE,State House,7,REP,"PARKS, JAMES ""JIM""	687",279,356,51,1,
