,precinct_id,precinct_name,,contest,contest_name,,,,,,,,choice,choice_name,,,party,candidate_party,vote_type_id,vote_type,,vote_total
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999999,Number of Precincts,,0,NP,,10,Polling,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999999,Number of Precincts,,0,NP,,20,Early Voting,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999999,Number of Precincts,,0,NP,,30,Central Count,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999999,Number of Precincts,,0,NP,,999999,Total,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,10,Polling,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,20,Early Voting,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,30,Central Count,,1,
,51,051 PARKER,,999999,Race Statistics,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,999999,Total,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999999,Number of Precincts for Race,,0,NP,,10,Polling,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999999,Number of Precincts for Race,,0,NP,,20,Early Voting,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999999,Number of Precincts for Race,,0,NP,,30,Central Count,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999999,Number of Precincts for Race,,0,NP,,999999,Total,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,10,Polling,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,20,Early Voting,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,30,Central Count,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999998,Number of Precincts Reporting,,0,NP,,999999,Total,,1,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999997,Registered Voters,,0,NP,,10,Polling,,0,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999997,Registered Voters,,0,NP,,20,Early Voting,,0,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999997,Registered Voters,,0,NP,,30,Central Count,,0,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999997,Registered Voters,,0,NP,,999999,Total,,3012,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999996,Times Counted,,0,NP,,10,Polling,,750,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999996,Times Counted,,0,NP,,20,Early Voting,,799,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999996,Times Counted,,0,NP,,30,Central Count,,311,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999996,Times Counted,,0,NP,,999999,Total,,1860,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999995,Times Blank Voted,,0,NP,,10,Polling,,13,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999995,Times Blank Voted,,0,NP,,20,Early Voting,,16,
,51,051 PARKER,,100,Presidential Electors,,0,NP,,0,NP,,999995,Times Blank Voted,,0,NP,,30,Central Count,,4,
