contest,choice,precinct_id,vote_total,polling_place_votes,early_votes,provisional_votes,polling_place_votes_ds200,early_votes_ds200,party_name,contest_name,choice_name,precinct_name,votes_allowed,referendum_flag
000,00,000,00062,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 1,0, 
000,00,000,00156,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 2,0, 
000,00,000,00088,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 3,0, 
000,00,000,00045,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 4,0, 
000,00,000,00110,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Coronado 5,0, 
000,00,000,00059,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Elgin 6,0, 
000,00,000,00313,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Rio Rico 7,0, 
000,00,000,00214,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 8,0, 
000,00,000,00034,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 9,0, 
000,00,001,00106,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 10,0, 
000,00,001,00161,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Tubac 11,0, 
000,00,001,00064,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Nogales 12,0, 
000,00,001,00039,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Santa Cruz 13,0, 
000,00,001,00086,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Patagonia 14,0, 
000,00,001,00083,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,Sonoita 15,0, 
