contest,choice,precinct_id,vote_total,polling_place_votes,early_votes,late_early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct_name,votes_allowed,referendum_flag
000,00,000,01220,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,RED BUTTE,0, 
000,00,000,00154,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,PAINTED DESERT,0, 
000,00,000,00024,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,HUBBELL,0, 
000,00,000,00880,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,BLACK BUTTES,0, 
000,00,000,00197,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,CEDAR VALLEY,0, 
000,00,000,00080,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,STONE BUTTE,0, 
000,00,000,00742,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,PIONEER,0, 
000,00,000,00364,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,ANTELOPE,0, 
000,00,000,00151,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,JUNIPER,0, 
000,00,001,00095,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,BISON,0, 
000,00,001,00276,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,MOGOLLON,0, 
000,00,001,00123,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,WOODLAND,0, 
000,00,001,00851,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,SITGREAVES,0, 
000,00,001,01232,00000,00000,00000,00000,00000,,Registered Voters,REGISTERED VOTERS - TOTAL,SUNRISE,0, 
000,00,000,00602,00387,00191,00020,00003,00000,,Ballots Cast,BALLOTS CAST - TOTAL,RED BUTTE,0, 
000,00,000,00089,00060,00025,00003,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,PAINTED DESERT,0, 
000,00,000,00017,00006,00008,00002,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,HUBBELL,0, 
000,00,000,00511,00248,00221,00033,00008,00000,,Ballots Cast,BALLOTS CAST - TOTAL,BLACK BUTTES,0, 
000,00,000,00114,00075,00032,00004,00002,00000,,Ballots Cast,BALLOTS CAST - TOTAL,CEDAR VALLEY,0, 
000,00,000,00040,00031,00006,00001,00001,00000,,Ballots Cast,BALLOTS CAST - TOTAL,STONE BUTTE,0, 
000,00,000,00561,00231,00258,00065,00005,00000,,Ballots Cast,BALLOTS CAST - TOTAL,PIONEER,0, 
000,00,000,00255,00115,00117,00020,00003,00000,,Ballots Cast,BALLOTS CAST - TOTAL,ANTELOPE,0, 
000,00,000,00112,00035,00070,00005,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,JUNIPER,0, 
000,00,001,00076,00031,00036,00008,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,BISON,0, 
000,00,001,00218,00056,00140,00020,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,MOGOLLON,0, 
000,00,001,00090,00029,00051,00009,00000,00000,,Ballots Cast,BALLOTS CAST - TOTAL,WOODLAND,0, 
000,00,001,00653,00181,00417,00053,00002,00000,,Ballots Cast,BALLOTS CAST - TOTAL,SITGREAVES,0, 
000,00,001,00784,00336,00382,00055,00009,00000,,Ballots Cast,BALLOTS CAST - TOTAL,SUNRISE,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,RED BUTTE,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,PAINTED DESERT,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,HUBBELL,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,BLACK BUTTES,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,CEDAR VALLEY,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,STONE BUTTE,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,PIONEER,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,ANTELOPE,0, 
000,00,000,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,JUNIPER,0, 
000,00,001,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,BISON,0, 
000,00,001,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,MOGOLLON,0, 
000,00,001,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,WOODLAND,0, 
000,00,001,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,SITGREAVES,0, 
000,00,001,00000,00000,00000,00000,00000,00000,,Blank Ballots Cast,BALLOTS CAST - BLANK,SUNRISE,0, 
010,00,000,00059,00038,00018,00002,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",RED BUTTE,0, 
010,00,000,00015,00007,00006,00001,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",PAINTED DESERT,0, 
010,00,000,00011,00004,00004,00001,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",HUBBELL,0, 
010,00,000,00132,00055,00061,00013,00002,00000,REP,Presidential Electors,"TRUMP, PENCE",BLACK BUTTES,0, 
010,00,000,00010,00007,00002,00000,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",CEDAR VALLEY,0, 
010,00,000,00002,00001,00000,00000,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",STONE BUTTE,0, 
010,00,000,00460,00196,00203,00055,00004,00000,REP,Presidential Electors,"TRUMP, PENCE",PIONEER,0, 
010,00,000,00150,00071,00065,00011,00001,00000,REP,Presidential Electors,"TRUMP, PENCE",ANTELOPE,0, 
010,00,000,00085,00029,00051,00003,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",JUNIPER,0, 
010,00,001,00059,00026,00026,00006,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",BISON,0, 
010,00,001,00161,00046,00100,00014,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",MOGOLLON,0, 
010,00,001,00066,00023,00035,00007,00000,00000,REP,Presidential Electors,"TRUMP, PENCE",WOODLAND,0, 
010,00,001,00480,00146,00292,00040,00001,00000,REP,Presidential Electors,"TRUMP, PENCE",SITGREAVES,0, 
010,00,001,00361,00106,00219,00032,00002,00000,REP,Presidential Electors,"TRUMP, PENCE",SUNRISE,0, 
010,00,000,00445,00283,00144,00015,00002,00000,DEM,Presidential Electors,"CLINTON, KAINE",RED BUTTE,0, 
010,00,000,00062,00044,00015,00002,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",PAINTED DESERT,0, 
010,00,000,00004,00001,00003,00000,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",HUBBELL,0, 
010,00,000,00318,00159,00139,00014,00005,00000,DEM,Presidential Electors,"CLINTON, KAINE",BLACK BUTTES,0, 
010,00,000,00089,00058,00026,00002,00001,00000,DEM,Presidential Electors,"CLINTON, KAINE",CEDAR VALLEY,0, 
010,00,000,00030,00023,00004,00001,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",STONE BUTTE,0, 
010,00,000,00051,00016,00031,00003,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",PIONEER,0, 
010,00,000,00070,00028,00036,00005,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",ANTELOPE,0, 
010,00,000,00019,00004,00014,00001,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",JUNIPER,0, 
010,00,001,00010,00002,00007,00001,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",BISON,0, 
010,00,001,00041,00006,00031,00003,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",MOGOLLON,0, 
010,00,001,00017,00003,00012,00001,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",WOODLAND,0, 
010,00,001,00123,00022,00093,00006,00000,00000,DEM,Presidential Electors,"CLINTON, KAINE",SITGREAVES,0, 
010,00,001,00360,00202,00136,00015,00006,00000,DEM,Presidential Electors,"CLINTON, KAINE",SUNRISE,0, 
010,00,000,00027,00017,00009,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",RED BUTTE,0, 
010,00,000,00003,00002,00001,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",PAINTED DESERT,0, 
010,00,000,00000,00000,00000,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",HUBBELL,0, 
010,00,000,00017,00009,00005,00001,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",BLACK BUTTES,0, 
010,00,000,00002,00001,00000,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",CEDAR VALLEY,0, 
010,00,000,00000,00000,00000,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",STONE BUTTE,0, 
010,00,000,00016,00007,00007,00001,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",PIONEER,0, 
010,00,000,00011,00005,00005,00001,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",ANTELOPE,0, 
010,00,000,00003,00001,00001,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",JUNIPER,0, 
010,00,001,00001,00000,00001,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",BISON,0, 
010,00,001,00007,00001,00004,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",MOGOLLON,0, 
010,00,001,00003,00001,00000,00000,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",WOODLAND,0, 
010,00,001,00021,00005,00013,00002,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",SITGREAVES,0, 
010,00,001,00023,00008,00010,00003,00000,00000,LBT,Presidential Electors,"JOHNSON, WELD",SUNRISE,0, 
010,00,000,00018,00013,00005,00000,00000,00000,GRN,Presidential Electors,"STEIN, BARAKA",RED BUTTE,0, 
010,00,000,00002,00001,00000,00000,00000,00000,GRN,Presidential Electors,"STEIN, BARAKA",PAINTED DESERT,0, 
