county,precinct,office,district,candidate,party,votes
La Paz,051 Parker,U.S. Senate,,Blake Masters,REP,629
La Paz,052 Poston,U.S. Senate,,Blake Masters,REP,52
La Paz,054 Upriver,U.S. Senate,,Blake Masters,REP,858
La Paz,055 Bouse,U.S. Senate,,Blake Masters,REP,280
La Paz,056 Wenden,U.S. Senate,,Blake Masters,REP,64
La Paz,057 Salome,U.S. Senate,,Blake Masters,REP,509
La Paz,058 Quartzsite Two,U.S. Senate,,Blake Masters,REP,561
La Paz,059 Cibola,U.S. Senate,,Blake Masters,REP,59
La Paz,060 Ehrenberg,U.S. Senate,,Blake Masters,REP,175
La Paz,062 Vicksburg,U.S. Senate,,Blake Masters,REP,167
La Paz,064 Quartzsite Three,U.S. Senate,,Blake Masters,REP,302
La Paz,051 Parker,U.S. Senate,,Mark Kelly,DEM,631
La Paz,052 Poston,U.S. Senate,,Mark Kelly,DEM,115
La Paz,054 Upriver,U.S. Senate,,Mark Kelly,DEM,260
La Paz,055 Bouse,U.S. Senate,,Mark Kelly,DEM,76
La Paz,056 Wenden,U.S. Senate,,Mark Kelly,DEM,30
La Paz,057 Salome,U.S. Senate,,Mark Kelly,DEM,156
La Paz,058 Quartzsite Two,U.S. Senate,,Mark Kelly,DEM,220
La Paz,059 Cibola,U.S. Senate,,Mark Kelly,DEM,12
La Paz,060 Ehrenberg,U.S. Senate,,Mark Kelly,DEM,36
La Paz,062 Vicksburg,U.S. Senate,,Mark Kelly,DEM,57
La Paz,064 Quartzsite Three,U.S. Senate,,Mark Kelly,DEM,118
La Paz,051 Parker,U.S. Senate,,Marc J. Victor,LBT,51
La Paz,052 Poston,U.S. Senate,,Marc J. Victor,LBT,3
La Paz,054 Upriver,U.S. Senate,,Marc J. Victor,LBT,24
La Paz,055 Bouse,U.S. Senate,,Marc J. Victor,LBT,12
La Paz,056 Wenden,U.S. Senate,,Marc J. Victor,LBT,3
La Paz,057 Salome,U.S. Senate,,Marc J. Victor,LBT,20
La Paz,058 Quartzsite Two,U.S. Senate,,Marc J. Victor,LBT,21
La Paz,059 Cibola,U.S. Senate,,Marc J. Victor,LBT,3
La Paz,060 Ehrenberg,U.S. Senate,,Marc J. Victor,LBT,9
La Paz,062 Vicksburg,U.S. Senate,,Marc J. Victor,LBT,3
La Paz,064 Quartzsite Three,U.S. Senate,,Marc J. Victor,LBT,11
La Paz,051 Parker,U.S. Senate,,Write-ins,,0
La Paz,052 Poston,U.S. Senate,,Write-ins,,1
La Paz,054 Upriver,U.S. Senate,,Write-ins,,0
La Paz,055 Bouse,U.S. Senate,,Write-ins,,0
La Paz,056 Wenden,U.S. Senate,,Write-ins,,1
La Paz,057 Salome,U.S. Senate,,Write-ins,,0
La Paz,058 Quartzsite Two,U.S. Senate,,Write-ins,,2
La Paz,059 Cibola,U.S. Senate,,Write-ins,,0
La Paz,060 Ehrenberg,U.S. Senate,,Write-ins,,2
La Paz,062 Vicksburg,U.S. Senate,,Write-ins,,0
La Paz,064 Quartzsite Three,U.S. Senate,,Write-ins,,0
La Paz,051 Parker,U.S. House,9,Paul Gosar,REP,864
La Paz,052 Poston,U.S. House,9,Paul Gosar,REP,96
La Paz,054 Upriver,U.S. House,9,Paul Gosar,REP,936
La Paz,055 Bouse,U.S. House,9,Paul Gosar,REP,308
La Paz,056 Wenden,U.S. House,9,Paul Gosar,REP,79
La Paz,057 Salome,U.S. House,9,Paul Gosar,REP,552
La Paz,058 Quartzsite Two,U.S. House,9,Paul Gosar,REP,647
La Paz,059 Cibola,U.S. House,9,Paul Gosar,REP,68
La Paz,060 Ehrenberg,U.S. House,9,Paul Gosar,REP,196
La Paz,062 Vicksburg,U.S. House,9,Paul Gosar,REP,178
La Paz,064 Quartzsite Three,U.S. House,9,Paul Gosar,REP,336
La Paz,051 Parker,U.S. House,9,Write-ins,,78
La Paz,052 Poston,U.S. House,9,Write-ins,,17
La Paz,054 Upriver,U.S. House,9,Write-ins,,31
La Paz,055 Bouse,U.S. House,9,Write-ins,,14
La Paz,056 Wenden,U.S. House,9,Write-ins,,2
La Paz,057 Salome,U.S. House,9,Write-ins,,16
La Paz,058 Quartzsite Two,U.S. House,9,Write-ins,,23
La Paz,059 Cibola,U.S. House,9,Write-ins,,1
La Paz,060 Ehrenberg,U.S. House,9,Write-ins,,5
La Paz,062 Vicksburg,U.S. House,9,Write-ins,,9
La Paz,064 Quartzsite Three,U.S. House,9,Write-ins,,11
La Paz,051 Parker,Governor,,Kari Lake,REP,705
La Paz,052 Poston,Governor,,Kari Lake,REP,60
La Paz,054 Upriver,Governor,,Kari Lake,REP,897
La Paz,055 Bouse,Governor,,Kari Lake,REP,286
La Paz,056 Wenden,Governor,,Kari Lake,REP,65
La Paz,057 Salome,Governor,,Kari Lake,REP,522
La Paz,058 Quartzsite Two,Governor,,Kari Lake,REP,580
La Paz,059 Cibola,Governor,,Kari Lake,REP,64
La Paz,060 Ehrenberg,Governor,,Kari Lake,REP,186
La Paz,062 Vicksburg,Governor,,Kari Lake,REP,173
La Paz,064 Quartzsite Three,Governor,,Kari Lake,REP,309
La Paz,051 Parker,Governor,,Katie Hobbs,DEM,592
La Paz,052 Poston,Governor,,Katie Hobbs,DEM,110
La Paz,054 Upriver,Governor,,Katie Hobbs,DEM,242
La Paz,055 Bouse,Governor,,Katie Hobbs,DEM,79
La Paz,056 Wenden,Governor,,Katie Hobbs,DEM,31
La Paz,057 Salome,Governor,,Katie Hobbs,DEM,154
La Paz,058 Quartzsite Two,Governor,,Katie Hobbs,DEM,222
La Paz,059 Cibola,Governor,,Katie Hobbs,DEM,11
La Paz,060 Ehrenberg,Governor,,Katie Hobbs,DEM,32
La Paz,062 Vicksburg,Governor,,Katie Hobbs,DEM,54
La Paz,064 Quartzsite Three,Governor,,Katie Hobbs,DEM,119
La Paz,051 Parker,Governor,,Write-ins,,6
La Paz,052 Poston,Governor,,Write-ins,,1
La Paz,054 Upriver,Governor,,Write-ins,,4
La Paz,055 Bouse,Governor,,Write-ins,,0
La Paz,056 Wenden,Governor,,Write-ins,,2
La Paz,057 Salome,Governor,,Write-ins,,5
La Paz,058 Quartzsite Two,Governor,,Write-ins,,3
