county,precinct,office,district,party,candidate,votes,election_day,early_voting,late_votes,provisional 
Yuma,001.01,Registered Voters,,,,1358,,,,
Yuma,002,Registered Voters,,,,1516,,,,
Yuma,003,Registered Voters,,,,1809,,,,
Yuma,004,Registered Voters,,,,4375,,,,
Yuma,005,Registered Voters,,,,2690,,,,
Yuma,006,Registered Voters,,,,2770,,,,
Yuma,007,Registered Voters,,,,3855,,,,
Yuma,008.01,Registered Voters,,,,1397,,,,
Yuma,009,Registered Voters,,,,2659,,,,
Yuma,010,Registered Voters,,,,6262,,,,
Yuma,011,Registered Voters,,,,2552,,,,
Yuma,012,Registered Voters,,,,2434,,,,
Yuma,013,Registered Voters,,,,2178,,,,
Yuma,014.01,Registered Voters,,,,695,,,,
Yuma,015.01,Registered Voters,,,,2111,,,,
Yuma,016,Registered Voters,,,,1687,,,,
Yuma,017,Registered Voters,,,,3816,,,,
Yuma,018,Registered Voters,,,,365,,,,
Yuma,019,Registered Voters,,,,172,,,,
Yuma,020,Registered Voters,,,,2773,,,,
Yuma,021,Registered Voters,,,,0,,,,
Yuma,022,Registered Voters,,,,3336,,,,
Yuma,023.01,Registered Voters,,,,2491,,,,
Yuma,024.01,Registered Voters,,,,6602,,,,
Yuma,25.01,Registered Voters,,,,3407,,,,
Yuma,026,Registered Voters,,,,968,,,,
Yuma,027,Registered Voters,,,,1149,,,,
Yuma,028,Registered Voters,,,,823,,,,
Yuma,029,Registered Voters,,,,4641,,,,
Yuma,030.01,Registered Voters,,,,3803,,,,
Yuma,031,Registered Voters,,,,6734,,,,
Yuma,032,Registered Voters,,,,1650,,,,
Yuma,033,Registered Voters,,,,655,,,,
Yuma,034.01,Registered Voters,,,,871,,,,
Yuma,035,Registered Voters,,,,1941,,,,
Yuma,036,Registered Voters,,,,2656,,,,
Yuma,037,Registered Voters,,,,2303,,,,
Yuma,038,Registered Voters,,,,2297,,,,
Yuma,039,Registered Voters,,,,2102,,,,
Yuma,040,Registered Voters,,,,2221,,,,
Yuma,041.01,Registered Voters,,,,2545,,,,
Yuma,042,Registered Voters,,,,3195,,,,
Yuma,043,Registered Voters,,,,36,,,,
Yuma,044,Registered Voters,,,,0,,,,
Yuma,045.01,Registered Voters,,,,1221,,,,
Yuma,046,Registered Voters,,,,12,,,,
Yuma,001.01,Ballots Cast,,,,403,72,302,24,5
Yuma,002,Ballots Cast,,,,573,108,434,24,7
Yuma,003,Ballots Cast,,,,509,90,397,17,5
Yuma,004,Ballots Cast,,,,1696,281,1324,77,14
Yuma,005,Ballots Cast,,,,1515,281,1132,85,17
Yuma,006,Ballots Cast,,,,918,188,638,82,10
Yuma,007,Ballots Cast,,,,1044,164,784,88,8
Yuma,008.01,Ballots Cast,,,,868,107,725,29,7
Yuma,009,Ballots Cast,,,,1369,309,968,71,21
Yuma,010,Ballots Cast,,,,3010,526,2298,143,43
Yuma,011,Ballots Cast,,,,1251,337,812,91,11
Yuma,012,Ballots Cast,,,,1271,238,958,66,9
Yuma,013,Ballots Cast,,,,782,124,631,17,10
Yuma,014.01,Ballots Cast,,,,245,58,168,18,1
Yuma,015.01,Ballots Cast,,,,1011,149,782,64,16
Yuma,016,Ballots Cast,,,,735,119,566,43,7
Yuma,017,Ballots Cast,,,,1955,361,1503,68,23
Yuma,018,Ballots Cast,,,,149,24,119,5,1
Yuma,019,Ballots Cast,,,,67,13,49,3,2
Yuma,020,Ballots Cast,,,,1624,449,1022,135,18
Yuma,021,Ballots Cast,,,,0,0,0,0,0
Yuma,022,Ballots Cast,,,,1747,366,1267,86,28
Yuma,023.01,Ballots Cast,,,,1658,267,1318,60,13
Yuma,024.01,Ballots Cast,,,,4574,785,3587,175,27
Yuma,25.01,Ballots Cast,,,,2354,427,1810,101,16
Yuma,026,Ballots Cast,,,,330,49,251,26,4
Yuma,027,Ballots Cast,,,,471,78,373,16,4
Yuma,028,Ballots Cast,,,,282,53,202,25,2
Yuma,029,Ballots Cast,,,,1170,207,803,153,7
Yuma,030.01,Ballots Cast,,,,1170,205,797,163,5
Yuma,031,Ballots Cast,,,,1876,349,1275,224,28
Yuma,032,Ballots Cast,,,,539,103,393,34,9
Yuma,033,Ballots Cast,,,,316,75,220,16,5
Yuma,034.01,Ballots Cast,,,,541,113,383,36,9
Yuma,035,Ballots Cast,,,,896,162,697,27,10
Yuma,036,Ballots Cast,,,,1171,207,893,64,7
Yuma,037,Ballots Cast,,,,821,170,606,37,8
Yuma,038,Ballots Cast,,,,936,175,703,47,11
Yuma,039,Ballots Cast,,,,997,178,760,38,21
Yuma,040,Ballots Cast,,,,1088,163,868,51,6
Yuma,041.01,Ballots Cast,,,,1205,185,946,64,10
Yuma,042,Ballots Cast,,,,1234,255,901,67,11
Yuma,043,Ballots Cast,,,,23,5,17,1,0
Yuma,044,Ballots Cast,,,,0,0,0,0,0
Yuma,045.01,Ballots Cast,,,,431,83,323,17,8
Yuma,046,Ballots Cast,,,,5,1,4,0,0
Yuma,001.01,U.S. Senate,,DEM,Mark Kelly,263,35,208,18,2
Yuma,002,U.S. Senate,,DEM,Mark Kelly,321,48,255,13,5
Yuma,003,U.S. Senate,,DEM,Mark Kelly,280,45,220,12,3
Yuma,004,U.S. Senate,,DEM,Mark Kelly,956,91,821,40,4
Yuma,005,U.S. Senate,,DEM,Mark Kelly,563,57,477,26,3
Yuma,006,U.S. Senate,,DEM,Mark Kelly,604,104,435,57,8
Yuma,007,U.S. Senate,,DEM,Mark Kelly,796,98,625,66,7
Yuma,008.01,U.S. Senate,,DEM,Mark Kelly,373,28,323,20,2
Yuma,009,U.S. Senate,,DEM,Mark Kelly,330,44,276,8,2
Yuma,010,U.S. Senate,,DEM,Mark Kelly,1160,107,990,49,14
Yuma,011,U.S. Senate,,DEM,Mark Kelly,486,85,361,38,2
Yuma,012,U.S. Senate,,DEM,Mark Kelly,415,55,334,24,2
Yuma,013,U.S. Senate,,DEM,Mark Kelly,430,46,378,6,0
Yuma,014.01,U.S. Senate,,DEM,Mark Kelly,118,13,94,11,0
Yuma,015.01,U.S. Senate,,DEM,Mark Kelly,413,37,346,24,6
Yuma,016,U.S. Senate,,DEM,Mark Kelly,380,40,321,14,5
Yuma,017,U.S. Senate,,DEM,Mark Kelly,695,83,586,22,4
Yuma,018,U.S. Senate,,DEM,Mark Kelly,23,1,20,2,0
Yuma,019,U.S. Senate,,DEM,Mark Kelly,30,2,27,1,0
Yuma,020,U.S. Senate,,DEM,Mark Kelly,488,62,391,29,6
Yuma,021,U.S. Senate,,DEM,Mark Kelly,0,0,0,0,0
Yuma,022,U.S. Senate,,DEM,Mark Kelly,596,78,487,28,3
Yuma,023.01,U.S. Senate,,DEM,Mark Kelly,599,47,534,14,4
Yuma,024.01,U.S. Senate,,DEM,Mark Kelly,1295,100,1167,24,4
Yuma,25.01,U.S. Senate,,DEM,Mark Kelly,719,43,648,26,2
Yuma,026,U.S. Senate,,DEM,Mark Kelly,201,16,168,14,3
Yuma,027,U.S. Senate,,DEM,Mark Kelly,237,33,197,7,0
Yuma,028,U.S. Senate,,DEM,Mark Kelly,156,21,122,11,2
Yuma,029,U.S. Senate,,DEM,Mark Kelly,914,141,657,110,6
Yuma,030.01,U.S. Senate,,DEM,Mark Kelly,923,135,661,126,1
Yuma,031,U.S. Senate,,DEM,Mark Kelly,1423,227,1013,161,22
Yuma,032,U.S. Senate,,DEM,Mark Kelly,296,44,231,18,3
Yuma,033,U.S. Senate,,DEM,Mark Kelly,122,13,103,6,0
Yuma,034.01,U.S. Senate,,DEM,Mark Kelly,153,19,122,9,3
Yuma,035,U.S. Senate,,DEM,Mark Kelly,402,49,343,7,3
Yuma,036,U.S. Senate,,DEM,Mark Kelly,569,78,458,29,4
Yuma,037,U.S. Senate,,DEM,Mark Kelly,500,73,400,24,3
Yuma,038,U.S. Senate,,DEM,Mark Kelly,480,59,390,30,1
Yuma,039,U.S. Senate,,DEM,Mark Kelly,457,59,369,20,9
Yuma,040,U.S. Senate,,DEM,Mark Kelly,516,55,434,24,3
Yuma,041.01,U.S. Senate,,DEM,Mark Kelly,566,50,492,21,3
Yuma,042,U.S. Senate,,DEM,Mark Kelly,639,86,515,37,1
Yuma,043,U.S. Senate,,DEM,Mark Kelly,9,1,8,0,0
Yuma,044,U.S. Senate,,DEM,Mark Kelly,0,0,0,0,0
Yuma,045.01,U.S. Senate,,DEM,Mark Kelly,241,28,200,9,4
Yuma,046,U.S. Senate,,DEM,Mark Kelly,4,0,4,0,0
Yuma,001.01,U.S. Senate,,REP,Blake Masters,126,34,83,6,3
Yuma,002,U.S. Senate,,REP,Blake Masters,223,58,153,10,2
Yuma,003,U.S. Senate,,REP,Blake Masters,208,41,161,5,1
Yuma,004,U.S. Senate,,REP,Blake Masters,680,181,453,36,10
