county,precinct,office,recount,district,party,candidate,votes,election_day,early_voting,provisional
Cochise,01 BE BENSON,Registered Voters,,,,,1678,,,
Cochise,02 BE J-SIX,Registered Voters,,,,,2091,,,
Cochise,03 BE SAN PEDRO,Registered Voters,,,,,1945,,,
Cochise,04 BI BISBEE,Registered Voters,,,,,1299,,,
Cochise,05 BI DON LUIS,Registered Voters,,,,,1350,,,
Cochise,06 BI WARREN,Registered Voters,,,,,1377,,,
Cochise,07 BOWIE,Registered Voters,,,,,279,,,
Cochise,08 COCHISE STRONGHOLD,Registered Voters,,,,,1644,,,
Cochise,09 DO CALVARY,Registered Voters,,,,,1532,,,
Cochise,10 DO CARLSON,Registered Voters,,,,,1976,,,
Cochise,11 DO CASTRO PARK,Registered Voters,,,,,2078,,,
Cochise,12 DO GADSDEN,Registered Voters,,,,,1565,,,
Cochise,13 DO SUNNYSIDE,Registered Voters,,,,,1686,,,
Cochise,14 GREATER SAN PEDRO,Registered Voters,,,,,1846,,,
Cochise,15 HEREFORD,Registered Voters,,,,,1613,,,
Cochise,16 HUACHUCA,Registered Voters,,,,,1030,,,
Cochise,17 MCNEAL,Registered Voters,,,,,945,,,
Cochise,18 NACO,Registered Voters,,,,,735,,,
Cochise,19 PALOMINAS,Registered Voters,,,,,1140,,,
Cochise,20 PIRTLEVILLE,Registered Voters,,,,,1419,,,
Cochise,21 POMERENE,Registered Voters,,,,,1173,,,
Cochise,22 PORTAL,Registered Voters,,,,,339,,,
Cochise,23 SAN SIMON,Registered Voters,,,,,229,,,
Cochise,24 ST DAVID,Registered Voters,,,,,1914,,,
Cochise,25 SUNIZONA,Registered Voters,,,,,542,,,
Cochise,26 SV AVENIDA DEL SOL,Registered Voters,,,,,2414,,,
Cochise,27 SV BUFFALO SOLDIER,Registered Voters,,,,,2785,,,
Cochise,28 SV BUSBY,Registered Voters,,,,,1925,,,
Cochise,29 SV CARMELITA,Registered Voters,,,,,1184,,,
Cochise,30 SV CLOUD,Registered Voters,,,,,1030,,,
Cochise,31 SV COLLEGE,Registered Voters,,,,,1890,,,
Cochise,32 SV COUNTRY CLUB,Registered Voters,,,,,2131,,,
Cochise,33 SV ESTATES,Registered Voters,,,,,1982,,,
Cochise,34 SV HOPI,Registered Voters,,,,,1720,,,
Cochise,35 SV MOSON,Registered Voters,,,,,2073,,,
Cochise,36 SV PUEBLO DEL SOL,Registered Voters,,,,,1487,,,
Cochise,37 SV RAMSEY,Registered Voters,,,,,1578,,,
Cochise,38 SV SNYDER,Registered Voters,,,,,1180,,,
Cochise,39 SV SOLDIER CREEK,Registered Voters,,,,,2613,,,
Cochise,40 SV TOWN & COUNTRY,Registered Voters,,,,,2034,,,
Cochise,41 SV VILLAGE MEADOWS,Registered Voters,,,,,2499,,,
Cochise,42 SV VISTA VILLAGE,Registered Voters,,,,,1822,,,
Cochise,43 SV YAQUI,Registered Voters,,,,,2204,,,
Cochise,44 TOMBSTONE,Registered Voters,,,,,1663,,,
Cochise,45 WEBB,Registered Voters,,,,,608,,,
Cochise,46 WHETSTONE,Registered Voters,,,,,2412,,,
Cochise,47 WI KANSAS SETTLEMENT,Registered Voters,,,,,1427,,,
Cochise,48 WI STEWART,Registered Voters,,,,,1242,,,
Cochise,49 WI WILLCOX,Registered Voters,,,,,1013,,,
Cochise,50 DO GRAND,Registered Voters,,,,,122,,,
Cochise,51 BI SACRAMENTO,Registered Voters,,,,,79,,,
Cochise,52 THREE CANYONS,Registered Voters,,,,,567,,,
Cochise,53 GREENBUSH,Registered Voters,,,,,269,,,
Cochise,54 PARKER,Registered Voters,,,,,16,,,
Cochise,55 MONTEZUMA,Registered Voters,,,,,0,,,
Cochise,01 BE BENSON,Ballots Cast,,,,,1077,284,791,2
Cochise,02 BE J-SIX,Ballots Cast,,,,,1450,398,1047,5
Cochise,03 BE SAN PEDRO,Ballots Cast,,,,,1267,304,963,0
Cochise,04 BI BISBEE,Ballots Cast,,,,,990,134,854,2
Cochise,05 BI DON LUIS,Ballots Cast,,,,,843,160,683,0
Cochise,06 BI WARREN,Ballots Cast,,,,,971,143,825,3
Cochise,07 BOWIE,Ballots Cast,,,,,156,63,84,9
Cochise,08 COCHISE STRONGHOLD,Ballots Cast,,,,,1232,377,855,0
Cochise,09 DO CALVARY,Ballots Cast,,,,,609,90,519,0
Cochise,10 DO CARLSON,Ballots Cast,,,,,897,130,767,0
Cochise,11 DO CASTRO PARK,Ballots Cast,,,,,655,107,547,1
Cochise,12 DO GADSDEN,Ballots Cast,,,,,510,73,436,1
Cochise,13 DO SUNNYSIDE,Ballots Cast,,,,,569,116,451,2
Cochise,14 GREATER SAN PEDRO,Ballots Cast,,,,,1213,368,840,5
Cochise,15 HEREFORD,Ballots Cast,,,,,1164,291,871,2
Cochise,16 HUACHUCA,Ballots Cast,,,,,552,181,365,6
Cochise,17 MCNEAL,Ballots Cast,,,,,680,237,443,0
Cochise,18 NACO,Ballots Cast,,,,,310,40,269,1
Cochise,19 PALOMINAS,Ballots Cast,,,,,717,191,526,0
Cochise,20 PIRTLEVILLE,Ballots Cast,,,,,609,102,506,1
Cochise,21 POMERENE,Ballots Cast,,,,,805,212,593,0
Cochise,22 PORTAL,Ballots Cast,,,,,269,15,254,0
Cochise,23 SAN SIMON,Ballots Cast,,,,,136,34,100,2
Cochise,24 ST DAVID,Ballots Cast,,,,,1388,435,953,0
Cochise,25 SUNIZONA,Ballots Cast,,,,,395,125,270,0
Cochise,26 SV AVENIDA DEL SOL,Ballots Cast,,,,,1527,362,1163,2
Cochise,27 SV BUFFALO SOLDIER,Ballots Cast,,,,,1926,512,1410,4
Cochise,28 SV BUSBY,Ballots Cast,,,,,1010,227,776,7
Cochise,29 SV CARMELITA,Ballots Cast,,,,,668,163,500,5
Cochise,30 SV CLOUD,Ballots Cast,,,,,497,115,378,4
Cochise,31 SV COLLEGE,Ballots Cast,,,,,1088,252,834,2
Cochise,32 SV COUNTRY CLUB,Ballots Cast,,,,,1766,289,1476,1
