county,precinct,office,district,party,candidate,votes,early_voting,late_votes,election_day,provisional
Graham,Solomon #1,Registered Voters,,,,1021,,,,
Graham,Safford #2,Registered Voters,,,,1762,,,,
Graham,Safford #3,Registered Voters,,,,687,,,,
Graham,Layton #4,Registered Voters,,,,614,,,,
Graham,Layton #5,Registered Voters,,,,1473,,,,
Graham,Thatcher #6,Registered Voters,,,,874,,,,
Graham,Thatcher #7,Registered Voters,,,,1793,,,,
Graham,Central #8,Registered Voters,,,,575,,,,
Graham,Pima #9,Registered Voters,,,,2545,,,,
Graham,Ft. Thomas #10,Registered Voters,,,,260,,,,
Graham,Bylas #11,Registered Voters,,,,1014,,,,
Graham,Klondyke #12,Registered Voters,,,,65,,,,
Graham,Bonita #13,Registered Voters,,,,150,,,,
Graham,Thunderbird #14,Registered Voters,,,,365,,,,
Graham,Safford #15,Registered Voters,,,,1626,,,,
Graham,Peridot #16,Registered Voters,,,,1036,,,,
Graham,Cactus #17,Registered Voters,,,,213,,,,
Graham,Jackson #18,Registered Voters,,,,1220,,,,
Graham,Desert Hills #19,Registered Voters,,,,1242,,,,
Graham,Artesia #20,Registered Voters,,,,796,,,,
Graham,Quatro Cerros #21,Registered Voters,,,,111,,,,
Graham,Gila River #22,Registered Voters,,,,45,,,,
Graham,Solomon #1,Ballots Cast,,,,607,346,55,206,0
Graham,Safford #2,Ballots Cast,,,,855,508,93,249,5
Graham,Safford #3,Ballots Cast,,,,418,271,24,121,2
Graham,Layton #4,Ballots Cast,,,,350,226,19,104,1
Graham,Layton #5,Ballots Cast,,,,849,530,102,213,4
Graham,Thatcher #6,Ballots Cast,,,,542,283,80,175,4
Graham,Thatcher #7,Ballots Cast,,,,1105,638,127,335,5
Graham,Central #8,Ballots Cast,,,,404,207,72,120,5
Graham,Pima #9,Ballots Cast,,,,1629,794,192,610,33
Graham,Ft. Thomas #10,Ballots Cast,,,,177,68,31,78,0
Graham,Bylas #11,Ballots Cast,,,,302,86,17,193,6
Graham,Klondyke #12,Ballots Cast,,,,50,39,3,7,1
Graham,Bonita #13,Ballots Cast,,,,126,45,29,46,6
Graham,Thunderbird #14,Ballots Cast,,,,229,121,21,85,2
Graham,Safford #15,Ballots Cast,,,,954,627,88,236,3
Graham,Peridot #16,Ballots Cast,,,,253,93,21,133,6
Graham,Cactus #17,Ballots Cast,,,,143,95,13,34,1
Graham,Jackson #18,Ballots Cast,,,,773,442,100,230,1
Graham,Desert Hills #19,Ballots Cast,,,,687,403,54,222,8
Graham,Artesia #20,Ballots Cast,,,,465,253,49,158,5
Graham,Quatro Cerros #21,Ballots Cast,,,,71,54,6,11,0
