county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Rodney Glassman,11785,,,
Cochise,U.S. Senate,,DEM,Rodney Glassman,13119,,,
Coconino,U.S. Senate,,DEM,Rodney Glassman,17164,,,
Gila,U.S. Senate,,DEM,Rodney Glassman,4858,,,
Graham,U.S. Senate,,DEM,Rodney Glassman,2194,,,
Greenlee,U.S. Senate,,DEM,Rodney Glassman,947,,,
La Paz,U.S. Senate,,DEM,Rodney Glassman,1085,,,
Maricopa,U.S. Senate,,DEM,Rodney Glassman,319012,,,
Mohave,U.S. Senate,,DEM,Rodney Glassman,12302,,,
Navajo,U.S. Senate,,DEM,Rodney Glassman,10737,,,
Pima,U.S. Senate,,DEM,Rodney Glassman,134296,,,
Pinal,U.S. Senate,,DEM,Rodney Glassman,24856,,,
Santa Cruz,U.S. Senate,,DEM,Rodney Glassman,5710,,,
Yavapai,U.S. Senate,,DEM,Rodney Glassman,21636,,,
Yuma,U.S. Senate,,DEM,Rodney Glassman,12310,,,
,U.S. Senate,,DEM,Rodney Glassman,592011,,,
Apache,U.S. Senate,,GRN,Jerry Joslyn,358,,,
Cochise,U.S. Senate,,GRN,Jerry Joslyn,645,,,
Coconino,U.S. Senate,,GRN,Jerry Joslyn,781,,,
Gila,U.S. Senate,,GRN,Jerry Joslyn,246,,,
Graham,U.S. Senate,,GRN,Jerry Joslyn,118,,,
Greenlee,U.S. Senate,,GRN,Jerry Joslyn,22,,,
La Paz,U.S. Senate,,GRN,Jerry Joslyn,77,,,
Maricopa,U.S. Senate,,GRN,Jerry Joslyn,12095,,,
Mohave,U.S. Senate,,GRN,Jerry Joslyn,960,,,
Navajo,U.S. Senate,,GRN,Jerry Joslyn,430,,,
Pima,U.S. Senate,,GRN,Jerry Joslyn,5929,,,
Pinal,U.S. Senate,,GRN,Jerry Joslyn,1062,,,
Santa Cruz,U.S. Senate,,GRN,Jerry Joslyn,154,,,
Yavapai,U.S. Senate,,GRN,Jerry Joslyn,1324,,,
Yuma,U.S. Senate,,GRN,Jerry Joslyn,402,,,
,U.S. Senate,,GRN,Jerry Joslyn,24603,,,
Apache,U.S. Senate,,LBT,David F. Nolan,925,,,
Cochise,U.S. Senate,,LBT,David F. Nolan,2352,,,
Coconino,U.S. Senate,,LBT,David F. Nolan,1631,,,
Gila,U.S. Senate,,LBT,David F. Nolan,1039,,,
Graham,U.S. Senate,,LBT,David F. Nolan,493,,,
Greenlee,U.S. Senate,,LBT,David F. Nolan,115,,,
La Paz,U.S. Senate,,LBT,David F. Nolan,295,,,
Maricopa,U.S. Senate,,LBT,David F. Nolan,45596,,,
Mohave,U.S. Senate,,LBT,David F. Nolan,3638,,,
Navajo,U.S. Senate,,LBT,David F. Nolan,1672,,,
Pima,U.S. Senate,,LBT,David F. Nolan,12538,,,
Pinal,U.S. Senate,,LBT,David F. Nolan,3714,,,
Santa Cruz,U.S. Senate,,LBT,David F. Nolan,324,,,
Yavapai,U.S. Senate,,LBT,David F. Nolan,4306,,,
Yuma,U.S. Senate,,LBT,David F. Nolan,1459,,,
,U.S. Senate,,LBT,David F. Nolan,80097,,,
Apache,U.S. Senate,,REP,John McCain,7371,,,
Cochise,U.S. Senate,,REP,John McCain,23445,,,
Coconino,U.S. Senate,,REP,John McCain,18995,,,
Gila,U.S. Senate,,REP,John McCain,11500,,,
Graham,U.S. Senate,,REP,John McCain,6223,,,
Greenlee,U.S. Senate,,REP,John McCain,1321,,,
La Paz,U.S. Senate,,REP,John McCain,3003,,,
Maricopa,U.S. Senate,,REP,John McCain,599068,,,
Mohave,U.S. Senate,,REP,John McCain,36367,,,
Navajo,U.S. Senate,,REP,John McCain,16157,,,
Pima,U.S. Senate,,REP,John McCain,158879,,,
Pinal,U.S. Senate,,REP,John McCain,47850,,,
Santa Cruz,U.S. Senate,,REP,John McCain,3693,,,
Yavapai,U.S. Senate,,REP,John McCain,52093,,,
Yuma,U.S. Senate,,REP,John McCain,19650,,,
,U.S. Senate,,REP,John McCain,1005615,True,,
Apache,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Cochise,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Coconino,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Gila,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Graham,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Greenlee,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
La Paz,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Maricopa,U.S. Senate,,Write-In,Ray J. Caplette,5,,,
Mohave,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Navajo,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Pima,U.S. Senate,,Write-In,Ray J. Caplette,1,,,
Pinal,U.S. Senate,,Write-In,Ray J. Caplette,1,,,
Santa Cruz,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Yavapai,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
Yuma,U.S. Senate,,Write-In,Ray J. Caplette,0,,,
,U.S. Senate,,Write-In,Ray J. Caplette,7,,,
Apache,U.S. Senate,,Write-In,Santos Chavez,4,,,
Cochise,U.S. Senate,,Write-In,Santos Chavez,1,,,
Coconino,U.S. Senate,,Write-In,Santos Chavez,2,,,
Gila,U.S. Senate,,Write-In,Santos Chavez,0,,,
Graham,U.S. Senate,,Write-In,Santos Chavez,0,,,
Greenlee,U.S. Senate,,Write-In,Santos Chavez,0,,,
La Paz,U.S. Senate,,Write-In,Santos Chavez,0,,,
Maricopa,U.S. Senate,,Write-In,Santos Chavez,16,,,
Mohave,U.S. Senate,,Write-In,Santos Chavez,0,,,
Navajo,U.S. Senate,,Write-In,Santos Chavez,1,,,
Pima,U.S. Senate,,Write-In,Santos Chavez,6,,,
Pinal,U.S. Senate,,Write-In,Santos Chavez,1,,,
Santa Cruz,U.S. Senate,,Write-In,Santos Chavez,0,,,
Yavapai,U.S. Senate,,Write-In,Santos Chavez,8,,,
Yuma,U.S. Senate,,Write-In,Santos Chavez,0,,,
,U.S. Senate,,Write-In,Santos Chavez,39,,,
Apache,U.S. Senate,,Write-In,Sydney Dudikoff,1,,,
Cochise,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Coconino,U.S. Senate,,Write-In,Sydney Dudikoff,1,,,
Gila,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Graham,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Greenlee,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
La Paz,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Maricopa,U.S. Senate,,Write-In,Sydney Dudikoff,9,,,
Mohave,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Navajo,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Pima,U.S. Senate,,Write-In,Sydney Dudikoff,2,,,
Pinal,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Santa Cruz,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
Yavapai,U.S. Senate,,Write-In,Sydney Dudikoff,1,,,
Yuma,U.S. Senate,,Write-In,Sydney Dudikoff,0,,,
,U.S. Senate,,Write-In,Sydney Dudikoff,14,,,
Apache,U.S. Senate,,Write-In,Loyd Ellis,3,,,
Cochise,U.S. Senate,,Write-In,Loyd Ellis,9,,,
Coconino,U.S. Senate,,Write-In,Loyd Ellis,2,,,
Gila,U.S. Senate,,Write-In,Loyd Ellis,2,,,
Graham,U.S. Senate,,Write-In,Loyd Ellis,0,,,
Greenlee,U.S. Senate,,Write-In,Loyd Ellis,0,,,
La Paz,U.S. Senate,,Write-In,Loyd Ellis,0,,,
Maricopa,U.S. Senate,,Write-In,Loyd Ellis,95,,,
Mohave,U.S. Senate,,Write-In,Loyd Ellis,9,,,
Navajo,U.S. Senate,,Write-In,Loyd Ellis,1,,,
Pima,U.S. Senate,,Write-In,Loyd Ellis,22,,,
Pinal,U.S. Senate,,Write-In,Loyd Ellis,7,,,
Santa Cruz,U.S. Senate,,Write-In,Loyd Ellis,0,,,
Yavapai,U.S. Senate,,Write-In,Loyd Ellis,7,,,
Yuma,U.S. Senate,,Write-In,Loyd Ellis,3,,,
,U.S. Senate,,Write-In,Loyd Ellis,160,,,
Apache,U.S. Senate,,Write-In,Ian Gilyeat,109,,,
Cochise,U.S. Senate,,Write-In,Ian Gilyeat,44,,,
Coconino,U.S. Senate,,Write-In,Ian Gilyeat,48,,,
Gila,U.S. Senate,,Write-In,Ian Gilyeat,55,,,
Graham,U.S. Senate,,Write-In,Ian Gilyeat,25,,,
