county,office,district,party,candidate,votes,winner,write-in,notes
Greenlee,U.S. Senate,,Write-In,Ian Gilyeat,13,,,
La Paz,U.S. Senate,,Write-In,Ian Gilyeat,3,,,
Maricopa,U.S. Senate,,Write-In,Ian Gilyeat,4070,,,
Mohave,U.S. Senate,,Write-In,Ian Gilyeat,53,,,
Navajo,U.S. Senate,,Write-In,Ian Gilyeat,225,,,
Pima,U.S. Senate,,Write-In,Ian Gilyeat,72,,,
Pinal,U.S. Senate,,Write-In,Ian Gilyeat,307,,,
Santa Cruz,U.S. Senate,,Write-In,Ian Gilyeat,13,,,
Yavapai,U.S. Senate,,Write-In,Ian Gilyeat,888,,,
Yuma,U.S. Senate,,Write-In,Ian Gilyeat,13,,,
,U.S. Senate,,Write-In,Ian Gilyeat,5938,,,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,14227,,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,20992,,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,6475,,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,3104,,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,1287,,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,12974,,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,12995,,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,27179,,,
,U.S. House,1,DEM,Ann Kirkpatrick,99233,,,
Apache,U.S. House,1,LBT,Nicole Patti,901,,,
Coconino,U.S. House,1,LBT,Nicole Patti,2161,,,
Gila,U.S. House,1,LBT,Nicole Patti,1442,,,
Graham,U.S. House,1,LBT,Nicole Patti,648,,,
Greenlee,U.S. House,1,LBT,Nicole Patti,165,,,
Navajo,U.S. House,1,LBT,Nicole Patti,1873,,,
Pinal,U.S. House,1,LBT,Nicole Patti,2089,,,
Yavapai,U.S. House,1,LBT,Nicole Patti,5590,,,
,U.S. House,1,LBT,Nicole Patti,14869,,,
Apache,U.S. House,1,REP,Paul Gosar,5445,,,
Coconino,U.S. House,1,REP,Paul Gosar,15212,,,
Gila,U.S. House,1,REP,Paul Gosar,9701,,,
Graham,U.S. House,1,REP,Paul Gosar,5263,,,
Greenlee,U.S. House,1,REP,Paul Gosar,941,,,
Navajo,U.S. House,1,REP,Paul Gosar,14012,,,
Pinal,U.S. House,1,REP,Paul Gosar,14793,,,
Yavapai,U.S. House,1,REP,Paul Gosar,47449,,,
,U.S. House,1,REP,Paul Gosar,112816,True,,
Coconino,U.S. House,2,DEM,John Thrasher,105,,,
La Paz,U.S. House,2,DEM,John Thrasher,5,,,
Maricopa,U.S. House,2,DEM,John Thrasher,69326,,,
Mohave,U.S. House,2,DEM,John Thrasher,13084,,,
Navajo,U.S. House,2,DEM,John Thrasher,371,,,
Yavapai,U.S. House,2,DEM,John Thrasher,0,,,
,U.S. House,2,DEM,John Thrasher,82891,,,
Coconino,U.S. House,2,LBT,Powell Gammill,4,,,
La Paz,U.S. House,2,LBT,Powell Gammill,0,,,
Maricopa,U.S. House,2,LBT,Powell Gammill,8111,,,
Mohave,U.S. House,2,LBT,Powell Gammill,2692,,,
Navajo,U.S. House,2,LBT,Powell Gammill,13,,,
Yavapai,U.S. House,2,LBT,Powell Gammill,0,,,
,U.S. House,2,LBT,Powell Gammill,10820,,,
Coconino,U.S. House,2,REP,Trent Franks,39,,,
La Paz,U.S. House,2,REP,Trent Franks,2,,,
Maricopa,U.S. House,2,REP,Trent Franks,136158,,,
Mohave,U.S. House,2,REP,Trent Franks,36882,,,
Navajo,U.S. House,2,REP,Trent Franks,92,,,
Yavapai,U.S. House,2,REP,Trent Franks,0,,,
,U.S. House,2,REP,Trent Franks,173173,True,,
Coconino,U.S. House,2,Write-In,William Crum,0,,,
La Paz,U.S. House,2,Write-In,William Crum,0,,,
Maricopa,U.S. House,2,Write-In,William Crum,8,,,
Mohave,U.S. House,2,Write-In,William Crum,0,,,
Navajo,U.S. House,2,Write-In,William Crum,0,,,
Yavapai,U.S. House,2,Write-In,William Crum,0,,,
,U.S. House,2,Write-In,William Crum,8,,,
Coconino,U.S. House,2,Write-In,Mark Rankin,0,,,
La Paz,U.S. House,2,Write-In,Mark Rankin,0,,,
Maricopa,U.S. House,2,Write-In,Mark Rankin,2,,,
Mohave,U.S. House,2,Write-In,Mark Rankin,0,,,
Navajo,U.S. House,2,Write-In,Mark Rankin,0,,,
Yavapai,U.S. House,2,Write-In,Mark Rankin,0,,,
,U.S. House,2,Write-In,Mark Rankin,2,,,
Maricopa,U.S. House,3,DEM,Jon Hulburd,85610,,,
,U.S. House,3,DEM,Jon Hulburd,85610,,,
Maricopa,U.S. House,3,GRN,Leonard Clark,3294,,,
,U.S. House,3,GRN,Leonard Clark,3294,,,
Maricopa,U.S. House,3,LBT,Michael Shoen,10478,,,
,U.S. House,3,LBT,Michael Shoen,10478,,,
Maricopa,U.S. House,3,REP,Ben Quayle,108689,,,
,U.S. House,3,REP,Ben Quayle,108689,True,,
Maricopa,U.S. House,4,DEM,Ed Pastor,61524,,,
,U.S. House,4,DEM,Ed Pastor,61524,True,,
Maricopa,U.S. House,4,GRN,Rebecca DeWitt,2365,,,
,U.S. House,4,GRN,Rebecca DeWitt,2365,,,
Maricopa,U.S. House,4,LBT,Joe Cobb,2718,,,
,U.S. House,4,LBT,Joe Cobb,2718,,,
Maricopa,U.S. House,4,REP,Janet Contreras,25300,,,
,U.S. House,4,REP,Janet Contreras,25300,,,
Maricopa,U.S. House,5,DEM,Harry Mitchell,91749,,,
,U.S. House,5,DEM,Harry Mitchell,91749,,,
Maricopa,U.S. House,5,LBT,Nick Coons,10127,,,
,U.S. House,5,LBT,Nick Coons,10127,,,
Maricopa,U.S. House,5,REP,David Schweikert,110374,,,
,U.S. House,5,REP,David Schweikert,110374,True,,
Maricopa,U.S. House,6,DEM,Rebecca Schneider,63019,,,
Pinal,U.S. House,6,DEM,Rebecca Schneider,9596,,,
,U.S. House,6,DEM,Rebecca Schneider,72615,,,
Maricopa,U.S. House,6,GRN,Richard Grayson,2882,,,
Pinal,U.S. House,6,GRN,Richard Grayson,525,,,
,U.S. House,6,GRN,Richard Grayson,3407,,,
Maricopa,U.S. House,6,LBT,Darell Tapp,6741,,,
Pinal,U.S. House,6,LBT,Darell Tapp,971,,,
,U.S. House,6,LBT,Darell Tapp,7712,,,
Maricopa,U.S. House,6,REP,Jeff Flake,146457,,,
Pinal,U.S. House,6,REP,Jeff Flake,19192,,,
,U.S. House,6,REP,Jeff Flake,165649,True,,
La Paz,U.S. House,7,DEM,Ra�l M. Grijalva,1158,,,
Maricopa,U.S. House,7,DEM,Ra�l M. Grijalva,11812,,,
Pima,U.S. House,7,DEM,Ra�l M. Grijalva,46090,,,
Pinal,U.S. House,7,DEM,Ra�l M. Grijalva,3886,,,
Santa Cruz,U.S. House,7,DEM,Ra�l M. Grijalva,4991,,,
Yuma,U.S. House,7,DEM,Ra�l M. Grijalva,11998,,,
,U.S. House,7,DEM,Ra�l M. Grijalva,79935,True,,
La Paz,U.S. House,7,LBT,George Keane,161,,,
Maricopa,U.S. House,7,LBT,George Keane,626,,,
Pima,U.S. House,7,LBT,George Keane,2283,,,
Pinal,U.S. House,7,LBT,George Keane,305,,,
Santa Cruz,U.S. House,7,LBT,George Keane,127,,,
Yuma,U.S. House,7,LBT,George Keane,816,,,
,U.S. House,7,LBT,George Keane,4318,,,
La Paz,U.S. House,7,REP,Ruth McClung,2919,,,
Maricopa,U.S. House,7,REP,Ruth McClung,10167,,,
Pima,U.S. House,7,REP,Ruth McClung,28614,,,
Pinal,U.S. House,7,REP,Ruth McClung,6129,,,
Santa Cruz,U.S. House,7,REP,Ruth McClung,2332,,,
Yuma,U.S. House,7,REP,Ruth McClung,20224,,,
,U.S. House,7,REP,Ruth McClung,70385,,,
Gila,U.S. House,7,INDEPENDENT,Harley Meyer,174,,,
Graham,U.S. House,7,INDEPENDENT,Harley Meyer,766,,,
Maricopa,U.S. House,7,INDEPENDENT,Harley Meyer,2169,,,
Mohave,U.S. House,7,INDEPENDENT,Harley Meyer,298,,,
Navajo,U.S. House,7,INDEPENDENT,Harley Meyer,146,,,
Pinal,U.S. House,7,INDEPENDENT,Harley Meyer,953,,,
Santa Cruz,U.S. House,7,INDEPENDENT,Harley Meyer,4506,,,
Cochise,U.S. House,8,DEM,Gabrielle Giffords,17049,,,
Pima,U.S. House,8,DEM,Gabrielle Giffords,117389,,,
Pinal,U.S. House,8,DEM,Gabrielle Giffords,2583,,,
Santa Cruz,U.S. House,8,DEM,Gabrielle Giffords,1259,,,
,U.S. House,8,DEM,Gabrielle Giffords,138280,True,,
Cochise,U.S. House,8,LBT,Steven Stoltz,1902,,,
Pima,U.S. House,8,LBT,Steven Stoltz,9056,,,
Pinal,U.S. House,8,LBT,Steven Stoltz,118,,,
Santa Cruz,U.S. House,8,LBT,Steven Stoltz,98,,,
,U.S. House,8,LBT,Steven Stoltz,11174,,,
Cochise,U.S. House,8,REP,Jesse Kelly,20999,,,
Pima,U.S. House,8,REP,Jesse Kelly,108327,,,
Pinal,U.S. House,8,REP,Jesse Kelly,3698,,,
Santa Cruz,U.S. House,8,REP,Jesse Kelly,1100,,,
,U.S. House,8,REP,Jesse Kelly,134124,,,
Apache,Governor,,DEM,Terry Goddard,12839,,,
Cochise,Governor,,DEM,Terry Goddard,13954,,,
Coconino,Governor,,DEM,Terry Goddard,20792,,,
Gila,Governor,,DEM,Terry Goddard,6155,,,
Graham,Governor,,DEM,Terry Goddard,2865,,,
Greenlee,Governor,,DEM,Terry Goddard,1177,,,
La Paz,Governor,,DEM,Terry Goddard,1330,,,
Maricopa,Governor,,DEM,Terry Goddard,415142,,,
Mohave,Governor,,DEM,Terry Goddard,12777,,,
Navajo,Governor,,DEM,Terry Goddard,12517,,,
Pima,Governor,,DEM,Terry Goddard,158337,,,
Pinal,Governor,,DEM,Terry Goddard,30109,,,
Santa Cruz,Governor,,DEM,Terry Goddard,6608,,,
Yavapai,Governor,,DEM,Terry Goddard,25569,,,
Yuma,Governor,,DEM,Terry Goddard,13764,,,
,Governor,,DEM,Terry Goddard,733935,,,
Apache,Governor,,GRN,Larry Gist,294,,,
Cochise,Governor,,GRN,Larry Gist,398,,,
Coconino,Governor,,GRN,Larry Gist,505,,,
Gila,Governor,,GRN,Larry Gist,158,,,
Graham,Governor,,GRN,Larry Gist,74,,,
Greenlee,Governor,,GRN,Larry Gist,24,,,
La Paz,Governor,,GRN,Larry Gist,70,,,
Maricopa,Governor,,GRN,Larry Gist,8600,,,
Mohave,Governor,,GRN,Larry Gist,601,,,
Navajo,Governor,,GRN,Larry Gist,317,,,
Pima,Governor,,GRN,Larry Gist,2967,,,
Pinal,Governor,,GRN,Larry Gist,735,,,
Santa Cruz,Governor,,GRN,Larry Gist,105,,,
Yavapai,Governor,,GRN,Larry Gist,900,,,
Yuma,Governor,,GRN,Larry Gist,380,,,
,Governor,,GRN,Larry Gist,16128,,,
Apache,Governor,,LBT,Barry J. Hess,514,,,
Cochise,Governor,,LBT,Barry J. Hess,742,,,
Coconino,Governor,,LBT,Barry J. Hess,880,,,
Gila,Governor,,LBT,Barry J. Hess,451,,,
Graham,Governor,,LBT,Barry J. Hess,220,,,
Greenlee,Governor,,LBT,Barry J. Hess,60,,,
La Paz,Governor,,LBT,Barry J. Hess,80,,,
Maricopa,Governor,,LBT,Barry J. Hess,24077,,,
Mohave,Governor,,LBT,Barry J. Hess,1307,,,
Navajo,Governor,,LBT,Barry J. Hess,648,,,
Pima,Governor,,LBT,Barry J. Hess,5353,,,
Pinal,Governor,,LBT,Barry J. Hess,1922,,,
Santa Cruz,Governor,,LBT,Barry J. Hess,138,,,
Yavapai,Governor,,LBT,Barry J. Hess,1830,,,
Yuma,Governor,,LBT,Barry J. Hess,500,,,
,Governor,,LBT,Barry J. Hess,38722,,,
Apache,Governor,,REP,Jan Brewer,7002,,,
Cochise,Governor,,REP,Jan Brewer,24974,,,
Coconino,Governor,,REP,Jan Brewer,16754,,,
Gila,Governor,,REP,Jan Brewer,11163,,,
Graham,Governor,,REP,Jan Brewer,5994,,,
Greenlee,Governor,,REP,Jan Brewer,1187,,,
La Paz,Governor,,REP,Jan Brewer,3048,,,
Maricopa,Governor,,REP,Jan Brewer,543045,,,
Mohave,Governor,,REP,Jan Brewer,39026,,,
Navajo,Governor,,REP,Jan Brewer,16157,,,
Pima,Governor,,REP,Jan Brewer,148916,,,
Pinal,Governor,,REP,Jan Brewer,45807,,,
Santa Cruz,Governor,,REP,Jan Brewer,3190,,,
Yavapai,Governor,,REP,Jan Brewer,53081,,,
Yuma,Governor,,REP,Jan Brewer,19590,,,
,Governor,,REP,Jan Brewer,938934,True,,
Apache,Governor,,Write-In,Cary Dolego,0,,,
Cochise,Governor,,Write-In,Cary Dolego,0,,,
Coconino,Governor,,Write-In,Cary Dolego,0,,,
Gila,Governor,,Write-In,Cary Dolego,0,,,
Graham,Governor,,Write-In,Cary Dolego,0,,,
Greenlee,Governor,,Write-In,Cary Dolego,0,,,
La Paz,Governor,,Write-In,Cary Dolego,0,,,
Maricopa,Governor,,Write-In,Cary Dolego,3,,,
Mohave,Governor,,Write-In,Cary Dolego,1,,,
Navajo,Governor,,Write-In,Cary Dolego,1,,,
Pima,Governor,,Write-In,Cary Dolego,4,,,
Pinal,Governor,,Write-In,Cary Dolego,3,,,
Santa Cruz,Governor,,Write-In,Cary Dolego,0,,,
Yavapai,Governor,,Write-In,Cary Dolego,0,,,
Yuma,Governor,,Write-In,Cary Dolego,0,,,
,Governor,,Write-In,Cary Dolego,12,,,
Apache,Governor,,Write-In,Anton Dowls,0,,,
Cochise,Governor,,Write-In,Anton Dowls,0,,,
Coconino,Governor,,Write-In,Anton Dowls,2,,,
Gila,Governor,,Write-In,Anton Dowls,0,,,
Graham,Governor,,Write-In,Anton Dowls,0,,,
Greenlee,Governor,,Write-In,Anton Dowls,0,,,
La Paz,Governor,,Write-In,Anton Dowls,0,,,
Maricopa,Governor,,Write-In,Anton Dowls,15,,,
Mohave,Governor,,Write-In,Anton Dowls,0,,,
Navajo,Governor,,Write-In,Anton Dowls,0,,,
Pima,Governor,,Write-In,Anton Dowls,6,,,
Pinal,Governor,,Write-In,Anton Dowls,1,,,
Santa Cruz,Governor,,Write-In,Anton Dowls,0,,,
Yavapai,Governor,,Write-In,Anton Dowls,4,,,
Yuma,Governor,,Write-In,Anton Dowls,0,,,
,Governor,,Write-In,Anton Dowls,28,,,
Apache,Governor,,Write-In,Janelle Wood,10,,,
Cochise,Governor,,Write-In,Janelle Wood,2,,,
Coconino,Governor,,Write-In,Janelle Wood,11,,,
Gila,Governor,,Write-In,Janelle Wood,2,,,
Graham,Governor,,Write-In,Janelle Wood,0,,,
Greenlee,Governor,,Write-In,Janelle Wood,0,,,
La Paz,Governor,,Write-In,Janelle Wood,0,,,
Maricopa,Governor,,Write-In,Janelle Wood,262,,,
Mohave,Governor,,Write-In,Janelle Wood,3,,,
Navajo,Governor,,Write-In,Janelle Wood,6,,,
Pima,Governor,,Write-In,Janelle Wood,6,,,
Pinal,Governor,,Write-In,Janelle Wood,14,,,
Santa Cruz,Governor,,Write-In,Janelle Wood,0,,,
Yavapai,Governor,,Write-In,Janelle Wood,4,,,
Yuma,Governor,,Write-In,Janelle Wood,2,,,
,Governor,,Write-In,Janelle Wood,322,,,
Coconino,State Senate,1,DEM,Bob Donahue,5184,,,
Yavapai,State Senate,1,DEM,Bob Donahue,23279,,,
,State Senate,1,DEM,Bob Donahue,28463,,,
Coconino,State Senate,1,REP,Steve Pierce,6948,,,
Yavapai,State Senate,1,REP,Steve Pierce,45510,,,
,State Senate,1,REP,Steve Pierce,52458,True,,
Apache,State Senate,2,DEM,"Jack C. Jackson, Jr.",13544,,,
Coconino,State Senate,2,DEM,"Jack C. Jackson, Jr.",16996,,,
Mohave,State Senate,2,DEM,"Jack C. Jackson, Jr.",100,,,
Navajo,State Senate,2,DEM,"Jack C. Jackson, Jr.",7082,,,
Yavapai,State Senate,2,DEM,"Jack C. Jackson, Jr.",0,,,
,State Senate,2,DEM,"Jack C. Jackson, Jr.",37722,True,,
Coconino,State Senate,3,DEM,Beth Weisser,794,,,
La Paz,State Senate,3,DEM,Beth Weisser,605,,,
Mohave,State Senate,3,DEM,Beth Weisser,14674,,,
,State Senate,3,DEM,Beth Weisser,16073,,,
Coconino,State Senate,3,REP,Ron Gould,1574,,,
La Paz,State Senate,3,REP,Ron Gould,1640,,,
Mohave,State Senate,3,REP,Ron Gould,37563,,,
,State Senate,3,REP,Ron Gould,40777,True,,
Maricopa,State Senate,4,DEM,Sue Dolphin,28624,,,
Yavapai,State Senate,4,DEM,Sue Dolphin,2876,,,
,State Senate,4,DEM,Sue Dolphin,31500,,,
Maricopa,State Senate,4,REP,Scott Bundgaard,60963,,,
Yavapai,State Senate,4,REP,Scott Bundgaard,7239,,,
,State Senate,4,REP,Scott Bundgaard,68202,True,,
Apache,State Senate,5,DEM,Elaine Bohlmeyer,1288,,,
Coconino,State Senate,5,DEM,Elaine Bohlmeyer,0,,,
Gila,State Senate,5,DEM,Elaine Bohlmeyer,6123,,,
Graham,State Senate,5,DEM,Elaine Bohlmeyer,3022,,,
Greenlee,State Senate,5,DEM,Elaine Bohlmeyer,1139,,,
Navajo,State Senate,5,DEM,Elaine Bohlmeyer,6698,,,
Pinal,State Senate,5,DEM,Elaine Bohlmeyer,0,,,
,State Senate,5,DEM,Elaine Bohlmeyer,18270,,,
Apache,State Senate,5,REP,Sylvia Tenney Allen,4616,,,
Coconino,State Senate,5,REP,Sylvia Tenney Allen,0,,,
Gila,State Senate,5,REP,Sylvia Tenney Allen,10762,,,
Graham,State Senate,5,REP,Sylvia Tenney Allen,5917,,,
Greenlee,State Senate,5,REP,Sylvia Tenney Allen,1211,,,
Navajo,State Senate,5,REP,Sylvia Tenney Allen,14824,,,
Pinal,State Senate,5,REP,Sylvia Tenney Allen,0,,,
,State Senate,5,REP,Sylvia Tenney Allen,37330,True,,
Maricopa,State Senate,6,DEM,Pat Flickner,19190,,,
,State Senate,6,DEM,Pat Flickner,19190,,,
Maricopa,State Senate,6,REP,Lori Klein,38999,,,
,State Senate,6,REP,Lori Klein,38999,True,,
Maricopa,State Senate,7,DEM,Eric Shelley,20441,,,
,State Senate,7,DEM,Eric Shelley,20441,,,
Maricopa,State Senate,7,REP,Nancy Barto,41849,,,
,State Senate,7,REP,Nancy Barto,41849,True,,
Maricopa,State Senate,8,DEM,Stuart Turnansky,22570,,,
,State Senate,8,DEM,Stuart Turnansky,22570,,,
Maricopa,State Senate,8,REP,Michele Reagan,52532,,,
,State Senate,8,REP,Michele Reagan,52532,True,,
Maricopa,State Senate,9,DEM,Sheri Van Horsen,20215,,,
,State Senate,9,DEM,Sheri Van Horsen,20215,,,
Maricopa,State Senate,9,LBT,Michael Patti,2920,,,
,State Senate,9,LBT,Michael Patti,2920,,,
Maricopa,State Senate,9,REP,Rick Murphy,32895,,,
,State Senate,9,REP,Rick Murphy,32895,True,,
Maricopa,State Senate,10,DEM,Justin Johnson,16012,,,
,State Senate,10,DEM,Justin Johnson,16012,,,
