county,office,district,party,candidate,votes,winner,write-in
Apache,U.S. Senate,,DEM,John Dougherty,2744,,
Cochise,U.S. Senate,,DEM,John Dougherty,1553,,
Coconino,U.S. Senate,,DEM,John Dougherty,2036,,
Gila,U.S. Senate,,DEM,John Dougherty,791,,
Graham,U.S. Senate,,DEM,John Dougherty,454,,
Greenlee,U.S. Senate,,DEM,John Dougherty,172,,
La Paz,U.S. Senate,,DEM,John Dougherty,153,,
Maricopa,U.S. Senate,,DEM,John Dougherty,33465,,
Mohave,U.S. Senate,,DEM,John Dougherty,1360,,
Navajo,U.S. Senate,,DEM,John Dougherty,2056,,
Pima,U.S. Senate,,DEM,John Dougherty,15985,,
Pinal,U.S. Senate,,DEM,John Dougherty,3318,,
Santa Cruz,U.S. Senate,,DEM,John Dougherty,518,,
Yavapai,U.S. Senate,,DEM,John Dougherty,2471,,
Yuma,U.S. Senate,,DEM,John Dougherty,1513,,
,U.S. Senate,,DEM,John Dougherty,68589,,
Apache,U.S. Senate,,DEM,Cathy Eden,2992,,
Cochise,U.S. Senate,,DEM,Cathy Eden,1705,,
Coconino,U.S. Senate,,DEM,Cathy Eden,2934,,
Gila,U.S. Senate,,DEM,Cathy Eden,962,,
Graham,U.S. Senate,,DEM,Cathy Eden,482,,
Greenlee,U.S. Senate,,DEM,Cathy Eden,159,,
La Paz,U.S. Senate,,DEM,Cathy Eden,192,,
Maricopa,U.S. Senate,,DEM,Cathy Eden,42627,,
Mohave,U.S. Senate,,DEM,Cathy Eden,1591,,
Navajo,U.S. Senate,,DEM,Cathy Eden,2239,,
Pima,U.S. Senate,,DEM,Cathy Eden,11679,,
Pinal,U.S. Senate,,DEM,Cathy Eden,3645,,
Santa Cruz,U.S. Senate,,DEM,Cathy Eden,457,,
Yavapai,U.S. Senate,,DEM,Cathy Eden,3124,,
Yuma,U.S. Senate,,DEM,Cathy Eden,1699,,
,U.S. Senate,,DEM,Cathy Eden,76487,,
Apache,U.S. Senate,,DEM,Rodney Glassman,1545,,
Cochise,U.S. Senate,,DEM,Rodney Glassman,3000,,
Coconino,U.S. Senate,,DEM,Rodney Glassman,2044,,
Gila,U.S. Senate,,DEM,Rodney Glassman,1108,,
Graham,U.S. Senate,,DEM,Rodney Glassman,459,,
Greenlee,U.S. Senate,,DEM,Rodney Glassman,370,,
La Paz,U.S. Senate,,DEM,Rodney Glassman,135,,
Maricopa,U.S. Senate,,DEM,Rodney Glassman,45483,,
Mohave,U.S. Senate,,DEM,Rodney Glassman,1339,,
Navajo,U.S. Senate,,DEM,Rodney Glassman,1478,,
Pima,U.S. Senate,,DEM,Rodney Glassman,33271,,
Pinal,U.S. Senate,,DEM,Rodney Glassman,3793,,
Santa Cruz,U.S. Senate,,DEM,Rodney Glassman,1086,,
Yavapai,U.S. Senate,,DEM,Rodney Glassman,3855,,
Yuma,U.S. Senate,,DEM,Rodney Glassman,1341,,
,U.S. Senate,,DEM,Rodney Glassman,100307,True,
Apache,U.S. Senate,,DEM,William Koller,12,,True
Cochise,U.S. Senate,,DEM,William Koller,3,,True
Coconino,U.S. Senate,,DEM,William Koller,0,,True
Gila,U.S. Senate,,DEM,William Koller,1,,True
Graham,U.S. Senate,,DEM,William Koller,0,,True
Greenlee,U.S. Senate,,DEM,William Koller,0,,True
La Paz,U.S. Senate,,DEM,William Koller,0,,True
Maricopa,U.S. Senate,,DEM,William Koller,11,,True
Mohave,U.S. Senate,,DEM,William Koller,2,,True
Navajo,U.S. Senate,,DEM,William Koller,4,,True
Pima,U.S. Senate,,DEM,William Koller,8,,True
Pinal,U.S. Senate,,DEM,William Koller,0,,True
Santa Cruz,U.S. Senate,,DEM,William Koller,1,,True
Yavapai,U.S. Senate,,DEM,William Koller,4,,True
Yuma,U.S. Senate,,DEM,William Koller,2,,True
,U.S. Senate,,DEM,William Koller,48,,True
Apache,U.S. Senate,,DEM,Randy Parraz,1498,,
Cochise,U.S. Senate,,DEM,Randy Parraz,928,,
Coconino,U.S. Senate,,DEM,Randy Parraz,1049,,
Gila,U.S. Senate,,DEM,Randy Parraz,469,,
Graham,U.S. Senate,,DEM,Randy Parraz,286,,
Greenlee,U.S. Senate,,DEM,Randy Parraz,193,,
La Paz,U.S. Senate,,DEM,Randy Parraz,70,,
Maricopa,U.S. Senate,,DEM,Randy Parraz,22626,,
Mohave,U.S. Senate,,DEM,Randy Parraz,466,,
Navajo,U.S. Senate,,DEM,Randy Parraz,1134,,
