county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Apache,02 ALPINE,Registered Voters - Total,,,,,472,472,472,472
Apache,02 ALPINE,Registered Voters - Democratic,,,DEM,,61,61,61,61
Apache,02 ALPINE,Registered Voters - Republican,,,REP,,283,283,283,283
Apache,02 ALPINE,Registered Voters - Libertarian,,,LBT,,6,6,6,6
Apache,02 ALPINE,Registered Voters - Green,,,GRN,,0,0,0,0
Apache,02 ALPINE,Registered Voters - No Labels,,,NOL,,1,1,1,1
Apache,02 ALPINE,Registered Voters - Nonpartisan,,,Nonpartisan,,121,121,121,121
Apache,02 ALPINE,Ballots Cast - Total,,,,,225,199,24,2
Apache,02 ALPINE,Ballots Cast - Democratic,,,DEM,,46,40,5,1
Apache,02 ALPINE,Ballots Cast - Republican,,,REP,,179,159,19,159
Apache,02 ALPINE,Ballots Cast - Libertarian,,,LBT,,0,0,0,0
Apache,02 ALPINE,Ballots Cast - Green,,,GRN,,0,0,0,0
Apache,02 ALPINE,Ballots Cast - No Labels,,,NOL,,0,0,0,0
Apache,02 ALPINE,Ballots Cast - Nonpartisan,,,Nonpartisan,,0,0,0,0
Apache,02 ALPINE,Ballots Cast - Blank,,,,,1,1,0,0
Apache,02 ALPINE,U.S. Senate,,1,DEM,Ruben GALLEGO,41,36,5,0
Apache,02 ALPINE,U.S. Senate,,1,DEM,Write-In Totals,0,0,0,0
Apache,02 ALPINE,U.S. Senate,,1,DEM,Total Votes Cast,41,36,5,0
Apache,02 ALPINE,U.S. Senate,,1,DEM,Overvotes,0,0,0,0
Apache,02 ALPINE,U.S. Senate,,1,DEM,Undervotes,5,4,0,1
Apache,02 ALPINE,U.S. House,2,1,DEM,Jonathan NEZ,35,30,5,0
Apache,02 ALPINE,U.S. House,2,1,DEM,Write-In Totals,0,0,0,0
Apache,02 ALPINE,U.S. House,2,1,DEM,Total Votes Cast,35,30,5,0
Apache,02 ALPINE,U.S. House,2,1,DEM,Overvotes,0,0,0,0
Apache,02 ALPINE,U.S. House,2,1,DEM,Undervotes,11,10,0,1
Apache,02 ALPINE,State Senate,6,1,DEM,Theresa HATATHLIE,36,31,5,0
Apache,02 ALPINE,State Senate,6,1,DEM,Write-In Totals,0,0,0,0
Apache,02 ALPINE,State Senate,6,1,DEM,Total Votes Cast,36,31,5,0
Apache,02 ALPINE,State Senate,6,1,DEM,Overvotes,0,0,0,0
Apache,02 ALPINE,State Senate,6,1,DEM,Undervotes,10,9,0,1
Apache,02 ALPINE,State House,6,2,DEM,Angela MALONEY,16,12,3,1
Apache,02 ALPINE,State House,6,2,DEM,Mae PESHLAKAI,26,23,3,0
Apache,02 ALPINE,State House,6,2,DEM,Myron TSOSIE,20,17,3,0
Apache,02 ALPINE,State House,6,2,DEM,Write-In Totals,0,0,0,0
Apache,02 ALPINE,State House,6,2,DEM,Total Votes Cast,62,52,9,1
Apache,02 ALPINE,State House,6,2,DEM,Overvotes,2,2,0,0
Apache,02 ALPINE,State House,6,2,DEM,Undervotes,28,26,1,1
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,32,29,3,0
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Jonathon HILL,35,29,5,1
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Joshua POLACHECK,31,27,4,0
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Write-In Totals,0,0,0,0
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Total Votes Cast,98,85,12,1
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Overvotes,0,0,0,0
Apache,02 ALPINE,Corporation Commissioner,,3,DEM,Undervotes,40,35,3,2
Apache,02 ALPINE,Board of Supervisors,3,1,DEM,Write-In Totals,4,4,0,0
Apache,02 ALPINE,Board of Supervisors,3,1,DEM,Total Votes Cast,4,4,0,0
