county,precinct,office,district,party,seats,candidate,votes
Gila,Globe No. 1,State Senate,7,REP,1,David COOK,87
Gila,Globe No. 1,State Senate,7,REP,1,Wendy ROGERS,66
Gila,Globe No. 1,State Senate,7,REP,1,Write-In Totals,2
Gila,Globe No. 1,State Senate,7,REP,1,Total Votes Cast,155
Gila,Globe No. 1,State Senate,7,REP,1,Overvotes,0
Gila,Globe No. 1,State Senate,7,REP,1,Undervotes,3
Gila,Globe No. 1,State House,7,REP,2,"Walter ""Walt"" BLACKMAN",58
Gila,Globe No. 1,State House,7,REP,2,Andrew COSTANZO,41
Gila,Globe No. 1,State House,7,REP,2,John FILLMORE,28
Gila,Globe No. 1,State House,7,REP,2,Barby INGLE,19
Gila,Globe No. 1,State House,7,REP,2,David MARSHALL SR.,64
Gila,Globe No. 1,State House,7,REP,2,Steven SLATON,34
Gila,Globe No. 1,State House,7,REP,2,Write-In Totals,1
Gila,Globe No. 1,State House,7,REP,2,Total Votes Cast,245
Gila,Globe No. 1,State House,7,REP,2,Overvotes,4
Gila,Globe No. 1,State House,7,REP,2,Undervotes,67
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Rene LOPEZ,80
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,77
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Rachel WALDEN,101
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Write-In Totals,3
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Total Votes Cast,261
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Overvotes,0
Gila,Globe No. 1,Corporation Commissioner,,REP,3,Undervotes,213
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Woody CLINE,110
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Kelly PARKS,37
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Write-In Totals,0
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Total Votes Cast,147
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Overvotes,0
Gila,Globe No. 1,Board of Supervisors,3,REP,1,Undervotes,11
Gila,Globe No. 1,County Attorney,,REP,1,Bradley BEAUCHAMP,125
Gila,Globe No. 1,County Attorney,,REP,1,Write-In Totals,2
Gila,Globe No. 1,County Attorney,,REP,1,Total Votes Cast,127
Gila,Globe No. 1,County Attorney,,REP,1,Overvotes,0
Gila,Globe No. 1,County Attorney,,REP,1,Undervotes,31
