county,precinct,office,district,party,seats,candidate,votes
Gila,Globe No. 7,Board of Supervisors,2,DEM,1,Undervotes,63
Gila,Globe No. 7,County Attorney,,DEM,1,Write-In Totals,3
Gila,Globe No. 7,County Attorney,,DEM,1,Total Votes Cast,3
Gila,Globe No. 7,County Attorney,,DEM,1,Overvotes,0
Gila,Globe No. 7,County Attorney,,DEM,1,Undervotes,63
Gila,Globe No. 7,Sheriff,,DEM,1,Write-In Totals,4
Gila,Globe No. 7,Sheriff,,DEM,1,Total Votes Cast,4
Gila,Globe No. 7,Sheriff,,DEM,1,Overvotes,0
Gila,Globe No. 7,Sheriff,,DEM,1,Undervotes,62
Gila,Globe No. 7,County Treasurer,,DEM,1,Write-In Totals,4
Gila,Globe No. 7,County Treasurer,,DEM,1,Total Votes Cast,4
Gila,Globe No. 7,County Treasurer,,DEM,1,Overvotes,0
Gila,Globe No. 7,County Treasurer,,DEM,1,Undervotes,62
Gila,Globe No. 7,County Superintendent of Schools,,DEM,1,Write-In Totals,2
Gila,Globe No. 7,County Superintendent of Schools,,DEM,1,Total Votes Cast,2
Gila,Globe No. 7,County Superintendent of Schools,,DEM,1,Overvotes,0
Gila,Globe No. 7,County Superintendent of Schools,,DEM,1,Undervotes,64
Gila,Globe No. 7,County Recorder,,DEM,1,Write-In Totals,3
Gila,Globe No. 7,County Recorder,,DEM,1,Total Votes Cast,3
Gila,Globe No. 7,County Recorder,,DEM,1,Overvotes,0
Gila,Globe No. 7,County Recorder,,DEM,1,Undervotes,63
Gila,Globe No. 7,County Assessor,,DEM,1,Write-In Totals,2
Gila,Globe No. 7,County Assessor,,DEM,1,Total Votes Cast,2
Gila,Globe No. 7,County Assessor,,DEM,1,Overvotes,0
Gila,Globe No. 7,County Assessor,,DEM,1,Undervotes,64
Gila,Globe No. 7,Judge of the Superior Court,Div. 1,DEM,1,Write-In Totals,3
Gila,Globe No. 7,Judge of the Superior Court,Div. 1,DEM,1,Total Votes Cast,3
Gila,Globe No. 7,Judge of the Superior Court,Div. 1,DEM,1,Overvotes,0
Gila,Globe No. 7,Judge of the Superior Court,Div. 1,DEM,1,Undervotes,63
Gila,Globe No. 7,U.S. Senate,,LBT,1,Write-In Totals,2
Gila,Globe No. 7,U.S. Senate,,LBT,1,Total Votes Cast,2
Gila,Globe No. 7,U.S. Senate,,LBT,1,Overvotes,0
Gila,Globe No. 7,U.S. Senate,,LBT,1,Undervotes,1
Gila,Globe No. 7,U.S. House,2,LBT,1,Write-In Totals,1
Gila,Globe No. 7,U.S. House,2,LBT,1,Total Votes Cast,1
Gila,Globe No. 7,U.S. House,2,LBT,1,Overvotes,0
Gila,Globe No. 7,U.S. House,2,LBT,1,Undervotes,2
Gila,Globe No. 7,State Senate,7,LBT,1,Write-In Totals,1
Gila,Globe No. 7,State Senate,7,LBT,1,Total Votes Cast,1
Gila,Globe No. 7,State Senate,7,LBT,1,Overvotes,0
Gila,Globe No. 7,State Senate,7,LBT,1,Undervotes,2
Gila,Globe No. 7,State House,7,LBT,2,Write-In Totals,2
Gila,Globe No. 7,State House,7,LBT,2,Total Votes Cast,2
Gila,Globe No. 7,State House,7,LBT,2,Overvotes,0
Gila,Globe No. 7,State House,7,LBT,2,Undervotes,4
Gila,Globe No. 7,Corporation Commissioner,,LBT,3,Write-In Totals,2
Gila,Globe No. 7,Corporation Commissioner,,LBT,3,Total Votes Cast,2
Gila,Globe No. 7,Corporation Commissioner,,LBT,3,Overvotes,0
Gila,Globe No. 7,Corporation Commissioner,,LBT,3,Undervotes,7
Gila,Globe No. 7,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0
Gila,Globe No. 7,U.S. Senate,,GRN,1,Michael NORTON,0
Gila,Globe No. 7,U.S. Senate,,GRN,1,Write-In Totals,0
Gila,Globe No. 7,U.S. Senate,,GRN,1,Total Votes Cast,0
Gila,Globe No. 7,U.S. Senate,,GRN,1,Overvotes,0
Gila,Globe No. 7,U.S. Senate,,GRN,1,Undervotes,0
Gila,Globe No. 7,U.S. House,2,GRN,1,Write-In Totals,0
Gila,Globe No. 7,U.S. House,2,GRN,1,Total Votes Cast,0
Gila,Globe No. 7,U.S. House,2,GRN,1,Overvotes,0
Gila,Globe No. 7,U.S. House,2,GRN,1,Undervotes,0
Gila,Globe No. 7,State Senate,7,GRN,1,Write-In Totals,0
Gila,Globe No. 7,State Senate,7,GRN,1,Total Votes Cast,0
Gila,Globe No. 7,State Senate,7,GRN,1,Overvotes,0
Gila,Globe No. 7,State Senate,7,GRN,1,Undervotes,0
Gila,Globe No. 7,State House,7,GRN,2,Write-In Totals,0
Gila,Globe No. 7,State House,7,GRN,2,Total Votes Cast,0
Gila,Globe No. 7,State House,7,GRN,2,Overvotes,0
Gila,Globe No. 7,State House,7,GRN,2,Undervotes,0
Gila,Globe No. 7,Corporation Commissioner,,GRN,3,Write-In Totals,0
Gila,Globe No. 7,Corporation Commissioner,,GRN,3,Total Votes Cast,0
Gila,Globe No. 7,Corporation Commissioner,,GRN,3,Overvotes,0
Gila,Globe No. 7,Corporation Commissioner,,GRN,3,Undervotes,0
Gila,Globe No. 7,No Labels Notice,,NOL,1,No Candidate Nominated,0
Gila,Globe No. 7,No Labels Notice,,NOL,1,Total Votes Cast,0
Gila,Globe No. 7,No Labels Notice,,NOL,1,Overvotes,0
Gila,Globe No. 7,No Labels Notice,,NOL,1,Undervotes,0
Gila,Globe No. 8,Registered Voters - Total,,,,,248
Gila,Globe No. 8,Registered Voters - Nonpartisan,,Nonpartisan,,,178
Gila,Globe No. 8,Registered Voters - Republican,,REP,,,168
Gila,Globe No. 8,Registered Voters - Democratic,,DEM,,,198
Gila,Globe No. 8,Registered Voters - Libertarian,,LBT,,,1
Gila,Globe No. 8,Registered Voters - Green,,GRN,,,0
Gila,Globe No. 8,Registered Voters - No Labels Party,,NOL,,,3
Gila,Globe No. 8,Ballots Cast - Total,,,,,162
Gila,Globe No. 8,Ballots Cast - Nonpartisan,,Nonpartisan,,,0
Gila,Globe No. 8,Ballots Cast - Republican,,REP,,,73
Gila,Globe No. 8,Ballots Cast - Democratic,,DEM,,,69
Gila,Globe No. 8,Ballots Cast - Libertarian,,LBT,,,0
Gila,Globe No. 8,Ballots Cast - Green,,GRN,,,0
Gila,Globe No. 8,Ballots Cast - No Labels Party,,NOL,,,0
Gila,Globe No. 8,Ballots Cast - Blank,,,,,0
Gila,Globe No. 8,Mayor City of Globe,,,1,Alfred GAMEROS,120
Gila,Globe No. 8,Mayor City of Globe,,,1,Write-In Totals,3
Gila,Globe No. 8,Mayor City of Globe,,,1,Total Votes Cast,123
Gila,Globe No. 8,Mayor City of Globe,,,1,Overvotes,0
Gila,Globe No. 8,Mayor City of Globe,,,1,Undervotes,20
Gila,Globe No. 8,Proposition 412,City of Globe,,1,YES,80
Gila,Globe No. 8,Proposition 412,City of Globe,,1,NO,39
Gila,Globe No. 8,Proposition 412,City of Globe,,1,Total Votes Cast,119
Gila,Globe No. 8,Proposition 412,City of Globe,,1,Overvotes,0
Gila,Globe No. 8,Proposition 412,City of Globe,,1,Undervotes,24
Gila,Globe No. 8,U.S. Senate,,REP,1,Kari LAKE,30
Gila,Globe No. 8,U.S. Senate,,REP,1,Mark LAMB,35
Gila,Globe No. 8,U.S. Senate,,REP,1,Elizabeth Jean REYE,6
Gila,Globe No. 8,U.S. Senate,,REP,1,Write-In Totals,0
Gila,Globe No. 8,U.S. Senate,,REP,1,Total Votes Cast,71
Gila,Globe No. 8,U.S. Senate,,REP,1,Overvotes,0
Gila,Globe No. 8,U.S. Senate,,REP,1,Undervotes,2
Gila,Globe No. 8,U.S. House,2,REP,1,Eli CRANE,48
Gila,Globe No. 8,U.S. House,2,REP,1,Jack SMITH,19
Gila,Globe No. 8,U.S. House,2,REP,1,Write-In Totals,1
Gila,Globe No. 8,U.S. House,2,REP,1,Total Votes Cast,68
Gila,Globe No. 8,U.S. House,2,REP,1,Overvotes,0
Gila,Globe No. 8,U.S. House,2,REP,1,Undervotes,5
Gila,Globe No. 8,State Senate,7,REP,1,David COOK,34
Gila,Globe No. 8,State Senate,7,REP,1,Wendy ROGERS,38
Gila,Globe No. 8,State Senate,7,REP,1,Write-In Totals,0
Gila,Globe No. 8,State Senate,7,REP,1,Total Votes Cast,72
Gila,Globe No. 8,State Senate,7,REP,1,Overvotes,0
Gila,Globe No. 8,State Senate,7,REP,1,Undervotes,1
Gila,Globe No. 8,State House,7,REP,2,"Walter ""Walt"" BLACKMAN",22
Gila,Globe No. 8,State House,7,REP,2,Andrew COSTANZO,16
Gila,Globe No. 8,State House,7,REP,2,John FILLMORE,18
Gila,Globe No. 8,State House,7,REP,2,Barby INGLE,11
Gila,Globe No. 8,State House,7,REP,2,David MARSHALL SR.,34
Gila,Globe No. 8,State House,7,REP,2,Steven SLATON,10
Gila,Globe No. 8,State House,7,REP,2,Write-In Totals,2
Gila,Globe No. 8,State House,7,REP,2,Total Votes Cast,113
Gila,Globe No. 8,State House,7,REP,2,Overvotes,0
Gila,Globe No. 8,State House,7,REP,2,Undervotes,33
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Rene LOPEZ,42
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,33
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Rachel WALDEN,44
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Write-In Totals,1
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Total Votes Cast,120
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Overvotes,0
Gila,Globe No. 8,Corporation Commissioner,,REP,3,Undervotes,99
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Timothy HUMPHREY,45
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Randy ROBERSON,23
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Write-In Totals,0
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Total Votes Cast,68
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Overvotes,0
Gila,Globe No. 8,Board of Supervisors,2,REP,1,Undervotes,5
Gila,Globe No. 8,County Attorney,,REP,1,Bradley BEAUCHAMP,56
Gila,Globe No. 8,County Attorney,,REP,1,Write-In Totals,0
Gila,Globe No. 8,County Attorney,,REP,1,Total Votes Cast,56
Gila,Globe No. 8,County Attorney,,REP,1,Overvotes,0
Gila,Globe No. 8,County Attorney,,REP,1,Undervotes,17
Gila,Globe No. 8,Sheriff,,REP,1,Tom MORRISSEY,27
Gila,Globe No. 8,Sheriff,,REP,1,Adam SHEPHERD,36
Gila,Globe No. 8,Sheriff,,REP,1,Write-In Totals,8
Gila,Globe No. 8,Sheriff,,REP,1,Total Votes Cast,71
Gila,Globe No. 8,Sheriff,,REP,1,Overvotes,0
Gila,Globe No. 8,Sheriff,,REP,1,Undervotes,2
Gila,Globe No. 8,County Treasurer,,REP,1,Monica WOHLFORTH,61
Gila,Globe No. 8,County Treasurer,,REP,1,Write-In Totals,0
Gila,Globe No. 8,County Treasurer,,REP,1,Total Votes Cast,61
Gila,Globe No. 8,County Treasurer,,REP,1,Overvotes,0
Gila,Globe No. 8,County Treasurer,,REP,1,Undervotes,12
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Jack DUFFY,29
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Roy SANDOVAL,37
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Write-In Totals,0
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Total Votes Cast,66
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Overvotes,0
Gila,Globe No. 8,County Superintendent of Schools,,REP,1,Undervotes,7
Gila,Globe No. 8,County Recorder,,REP,1,Sadie Jo BINGHAM,53
Gila,Globe No. 8,County Recorder,,REP,1,Bonnie WOLFF,17
Gila,Globe No. 8,County Recorder,,REP,1,Write-In Totals,0
Gila,Globe No. 8,County Recorder,,REP,1,Total Votes Cast,70
Gila,Globe No. 8,County Recorder,,REP,1,Overvotes,0
Gila,Globe No. 8,County Recorder,,REP,1,Undervotes,3
Gila,Globe No. 8,County Assessor,,REP,1,Sherra KISSEE,59
Gila,Globe No. 8,County Assessor,,REP,1,Write-In Totals,1
Gila,Globe No. 8,County Assessor,,REP,1,Total Votes Cast,60
Gila,Globe No. 8,County Assessor,,REP,1,Overvotes,0
Gila,Globe No. 8,County Assessor,,REP,1,Undervotes,13
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,REP,1,Bryan B. CHAMBERS,57
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,REP,1,Write-In Totals,0
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,REP,1,Total Votes Cast,57
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,REP,1,Overvotes,0
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,REP,1,Undervotes,16
Gila,Globe No. 8,U.S. Senate,,DEM,1,Ruben GALLEGO,83
Gila,Globe No. 8,U.S. Senate,,DEM,1,Write-In Totals,2
Gila,Globe No. 8,U.S. Senate,,DEM,1,Total Votes Cast,85
Gila,Globe No. 8,U.S. Senate,,DEM,1,Overvotes,0
Gila,Globe No. 8,U.S. Senate,,DEM,1,Undervotes,4
Gila,Globe No. 8,U.S. House,2,DEM,1,Jonathan NEZ,76
Gila,Globe No. 8,U.S. House,2,DEM,1,Write-In Totals,1
Gila,Globe No. 8,U.S. House,2,DEM,1,Total Votes Cast,77
Gila,Globe No. 8,U.S. House,2,DEM,1,Overvotes,0
Gila,Globe No. 8,U.S. House,2,DEM,1,Undervotes,12
Gila,Globe No. 8,State Senate,7,DEM,1,Haley CREIGHTON,21
Gila,Globe No. 8,State Senate,7,DEM,1,Roberto Apodac REVELES,57
Gila,Globe No. 8,State Senate,7,DEM,1,Write-In Totals,0
Gila,Globe No. 8,State Senate,7,DEM,1,Total Votes Cast,78
Gila,Globe No. 8,State Senate,7,DEM,1,Overvotes,2
Gila,Globe No. 8,State Senate,7,DEM,1,Undervotes,9
Gila,Globe No. 8,State House,7,DEM,2,Kevin CHIQUETE,64
Gila,Globe No. 8,State House,7,DEM,2,Nancy HARTL,64
Gila,Globe No. 8,State House,7,DEM,2,Write-In Totals,1
Gila,Globe No. 8,State House,7,DEM,2,Total Votes Cast,129
Gila,Globe No. 8,State House,7,DEM,2,Overvotes,0
Gila,Globe No. 8,State House,7,DEM,2,Undervotes,49
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Ylenia AGUILAR,79
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Jonathon HILL,55
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Joshua POLACHECK,57
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Write-In Totals,1
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Total Votes Cast,192
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Overvotes,0
Gila,Globe No. 8,Corporation Commissioner,,DEM,3,Undervotes,75
Gila,Globe No. 8,Board of Supervisors,2,DEM,1,Write-In Totals,7
Gila,Globe No. 8,Board of Supervisors,2,DEM,1,Total Votes Cast,7
Gila,Globe No. 8,Board of Supervisors,2,DEM,1,Overvotes,0
Gila,Globe No. 8,Board of Supervisors,2,DEM,1,Undervotes,82
Gila,Globe No. 8,County Attorney,,DEM,1,Write-In Totals,8
Gila,Globe No. 8,County Attorney,,DEM,1,Total Votes Cast,8
Gila,Globe No. 8,County Attorney,,DEM,1,Overvotes,0
Gila,Globe No. 8,County Attorney,,DEM,1,Undervotes,81
Gila,Globe No. 8,Sheriff,,DEM,1,Write-In Totals,4
Gila,Globe No. 8,Sheriff,,DEM,1,Total Votes Cast,4
Gila,Globe No. 8,Sheriff,,DEM,1,Overvotes,0
Gila,Globe No. 8,Sheriff,,DEM,1,Undervotes,85
Gila,Globe No. 8,County Treasurer,,DEM,1,Write-In Totals,6
Gila,Globe No. 8,County Treasurer,,DEM,1,Total Votes Cast,6
Gila,Globe No. 8,County Treasurer,,DEM,1,Overvotes,0
Gila,Globe No. 8,County Treasurer,,DEM,1,Undervotes,83
Gila,Globe No. 8,County Superintendent of Schools,,DEM,1,Write-In Totals,6
Gila,Globe No. 8,County Superintendent of Schools,,DEM,1,Total Votes Cast,6
Gila,Globe No. 8,County Superintendent of Schools,,DEM,1,Overvotes,0
Gila,Globe No. 8,County Superintendent of Schools,,DEM,1,Undervotes,83
Gila,Globe No. 8,County Recorder,,DEM,1,Write-In Totals,7
Gila,Globe No. 8,County Recorder,,DEM,1,Total Votes Cast,7
Gila,Globe No. 8,County Recorder,,DEM,1,Overvotes,0
Gila,Globe No. 8,County Recorder,,DEM,1,Undervotes,82
Gila,Globe No. 8,County Assessor,,DEM,1,Write-In Totals,5
Gila,Globe No. 8,County Assessor,,DEM,1,Total Votes Cast,5
Gila,Globe No. 8,County Assessor,,DEM,1,Overvotes,0
Gila,Globe No. 8,County Assessor,,DEM,1,Undervotes,84
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,DEM,1,Write-In Totals,4
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,DEM,1,Total Votes Cast,4
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,DEM,1,Overvotes,0
Gila,Globe No. 8,Judge of the Superior Court,Div. 1,DEM,1,Undervotes,85
Gila,Globe No. 8,U.S. Senate,,LBT,1,Write-In Totals,0
Gila,Globe No. 8,U.S. Senate,,LBT,1,Total Votes Cast,0
Gila,Globe No. 8,U.S. Senate,,LBT,1,Overvotes,0
Gila,Globe No. 8,U.S. Senate,,LBT,1,Undervotes,0
Gila,Globe No. 8,U.S. House,2,LBT,1,Write-In Totals,0
Gila,Globe No. 8,U.S. House,2,LBT,1,Total Votes Cast,0
Gila,Globe No. 8,U.S. House,2,LBT,1,Overvotes,0
Gila,Globe No. 8,U.S. House,2,LBT,1,Undervotes,0
Gila,Globe No. 8,State Senate,7,LBT,1,Write-In Totals,0
Gila,Globe No. 8,State Senate,7,LBT,1,Total Votes Cast,0
Gila,Globe No. 8,State Senate,7,LBT,1,Overvotes,0
Gila,Globe No. 8,State Senate,7,LBT,1,Undervotes,0
Gila,Globe No. 8,State House,7,LBT,2,Write-In Totals,0
Gila,Globe No. 8,State House,7,LBT,2,Total Votes Cast,0
Gila,Globe No. 8,State House,7,LBT,2,Overvotes,0
Gila,Globe No. 8,State House,7,LBT,2,Undervotes,0
Gila,Globe No. 8,Corporation Commissioner,,LBT,3,Write-In Totals,0
Gila,Globe No. 8,Corporation Commissioner,,LBT,3,Total Votes Cast,0
Gila,Globe No. 8,Corporation Commissioner,,LBT,3,Overvotes,0
Gila,Globe No. 8,Corporation Commissioner,,LBT,3,Undervotes,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Michael NORTON,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Write-In Totals,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Total Votes Cast,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Overvotes,0
Gila,Globe No. 8,U.S. Senate,,GRN,1,Undervotes,0
Gila,Globe No. 8,U.S. House,2,GRN,1,Write-In Totals,0
Gila,Globe No. 8,U.S. House,2,GRN,1,Total Votes Cast,0
Gila,Globe No. 8,U.S. House,2,GRN,1,Overvotes,0
Gila,Globe No. 8,U.S. House,2,GRN,1,Undervotes,0
Gila,Globe No. 8,State Senate,7,GRN,1,Write-In Totals,0
Gila,Globe No. 8,State Senate,7,GRN,1,Total Votes Cast,0
Gila,Globe No. 8,State Senate,7,GRN,1,Overvotes,0
Gila,Globe No. 8,State Senate,7,GRN,1,Undervotes,0
Gila,Globe No. 8,State House,7,GRN,2,Write-In Totals,0
Gila,Globe No. 8,State House,7,GRN,2,Total Votes Cast,0
Gila,Globe No. 8,State House,7,GRN,2,Overvotes,0
Gila,Globe No. 8,State House,7,GRN,2,Undervotes,0
Gila,Globe No. 8,Corporation Commissioner,,GRN,3,Write-In Totals,0
Gila,Globe No. 8,Corporation Commissioner,,GRN,3,Total Votes Cast,0
Gila,Globe No. 8,Corporation Commissioner,,GRN,3,Overvotes,0
Gila,Globe No. 8,Corporation Commissioner,,GRN,3,Undervotes,0
Gila,Globe No. 8,No Labels Notice,,NOL,1,No Candidate Nominated,0
Gila,Globe No. 8,No Labels Notice,,NOL,1,Total Votes Cast,0
Gila,Globe No. 8,No Labels Notice,,NOL,1,Overvotes,0
Gila,Globe No. 8,No Labels Notice,,NOL,1,Undervotes,0
Gila,Globe No. 11,Registered Voters - Total,,,,,634
Gila,Globe No. 11,Registered Voters - Nonpartisan,,Nonpartisan,,,180
Gila,Globe No. 11,Registered Voters - Republican,,REP,,,270
Gila,Globe No. 11,Registered Voters - Democratic,,DEM,,,181
Gila,Globe No. 11,Registered Voters - Libertarian,,LBT,,,2
Gila,Globe No. 11,Registered Voters - Green,,GRN,,,0
Gila,Globe No. 11,Registered Voters - No Labels Party,,NOL,,,1
Gila,Globe No. 11,Ballots Cast - Total,,,,,286
Gila,Globe No. 11,Ballots Cast - Nonpartisan,,Nonpartisan,,,0
Gila,Globe No. 11,Ballots Cast - Republican,,REP,,,198
Gila,Globe No. 11,Ballots Cast - Democratic,,DEM,,,88
Gila,Globe No. 11,Ballots Cast - Libertarian,,LBT,,,0
Gila,Globe No. 11,Ballots Cast - Green,,GRN,,,0
Gila,Globe No. 11,Ballots Cast - No Labels Party,,NOL,,,0
Gila,Globe No. 11,Ballots Cast - Blank,,,,,3
Gila,Globe No. 11,Mayor City of Globe,,,1,Alfred GAMEROS,5
Gila,Globe No. 11,Mayor City of Globe,,,1,Write-In Totals,0
Gila,Globe No. 11,Mayor City of Globe,,,1,Total Votes Cast,5
Gila,Globe No. 11,Mayor City of Globe,,,1,Overvotes,0
Gila,Globe No. 11,Mayor City of Globe,,,1,Undervotes,1
Gila,Globe No. 11,Council Member City of Globe,1,,1,Freddy RIOS,0
Gila,Globe No. 11,Council Member City of Globe,1,,1,Write-In Totals,0
Gila,Globe No. 11,Council Member City of Globe,1,,1,Total Votes Cast,0
Gila,Globe No. 11,Council Member City of Globe,1,,1,Overvotes,0
Gila,Globe No. 11,Council Member City of Globe,1,,1,Undervotes,0
Gila,Globe No. 11,Council Member City of Globe,2,,1,Michael A. PASTOR,6
Gila,Globe No. 11,Council Member City of Globe,2,,1,Write-In Totals,0
Gila,Globe No. 11,Council Member City of Globe,2,,1,Total Votes Cast,6
Gila,Globe No. 11,Council Member City of Globe,2,,1,Overvotes,0
Gila,Globe No. 11,Council Member City of Globe,2,,1,Undervotes,0
Gila,Globe No. 11,Proposition 412,City of Globe,,1,YES,1
Gila,Globe No. 11,Proposition 412,City of Globe,,1,NO,2
Gila,Globe No. 11,Proposition 412,City of Globe,,1,Total Votes Cast,3
Gila,Globe No. 11,Proposition 412,City of Globe,,1,Overvotes,0
Gila,Globe No. 11,Proposition 412,City of Globe,,1,Undervotes,3
Gila,Globe No. 11,U.S. Senate,,REP,1,Kari LAKE,64
Gila,Globe No. 11,U.S. Senate,,REP,1,Mark LAMB,120
Gila,Globe No. 11,U.S. Senate,,REP,1,Elizabeth Jean REYE,8
Gila,Globe No. 11,U.S. Senate,,REP,1,Write-In Totals,0
Gila,Globe No. 11,U.S. Senate,,REP,1,Total Votes Cast,192
Gila,Globe No. 11,U.S. Senate,,REP,1,Overvotes,0
Gila,Globe No. 11,U.S. Senate,,REP,1,Undervotes,6
Gila,Globe No. 11,U.S. House,2,REP,1,Eli CRANE,146
Gila,Globe No. 11,U.S. House,2,REP,1,Jack SMITH,40
Gila,Globe No. 11,U.S. House,2,REP,1,Write-In Totals,1
Gila,Globe No. 11,U.S. House,2,REP,1,Total Votes Cast,187
Gila,Globe No. 11,U.S. House,2,REP,1,Overvotes,1
Gila,Globe No. 11,U.S. House,2,REP,1,Undervotes,10
Gila,Globe No. 11,State Senate,7,REP,1,David COOK,113
Gila,Globe No. 11,State Senate,7,REP,1,Wendy ROGERS,80
Gila,Globe No. 11,State Senate,7,REP,1,Write-In Totals,0
Gila,Globe No. 11,State Senate,7,REP,1,Total Votes Cast,193
Gila,Globe No. 11,State Senate,7,REP,1,Overvotes,0
Gila,Globe No. 11,State Senate,7,REP,1,Undervotes,5
Gila,Globe No. 11,State House,7,REP,2,"Walter ""Walt"" BLACKMAN",68
Gila,Globe No. 11,State House,7,REP,2,Andrew COSTANZO,51
Gila,Globe No. 11,State House,7,REP,2,John FILLMORE,44
Gila,Globe No. 11,State House,7,REP,2,Barby INGLE,36
Gila,Globe No. 11,State House,7,REP,2,David MARSHALL SR.,72
Gila,Globe No. 11,State House,7,REP,2,Steven SLATON,35
Gila,Globe No. 11,State House,7,REP,2,Write-In Totals,2
Gila,Globe No. 11,State House,7,REP,2,Total Votes Cast,308
Gila,Globe No. 11,State House,7,REP,2,Overvotes,4
Gila,Globe No. 11,State House,7,REP,2,Undervotes,84
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Rene LOPEZ,121
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,116
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Rachel WALDEN,133
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Write-In Totals,2
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Total Votes Cast,372
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Overvotes,0
Gila,Globe No. 11,Corporation Commissioner,,REP,3,Undervotes,222
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Timothy HUMPHREY,135
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Randy ROBERSON,49
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Write-In Totals,0
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Total Votes Cast,184
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Overvotes,2
Gila,Globe No. 11,Board of Supervisors,2,REP,1,Undervotes,12
Gila,Globe No. 11,County Attorney,,REP,1,Bradley BEAUCHAMP,157
Gila,Globe No. 11,County Attorney,,REP,1,Write-In Totals,0
Gila,Globe No. 11,County Attorney,,REP,1,Total Votes Cast,157
Gila,Globe No. 11,County Attorney,,REP,1,Overvotes,0
Gila,Globe No. 11,County Attorney,,REP,1,Undervotes,41
Gila,Globe No. 11,Sheriff,,REP,1,Tom MORRISSEY,78
Gila,Globe No. 11,Sheriff,,REP,1,Adam SHEPHERD,99
Gila,Globe No. 11,Sheriff,,REP,1,Write-In Totals,14
Gila,Globe No. 11,Sheriff,,REP,1,Total Votes Cast,191
Gila,Globe No. 11,Sheriff,,REP,1,Overvotes,0
Gila,Globe No. 11,Sheriff,,REP,1,Undervotes,7
Gila,Globe No. 11,County Treasurer,,REP,1,Monica WOHLFORTH,156
Gila,Globe No. 11,County Treasurer,,REP,1,Write-In Totals,3
Gila,Globe No. 11,County Treasurer,,REP,1,Total Votes Cast,159
Gila,Globe No. 11,County Treasurer,,REP,1,Overvotes,0
Gila,Globe No. 11,County Treasurer,,REP,1,Undervotes,39
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Jack DUFFY,83
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Roy SANDOVAL,86
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Write-In Totals,0
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Total Votes Cast,169
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Overvotes,0
Gila,Globe No. 11,County Superintendent of Schools,,REP,1,Undervotes,29
Gila,Globe No. 11,County Recorder,,REP,1,Sadie Jo BINGHAM,163
Gila,Globe No. 11,County Recorder,,REP,1,Bonnie WOLFF,26
Gila,Globe No. 11,County Recorder,,REP,1,Write-In Totals,1
