county,precinct,office,district,seats,party,candidate,votes
La Paz,051 Parker,Registered Voters - Total,,,,,3222
La Paz,051 Parker,Registered Voters - Republican Party,,,REP,,1097
La Paz,051 Parker,Registered Voters - Democratic Party,,,DEM,,811
La Paz,051 Parker,Registered Voters - Libertarian Party,,,LBT,,22
La Paz,051 Parker,Registered Voters - Green Party,,,GRN,,1
La Paz,051 Parker,Registered Voters - No Labels Party,,,NOL,,25
La Paz,051 Parker,Registered Voters - Nonpartisan,,,,,1266
La Paz,051 Parker,Ballots Cast - Total,,,,,731
La Paz,051 Parker,Ballots Cast - Republican Party,,,REP,,531
La Paz,051 Parker,Ballots Cast - Democratic Party,,,DEM,,198
La Paz,051 Parker,Ballots Cast - Libertarian Party,,,LBT,,2
La Paz,051 Parker,Ballots Cast - Green Party,,,GRN,,0
La Paz,051 Parker,Ballots Cast - No Labels Party,,,NOL,,0
La Paz,051 Parker,Ballots Cast - Nonpartisan,,,,,0
La Paz,051 Parker,U.S. Senate,,1,REP,Elizabeth Jean REYE,26
La Paz,051 Parker,U.S. Senate,,1,REP,Kari LAKE,213
La Paz,051 Parker,U.S. Senate,,1,REP,Mark LAMB,274
La Paz,051 Parker,U.S. Senate,,1,REP,Write-In Totals,1
La Paz,051 Parker,U.S. Senate,,1,REP,Total Votes Cast,514
La Paz,051 Parker,U.S. Senate,,1,REP,Overvotes,2
La Paz,051 Parker,U.S. Senate,,1,REP,Undervotes,15
La Paz,051 Parker,U.S. House,9,1,REP,Paul GOSAR,445
La Paz,051 Parker,U.S. House,9,1,REP,Write-In Totals,2
La Paz,051 Parker,U.S. House,9,1,REP,Total Votes Cast,447
La Paz,051 Parker,U.S. House,9,1,REP,Overvotes,0
La Paz,051 Parker,U.S. House,9,1,REP,Undervotes,84
La Paz,051 Parker,State Senate,30,1,REP,Ashley GERICH,139
La Paz,051 Parker,State Senate,30,1,REP,Hildy ANGIUS,243
La Paz,051 Parker,State Senate,30,1,REP,Kimberly ZANON,56
La Paz,051 Parker,State Senate,30,1,REP,Write-In Totals,2
La Paz,051 Parker,State Senate,30,1,REP,Total Votes Cast,440
La Paz,051 Parker,State Senate,30,1,REP,Overvotes,1
La Paz,051 Parker,State Senate,30,1,REP,Undervotes,88
La Paz,051 Parker,State House,30,2,REP,John GILLETTE,313
La Paz,051 Parker,State House,30,2,REP,Leo BIASIUCCI,347
La Paz,051 Parker,State House,30,2,REP,Write-In Totals,2
La Paz,051 Parker,State House,30,2,REP,Total Votes Cast,662
La Paz,051 Parker,State House,30,2,REP,Overvotes,0
La Paz,051 Parker,State House,30,2,REP,Undervotes,396
La Paz,051 Parker,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,298
La Paz,051 Parker,Corporation Commissioner,,3,REP,Rachel WALDEN,335
La Paz,051 Parker,Corporation Commissioner,,3,REP,Renee LOPEZ,298
La Paz,051 Parker,Corporation Commissioner,,3,REP,Write-In Totals,5
La Paz,051 Parker,Corporation Commissioner,,3,REP,Total Votes Cast,936
