county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Santa Cruz,"Nogales 1 ",Registered Voters - Total,,,,,594,594,594,594
Santa Cruz,"Nogales 1 ",Registered Voters - Democratic,,,DEM,,309,309,309,309
Santa Cruz,"Nogales 1 ",Registered Voters - Republican,,,REP,,62,62,62,62
Santa Cruz,"Nogales 1 ",Registered Voters - Libertarian,,,LBT,,5,5,5,5
Santa Cruz,"Nogales 1 ",Registered Voters - Green,,,GRN,,0,0,0,0
Santa Cruz,"Nogales 1 ",Registered Voters - No Labels Party,,,NOL,,1,1,1,1
Santa Cruz,"Nogales 1 ",Registered Voters - Nonpartisan,,,,,217,217,217,217
Santa Cruz,"Nogales 1 ",Ballots Cast - Total,,,,,129,111,18,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Democratic,,,DEM,,110,95,15,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Republican,,,REP,,18,16,2,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Libertarian,,,LBT,,0,0,0,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Green,,,GRN,,0,0,0,0
Santa Cruz,"Nogales 1 ",Ballots Cast - No Labels Party,,,NOL,,0,0,0,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Nonpartisan,,,,,1,0,1,0
Santa Cruz,"Nogales 1 ",Ballots Cast - Blank,,,,,0,0,0,0
Santa Cruz,"Nogales 1 ",U.S. Senate,,1,DEM,Ruben GALLEGO,105,91,14,0
Santa Cruz,"Nogales 1 ",U.S. Senate,,1,DEM,Write-In Totals,0,0,0,0
Santa Cruz,"Nogales 1 ",U.S. Senate,,1,DEM,Total Votes Cast,105,91,14,0
Santa Cruz,"Nogales 1 ",U.S. Senate,,1,DEM,Overvotes,0,0,0,0
Santa Cruz,"Nogales 1 ",U.S. Senate,,1,DEM,Undervotes,5,4,1,0
Santa Cruz,"Nogales 1 ",U.S. House,7,1,DEM,Raul M. GRIJALVA,94,83,11,0
Santa Cruz,"Nogales 1 ",U.S. House,7,1,DEM,Write-In Totals,1,0,1,0
Santa Cruz,"Nogales 1 ",U.S. House,7,1,DEM,Total Votes Cast,95,83,12,0
Santa Cruz,"Nogales 1 ",U.S. House,7,1,DEM,Overvotes,0,0,0,0
Santa Cruz,"Nogales 1 ",U.S. House,7,1,DEM,Undervotes,15,12,3,0
Santa Cruz,"Nogales 1 ",State Senate,21,1,DEM,Rosanna GABALDAN,102,89,13,0
Santa Cruz,"Nogales 1 ",State Senate,21,1,DEM,Write-In Totals,0,0,0,0
Santa Cruz,"Nogales 1 ",State Senate,21,1,DEM,Total Votes Cast,102,89,13,0
Santa Cruz,"Nogales 1 ",State Senate,21,1,DEM,Overvotes,0,0,0,0
Santa Cruz,"Nogales 1 ",State Senate,21,1,DEM,Undervotes,8,6,2,0
Santa Cruz,"Nogales 1 ",State House,21,2,DEM,Consuelo HERNANDEZ,83,73,10,0
Santa Cruz,"Nogales 1 ",State House,21,2,DEM,"Briana ""Breezy"" ORTEGA",58,49,9,0
