county,precinct,office,district,party,seats,candidate,votes,early_voting,election_day,provisional
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",8,8,0,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Trent FRANKS,44,35,9,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",60,54,6,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Anthony KERN,11,10,1,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Blake MASTERS,79,61,18,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Ben TOMA,30,29,1,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Write-In Totals,2,2,0,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Total Votes Cast,234,199,35,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Overvotes,0,0,0,0
Maricopa,0001 ACACIA,U.S. House,8,REP,1,Undervotes,3,3,0,0
Maricopa,0001 ACACIA,U.S. House,8,DEM,1,Gregory WHITTEN,151,145,,0
Maricopa,0001 ACACIA,U.S. House,8,DEM,1,Write-In Totals,2,2,,0
Maricopa,0001 ACACIA,U.S. House,8,DEM,1,Total Votes Cast,153,147,,0
Maricopa,0001 ACACIA,U.S. House,8,DEM,1,Overvotes,0,0,,0
Maricopa,0001 ACACIA,U.S. House,8,DEM,1,Undervotes,22,22,,0
Maricopa,0001 ACACIA,U.S. House,8,LBT,1,Write-In Totals,,,0,0
Maricopa,0001 ACACIA,U.S. House,8,LBT,1,Total Votes Cast,,,0,0
Maricopa,0001 ACACIA,U.S. House,8,LBT,1,Overvotes,,,0,0
Maricopa,0001 ACACIA,U.S. House,8,LBT,1,Undervotes,,,0,0
Maricopa,0001 ACACIA,U.S. House,8,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0001 ACACIA,U.S. House,8,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0001 ACACIA,U.S. House,8,GRN,1,Overvotes,0,0,0,0
Maricopa,0001 ACACIA,U.S. House,8,GRN,1,Undervotes,0,0,0,0
Maricopa,0002 ACOMA,Registered Voters - Total,,,,,3255,3255,3255,3255
Maricopa,0002 ACOMA,Registered Voters - Republican,,REP,,,1579,1579,1579,1579
Maricopa,0002 ACOMA,Registered Voters - Democratic,,DEM,,,675,675,675,675
Maricopa,0002 ACOMA,Registered Voters - Libertarian,,LBT,,,24,24,24,24
Maricopa,0002 ACOMA,Registered Voters - Green,,GRN,,,4,4,4,4
Maricopa,0002 ACOMA,Ballots Cast - Total,,,,,1238,1107,131,0
Maricopa,0002 ACOMA,Ballots Cast - Republican,,REP,,,932,810,122,0
Maricopa,0002 ACOMA,Ballots Cast - Democratic,,DEM,,,306,297,9,0
Maricopa,0002 ACOMA,Ballots Cast - Libertarian,,LBT,,,0,0,0,0
Maricopa,0002 ACOMA,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Kari LAKE,539,467,72,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Mark LAMB,342,295,47,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Elizabeth Jean REYE,39,37,2,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Write-In Totals,2,2,0,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Total Votes Cast,922,801,121,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Overvotes,1,0,1,0
Maricopa,0002 ACOMA,U.S. Senate,,REP,1,Undervotes,9,9,0,0
Maricopa,0002 ACOMA,U.S. Senate,,DEM,1,Ruben GALLEGO,293,285,,0
Maricopa,0002 ACOMA,U.S. Senate,,DEM,1,Write-In Totals,2,1,,0
Maricopa,0002 ACOMA,U.S. Senate,,DEM,1,Total Votes Cast,295,286,,0
Maricopa,0002 ACOMA,U.S. Senate,,DEM,1,Overvotes,0,0,,0
Maricopa,0002 ACOMA,U.S. Senate,,DEM,1,Undervotes,11,11,,0
Maricopa,0002 ACOMA,U.S. Senate,,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,LBT,1,Overvotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,LBT,1,Undervotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",20,19,1,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Trent FRANKS,206,179,27,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",251,220,31,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Anthony KERN,84,72,12,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Blake MASTERS,147,124,23,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Ben TOMA,201,176,25,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Write-In Totals,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Total Votes Cast,909,790,119,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Overvotes,3,2,1,0
Maricopa,0002 ACOMA,U.S. House,8,REP,1,Undervotes,20,18,2,0
Maricopa,0002 ACOMA,U.S. House,8,DEM,1,Gregory WHITTEN,278,270,,0
Maricopa,0002 ACOMA,U.S. House,8,DEM,1,Write-In Totals,0,0,,0
Maricopa,0002 ACOMA,U.S. House,8,DEM,1,Total Votes Cast,278,270,,0
Maricopa,0002 ACOMA,U.S. House,8,DEM,1,Overvotes,0,0,,0
Maricopa,0002 ACOMA,U.S. House,8,DEM,1,Undervotes,28,27,,0
Maricopa,0002 ACOMA,U.S. House,8,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,LBT,1,Overvotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,LBT,1,Undervotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,GRN,1,Overvotes,0,0,0,0
Maricopa,0002 ACOMA,U.S. House,8,GRN,1,Undervotes,0,0,0,0
Maricopa,0003 ACUNA,Registered Voters - Total,,,,,2978,2978,2978,2978
Maricopa,0003 ACUNA,Registered Voters - Republican,,REP,,,307,307,307,307
Maricopa,0003 ACUNA,Registered Voters - Democratic,,DEM,,,1401,1401,1401,1401
Maricopa,0003 ACUNA,Registered Voters - Libertarian,,LBT,,,17,17,17,17
Maricopa,0003 ACUNA,Registered Voters - Green,,GRN,,,1,1,1,1
Maricopa,0003 ACUNA,Ballots Cast - Total,,,,,405,366,39,0
Maricopa,0003 ACUNA,Ballots Cast - Republican,,REP,,,67,57,10,0
Maricopa,0003 ACUNA,Ballots Cast - Democratic,,DEM,,,338,309,29,0
Maricopa,0003 ACUNA,Ballots Cast - Libertarian,,LBT,,,0,0,0,0
Maricopa,0003 ACUNA,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Kari LAKE,48,40,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Mark LAMB,12,11,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Elizabeth Jean REYE,5,4,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Write-In Totals,1,1,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Total Votes Cast,66,56,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Overvotes,0,0,,0
Maricopa,0003 ACUNA,U.S. Senate,,REP,1,Undervotes,1,1,,0
Maricopa,0003 ACUNA,U.S. Senate,,DEM,1,Ruben GALLEGO,327,301,26,0
Maricopa,0003 ACUNA,U.S. Senate,,DEM,1,Write-In Totals,2,2,0,0
Maricopa,0003 ACUNA,U.S. Senate,,DEM,1,Total Votes Cast,329,303,26,0
Maricopa,0003 ACUNA,U.S. Senate,,DEM,1,Overvotes,1,1,0,0
Maricopa,0003 ACUNA,U.S. Senate,,DEM,1,Undervotes,8,5,3,0
Maricopa,0003 ACUNA,U.S. Senate,,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,LBT,1,Overvotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,LBT,1,Undervotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Jesus David MENDOZA,27,23,,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Jeff ZINK,33,27,,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Write-In Totals,1,1,,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Total Votes Cast,61,51,,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Overvotes,0,0,,0
Maricopa,0003 ACUNA,U.S. House,3,REP,1,Undervotes,6,6,,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Yassamin ANSARI,112,104,8,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Raquel TERAN,172,157,15,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Duane M. WOOTEN,36,31,5,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Write-In Totals,2,2,0,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Total Votes Cast,322,294,28,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Overvotes,3,3,0,0
Maricopa,0003 ACUNA,U.S. House,3,DEM,1,Undervotes,13,12,1,0
Maricopa,0003 ACUNA,U.S. House,3,LBT,1,Write-In Totals,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,LBT,1,Total Votes Cast,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,LBT,1,Overvotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,LBT,1,Undervotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,GRN,1,Alan AVERSA,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,GRN,1,Overvotes,0,0,0,0
Maricopa,0003 ACUNA,U.S. House,3,GRN,1,Undervotes,0,0,0,0
Maricopa,0004 ADOBE,Registered Voters - Total,,,,,1438,1438,1438,1438
Maricopa,0004 ADOBE,Registered Voters - Republican,,REP,,,489,489,489,489
Maricopa,0004 ADOBE,Registered Voters - Democratic,,DEM,,,336,336,336,336
Maricopa,0004 ADOBE,Registered Voters - Libertarian,,LBT,,,21,21,21,21
Maricopa,0004 ADOBE,Registered Voters - Green,,GRN,,,2,2,2,2
Maricopa,0004 ADOBE,Ballots Cast - Total,,,,,341,286,54,1
Maricopa,0004 ADOBE,Ballots Cast - Republican,,REP,,,233,187,45,1
Maricopa,0004 ADOBE,Ballots Cast - Democratic,,DEM,,,107,99,8,0
Maricopa,0004 ADOBE,Ballots Cast - Libertarian,,LBT,,,1,0,1,0
Maricopa,0004 ADOBE,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Kari LAKE,142,112,29,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Mark LAMB,81,66,15,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Elizabeth Jean REYE,9,8,1,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Write-In Totals,1,1,0,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Total Votes Cast,233,187,45,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Overvotes,0,0,0,
Maricopa,0004 ADOBE,U.S. Senate,,REP,1,Undervotes,0,0,0,
Maricopa,0004 ADOBE,U.S. Senate,,DEM,1,Ruben GALLEGO,106,99,,0
Maricopa,0004 ADOBE,U.S. Senate,,DEM,1,Write-In Totals,1,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,DEM,1,Total Votes Cast,107,99,,0
Maricopa,0004 ADOBE,U.S. Senate,,DEM,1,Overvotes,0,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,DEM,1,Undervotes,0,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,LBT,1,Write-In Totals,,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,LBT,1,Total Votes Cast,,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,LBT,1,Overvotes,,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,LBT,1,Undervotes,,0,,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0004 ADOBE,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0004 ADOBE,U.S. House,8,REP,1,"Patrick ""Pat"" BRIODY",2,2,0,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Trent FRANKS,31,27,4,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,"Abraham ""Abe"" HAMADEH",81,68,13,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Anthony KERN,12,7,5,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Blake MASTERS,76,59,16,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Ben TOMA,25,20,5,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Write-In Totals,0,0,0,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Total Votes Cast,227,183,43,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Overvotes,2,2,0,
Maricopa,0004 ADOBE,U.S. House,8,REP,1,Undervotes,4,2,2,
Maricopa,0004 ADOBE,U.S. House,8,DEM,1,Gregory WHITTEN,94,90,,0
Maricopa,0004 ADOBE,U.S. House,8,DEM,1,Write-In Totals,1,0,,0
Maricopa,0004 ADOBE,U.S. House,8,DEM,1,Total Votes Cast,95,90,,0
Maricopa,0004 ADOBE,U.S. House,8,DEM,1,Overvotes,0,0,,0
Maricopa,0004 ADOBE,U.S. House,8,DEM,1,Undervotes,12,9,,0
Maricopa,0004 ADOBE,U.S. House,8,LBT,1,Write-In Totals,,0,,0
Maricopa,0004 ADOBE,U.S. House,8,LBT,1,Total Votes Cast,,0,,0
Maricopa,0004 ADOBE,U.S. House,8,LBT,1,Overvotes,,0,,0
Maricopa,0004 ADOBE,U.S. House,8,LBT,1,Undervotes,,0,,0
Maricopa,0004 ADOBE,U.S. House,8,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0004 ADOBE,U.S. House,8,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0004 ADOBE,U.S. House,8,GRN,1,Overvotes,0,0,0,0
Maricopa,0004 ADOBE,U.S. House,8,GRN,1,Undervotes,0,0,0,0
Maricopa,0005 ADORA,Registered Voters - Total,,,,,4453,4453,4453,4453
Maricopa,0005 ADORA,Registered Voters - Republican,,REP,,,1943,1943,1943,1943
Maricopa,0005 ADORA,Registered Voters - Democratic,,DEM,,,979,979,979,979
Maricopa,0005 ADORA,Registered Voters - Libertarian,,LBT,,,23,23,23,23
Maricopa,0005 ADORA,Registered Voters - Green,,GRN,,,0,0,0,0
Maricopa,0005 ADORA,Ballots Cast - Total,,,,,1453,1286,163,4
Maricopa,0005 ADORA,Ballots Cast - Republican,,REP,,,1045,908,133,4
Maricopa,0005 ADORA,Ballots Cast - Democratic,,DEM,,,390,363,27,0
Maricopa,0005 ADORA,Ballots Cast - Libertarian,,LBT,,,1,1,0,0
Maricopa,0005 ADORA,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Kari LAKE,416,357,56,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Mark LAMB,570,497,72,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Elizabeth Jean REYE,52,47,5,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Write-In Totals,2,2,0,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Total Votes Cast,1040,903,133,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Overvotes,1,1,0,
Maricopa,0005 ADORA,U.S. Senate,,REP,1,Undervotes,4,4,0,
Maricopa,0005 ADORA,U.S. Senate,,DEM,1,Ruben GALLEGO,381,355,26,0
Maricopa,0005 ADORA,U.S. Senate,,DEM,1,Write-In Totals,1,0,1,0
Maricopa,0005 ADORA,U.S. Senate,,DEM,1,Total Votes Cast,382,355,27,0
Maricopa,0005 ADORA,U.S. Senate,,DEM,1,Overvotes,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,DEM,1,Undervotes,8,8,0,0
Maricopa,0005 ADORA,U.S. Senate,,LBT,1,Write-In Totals,,,0,0
Maricopa,0005 ADORA,U.S. Senate,,LBT,1,Total Votes Cast,,,0,0
Maricopa,0005 ADORA,U.S. Senate,,LBT,1,Overvotes,,,0,0
Maricopa,0005 ADORA,U.S. Senate,,LBT,1,Undervotes,,,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0005 ADORA,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0005 ADORA,U.S. House,5,REP,1,Andy BIGGS,906,787,116,
Maricopa,0005 ADORA,U.S. House,5,REP,1,Write-In Totals,28,24,4,
Maricopa,0005 ADORA,U.S. House,5,REP,1,Total Votes Cast,934,811,120,
Maricopa,0005 ADORA,U.S. House,5,REP,1,Overvotes,0,0,0,
Maricopa,0005 ADORA,U.S. House,5,REP,1,Undervotes,111,97,13,
Maricopa,0005 ADORA,U.S. House,5,DEM,1,Katrina SCHAFFNER,360,336,24,0
Maricopa,0005 ADORA,U.S. House,5,DEM,1,Write-In Totals,1,1,0,0
Maricopa,0005 ADORA,U.S. House,5,DEM,1,Total Votes Cast,361,337,24,0
Maricopa,0005 ADORA,U.S. House,5,DEM,1,Overvotes,0,0,0,0
Maricopa,0005 ADORA,U.S. House,5,DEM,1,Undervotes,29,26,3,0
Maricopa,0005 ADORA,U.S. House,5,LBT,1,Write-In Totals,,,0,0
Maricopa,0005 ADORA,U.S. House,5,LBT,1,Total Votes Cast,,,0,0
Maricopa,0005 ADORA,U.S. House,5,LBT,1,Overvotes,,,0,0
Maricopa,0005 ADORA,U.S. House,5,LBT,1,Undervotes,,,0,0
Maricopa,0005 ADORA,U.S. House,5,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0005 ADORA,U.S. House,5,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0005 ADORA,U.S. House,5,GRN,1,Overvotes,0,0,0,0
Maricopa,0005 ADORA,U.S. House,5,GRN,1,Undervotes,0,0,0,0
Maricopa,0006 AGRITOPIA,Registered Voters - Total,,,,,2961,2961,2961,2961
Maricopa,0006 AGRITOPIA,Registered Voters - Republican,,REP,,,1143,1143,1143,1143
Maricopa,0006 AGRITOPIA,Registered Voters - Democratic,,DEM,,,709,709,709,709
Maricopa,0006 AGRITOPIA,Registered Voters - Libertarian,,LBT,,,42,42,42,42
Maricopa,0006 AGRITOPIA,Registered Voters - Green,,GRN,,,3,3,3,3
Maricopa,0006 AGRITOPIA,Ballots Cast - Total,,,,,809,687,122,0
Maricopa,0006 AGRITOPIA,Ballots Cast - Republican,,REP,,,524,421,103,0
Maricopa,0006 AGRITOPIA,Ballots Cast - Democratic,,DEM,,,274,260,14,0
Maricopa,0006 AGRITOPIA,Ballots Cast - Libertarian,,LBT,,,3,2,1,0
Maricopa,0006 AGRITOPIA,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Kari LAKE,234,182,52,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Mark LAMB,272,224,48,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Elizabeth Jean REYE,14,11,3,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Write-In Totals,2,2,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Total Votes Cast,522,419,103,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Overvotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,REP,1,Undervotes,2,2,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,DEM,1,Ruben GALLEGO,268,257,11,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,DEM,1,Write-In Totals,1,1,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,DEM,1,Total Votes Cast,269,258,11,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,DEM,1,Overvotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,DEM,1,Undervotes,5,2,3,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,LBT,1,Write-In Totals,,,,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,LBT,1,Total Votes Cast,,,,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,LBT,1,Overvotes,,,,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,LBT,1,Undervotes,,,,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Total Votes Cast,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Overvotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. Senate,,GRN,1,Undervotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. House,5,REP,1,Andy BIGGS,445,355,90,0
Maricopa,0006 AGRITOPIA,U.S. House,5,REP,1,Write-In Totals,13,10,3,0
Maricopa,0006 AGRITOPIA,U.S. House,5,REP,1,Total Votes Cast,458,365,93,0
Maricopa,0006 AGRITOPIA,U.S. House,5,REP,1,Overvotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. House,5,REP,1,Undervotes,66,56,10,0
Maricopa,0006 AGRITOPIA,U.S. House,5,DEM,1,Katrina SCHAFFNER,256,244,12,0
Maricopa,0006 AGRITOPIA,U.S. House,5,DEM,1,Write-In Totals,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. House,5,DEM,1,Total Votes Cast,256,244,12,0
Maricopa,0006 AGRITOPIA,U.S. House,5,DEM,1,Overvotes,0,0,0,0
Maricopa,0006 AGRITOPIA,U.S. House,5,DEM,1,Undervotes,18,16,2,0
Maricopa,0006 AGRITOPIA,U.S. House,5,LBT,1,Write-In Totals,,,,0
Maricopa,0006 AGRITOPIA,U.S. House,5,LBT,1,Total Votes Cast,,,,0
