county,precinct,office,district,party,seats,candidate,votes,early_voting,election_day,provisional
Maricopa,0001 ACACIA,Registered Voters - Total,,,,,1694,1694,1694,1694
Maricopa,0001 ACACIA,Registered Voters - Republican,,REP,,,558,558,558,558
Maricopa,0001 ACACIA,Registered Voters - Democratic,,DEM,,,492,492,492,492
Maricopa,0001 ACACIA,Registered Voters - Libertarian,,LBT,,,13,13,13,13
Maricopa,0001 ACACIA,Registered Voters - Green,,GRN,,,1,1,1,1
Maricopa,0001 ACACIA,Ballots Cast - Total,,,,,413,372,41,0
Maricopa,0001 ACACIA,Ballots Cast - Republican,,REP,,,237,202,35,0
Maricopa,0001 ACACIA,Ballots Cast - Democratic,,DEM,,,175,169,6,0
Maricopa,0001 ACACIA,Ballots Cast - Libertarian,,LBT,,,1,1,0,0
Maricopa,0001 ACACIA,Ballots Cast - Green,,GRN,,,0,0,0,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Kari LAKE,144,123,21,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Mark LAMB,78,65,13,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Elizabeth Jean REYE,10,9,1,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Write-In Totals,1,1,0,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Total Votes Cast,233,198,35,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Overvotes,1,1,0,0
Maricopa,0001 ACACIA,U.S. Senate,,REP,1,Undervotes,3,3,0,0
Maricopa,0001 ACACIA,U.S. Senate,,DEM,1,Ruben GALLEGO,167,161,,0
Maricopa,0001 ACACIA,U.S. Senate,,DEM,1,Write-In Totals,2,2,,0
Maricopa,0001 ACACIA,U.S. Senate,,DEM,1,Total Votes Cast,169,163,,0
Maricopa,0001 ACACIA,U.S. Senate,,DEM,1,Overvotes,0,0,,0
Maricopa,0001 ACACIA,U.S. Senate,,DEM,1,Undervotes,6,6,,0
Maricopa,0001 ACACIA,U.S. Senate,,LBT,1,Write-In Totals,,,0,0
Maricopa,0001 ACACIA,U.S. Senate,,LBT,1,Total Votes Cast,,,0,0
Maricopa,0001 ACACIA,U.S. Senate,,LBT,1,Overvotes,,,0,0
Maricopa,0001 ACACIA,U.S. Senate,,LBT,1,Undervotes,,,0,0
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Arturo HERNANDEZ,0,0,0,0
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Michael NORTON,0,0,0,0
Maricopa,0001 ACACIA,U.S. Senate,,GRN,1,Write-In Totals,0,0,0,0
