county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Pinal,01 Kearny,Registered Voters - Total,,,,,1464,1464,1464,1464
Pinal,01 Kearny,Registered Voters - REPUBLICAN,,,REP,,550,550,550,550
Pinal,01 Kearny,Registered Voters - DEMOCRATIC,,,DEM,,486,486,486,486
Pinal,01 Kearny,Registered Voters - LIBERTARIAN,,,LBT,,16,16,16,16
Pinal,01 Kearny,Registered Voters - NO LABELS,,,NOL,,5,5,5,5
Pinal,01 Kearny,Registered Voters - GREEN,,,GRN,,0,0,0,0
Pinal,01 Kearny,Registered Voters - NONPARTISAN,,,-,,407,407,407,407
Pinal,01 Kearny,Ballots Cast - Total,,,,,654,410,237,7
Pinal,01 Kearny,Ballots Cast - REPUBLICAN,,,REP,,348,178,166,4
Pinal,01 Kearny,Ballots Cast - DEMOCRATIC,,,DEM,,280,226,51,3
Pinal,01 Kearny,Ballots Cast - LIBERTARIAN,,,LBT,,7,5,2,0
Pinal,01 Kearny,Ballots Cast - NO LABELS,,,NOL,,0,0,0,0
Pinal,01 Kearny,Ballots Cast - GREEN,,,GRN,,0,0,0,0
Pinal,01 Kearny,Ballots Cast - NONPARTISAN,,,-,,19,1,18,0
Pinal,01 Kearny,Ballots Cast - Blank,,,,,0,0,0,0
Pinal,01 Kearny,U.S. Senate,,1,REP,Kari LAKE,101,49,52,0
Pinal,01 Kearny,U.S. Senate,,1,REP,Mark LAMB,240,123,113,4
Pinal,01 Kearny,U.S. Senate,,1,REP,Elizabeth Jean REYE,4,4,0,0
Pinal,01 Kearny,U.S. Senate,,1,REP,Write-In Totals,1,1,0,0
Pinal,01 Kearny,U.S. Senate,,1,REP,Total Votes Cast,346,177,165,4
Pinal,01 Kearny,U.S. Senate,,1,REP,Overvotes,0,0,0,0
Pinal,01 Kearny,U.S. Senate,,1,REP,Undervotes,2,1,1,0
Pinal,01 Kearny,U.S House,2,1,REP,Eli CRANE,287,142,142,3
Pinal,01 Kearny,U.S House,2,1,REP,Jack SMITH,42,27,14,1
Pinal,01 Kearny,U.S House,2,1,REP,Write-In Totals,0,0,0,0
Pinal,01 Kearny,U.S House,2,1,REP,Total Votes Cast,329,169,156,4
Pinal,01 Kearny,U.S House,2,1,REP,Overvotes,1,0,1,0
Pinal,01 Kearny,U.S House,2,1,REP,Undervotes,18,9,9,0
Pinal,01 Kearny,State Senate,7,1,REP,David COOK,183,101,78,4
Pinal,01 Kearny,State Senate,7,1,REP,Wendy ROGERS,150,69,81,0
Pinal,01 Kearny,State Senate,7,1,REP,Write-In Totals,0,0,0,0
Pinal,01 Kearny,State Senate,7,1,REP,Total Votes Cast,333,170,159,4
Pinal,01 Kearny,State Senate,7,1,REP,Overvotes,0,0,0,0
Pinal,01 Kearny,State Senate,7,1,REP,Undervotes,15,8,7,0
Pinal,01 Kearny,State House,7,2,REP,"Walter ""Walt"" BLACKMAN",136,71,63,2
Pinal,01 Kearny,State House,7,2,REP,Andrew COSTANZO,68,35,32,1
Pinal,01 Kearny,State House,7,2,REP,John FILLMORE,129,67,59,3
Pinal,01 Kearny,State House,7,2,REP,Barby INGLE,45,20,24,1
Pinal,01 Kearny,State House,7,2,REP,David MARSHALL SR.,120,68,52,0
Pinal,01 Kearny,State House,7,2,REP,Steven SLATON,49,23,26,0
Pinal,01 Kearny,State House,7,2,REP,Write-In Totals,1,1,0,0
Pinal,01 Kearny,State House,7,2,REP,Total Votes Cast,548,285,256,7
Pinal,01 Kearny,State House,7,2,REP,Overvotes,4,0,4,0
Pinal,01 Kearny,State House,7,2,REP,Undervotes,144,71,72,1
Pinal,01 Kearny,Corporation Commission,,3,REP,Rene LOPEZ,233,129,100,4
Pinal,01 Kearny,Corporation Commission,,3,REP,Lea MARQUEZ PETERSON,202,111,88,3
Pinal,01 Kearny,Corporation Commission,,3,REP,Rachel WALDEN,234,121,110,3
Pinal,01 Kearny,Corporation Commission,,3,REP,Write-In Totals,1,0,1,0
Pinal,01 Kearny,Corporation Commission,,3,REP,Total Votes Cast,670,361,299,10
Pinal,01 Kearny,Corporation Commission,,3,REP,Overvotes,0,0,0,0
Pinal,01 Kearny,Corporation Commission,,3,REP,Undervotes,374,173,199,2
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Jeff SERDY,186,90,94,2
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Todd HOUSE,92,49,42,1
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Rhonda MATTACHIONE,20,11,8,1
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Write-In Totals,3,2,1,0
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Total Votes Cast,301,152,145,4
Pinal,01 Kearny,Board of Supervisors,5,1,REP,Overvotes,1,0,1,0
