county,precinct,office,district,seats,party,candidate,votes
Mohave,201 Wikieup,Registered Voters - Total,,,,,278
Mohave,201 Wikieup,Registered Voters - Republican,,,REP,,179
Mohave,201 Wikieup,Registered Voters - Democratic,,,DEM,,13
Mohave,201 Wikieup,Registered Voters - Libertarian,,,LBT,,2
Mohave,201 Wikieup,Registered Voters - Green,,,GRN,,0
Mohave,201 Wikieup,Registered Voters - No Labels,,,NOL,,3
Mohave,201 Wikieup,Registered Voters - Nonpartisan,,,,,81
Mohave,201 Wikieup,Ballots Cast - Total,,,,,94
Mohave,201 Wikieup,Ballots Cast - Republican,,,REP,,87
Mohave,201 Wikieup,Ballots Cast - Democratic,,,DEM,,7
Mohave,201 Wikieup,Ballots Cast - Libertarian,,,LBT,,0
Mohave,201 Wikieup,Ballots Cast - Green,,,GRN,,0
Mohave,201 Wikieup,Ballots Cast - No Labels,,,NOL,,0
Mohave,201 Wikieup,Ballots Cast - Nonpartisan,,,,,0
Mohave,201 Wikieup,U.S. Senate,,1,REP,Kari LAKE,57
Mohave,201 Wikieup,U.S. Senate,,1,REP,Mark LAMB,26
Mohave,201 Wikieup,U.S. Senate,,1,REP,Elizabeth Jean REYE,4
Mohave,201 Wikieup,U.S. Senate,,1,REP,Write-In Totals,0
Mohave,201 Wikieup,U.S. Senate,,1,REP,Total Votes Cast,87
Mohave,201 Wikieup,U.S. Senate,,1,REP,Overvotes,0
Mohave,201 Wikieup,U.S. Senate,,1,REP,Undervotes,0
Mohave,201 Wikieup,U.S. House,9,2,REP,Paul GOSAR,82
Mohave,201 Wikieup,U.S. House,9,2,REP,Write-In Totals,1
Mohave,201 Wikieup,U.S. House,9,2,REP,Total Votes Cast,83
Mohave,201 Wikieup,U.S. House,9,2,REP,Overvotes,0
Mohave,201 Wikieup,U.S. House,9,2,REP,Undervotes,4
Mohave,201 Wikieup,State Senate,30,1,REP,Hildy ANGIUS,30
Mohave,201 Wikieup,State Senate,30,1,REP,Ashley GERICH,33
Mohave,201 Wikieup,State Senate,30,1,REP,Kimberly ZANON,17
Mohave,201 Wikieup,State Senate,30,1,REP,Write-In Totals,0
Mohave,201 Wikieup,State Senate,30,1,REP,Total Votes Cast,80
Mohave,201 Wikieup,State Senate,30,1,REP,Overvotes,1
Mohave,201 Wikieup,State Senate,30,1,REP,Undervotes,6
Mohave,201 Wikieup,State House,30,2,REP,Leo BIASIUCCI,60
Mohave,201 Wikieup,State House,30,2,REP,John GILLETTE,60
Mohave,201 Wikieup,State House,30,2,REP,Write-In Totals,1
Mohave,201 Wikieup,State House,30,2,REP,Total Votes Cast,121
Mohave,201 Wikieup,State House,30,2,REP,Overvotes,0
Mohave,201 Wikieup,State House,30,2,REP,Undervotes,53
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Rene LOPEZ,48
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,43
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Rachel WALDEN,62
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Write-In Totals,0
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Total Votes Cast,153
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Overvotes,0
Mohave,201 Wikieup,Corporation Commissioner,,3,REP,Undervotes,108
Mohave,201 Wikieup,Board of Supervisors,1,1,REP,Travis J. LINGENFELTER,40
Mohave,201 Wikieup,Board of Supervisors,1,1,REP,Shawn MEISNER,37
Mohave,201 Wikieup,Board of Supervisors,1,1,REP,Write-In Totals,0
Mohave,201 Wikieup,Board of Supervisors,1,1,REP,Total Votes Cast,77
Mohave,201 Wikieup,Board of Supervisors,1,1,REP,Overvotes,0
