county,precinct,office,district,party,seats,candidate,votes
Navajo,01 RED BUTTE,Registered Voters - Total,,,,,9261
Navajo,01 RED BUTTE,Registered Voters - Republican,,REP,,,1092
Navajo,01 RED BUTTE,Registered Voters - Democratic,,DEM,,,5448
Navajo,01 RED BUTTE,Registered Voters - Libertarian,,LBT,,,30
Navajo,01 RED BUTTE,Registered Voters - Green,,GRN,,,0
Navajo,01 RED BUTTE,Registered Voters - No Labels Party,,NOL,,,25
Navajo,01 RED BUTTE,Registered Voters - Nonpartisan,,Nonpartisan,,,2666
Navajo,01 RED BUTTE,Ballots Cast - Total,,,,,2554
Navajo,01 RED BUTTE,Ballots Cast - Republican,,REP,,,340
Navajo,01 RED BUTTE,Ballots Cast - Democratic,,DEM,,,2212
Navajo,01 RED BUTTE,Ballots Cast - Libertarian,,LBT,,,2
Navajo,01 RED BUTTE,Ballots Cast - Green,,GRN,,,0
Navajo,01 RED BUTTE,Ballots Cast - No Labels Party,,NOL,,,0
Navajo,01 RED BUTTE,Ballots Cast - Nonpartisan,,Nonpartisan,,,0
Navajo,01 RED BUTTE,Ballots Cast - Blank,,,,,6
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Kari LAKE,179
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Mark LAMB,102
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Elizabeth Jean REYE,49
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Write-In Totals,1
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Total Votes Cast,331
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Overvotes,0
Navajo,01 RED BUTTE,U.S. Senate,,REP,1,Undervotes,9
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Eli CRANE,198
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Jack SMITH,118
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Write-In Totals,11
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Total Votes Cast,327
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Overvotes,2
Navajo,01 RED BUTTE,U.S. House,2,REP,1,Undervotes,11
Navajo,01 RED BUTTE,State Senate,6,REP,1,Write-In Totals,39
Navajo,01 RED BUTTE,State Senate,6,REP,1,Total Votes Cast,39
Navajo,01 RED BUTTE,State Senate,6,REP,1,Overvotes,0
Navajo,01 RED BUTTE,State Senate,6,REP,1,Undervotes,301
Navajo,01 RED BUTTE,State House,6,REP,2,Lloyd JOHNSON,220
Navajo,01 RED BUTTE,State House,6,REP,2,Rich KING,146
Navajo,01 RED BUTTE,State House,6,REP,2,Write-In Totals,5
Navajo,01 RED BUTTE,State House,6,REP,2,Total Votes Cast,371
Navajo,01 RED BUTTE,State House,6,REP,2,Overvotes,0
Navajo,01 RED BUTTE,State House,6,REP,2,Undervotes,309
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Lea MARQUEZ PETERSON,118
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Rene LOPEZ,156
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Rachel WALDEN,172
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Write-In Totals,3
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Total Votes Cast,449
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Overvotes,0
Navajo,01 RED BUTTE,Corporation Commissioner,,REP,3,Undervotes,571
Navajo,01 RED BUTTE,Board of Supervisors,1,REP,1,Write-In Totals,52
Navajo,01 RED BUTTE,Board of Supervisors,1,REP,1,Total Votes Cast,52
Navajo,01 RED BUTTE,Board of Supervisors,1,REP,1,Overvotes,0
Navajo,01 RED BUTTE,Board of Supervisors,1,REP,1,Undervotes,288
Navajo,01 RED BUTTE,County Attorney,,REP,1,Write-In Totals,36
Navajo,01 RED BUTTE,County Attorney,,REP,1,Total Votes Cast,36
Navajo,01 RED BUTTE,County Attorney,,REP,1,Overvotes,0
