county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Coconino,01 - FLAGSTAFF 1,"Registered Voters - Total ",,,,,1689,1689,1689,1689
Coconino,01 - FLAGSTAFF 1,Registered Voters - DEMOCRATIC,,,,,839,839,839,839
Coconino,01 - FLAGSTAFF 1,Registered Voters - REPUBLICAN,,,,,263,263,263,263
Coconino,01 - FLAGSTAFF 1,Registered Voters - LIBERTARIAN,,,,,18,18,18,18
Coconino,01 - FLAGSTAFF 1,Registered Voters - GREEN,,,,,6,6,6,6
Coconino,01 - FLAGSTAFF 1,Registered Voters - NO LABELS,,,,,26,26,26,26
Coconino,01 - FLAGSTAFF 1,Registered Voters - NONPARTISAN,,,,,537,537,537,537
Coconino,01 - FLAGSTAFF 1,Ballots Cast - Total,,,,,531,501,30,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - DEMOCRATIC,,,,,405,389,16,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - REPUBLICAN,,,,,123,109,14,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - LIBERTARIAN,,,,,1,1,0,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - GREEN,,,,,2,2,0,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - NO LABELS,,,,,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - NONPARTISAN,,,,,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Ballots Cast - Blank,,,,,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,DEM,Ruben GALLEGO,384,368,16,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,DEM,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,DEM,Total Votes Cast,385,369,16,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,DEM,Undervotes,20,20,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,DEM,Jonathan NEZ,376,360,16,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,DEM,Total Votes Cast,376,360,16,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,DEM,Overvotes,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,DEM,Undervotes,28,28,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,DEM,Theresa HATATHLIE,364,350,14,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,DEM,Total Votes Cast,364,350,14,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,DEM,Undervotes,41,39,2,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Angela MALONEY,194,187,7,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Mae PESHLAKAI,278,266,12,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Myron TSOSIE,210,200,10,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Total Votes Cast,682,653,29,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Overvotes,4,4,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,DEM,Undervotes,124,121,3,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,335,321,14,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Jonathon HILL,317,305,12,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Joshua POLACHECK,324,310,14,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Total Votes Cast,976,936,40,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,DEM,Undervotes,239,231,8,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,DEM,Patrice HORSTMAN,370,355,15,0
