county,precinct,office,district,seats,party,candidate,votes,early_voting,election_day,provisional
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,DEM,Total Votes Cast,370,355,15,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,DEM,Undervotes,35,34,1,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,DEM,Armando RUIZ,352,337,15,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,DEM,Total Votes Cast,352,337,15,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,DEM,Undervotes,53,52,1,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Ammon BARKER,214,207,7,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Gary PEARLMUTTER,164,155,9,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Total Votes Cast,378,362,16,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,DEM,Undervotes,27,27,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,DEM,Aubrey SONDEREGGER,356,342,14,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,DEM,Total Votes Cast,356,342,14,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,DEM,Undervotes,49,47,2,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,DEM,Bret AXLUND,341,327,14,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,DEM,Write-In Totals,2,1,1,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,DEM,Total Votes Cast,343,328,15,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,DEM,Undervotes,62,61,1,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,DEM,Cheryl MANGO-PAGET,358,343,15,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,DEM,Total Votes Cast,358,343,15,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,DEM,Undervotes,47,46,1,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,DEM,Sarah BENATAR,364,349,15,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,DEM,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,DEM,Total Votes Cast,364,349,15,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,DEM,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,DEM,Undervotes,41,40,1,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Kari LAKE,75,63,12,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Mark LAMB,34,32,2,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Elizabeth Jean REYE,14,14,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Total Votes Cast,123,109,14,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,REP,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Eli CRANE,92,79,13,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Jack SMITH,25,24,1,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Total Votes Cast,118,104,14,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,REP,Undervotes,5,5,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,REP,Write-In Totals,11,10,1,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,REP,Total Votes Cast,11,10,1,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,REP,Undervotes,112,99,13,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Lloyd JOHNSON,74,64,10,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Rich KING,73,65,8,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Write-In Totals,2,2,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Total Votes Cast,149,131,18,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,REP,Undervotes,97,87,10,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Rene LOPEZ,66,59,7,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Lea MARQUEZ PETERSON,62,57,5,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Rachel WALDEN,76,66,10,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Write-In Totals,2,2,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Total Votes Cast,206,184,22,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,REP,Undervotes,163,143,20,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,REP,Larry Freeman SCHUG,82,72,10,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,REP,Write-In Totals,2,1,1,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,REP,Total Votes Cast,84,73,11,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,REP,Undervotes,39,36,3,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,REP,Write-In Totals,3,2,1,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,REP,Total Votes Cast,3,2,1,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,REP,Undervotes,120,107,13,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,REP,Write-In Totals,6,5,1,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,REP,Total Votes Cast,6,5,1,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,REP,Undervotes,117,104,13,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,REP,Bob THORPE,83,74,9,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,REP,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,REP,Total Votes Cast,84,75,9,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,REP,Undervotes,39,34,5,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,REP,Write-In Totals,6,5,1,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,REP,Total Votes Cast,6,5,1,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,REP,Undervotes,117,104,13,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,REP,Write-In Totals,4,3,1,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,REP,Total Votes Cast,4,3,1,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,REP,Undervotes,119,106,13,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,REP,Write-In Totals,4,3,1,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,REP,Total Votes Cast,4,3,1,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,REP,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,REP,Undervotes,119,106,13,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,LBT,Write-In Totals,2,2,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,LBT,Total Votes Cast,2,2,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,LBT,Write-In Totals,3,3,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,LBT,Total Votes Cast,3,3,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,LBT,Write-In Totals,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,LBT,Total Votes Cast,1,1,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,LBT,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,LBT,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Arturo HERNANDEZ,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Michael NORTON,1,1,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Total Votes Cast,2,2,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. Senate,,1,GRN,Undervotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,U.S. House,2,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State Senate,6,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,State House,6,2,GRN,Undervotes,4,4,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Corporation Commissioner,,3,GRN,Undervotes,6,6,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,Board of Supervisors,1,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Assessor,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Attorney,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Recorder,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Sheriff,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County School Superintendent,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,GRN,Write-In Totals,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,GRN,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,GRN,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,County Treasurer,,1,GRN,Undervotes,2,2,0,0
Coconino,01 - FLAGSTAFF 1,,,1,NOL,Total Votes Cast,0,0,0,0
Coconino,01 - FLAGSTAFF 1,,,1,NOL,Overvotes,0,0,0,0
Coconino,01 - FLAGSTAFF 1,,,1,NOL,Undervotes,0,0,0,0
Coconino,02 - FLAGSTAFF 2,"Registered Voters - Total ",,,,,1212,1212,1212,1212
Coconino,02 - FLAGSTAFF 2,Registered Voters - DEMOCRATIC,,,,,688,688,688,688
Coconino,02 - FLAGSTAFF 2,Registered Voters - REPUBLICAN,,,,,146,146,146,146
Coconino,02 - FLAGSTAFF 2,Registered Voters - LIBERTARIAN,,,,,6,6,6,6
Coconino,02 - FLAGSTAFF 2,Registered Voters - GREEN,,,,,6,6,6,6
Coconino,02 - FLAGSTAFF 2,Registered Voters - NO LABELS,,,,,10,10,10,10
Coconino,02 - FLAGSTAFF 2,Registered Voters - NONPARTISAN,,,,,356,356,356,356
Coconino,02 - FLAGSTAFF 2,Ballots Cast - Total,,,,,437,403,34,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - DEMOCRATIC,,,,,368,345,23,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - REPUBLICAN,,,,,68,57,11,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - LIBERTARIAN,,,,,0,0,0,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - GREEN,,,,,1,1,0,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - NO LABELS,,,,,0,0,0,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - NONPARTISAN,,,,,0,0,0,0
Coconino,02 - FLAGSTAFF 2,Ballots Cast - Blank,,,,,0,0,0,0
Coconino,02 - FLAGSTAFF 2,U.S. Senate,,1,DEM,Ruben GALLEGO,351,330,21,0
Coconino,02 - FLAGSTAFF 2,U.S. Senate,,1,DEM,Write-In Totals,3,3,0,0
Coconino,02 - FLAGSTAFF 2,U.S. Senate,,1,DEM,Total Votes Cast,354,333,21,0
Coconino,02 - FLAGSTAFF 2,U.S. Senate,,1,DEM,Overvotes,0,0,0,0
Coconino,02 - FLAGSTAFF 2,U.S. Senate,,1,DEM,Undervotes,14,12,2,0
Coconino,02 - FLAGSTAFF 2,U.S. House,2,1,DEM,Jonathan NEZ,350,328,22,0
Coconino,02 - FLAGSTAFF 2,U.S. House,2,1,DEM,Write-In Totals,1,1,0,0
Coconino,02 - FLAGSTAFF 2,U.S. House,2,1,DEM,Total Votes Cast,351,329,22,0
Coconino,02 - FLAGSTAFF 2,U.S. House,2,1,DEM,Overvotes,1,1,0,0
Coconino,02 - FLAGSTAFF 2,U.S. House,2,1,DEM,Undervotes,16,15,1,0
Coconino,02 - FLAGSTAFF 2,State Senate,6,1,DEM,Theresa HATATHLIE,337,318,19,0
Coconino,02 - FLAGSTAFF 2,State Senate,6,1,DEM,Write-In Totals,1,1,0,0
Coconino,02 - FLAGSTAFF 2,State Senate,6,1,DEM,Total Votes Cast,338,319,19,0
Coconino,02 - FLAGSTAFF 2,State Senate,6,1,DEM,Overvotes,1,1,0,0
Coconino,02 - FLAGSTAFF 2,State Senate,6,1,DEM,Undervotes,29,25,4,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Angela MALONEY,150,141,9,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Mae PESHLAKAI,263,250,13,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Myron TSOSIE,211,199,12,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Write-In Totals,0,0,0,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Total Votes Cast,624,590,34,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Overvotes,8,8,0,0
Coconino,02 - FLAGSTAFF 2,State House,6,2,DEM,Undervotes,104,92,12,0
Coconino,02 - FLAGSTAFF 2,Corporation Commissioner,,3,DEM,Ylenia AGUILAR,312,292,20,0
Coconino,02 - FLAGSTAFF 2,Corporation Commissioner,,3,DEM,Jonathon HILL,311,293,18,0
Coconino,02 - FLAGSTAFF 2,Corporation Commissioner,,3,DEM,Joshua POLACHECK,302,285,17,0
Coconino,02 - FLAGSTAFF 2,Corporation Commissioner,,3,DEM,Write-In Totals,1,1,0,0
