county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. House,1,DEM,Jeffrey Brown,1040,,,
Coconino,U.S. House,1,DEM,Jeffrey Brown,364,,,
Gila,U.S. House,1,DEM,Jeffrey Brown,291,,,
Graham,U.S. House,1,DEM,Jeffrey Brown,248,,,
Greenlee,U.S. House,1,DEM,Jeffrey Brown,93,,,
Navajo,U.S. House,1,DEM,Jeffrey Brown,475,,,
Pinal,U.S. House,1,DEM,Jeffrey Brown,415,,,
Yavapai,U.S. House,1,DEM,Jeffrey Brown,450,,,
Apache,U.S. House,1,DEM,Ann Kirkpatrick,4327,,,
Coconino,U.S. House,1,DEM,Ann Kirkpatrick,4825,,,
Gila,U.S. House,1,DEM,Ann Kirkpatrick,2031,,,
Graham,U.S. House,1,DEM,Ann Kirkpatrick,878,,,
Greenlee,U.S. House,1,DEM,Ann Kirkpatrick,678,,,
Navajo,U.S. House,1,DEM,Ann Kirkpatrick,2936,,,
Pinal,U.S. House,1,DEM,Ann Kirkpatrick,3861,,,
Yavapai,U.S. House,1,DEM,Ann Kirkpatrick,7198,,,
Apache,U.S. House,1,DEM,Howard Shanker,1789,,,
Coconino,U.S. House,1,DEM,Howard Shanker,2100,,,
Gila,U.S. House,1,DEM,Howard Shanker,246,,,
Graham,U.S. House,1,DEM,Howard Shanker,86,,,
Greenlee,U.S. House,1,DEM,Howard Shanker,38,,,
Navajo,U.S. House,1,DEM,Howard Shanker,1047,,,
Pinal,U.S. House,1,DEM,Howard Shanker,577,,,
Yavapai,U.S. House,1,DEM,Howard Shanker,2173,,,
Apache,U.S. House,1,DEM,Mary Kim Titla,3839,,,
Coconino,U.S. House,1,DEM,Mary Kim Titla,2116,,,
Gila,U.S. House,1,DEM,Mary Kim Titla,2844,,,
Graham,U.S. House,1,DEM,Mary Kim Titla,1370,,,
Greenlee,U.S. House,1,DEM,Mary Kim Titla,432,,,
Navajo,U.S. House,1,DEM,Mary Kim Titla,2804,,,
Pinal,U.S. House,1,DEM,Mary Kim Titla,2864,,,
Yavapai,U.S. House,1,DEM,Mary Kim Titla,2159,,,
Apache,U.S. House,1,LBT,Thane Eichenauer,13,,True,
Coconino,U.S. House,1,LBT,Thane Eichenauer,9,,True,
Gila,U.S. House,1,LBT,Thane Eichenauer,5,,True,
Graham,U.S. House,1,LBT,Thane Eichenauer,0,,True,
Greenlee,U.S. House,1,LBT,Thane Eichenauer,1,,True,
Navajo,U.S. House,1,LBT,Thane Eichenauer,4,,True,
Pinal,U.S. House,1,LBT,Thane Eichenauer,3,,True,
Yavapai,U.S. House,1,LBT,Thane Eichenauer,8,,True,
Apache,U.S. House,1,REP,Barry Hall,247,,,
Coconino,U.S. House,1,REP,Barry Hall,310,,,
Gila,U.S. House,1,REP,Barry Hall,201,,,
Graham,U.S. House,1,REP,Barry Hall,60,,,
Greenlee,U.S. House,1,REP,Barry Hall,23,,,
Navajo,U.S. House,1,REP,Barry Hall,408,,,
Pinal,U.S. House,1,REP,Barry Hall,318,,,
Yavapai,U.S. House,1,REP,Barry Hall,1176,,,
Apache,U.S. House,1,REP,Tom Hansen,710,,,
Coconino,U.S. House,1,REP,Tom Hansen,807,,,
Gila,U.S. House,1,REP,Tom Hansen,437,,,
Graham,U.S. House,1,REP,Tom Hansen,242,,,
Greenlee,U.S. House,1,REP,Tom Hansen,51,,,
Navajo,U.S. House,1,REP,Tom Hansen,1048,,,
Pinal,U.S. House,1,REP,Tom Hansen,928,,,
Yavapai,U.S. House,1,REP,Tom Hansen,3624,,,
Apache,U.S. House,1,REP,Sydney Hay,473,,,
Coconino,U.S. House,1,REP,Sydney Hay,1436,,,
Gila,U.S. House,1,REP,Sydney Hay,1775,,,
Graham,U.S. House,1,REP,Sydney Hay,1297,,,
Greenlee,U.S. House,1,REP,Sydney Hay,114,,,
Navajo,U.S. House,1,REP,Sydney Hay,1368,,,
Pinal,U.S. House,1,REP,Sydney Hay,1220,,,
Yavapai,U.S. House,1,REP,Sydney Hay,10142,,,
Apache,U.S. House,1,REP,Preston Korn,117,,,Withdrew
Coconino,U.S. House,1,REP,Preston Korn,419,,,Withdrew
Gila,U.S. House,1,REP,Preston Korn,117,,,Withdrew
Graham,U.S. House,1,REP,Preston Korn,60,,,Withdrew
Greenlee,U.S. House,1,REP,Preston Korn,5,,,Withdrew
Navajo,U.S. House,1,REP,Preston Korn,190,,,Withdrew
Pinal,U.S. House,1,REP,Preston Korn,165,,,Withdrew
Yavapai,U.S. House,1,REP,Preston Korn,523,,,Withdrew
Apache,U.S. House,1,REP,Sandra L. B. Livingstone,447,,,
Coconino,U.S. House,1,REP,Sandra L. B. Livingstone,1250,,,
Gila,U.S. House,1,REP,Sandra L. B. Livingstone,811,,,
Graham,U.S. House,1,REP,Sandra L. B. Livingstone,607,,,
Greenlee,U.S. House,1,REP,Sandra L. B. Livingstone,37,,,
Navajo,U.S. House,1,REP,Sandra L. B. Livingstone,1365,,,
Pinal,U.S. House,1,REP,Sandra L. B. Livingstone,1080,,,
Yavapai,U.S. House,1,REP,Sandra L. B. Livingstone,10024,,,
Coconino,U.S. House,2,DEM,John Thrasher,50,,,
La Paz,U.S. House,2,DEM,John Thrasher,0,,,
