county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional
Pima,1,Ballots Cast,,,,1259,1030,191,38
Pima,2,Ballots Cast,,,,169,142,25,2
Pima,3,Ballots Cast,,,,194,101,72,21
Pima,4,Ballots Cast,,,,908,586,265,57
Pima,5,Ballots Cast,,,,3476,2697,629,150
Pima,6,Ballots Cast,,,,3351,2793,426,132
Pima,7,Ballots Cast,,,,112,94,13,5
Pima,8,Ballots Cast,,,,493,381,81,31
Pima,9,Ballots Cast,,,,2462,2225,179,58
Pima,10,Ballots Cast,,,,1969,1765,173,31
Pima,11,Ballots Cast,,,,2829,2267,453,109
Pima,12,Ballots Cast,,,,4649,4175,371,103
Pima,13,Ballots Cast,,,,2677,2272,330,75
Pima,14,Ballots Cast,,,,3395,2983,309,103
Pima,15,Ballots Cast,,,,1270,1063,173,34
Pima,16,Ballots Cast,,,,3048,2745,240,63
Pima,17,Ballots Cast,,,,1677,1512,112,53
Pima,18,Ballots Cast,,,,1982,1743,145,94
Pima,19,Ballots Cast,,,,487,409,57,21
Pima,20,Ballots Cast,,,,2391,2095,190,106
Pima,21,Ballots Cast,,,,2901,2567,255,79
Pima,22,Ballots Cast,,,,2920,2539,267,114
Pima,23,Ballots Cast,,,,2790,2428,247,115
Pima,24,Ballots Cast,,,,1915,1551,289,75
Pima,25,Ballots Cast,,,,1893,1643,146,104
Pima,26,Ballots Cast,,,,2058,1797,152,109
Pima,27,Ballots Cast,,,,0,0,0,0
Pima,28,Ballots Cast,,,,1185,1000,122,63
Pima,29,Ballots Cast,,,,3053,2728,261,64
Pima,30,Ballots Cast,,,,2970,2656,251,63
Pima,31,Ballots Cast,,,,1586,1340,182,64
Pima,32,Ballots Cast,,,,3992,3371,475,146
Pima,33,Ballots Cast,,,,2167,1903,182,82
Pima,34,Ballots Cast,,,,1190,1002,134,54
Pima,35,Ballots Cast,,,,565,492,58,15
Pima,36,Ballots Cast,,,,3212,2673,342,197
Pima,37,Ballots Cast,,,,980,812,112,56
Pima,38,Ballots Cast,,,,1983,1770,133,80
Pima,39,Ballots Cast,,,,3300,2913,303,84
Pima,40,Ballots Cast,,,,2737,2211,410,116
Pima,41,Ballots Cast,,,,5106,4472,399,235
Pima,42,Ballots Cast,,,,3316,2936,214,166
Pima,43,Ballots Cast,,,,1066,881,129,56
Pima,44,Ballots Cast,,,,1912,1713,135,64
Pima,45,Ballots Cast,,,,1611,1486,83,42
Pima,46,Ballots Cast,,,,925,802,109,14
Pima,47,Ballots Cast,,,,2108,1816,185,107
Pima,48,Ballots Cast,,,,1869,1577,166,126
Pima,49,Ballots Cast,,,,1319,1080,196,43
Pima,50,Ballots Cast,,,,1680,1445,154,81
Pima,51,Ballots Cast,,,,1345,1123,139,83
Pima,52,Ballots Cast,,,,1403,1279,1,123
Pima,53,Ballots Cast,,,,3847,3313,334,200
Pima,54,Ballots Cast,,,,4273,3724,346,203
Pima,55,Ballots Cast,,,,1180,1049,96,35
Pima,56,Ballots Cast,,,,2300,2120,155,25
Pima,57,Ballots Cast,,,,3098,2720,250,128
Pima,58,Ballots Cast,,,,2704,2347,242,115
Pima,59,Ballots Cast,,,,1537,1295,153,89
Pima,60,Ballots Cast,,,,1337,1045,232,60
Pima,61,Ballots Cast,,,,1898,1733,129,36
Pima,62,Ballots Cast,,,,1850,1592,180,78
Pima,63,Ballots Cast,,,,1295,1224,52,19
Pima,64,Ballots Cast,,,,1665,1426,154,85
Pima,65,Ballots Cast,,,,20,20,0,0
Pima,66,Ballots Cast,,,,1985,1657,186,142
Pima,67,Ballots Cast,,,,2422,2095,228,99
Pima,68,Ballots Cast,,,,2237,2052,141,44
Pima,69,Ballots Cast,,,,3984,3619,255,110
Pima,70,Ballots Cast,,,,1925,1528,315,82
Pima,71,Ballots Cast,,,,142,83,52,7
Pima,72,Ballots Cast,,,,3164,2794,243,127
Pima,73,Ballots Cast,,,,2548,2381,132,35
Pima,74,Ballots Cast,,,,2054,1914,111,29
Pima,75,Ballots Cast,,,,2707,2410,211,86
Pima,76,Ballots Cast,,,,294,158,121,15
Pima,77,Ballots Cast,,,,2405,2145,223,37
Pima,78,Ballots Cast,,,,1675,1539,94,42
Pima,79,Ballots Cast,,,,2914,2433,406,75
Pima,80,Ballots Cast,,,,2081,1874,148,59
Pima,81,Ballots Cast,,,,1040,829,160,51
Pima,82,Ballots Cast,,,,1996,1785,149,62
Pima,83,Ballots Cast,,,,1714,1494,182,38
Pima,84,Ballots Cast,,,,5155,4789,301,65
Pima,85,Ballots Cast,,,,1383,1222,119,42
Pima,86,Ballots Cast,,,,3138,2716,309,113
Pima,87,Ballots Cast,,,,542,490,32,20
Pima,88,Ballots Cast,,,,2694,2488,177,29
Pima,89,Ballots Cast,,,,2717,2500,157,60
Pima,90,Ballots Cast,,,,1460,1173,237,50
Pima,91,Ballots Cast,,,,2642,2250,294,98
Pima,92,Ballots Cast,,,,2935,2680,219,36
Pima,93,Ballots Cast,,,,1956,1787,127,42
Pima,94,Ballots Cast,,,,2210,2012,147,51
Pima,95,Ballots Cast,,,,1281,1073,168,40
Pima,96,Ballots Cast,,,,2192,1967,179,46
Pima,97,Ballots Cast,,,,1665,1461,161,43
Pima,98,Ballots Cast,,,,2466,2074,249,143
Pima,99,Ballots Cast,,,,2090,1936,115,39
Pima,100,Ballots Cast,,,,2353,2087,178,88
Pima,101,Ballots Cast,,,,1581,1326,210,45
Pima,102,Ballots Cast,,,,2077,1684,258,135
Pima,103,Ballots Cast,,,,1111,991,101,19
Pima,104,Ballots Cast,,,,3635,3175,363,97
Pima,105,Ballots Cast,,,,1446,1207,165,74
Pima,106,Ballots Cast,,,,1337,1193,126,18
Pima,107,Ballots Cast,,,,2886,2534,249,103
Pima,108,Ballots Cast,,,,3691,3304,294,93
Pima,109,Ballots Cast,,,,4718,4110,476,132
Pima,110,Ballots Cast,,,,1298,794,365,139
Pima,111,Ballots Cast,,,,1870,1670,157,43
Pima,112,Ballots Cast,,,,2697,2518,170,9
Pima,113,Ballots Cast,,,,2527,2104,295,128
Pima,114,Ballots Cast,,,,766,656,66,44
Pima,115,Ballots Cast,,,,4212,3777,354,81
Pima,116,Ballots Cast,,,,3736,3245,352,139
Pima,117,Ballots Cast,,,,2254,1949,240,65
Pima,118,Ballots Cast,,,,2647,2424,174,49
Pima,119,Ballots Cast,,,,1941,1712,152,77
Pima,120,Ballots Cast,,,,2590,2212,295,83
Pima,121,Ballots Cast,,,,1663,1471,156,36
Pima,122,Ballots Cast,,,,1871,1629,177,65
Pima,123,Ballots Cast,,,,3727,3224,356,147
Pima,124,Ballots Cast,,,,1338,1143,150,45
Pima,125,Ballots Cast,,,,1941,1766,142,33
Pima,126,Ballots Cast,,,,1480,1333,106,41
Pima,127,Ballots Cast,,,,7441,6860,450,131
Pima,128,Ballots Cast,,,,2115,1803,241,71
Pima,129,Ballots Cast,,,,1910,1609,238,63
Pima,130,Ballots Cast,,,,3216,2665,419,132
Pima,131,Ballots Cast,,,,1874,1703,135,36
Pima,132,Ballots Cast,,,,2728,2391,249,88
Pima,133,Ballots Cast,,,,3089,2691,289,109
Pima,134,Ballots Cast,,,,1889,1577,229,83
Pima,135,Ballots Cast,,,,155,63,80,12
Pima,136,Ballots Cast,,,,125,68,55,2
Pima,137,Ballots Cast,,,,107,57,37,13
Pima,138,Ballots Cast,,,,399,224,143,32
Pima,139,Ballots Cast,,,,444,321,122,1
Pima,140,Ballots Cast,,,,641,508,114,19
Pima,141,Ballots Cast,,,,4031,3803,197,31
Pima,142,Ballots Cast,,,,3090,2655,347,88
