county,precinct,office,district,party,candidate,votes,early_voting,provisional,election_day,late_early
Yuma,P01,Presidential Electors,,REP,TRUMP / PENCE,260,205,10,43,2
Yuma,P02,Presidential Electors,,REP,TRUMP / PENCE,388,300,7,73,8
Yuma,P03,Presidential Electors,,REP,TRUMP / PENCE,386,310,10,60,6
Yuma,P04,Presidential Electors,,REP,TRUMP / PENCE,1208,984,23,185,16
Yuma,P05,Presidential Electors,,REP,TRUMP / PENCE,1234,1048,13,154,19
Yuma,P06,Presidential Electors,,REP,TRUMP / PENCE,580,426,16,119,19
Yuma,P07,Presidential Electors,,REP,TRUMP / PENCE,556,386,20,133,17
Yuma,P08,Presidential Electors,,REP,TRUMP / PENCE,635,568,10,53,4
Yuma,P09,Presidential Electors,,REP,TRUMP / PENCE,1443,1164,26,231,22
Yuma,P10,Presidential Electors,,REP,TRUMP / PENCE,2516,2041,52,379,44
Yuma,P11,Presidential Electors,,REP,TRUMP / PENCE,1234,959,22,214,39
Yuma,P12,Presidential Electors,,REP,TRUMP / PENCE,1142,972,13,138,19
Yuma,P13,Presidential Electors,,REP,TRUMP / PENCE,531,447,15,64,5
Yuma,P14,Presidential Electors,,REP,TRUMP / PENCE,219,167,7,42,3
Yuma,P15,Presidential Electors,,REP,TRUMP / PENCE,1127,921,20,174,12
Yuma,P16,Presidential Electors,,REP,TRUMP / PENCE,761,616,9,123,13
Yuma,P17,Presidential Electors,,REP,TRUMP / PENCE,1838,1482,31,272,53
Yuma,P18,Presidential Electors,,REP,TRUMP / PENCE,213,166,5,41,1
Yuma,P19,Presidential Electors,,REP,TRUMP / PENCE,62,44,3,14,1
Yuma,P20,Presidential Electors,,REP,TRUMP / PENCE,1449,972,35,368,74
Yuma,P21,Presidential Electors,,REP,TRUMP / PENCE,0,0,0,0,0
Yuma,P22,Presidential Electors,,REP,TRUMP / PENCE,1512,1171,28,268,45
Yuma,P23,Presidential Electors,,REP,TRUMP / PENCE,1301,1111,14,162,14
Yuma,P24,Presidential Electors,,REP,TRUMP / PENCE,3633,3120,31,414,68
Yuma,P25,Presidential Electors,,REP,TRUMP / PENCE,1975,1651,25,267,32
Yuma,P26,Presidential Electors,,REP,TRUMP / PENCE,218,175,5,32,6
Yuma,P27,Presidential Electors,,REP,TRUMP / PENCE,355,295,7,51,2
Yuma,P28,Presidential Electors,,REP,TRUMP / PENCE,178,147,2,24,5
Yuma,P29,Presidential Electors,,REP,TRUMP / PENCE,470,302,16,133,19
Yuma,P30,Presidential Electors,,REP,TRUMP / PENCE,482,349,14,106,13
Yuma,P31,Presidential Electors,,REP,TRUMP / PENCE,865,586,28,221,30
Yuma,P32,Presidential Electors,,REP,TRUMP / PENCE,347,280,6,56,5
Yuma,P33,Presidential Electors,,REP,TRUMP / PENCE,286,232,3,49,2
Yuma,P34,Presidential Electors,,REP,TRUMP / PENCE,482,404,2,72,4
Yuma,P35,Presidential Electors,,REP,TRUMP / PENCE,801,699,14,81,7
Yuma,P36,Presidential Electors,,REP,TRUMP / PENCE,869,746,12,99,12
Yuma,P37,Presidential Electors,,REP,TRUMP / PENCE,565,461,15,82,7
Yuma,P38,Presidential Electors,,REP,TRUMP / PENCE,731,599,13,110,9
Yuma,P39,Presidential Electors,,REP,TRUMP / PENCE,828,687,13,124,4
Yuma,P40,Presidential Electors,,REP,TRUMP / PENCE,827,686,14,117,10
Yuma,P41,Presidential Electors,,REP,TRUMP / PENCE,998,834,17,126,21
Yuma,P42,Presidential Electors,,REP,TRUMP / PENCE,1011,778,31,174,28
Yuma,P43,Presidential Electors,,REP,TRUMP / PENCE,18,13,0,3,2
Yuma,P44,Presidential Electors,,REP,TRUMP / PENCE,0,0,0,0,0
Yuma,P01,Presidential Electors,,DEM,BIDEN / HARRIS,510,418,4,71,17
Yuma,P02,Presidential Electors,,DEM,BIDEN / HARRIS,533,435,12,73,13
Yuma,P03,Presidential Electors,,DEM,BIDEN / HARRIS,546,445,11,75,15
Yuma,P04,Presidential Electors,,DEM,BIDEN / HARRIS,1515,1302,26,155,32
Yuma,P05,Presidential Electors,,DEM,BIDEN / HARRIS,754,681,11,53,9
Yuma,P06,Presidential Electors,,DEM,BIDEN / HARRIS,1060,841,20,174,25
Yuma,P07,Presidential Electors,,DEM,BIDEN / HARRIS,1554,1201,35,265,53
Yuma,P08,Presidential Electors,,DEM,BIDEN / HARRIS,427,394,4,17,12
Yuma,P09,Presidential Electors,,DEM,BIDEN / HARRIS,450,399,5,41,5
Yuma,P10,Presidential Electors,,DEM,BIDEN / HARRIS,1543,1358,22,143,20
Yuma,P11,Presidential Electors,,DEM,BIDEN / HARRIS,728,629,9,69,21
Yuma,P12,Presidential Electors,,DEM,BIDEN / HARRIS,599,523,7,59,10
Yuma,P13,Presidential Electors,,DEM,BIDEN / HARRIS,735,630,12,85,8
Yuma,P14,Presidential Electors,,DEM,BIDEN / HARRIS,207,179,2,23,3
Yuma,P15,Presidential Electors,,DEM,BIDEN / HARRIS,854,748,16,74,16
Yuma,P16,Presidential Electors,,DEM,BIDEN / HARRIS,698,611,9,63,15
Yuma,P17,Presidential Electors,,DEM,BIDEN / HARRIS,893,776,10,79,28
