<<<<<<< HEAD
county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. House,1,DEM,George Cordova,3224,,,
Coconino,U.S. House,1,DEM,George Cordova,1259,,,
Gila,U.S. House,1,DEM,George Cordova,1319,,,
Graham,U.S. House,1,DEM,George Cordova,411,,,
Greenlee,U.S. House,1,DEM,George Cordova,231,,,
Navajo,U.S. House,1,DEM,George Cordova,1691,,,
Pinal,U.S. House,1,DEM,George Cordova,2707,,,
Yavapai,U.S. House,1,DEM,George Cordova,847,,,
,U.S. House,1,DEM,George Cordova,11689,True,,
Apache,U.S. House,1,DEM,Fred Duval,282,,,
Coconino,U.S. House,1,DEM,Fred Duval,2440,,,
Gila,U.S. House,1,DEM,Fred Duval,905,,,
Graham,U.S. House,1,DEM,Fred Duval,264,,,
Greenlee,U.S. House,1,DEM,Fred Duval,133,,,
Navajo,U.S. House,1,DEM,Fred Duval,720,,,
Pinal,U.S. House,1,DEM,Fred Duval,1580,,,
Yavapai,U.S. House,1,DEM,Fred Duval,2324,,,
,U.S. House,1,DEM,Fred Duval,8648,,,
Apache,U.S. House,1,DEM,Roger Hartstone,124,,,
Coconino,U.S. House,1,DEM,Roger Hartstone,276,,,
Gila,U.S. House,1,DEM,Roger Hartstone,69,,,
Graham,U.S. House,1,DEM,Roger Hartstone,25,,,
Greenlee,U.S. House,1,DEM,Roger Hartstone,12,,,
Navajo,U.S. House,1,DEM,Roger Hartstone,160,,,
Pinal,U.S. House,1,DEM,Roger Hartstone,117,,,
Yavapai,U.S. House,1,DEM,Roger Hartstone,139,,,
,U.S. House,1,DEM,Roger Hartstone,922,,,
Apache,U.S. House,1,DEM,Sam Martinez,476,,,
Coconino,U.S. House,1,DEM,Sam Martinez,1012,,,
Gila,U.S. House,1,DEM,Sam Martinez,411,,,
Graham,U.S. House,1,DEM,Sam Martinez,342,,,
Greenlee,U.S. House,1,DEM,Sam Martinez,218,,,
Navajo,U.S. House,1,DEM,Sam Martinez,1109,,,
Pinal,U.S. House,1,DEM,Sam Martinez,847,,,
Yavapai,U.S. House,1,DEM,Sam Martinez,493,,,
,U.S. House,1,DEM,Sam Martinez,4908,,,
Apache,U.S. House,1,DEM,Diane Prescott,675,,,
Coconino,U.S. House,1,DEM,Diane Prescott,1461,,,
Gila,U.S. House,1,DEM,Diane Prescott,918,,,
Graham,U.S. House,1,DEM,Diane Prescott,559,,,
Greenlee,U.S. House,1,DEM,Diane Prescott,218,,,
Navajo,U.S. House,1,DEM,Diane Prescott,947,,,
Pinal,U.S. House,1,DEM,Diane Prescott,649,,,
Yavapai,U.S. House,1,DEM,Diane Prescott,4202,,,
,U.S. House,1,DEM,Diane Prescott,9629,,,
Apache,U.S. House,1,DEM,Stephen Udall,2241,,,
Coconino,U.S. House,1,DEM,Stephen Udall,1097,,,
Gila,U.S. House,1,DEM,Stephen Udall,1208,,,
Graham,U.S. House,1,DEM,Stephen Udall,787,,,
Greenlee,U.S. House,1,DEM,Stephen Udall,306,,,
Navajo,U.S. House,1,DEM,Stephen Udall,1420,,,
Pinal,U.S. House,1,DEM,Stephen Udall,1552,,,
Yavapai,U.S. House,1,DEM,Stephen Udall,2079,,,
,U.S. House,1,DEM,Stephen Udall,10690,,,
Apache,U.S. House,1,DEM,Derrick Watchman,3923,,,
Coconino,U.S. House,1,DEM,Derrick Watchman,1421,,,
Gila,U.S. House,1,DEM,Derrick Watchman,101,,,
Graham,U.S. House,1,DEM,Derrick Watchman,92,,,
Greenlee,U.S. House,1,DEM,Derrick Watchman,9,,,
Navajo,U.S. House,1,DEM,Derrick Watchman,1527,,,
Pinal,U.S. House,1,DEM,Derrick Watchman,85,,,
Yavapai,U.S. House,1,DEM,Derrick Watchman,168,,,
,U.S. House,1,DEM,Derrick Watchman,7326,,,
Apache,U.S. House,1,LBT,Andy Fernandez,47,,,
Coconino,U.S. House,1,LBT,Andy Fernandez,39,,,
Gila,U.S. House,1,LBT,Andy Fernandez,11,,,
Graham,U.S. House,1,LBT,Andy Fernandez,5,,,
Greenlee,U.S. House,1,LBT,Andy Fernandez,3,,,
Navajo,U.S. House,1,LBT,Andy Fernandez,13,,,
Pinal,U.S. House,1,LBT,Andy Fernandez,17,,,
Yavapai,U.S. House,1,LBT,Andy Fernandez,108,,,
,U.S. House,1,LBT,Andy Fernandez,243,,,
Apache,U.S. House,1,LBT,Edwin Porr,30,,,
Coconino,U.S. House,1,LBT,Edwin Porr,62,,,
Gila,U.S. House,1,LBT,Edwin Porr,27,,,
Graham,U.S. House,1,LBT,Edwin Porr,5,,,
Greenlee,U.S. House,1,LBT,Edwin Porr,0,,,
Navajo,U.S. House,1,LBT,Edwin Porr,13,,,
Pinal,U.S. House,1,LBT,Edwin Porr,23,,,
Yavapai,U.S. House,1,LBT,Edwin Porr,126,,,
,U.S. House,1,LBT,Edwin Porr,286,True,,
Apache,U.S. House,1,REP,Alan Everett,122,,,
Coconino,U.S. House,1,REP,Alan Everett,1006,,,
Gila,U.S. House,1,REP,Alan Everett,216,,,
Graham,U.S. House,1,REP,Alan Everett,40,,,
Greenlee,U.S. House,1,REP,Alan Everett,7,,,
Navajo,U.S. House,1,REP,Alan Everett,193,,,
Pinal,U.S. House,1,REP,Alan Everett,284,,,
Yavapai,U.S. House,1,REP,Alan Everett,5453,,,
,U.S. House,1,REP,Alan Everett,7321,,,
Apache,U.S. House,1,REP,Sydney Ann Hay,324,,,
Coconino,U.S. House,1,REP,Sydney Ann Hay,1104,,,
Gila,U.S. House,1,REP,Sydney Ann Hay,832,,,
Graham,U.S. House,1,REP,Sydney Ann Hay,246,,,
Greenlee,U.S. House,1,REP,Sydney Ann Hay,41,,,
Navajo,U.S. House,1,REP,Sydney Ann Hay,685,,,
Pinal,U.S. House,1,REP,Sydney Ann Hay,528,,,
Yavapai,U.S. House,1,REP,Sydney Ann Hay,5790,,,
,U.S. House,1,REP,Sydney Ann Hay,9550,,,
Apache,U.S. House,1,REP,Rick Renzi,606,,,
Coconino,U.S. House,1,REP,Rick Renzi,2039,,,
Gila,U.S. House,1,REP,Rick Renzi,621,,,
Graham,U.S. House,1,REP,Rick Renzi,299,,,
Greenlee,U.S. House,1,REP,Rick Renzi,82,,,
Navajo,U.S. House,1,REP,Rick Renzi,879,,,
Pinal,U.S. House,1,REP,Rick Renzi,1000,,,
Yavapai,U.S. House,1,REP,Rick Renzi,5853,,,
,U.S. House,1,REP,Rick Renzi,11379,True,,
Apache,U.S. House,1,REP,David Stafford,172,,,
Coconino,U.S. House,1,REP,David Stafford,281,,,
Gila,U.S. House,1,REP,David Stafford,134,,,
Graham,U.S. House,1,REP,David Stafford,36,,,
Greenlee,U.S. House,1,REP,David Stafford,8,,,
Navajo,U.S. House,1,REP,David Stafford,131,,,
Pinal,U.S. House,1,REP,David Stafford,250,,,
Yavapai,U.S. House,1,REP,David Stafford,882,,,
,U.S. House,1,REP,David Stafford,1894,,,
Apache,U.S. House,1,REP,Lewis Noble Tenney,609,,,
Coconino,U.S. House,1,REP,Lewis Noble Tenney,801,,,
Gila,U.S. House,1,REP,Lewis Noble Tenney,647,,,
Graham,U.S. House,1,REP,Lewis Noble Tenney,1096,,,
Greenlee,U.S. House,1,REP,Lewis Noble Tenney,120,,,
Navajo,U.S. House,1,REP,Lewis Noble Tenney,3304,,,
Pinal,U.S. House,1,REP,Lewis Noble Tenney,354,,,
Yavapai,U.S. House,1,REP,Lewis Noble Tenney,2638,,,
,U.S. House,1,REP,Lewis Noble Tenney,9569,,,
Apache,U.S. House,1,REP,Bruce Whiting,370,,,
Coconino,U.S. House,1,REP,Bruce Whiting,1225,,,
Gila,U.S. House,1,REP,Bruce Whiting,1170,,,
Graham,U.S. House,1,REP,Bruce Whiting,431,,,
Greenlee,U.S. House,1,REP,Bruce Whiting,33,,,
Navajo,U.S. House,1,REP,Bruce Whiting,801,,,
Pinal,U.S. House,1,REP,Bruce Whiting,470,,,
Yavapai,U.S. House,1,REP,Bruce Whiting,2372,,,
,U.S. House,1,REP,Bruce Whiting,6872,,,
Coconino,U.S. House,2,DEM,Linda Calvert,18,,,
La Paz,U.S. House,2,DEM,Linda Calvert,0,,,
Maricopa,U.S. House,2,DEM,Linda Calvert,2423,,,
Mohave,U.S. House,2,DEM,Linda Calvert,851,,,
Navajo,U.S. House,2,DEM,Linda Calvert,31,,,
Yavapai,U.S. House,2,DEM,Linda Calvert,0,,,
,U.S. House,2,DEM,Linda Calvert,3323,,,
Coconino,U.S. House,2,DEM,Randy Camacho,17,,,
La Paz,U.S. House,2,DEM,Randy Camacho,0,,,
Maricopa,U.S. House,2,DEM,Randy Camacho,4976,,,
Mohave,U.S. House,2,DEM,Randy Camacho,1461,,,
Navajo,U.S. House,2,DEM,Randy Camacho,53,,,
Yavapai,U.S. House,2,DEM,Randy Camacho,0,,,
,U.S. House,2,DEM,Randy Camacho,6507,True,,
