county,votes,early_voting,election_day,late_early_voting,provisional,party,office,district,candidate,precinct
Pinal,143,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,KEARNY
Pinal,65,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,DUDLEYVILLE
Pinal,199,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SAN MANUEL
Pinal,99,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MAMMOTH
Pinal,190,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ORACLE
Pinal,278,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SADDLEBROOKE WEST
Pinal,213,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ARIZONA CITY
Pinal,219,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,TOLTEC SOUTH
Pinal,31,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PICACHO
Pinal,109,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ELOY
Pinal,203,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,TOLTEC
Pinal,115,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ELOY SOUTH
Pinal,261,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SADDLEBROOKE EAST
Pinal,177,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,RED ROCK
Pinal,130,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,COOLIDGE NE
Pinal,280,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,COOLIDGE NW
Pinal,152,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,COOLIDGE SOUTH
Pinal,79,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,RANDOLPH
Pinal,89,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CENTRAL ARIZONA COLLEGE
Pinal,79,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ELEVEN MILE CORNER
Pinal,144,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,FLORENCE NORTH
Pinal,144,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,FLORENCE SOUTH
Pinal,131,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CACTUS FOREST
Pinal,288,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,JOHNSON RANCH
Pinal,491,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,POSTON BUTTE
Pinal,334,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,QUEEN CREEK
Pinal,99,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SACATON
Pinal,264,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MARICOPA
Pinal,46,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,STANFIELD
Pinal,187,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE NORTH
Pinal,177,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE N CENTRAL
Pinal,197,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE S CENTRAL
Pinal,177,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE NE
Pinal,201,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE SE
Pinal,281,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE NW
Pinal,136,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE SW
Pinal,240,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE RANCHO GRANDE
Pinal,248,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT SUPERSTITION
Pinal,216,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE INTERCHANGE
Pinal,174,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT NW
Pinal,242,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT SW
Pinal,277,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT SE
Pinal,221,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT NE
Pinal,189,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT EAST
Pinal,208,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JCT CENTRAL
Pinal,208,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,GOLD CANYON
Pinal,52,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,QUEEN VALLEY
Pinal,159,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SUPERIOR
Pinal,2,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SUPERIOR WEST
Pinal,15,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SUTTON SUMMIT
Pinal,22,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CHUI CHU
Pinal,162,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,THUNDERBIRD FARMS
Pinal,233,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA GRANDE WEST
Pinal,211,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JUNCTION NORTH
Pinal,235,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JUNCTION N. CENTRAL
Pinal,171,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JUNCTION E. CENTRAL
Pinal,259,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE JUNCTION SOUTH
Pinal,65,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,BLACKWATER
Pinal,80,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SAN TAN
Pinal,85,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CASA BLANCA
Pinal,149,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,APACHE TRAIL
Pinal,238,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SUPERSTITION MOUNTAIN
Pinal,156,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MOUNTAINBROOK VILLAGE
Pinal,121,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,HIDDEN VALLEY
Pinal,239,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SAN TAN PARK
Pinal,157,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,BELLA VISTA
Pinal,208,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,COPPER BASIN
Pinal,215,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SCHNEPF
Pinal,101,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PERALTA
Pinal,158,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SANTA ROSA
Pinal,247,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,EL DORADO
Pinal,266,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,WALKER BUTTE
Pinal,266,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PECAN CREEK NORTH
Pinal,41,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,AK CHIN COMMUNITY
Pinal,249,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MARICOPA MEADOWS
Pinal,280,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MARICOPA FIESTA
Pinal,417,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PROVINCE
Pinal,239,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,IRONWOOD COMMON
Pinal,106,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CRUZ PARK
Pinal,275,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,COYOTE RANCH
Pinal,109,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,GOLD CANYON NORTH
Pinal,253,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SAN TAN HEIGHTS
Pinal,304,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CIRCLE CROSS RANCH
Pinal,211,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,JOHNSON RANCH EAST
Pinal,483,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,IRONWOOD CROSSING
Pinal,292,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,QUAIL HOLLOW
Pinal,231,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SENITA
Pinal,152,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SILVERBELL
Pinal,335,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,EAGLE CREST
Pinal,146,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ORACLE SOUTH
