county,votes,election_day,early_voting,late_early_voting,provisional,party,office,district,candidate,precinct
Navajo,1220,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,RED BUTTE
Navajo,154,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PAINTED DESERT
Navajo,24,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,HUBBELL
Navajo,880,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,BLACK BUTTES
Navajo,197,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,CEDAR VALLEY
Navajo,80,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,STONE BUTTE
Navajo,742,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,PIONEER
Navajo,364,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,ANTELOPE
Navajo,151,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,JUNIPER
Navajo,95,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,BISON
Navajo,276,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,MOGOLLON
Navajo,123,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,WOODLAND
Navajo,851,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SITGREAVES
Navajo,1232,0,0,0,0,,Registered Voters,,REGISTERED VOTERS,SUNRISE
Navajo,602,387,191,20,3,,Ballots Cast,,BALLOTS CAST,RED BUTTE
Navajo,89,60,25,3,0,,Ballots Cast,,BALLOTS CAST,PAINTED DESERT
Navajo,17,6,8,2,0,,Ballots Cast,,BALLOTS CAST,HUBBELL
Navajo,511,248,221,33,8,,Ballots Cast,,BALLOTS CAST,BLACK BUTTES
Navajo,114,75,32,4,2,,Ballots Cast,,BALLOTS CAST,CEDAR VALLEY
Navajo,40,31,6,1,1,,Ballots Cast,,BALLOTS CAST,STONE BUTTE
Navajo,561,231,258,65,5,,Ballots Cast,,BALLOTS CAST,PIONEER
Navajo,255,115,117,20,3,,Ballots Cast,,BALLOTS CAST,ANTELOPE
Navajo,112,35,70,5,0,,Ballots Cast,,BALLOTS CAST,JUNIPER
Navajo,76,31,36,8,0,,Ballots Cast,,BALLOTS CAST,BISON
Navajo,218,56,140,20,0,,Ballots Cast,,BALLOTS CAST,MOGOLLON
Navajo,90,29,51,9,0,,Ballots Cast,,BALLOTS CAST,WOODLAND
Navajo,653,181,417,53,2,,Ballots Cast,,BALLOTS CAST,SITGREAVES
Navajo,784,336,382,55,9,,Ballots Cast,,BALLOTS CAST,SUNRISE
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,RED BUTTE
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,PAINTED DESERT
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,HUBBELL
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,BLACK BUTTES
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,CEDAR VALLEY
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,STONE BUTTE
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,PIONEER
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,ANTELOPE
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,JUNIPER
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,BISON
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,MOGOLLON
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,WOODLAND
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,SITGREAVES
Navajo,0,0,0,0,0,,Blank Ballots Cast,,BALLOTS CAST - BLANK,SUNRISE
Navajo,59,38,18,2,0,REP,President,,"TRUMP, PENCE",RED BUTTE
Navajo,15,7,6,1,0,REP,President,,"TRUMP, PENCE",PAINTED DESERT
Navajo,11,4,4,1,0,REP,President,,"TRUMP, PENCE",HUBBELL
Navajo,132,55,61,13,2,REP,President,,"TRUMP, PENCE",BLACK BUTTES
Navajo,10,7,2,0,0,REP,President,,"TRUMP, PENCE",CEDAR VALLEY
Navajo,2,1,0,0,0,REP,President,,"TRUMP, PENCE",STONE BUTTE
Navajo,460,196,203,55,4,REP,President,,"TRUMP, PENCE",PIONEER
Navajo,150,71,65,11,1,REP,President,,"TRUMP, PENCE",ANTELOPE
Navajo,85,29,51,3,0,REP,President,,"TRUMP, PENCE",JUNIPER
Navajo,59,26,26,6,0,REP,President,,"TRUMP, PENCE",BISON
Navajo,161,46,100,14,0,REP,President,,"TRUMP, PENCE",MOGOLLON
Navajo,66,23,35,7,0,REP,President,,"TRUMP, PENCE",WOODLAND
Navajo,480,146,292,40,1,REP,President,,"TRUMP, PENCE",SITGREAVES
Navajo,361,106,219,32,2,REP,President,,"TRUMP, PENCE",SUNRISE
Navajo,445,283,144,15,2,DEM,President,,"CLINTON, KAINE",RED BUTTE
Navajo,62,44,15,2,0,DEM,President,,"CLINTON, KAINE",PAINTED DESERT
Navajo,4,1,3,0,0,DEM,President,,"CLINTON, KAINE",HUBBELL
Navajo,318,159,139,14,5,DEM,President,,"CLINTON, KAINE",BLACK BUTTES
Navajo,89,58,26,2,1,DEM,President,,"CLINTON, KAINE",CEDAR VALLEY
Navajo,30,23,4,1,0,DEM,President,,"CLINTON, KAINE",STONE BUTTE
Navajo,51,16,31,3,0,DEM,President,,"CLINTON, KAINE",PIONEER
Navajo,70,28,36,5,0,DEM,President,,"CLINTON, KAINE",ANTELOPE
Navajo,19,4,14,1,0,DEM,President,,"CLINTON, KAINE",JUNIPER
Navajo,10,2,7,1,0,DEM,President,,"CLINTON, KAINE",BISON
Navajo,41,6,31,3,0,DEM,President,,"CLINTON, KAINE",MOGOLLON
Navajo,17,3,12,1,0,DEM,President,,"CLINTON, KAINE",WOODLAND
Navajo,123,22,93,6,0,DEM,President,,"CLINTON, KAINE",SITGREAVES
Navajo,360,202,136,15,6,DEM,President,,"CLINTON, KAINE",SUNRISE
Navajo,27,17,9,0,0,LBT,President,,"JOHNSON, WELD",RED BUTTE
Navajo,3,2,1,0,0,LBT,President,,"JOHNSON, WELD",PAINTED DESERT
Navajo,0,0,0,0,0,LBT,President,,"JOHNSON, WELD",HUBBELL
Navajo,17,9,5,1,0,LBT,President,,"JOHNSON, WELD",BLACK BUTTES
Navajo,2,1,0,0,0,LBT,President,,"JOHNSON, WELD",CEDAR VALLEY
Navajo,0,0,0,0,0,LBT,President,,"JOHNSON, WELD",STONE BUTTE
Navajo,16,7,7,1,0,LBT,President,,"JOHNSON, WELD",PIONEER
Navajo,11,5,5,1,0,LBT,President,,"JOHNSON, WELD",ANTELOPE
Navajo,3,1,1,0,0,LBT,President,,"JOHNSON, WELD",JUNIPER
Navajo,1,0,1,0,0,LBT,President,,"JOHNSON, WELD",BISON
Navajo,7,1,4,0,0,LBT,President,,"JOHNSON, WELD",MOGOLLON
Navajo,3,1,0,0,0,LBT,President,,"JOHNSON, WELD",WOODLAND
Navajo,21,5,13,2,0,LBT,President,,"JOHNSON, WELD",SITGREAVES
Navajo,23,8,10,3,0,LBT,President,,"JOHNSON, WELD",SUNRISE
Navajo,18,13,5,0,0,GRN,President,,"STEIN, BARAKA",RED BUTTE
Navajo,2,1,0,0,0,GRN,President,,"STEIN, BARAKA",PAINTED DESERT
Navajo,0,0,0,0,0,GRN,President,,"STEIN, BARAKA",HUBBELL
Navajo,13,7,3,1,0,GRN,President,,"STEIN, BARAKA",BLACK BUTTES
Navajo,2,1,0,0,0,GRN,President,,"STEIN, BARAKA",CEDAR VALLEY
Navajo,2,1,0,0,0,GRN,President,,"STEIN, BARAKA",STONE BUTTE
Navajo,5,1,3,0,0,GRN,President,,"STEIN, BARAKA",PIONEER
Navajo,4,1,2,0,0,GRN,President,,"STEIN, BARAKA",ANTELOPE
Navajo,1,0,1,0,0,GRN,President,,"STEIN, BARAKA",JUNIPER
Navajo,0,0,0,0,0,GRN,President,,"STEIN, BARAKA",BISON
Navajo,1,0,1,0,0,GRN,President,,"STEIN, BARAKA",MOGOLLON
Navajo,0,0,0,0,0,GRN,President,,"STEIN, BARAKA",WOODLAND
Navajo,6,2,3,0,0,GRN,President,,"STEIN, BARAKA",SITGREAVES
Navajo,10,5,4,0,0,GRN,President,,"STEIN, BARAKA",SUNRISE
Navajo,21,13,6,1,0,NON,President,,WRITE-IN,RED BUTTE
Navajo,1,0,0,0,0,NON,President,,WRITE-IN,PAINTED DESERT
Navajo,0,0,0,0,0,NON,President,,WRITE-IN,HUBBELL
Navajo,14,7,5,1,0,NON,President,,WRITE-IN,BLACK BUTTES
Navajo,3,1,0,0,0,NON,President,,WRITE-IN,CEDAR VALLEY
Navajo,1,1,0,0,0,NON,President,,WRITE-IN,STONE BUTTE
Navajo,20,6,9,4,0,NON,President,,WRITE-IN,PIONEER
Navajo,12,6,4,2,0,NON,President,,WRITE-IN,ANTELOPE
Navajo,1,0,0,0,0,NON,President,,WRITE-IN,JUNIPER
Navajo,3,1,1,0,0,NON,President,,WRITE-IN,BISON
Navajo,4,1,2,1,0,NON,President,,WRITE-IN,MOGOLLON
Navajo,1,0,0,0,0,NON,President,,WRITE-IN,WOODLAND
Navajo,15,3,9,2,0,NON,President,,WRITE-IN,SITGREAVES
Navajo,13,5,5,2,0,NON,President,,WRITE-IN,SUNRISE
Navajo,9,7,1,0,0,,President,,OVER VOTES,RED BUTTE
Navajo,1,1,0,0,0,,President,,OVER VOTES,PAINTED DESERT
Navajo,0,0,0,0,0,,President,,OVER VOTES,HUBBELL
Navajo,6,4,2,0,0,,President,,OVER VOTES,BLACK BUTTES
Navajo,3,2,0,0,0,,President,,OVER VOTES,CEDAR VALLEY
Navajo,1,1,0,0,0,,President,,OVER VOTES,STONE BUTTE
Navajo,1,0,0,0,0,,President,,OVER VOTES,PIONEER
Navajo,1,0,0,0,0,,President,,OVER VOTES,ANTELOPE
Navajo,0,0,0,0,0,,President,,OVER VOTES,JUNIPER
Navajo,0,0,0,0,0,,President,,OVER VOTES,BISON
Navajo,0,0,0,0,0,,President,,OVER VOTES,MOGOLLON
Navajo,0,0,0,0,0,,President,,OVER VOTES,WOODLAND
Navajo,0,0,0,0,0,,President,,OVER VOTES,SITGREAVES
Navajo,6,4,1,0,0,,President,,OVER VOTES,SUNRISE
Navajo,20,13,6,0,0,,President,,UNDER VOTES,RED BUTTE
Navajo,2,2,0,0,0,,President,,UNDER VOTES,PAINTED DESERT
Navajo,0,0,0,0,0,,President,,UNDER VOTES,HUBBELL
Navajo,9,5,4,0,0,,President,,UNDER VOTES,BLACK BUTTES
Navajo,3,2,0,0,0,,President,,UNDER VOTES,CEDAR VALLEY
Navajo,1,1,0,0,0,,President,,UNDER VOTES,STONE BUTTE
Navajo,5,1,2,0,0,,President,,UNDER VOTES,PIONEER
Navajo,4,1,2,0,0,,President,,UNDER VOTES,ANTELOPE
Navajo,0,0,0,0,0,,President,,UNDER VOTES,JUNIPER
Navajo,0,0,0,0,0,,President,,UNDER VOTES,BISON
