county,precinct,office,district,candidate,party,votes,early_voting,election_day,late_early_voting,provisional
Yuma,1,President,,Registered Voters,,1197,0,0,0,0
Yuma,1,President,,Ballots Cast,,636,341,165,104,26
Yuma,1,President,,Times Blank Voted,,6,3,3,0,0
Yuma,1,President,,Times Over Voted,,4,2,0,1,1
Yuma,1,President,,Number of Under Votes,,0,0,0,0,0
Yuma,1,President,,TRUMP / PENCE,REP,174,98,47,22,7
Yuma,1,President,,CLINTON / KAINE,DEM,415,218,107,74,16
Yuma,1,President,,JOHNSON / WELD,LIB,20,10,3,5,2
Yuma,1,President,,STEIN / BARAKA,GRN,9,4,3,2,0
Yuma,1,President,,Write-in 50,,8,6,2,0,0
Yuma,1,U.S. Senate,,Registered Voters,,1197,0,0,0,0
Yuma,1,U.S. Senate,,Ballots Cast,,636,341,165,104,26
Yuma,1,U.S. Senate,,Times Blank Voted,,57,25,20,9,3
Yuma,1,U.S. Senate,,Times Over Voted,,1,0,0,0,1
Yuma,1,U.S. Senate,,Number of Under Votes,,0,0,0,0,0
Yuma,1,U.S. Senate,,"MCCAIN, JOHN",REP,232,122,65,33,12
Yuma,1,U.S. Senate,,"KIRKPATRICK, ANN",DEM,326,179,76,61,10
Yuma,1,U.S. Senate,,"SWING, GARY",GRN,19,14,4,1,0
Yuma,1,U.S. Senate,,Write-in 40,,1,1,0,0,0
Yuma,1,U.S. House,3,Registered Voters,,1197,0,0,0,0
Yuma,1,U.S. House,3,Ballots Cast,,636,341,165,104,26
Yuma,1,U.S. House,3,Times Blank Voted,,188,95,56,28,9
Yuma,1,U.S. House,3,Times Over Voted,,1,1,0,0,0
Yuma,1,U.S. House,3,Number of Under Votes,,0,0,0,0,0
Yuma,1,U.S. House,3,"GRIJALVA, RAÚL",DEM,440,242,108,74,16
Yuma,1,U.S. House,3,Write-in 20,,7,3,1,2,1
Yuma,1,State Senate,4,Registered Voters,,1195,0,0,0,0
Yuma,1,State Senate,4,Ballots Cast,,630,341,165,104,20
Yuma,1,State Senate,4,Times Blank Voted,,203,98,61,30,14
Yuma,1,State Senate,4,Times Over Voted,,0,0,0,0,0
Yuma,1,State Senate,4,Number of Under Votes,,0,0,0,0,0
Yuma,1,State Senate,4,"OTONDO, LISA",DEM,424,241,104,73,6
Yuma,1,State Senate,4,Write-in 20,,3,2,0,1,0
Yuma,1,State Representative,4,Registered Voters,,1195,0,0,0,0
Yuma,1,State Representative,4,Ballots Cast,,630,341,165,104,20
Yuma,1,State Representative,4,Times Blank Voted,,132,71,39,17,5
Yuma,1,State Representative,4,Times Over Voted,,0,0,0,0,0
Yuma,1,State Representative,4,Number of Under Votes,,325,160,97,55,13
Yuma,1,State Representative,4,"FERNANDEZ, CHARLENE",DEM,360,211,77,63,9
Yuma,1,State Representative,4,"RUBALCAVA, JESUS",DEM,307,167,77,55,8
Yuma,1,State Representative,4,Write-in 40,,4,2,1,1,0
Yuma,1,Corporation Commissioner,,Registered Voters,,1195,0,0,0,0
Yuma,1,Corporation Commissioner,,Ballots Cast,,630,341,165,104,20
Yuma,1,Corporation Commissioner,,Times Blank Voted,,90,40,27,16,7
Yuma,1,Corporation Commissioner,,Times Over Voted,,0,0,0,0,0
Yuma,1,Corporation Commissioner,,Number of Under Votes,,583,309,165,94,15
Yuma,1,Corporation Commissioner,,"BURNS, ROBERT \BOB\""""",REP,182,101,49,25,7
Yuma,1,Corporation Commissioner,,"DUNN, BOYD",REP,134,72,40,18,4
Yuma,1,Corporation Commissioner,,"TOBIN, ANDY",REP,148,85,37,20,6
Yuma,1,Corporation Commissioner,,"CHABIN, TOM",DEM,292,166,66,56,4
Yuma,1,Corporation Commissioner,,"MUNDELL, WILLIAM",DEM,281,170,57,51,3
Yuma,1,Corporation Commissioner,,Write-in 80,,0,0,0,0,0
Yuma,1,Board of Supervisors Dist. 1,,Registered Voters,,1195,0,0,0,0
Yuma,1,Board of Supervisors Dist. 1,,Ballots Cast,,630,341,165,104,20
Yuma,1,Board of Supervisors Dist. 1,,Times Blank Voted,,205,115,57,25,8
Yuma,1,Board of Supervisors Dist. 1,,Times Over Voted,,0,0,0,0,0
Yuma,1,Board of Supervisors Dist. 1,,Number of Under Votes,,0,0,0,0,0
Yuma,1,Board of Supervisors Dist. 1,,"PORCHAS, MARTIN",DEM,422,225,107,78,12
Yuma,1,Board of Supervisors Dist. 1,,Write-in 20,,3,1,1,1,0
Yuma,1,County Attorney,,Registered Voters,,1195,0,0,0,0
Yuma,1,County Attorney,,Ballots Cast,,630,341,165,104,20
Yuma,1,County Attorney,,Times Blank Voted,,213,106,69,32,6
Yuma,1,County Attorney,,Times Over Voted,,0,0,0,0,0
Yuma,1,County Attorney,,Number of Under Votes,,0,0,0,0,0
Yuma,1,County Attorney,,"SMITH, JON R.",DEM,416,235,96,71,14
Yuma,1,County Attorney,,Write-in 20,,1,0,0,1,0
Yuma,1,Sheriff,,Registered Voters,,1195,0,0,0,0
Yuma,1,Sheriff,,Ballots Cast,,630,341,165,104,20
Yuma,1,Sheriff,,Times Blank Voted,,282,141,82,49,10
Yuma,1,Sheriff,,Times Over Voted,,0,0,0,0,0
Yuma,1,Sheriff,,Number of Under Votes,,0,0,0,0,0
Yuma,1,Sheriff,,"WILMOT, LEON",REP,343,198,81,54,10
Yuma,1,Sheriff,,Write-in 20,,5,2,2,1,0
Yuma,1,County Treasurer,,Registered Voters,,1195,0,0,0,0
Yuma,1,County Treasurer,,Ballots Cast,,630,341,165,104,20
Yuma,1,County Treasurer,,Times Blank Voted,,156,81,51,16,8
Yuma,1,County Treasurer,,Times Over Voted,,0,0,0,0,0
Yuma,1,County Treasurer,,Number of Under Votes,,0,0,0,0,0
Yuma,1,County Treasurer,,"PANCRAZI MORENO, A.",DEM,473,260,114,87,12
Yuma,1,County Treasurer,,Write-in 20,,1,0,0,1,0
Yuma,1,County School Superintendent,,Registered Voters,,1195,0,0,0,0
Yuma,1,County School Superintendent,,Ballots Cast,,630,341,165,104,20
Yuma,1,County School Superintendent,,Times Blank Voted,,279,146,77,45,11
Yuma,1,County School Superintendent,,Times Over Voted,,0,0,0,0,0
Yuma,1,County School Superintendent,,Number of Under Votes,,0,0,0,0,0
