contest,choice,precinct_id,vote_total,polling_place_votes,early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct_name,subjurisdiction,votes_allowed,referendum_flag
0,0,0,130,0,0,0,,Registered Voters,REGISTERED VOTERS,201-Wikieup CG:4,0,,,
0,0,0,135,0,0,0,,Registered Voters,REGISTERED VOTERS,202-White Hills CG:4,0,,,
0,0,0,311,0,0,0,,Registered Voters,REGISTERED VOTERS,203-Yucca CG:4,0,,,
0,0,0,308,0,0,0,,Registered Voters,REGISTERED VOTERS,204-Chloride CG:4,0,,,
0,0,0,1439,0,0,0,,Registered Voters,REGISTERED VOTERS,205-North Canyon CG:4,0,,,
0,0,0,95,0,0,0,,Registered Voters,REGISTERED VOTERS,206-Oatman CG:4,0,,,
0,0,0,1041,0,0,0,,Registered Voters,REGISTERED VOTERS,207-Desert Hills CG:4,0,,,
0,0,0,489,0,0,0,,Registered Voters,REGISTERED VOTERS,208-Meadview CG:4,0,,,
0,0,0,576,0,0,0,,Registered Voters,REGISTERED VOTERS,209-Dolan Springs CG:4,0,,,
0,0,1,3090,0,0,0,,Registered Voters,REGISTERED VOTERS,210-Golden Valley CG:4,0,,,
0,0,1,11519,0,0,0,,Registered Voters,REGISTERED VOTERS,211-Bullhead City CG:4,0,,,
0,0,1,6614,0,0,0,,Registered Voters,REGISTERED VOTERS,212-Mohave Valley CG:4,0,,,
0,0,1,967,0,0,0,,Registered Voters,REGISTERED VOTERS,213-Hackberry CG:4,0,,,
0,0,1,93,0,0,0,,Registered Voters,REGISTERED VOTERS,214-Truxton CG:4,0,,,
0,0,1,2795,0,0,0,,Registered Voters,REGISTERED VOTERS,215-Kingman Central CG:4,0,,,
0,0,1,3615,0,0,0,,Registered Voters,REGISTERED VOTERS,216-Kingman North CG:4,0,,,
0,0,1,4564,0,0,0,,Registered Voters,REGISTERED VOTERS,217-Kingman South CG:4,0,,,
0,0,1,5029,0,0,0,,Registered Voters,REGISTERED VOTERS,218-Kingman East CG:4,0,,,
0,0,1,5697,0,0,0,,Registered Voters,REGISTERED VOTERS,219-Lake Havasu N. CG:4,0,,,
0,0,2,15153,0,0,0,,Registered Voters,REGISTERED VOTERS,220-Lake Havasu S. CG:4,0,,,
0,0,2,696,0,0,0,,Registered Voters,REGISTERED VOTERS,221-Littlefield CG:4,0,,,
0,0,2,750,0,0,0,,Registered Voters,REGISTERED VOTERS,222-Golden Shores CG:4,0,,,
0,0,2,86,0,0,0,,Registered Voters,REGISTERED VOTERS,223-Moccasin CG:1,0,,,
0,0,2,305,0,0,0,,Registered Voters,REGISTERED VOTERS,224-Peach Springs CG:1,0,,,
0,0,0,114,0,0,0,REP,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Republican Party,201-Wikieup CG:4,0,,,
0,0,0,93,0,0,0,REP,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Republican Party,202-White Hills CG:4,0,,,
0,0,0,223,0,0,0,REP,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Republican Party,203-Yucca CG:4,0,,,
