county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
Yavapai,201 - EAGLE,President,,TRUMP / PENCE,REP,3449,536,21,4006
Yavapai,201 - EAGLE,President,,CLINTON / KAINE,DEM,2067,250,4,2321
Yavapai,201 - EAGLE,President,,JOHNSON / WELD,LBT,223,42,5,270
Yavapai,201 - EAGLE,President,,STEIN / BARAKA,GRN,62,11,3,76
Yavapai,201 - EAGLE,President,,WRITE-IN 900,,97,26,0,123
Yavapai,201 - EAGLE,U.S. Senate,,"MCCAIN, JOHN",REP,3573,562,24,4159
Yavapai,201 - EAGLE,U.S. Senate,,"KIRKPATRICK, ANN",DEM,1889,236,6,2131
Yavapai,201 - EAGLE,U.S. Senate,,"SWING, GARY",GRN,295,50,2,347
Yavapai,201 - EAGLE,U.S. Senate,,WRITE-IN 133,,50,2,0,52
Yavapai,201 - EAGLE,U.S. House,4,"GOSAR, PAUL",REP,3686,565,24,4275
Yavapai,201 - EAGLE,U.S. House,4,"WEISSER, MIKEL",DEM,1876,236,5,2117
Yavapai,201 - EAGLE,U.S. House,4,WRITE-IN 234,,10,5,0,15
Yavapai,201 - EAGLE,State Senate,1,"FANN, KAREN",REP,4145,651,25,4821
Yavapai,201 - EAGLE,State Senate,1,WRITE-IN 235,,52,15,0,67
Yavapai,201 - EAGLE,State Representative,1,"CAMPBELL, NOEL",REP,3522,454,21,3997
Yavapai,201 - EAGLE,State Representative,1,"STRINGER, DAVID",REP,3014,436,16,3466
Yavapai,201 - EAGLE,State Representative,1,"PIERSON, PETER",DEM,2117,254,6,2377
Yavapai,201 - EAGLE,State Representative,1,"KNAUER, HARYAKSHA GREGOR",GRN,605,96,3,704
Yavapai,201 - EAGLE,State Representative,1,WRITE-IN 240,,14,4,0,18
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"BURNS, ROBERT BOB""""",REP,3266,447,16,3729
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"DUNN, BOYD",REP,2668,369,12,3049
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"TOBIN, ANDY",REP,3138,466,17,3621
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"CHABIN, TOM",DEM,1964,235,7,2206
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"MUNDELL, WILLIAM BILL""""",DEM,2075,241,7,2323
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,WRITE-IN 134,,24,7,0,31
Yavapai,201 - EAGLE,BOARD OF SUPERVISORS - DIST. 1,,"SIMMONS, ROWLE",REP,3895,620,27,4542
Yavapai,201 - EAGLE,BOARD OF SUPERVISORS - DIST. 1,,WRITE-IN 204,,56,12,0,68
Yavapai,201 - EAGLE,COUNTY ASSESSOR,,"SIMMONS, JUDD",REP,3613,598,28,4239
Yavapai,201 - EAGLE,COUNTY ASSESSOR,,WRITE-IN 135,,156,7,0,163
