county,votes,election_day,early_voting,provisional,party,office,district,candidate,precinct
Mohave,244,0,0,0,,Registered Voters,,REGISTERED VOTERS,201-Wikieup
Mohave,284,0,0,0,,Registered Voters,,REGISTERED VOTERS,202-White Hills
Mohave,610,0,0,0,,Registered Voters,,REGISTERED VOTERS,203-Yucca
Mohave,594,0,0,0,,Registered Voters,,REGISTERED VOTERS,204-Chloride
Mohave,2644,0,0,0,,Registered Voters,,REGISTERED VOTERS,205-North Canyon
Mohave,166,0,0,0,,Registered Voters,,REGISTERED VOTERS,206-Oatman
Mohave,1759,0,0,0,,Registered Voters,,REGISTERED VOTERS,207-Desert Hills
Mohave,887,0,0,0,,Registered Voters,,REGISTERED VOTERS,208-Meadview
Mohave,1195,0,0,0,,Registered Voters,,REGISTERED VOTERS,209-Dolan Springs
Mohave,6056,0,0,0,,Registered Voters,,REGISTERED VOTERS,210-Golden Valley
Mohave,21449,0,0,0,,Registered Voters,,REGISTERED VOTERS,211-Bullhead City
Mohave,12402,0,0,0,,Registered Voters,,REGISTERED VOTERS,212-Mohave Valley
Mohave,1644,0,0,0,,Registered Voters,,REGISTERED VOTERS,213-Hackberry
Mohave,143,0,0,0,,Registered Voters,,REGISTERED VOTERS,214-Truxton
Mohave,5136,0,0,0,,Registered Voters,,REGISTERED VOTERS,215-Kingman Central
Mohave,6390,0,0,0,,Registered Voters,,REGISTERED VOTERS,216-Kingman North
Mohave,7333,0,0,0,,Registered Voters,,REGISTERED VOTERS,217-Kingman South
Mohave,9022,0,0,0,,Registered Voters,,REGISTERED VOTERS,218-Kingman East
Mohave,9120,0,0,0,,Registered Voters,,REGISTERED VOTERS,219-Lake Havasu North
Mohave,24606,0,0,0,,Registered Voters,,REGISTERED VOTERS,220-Lake Havasu South
Mohave,1618,0,0,0,,Registered Voters,,REGISTERED VOTERS,221-Littlefield
Mohave,1269,0,0,0,,Registered Voters,,REGISTERED VOTERS,222-Golden Shores
Mohave,151,0,0,0,,Registered Voters,,REGISTERED VOTERS,223-Moccasin
Mohave,617,0,0,0,,Registered Voters,,REGISTERED VOTERS,224-Peach Springs
Mohave,179,69,104,6,,Ballots Cast,,BALLOTS CAST,201-Wikieup
Mohave,187,64,114,9,,Ballots Cast,,BALLOTS CAST,202-White Hills
Mohave,431,150,266,15,,Ballots Cast,,BALLOTS CAST,203-Yucca
Mohave,427,105,304,18,,Ballots Cast,,BALLOTS CAST,204-Chloride
Mohave,1066,676,294,96,,Ballots Cast,,BALLOTS CAST,205-North Canyon
Mohave,103,42,57,4,,Ballots Cast,,BALLOTS CAST,206-Oatman
Mohave,1319,410,844,65,,Ballots Cast,,BALLOTS CAST,207-Desert Hills
Mohave,653,211,423,19,,Ballots Cast,,BALLOTS CAST,208-Meadview
Mohave,743,269,435,39,,Ballots Cast,,BALLOTS CAST,209-Dolan Springs
Mohave,4251,1521,2543,187,,Ballots Cast,,BALLOTS CAST,210-Golden Valley
Mohave,13859,3903,9335,621,,Ballots Cast,,BALLOTS CAST,211-Bullhead City
Mohave,8432,3081,4941,410,,Ballots Cast,,BALLOTS CAST,212-Mohave Valley
Mohave,1304,531,727,46,,Ballots Cast,,BALLOTS CAST,213-Hackberry
Mohave,105,21,82,2,,Ballots Cast,,BALLOTS CAST,214-Truxton
Mohave,3585,1315,2046,224,,Ballots Cast,,BALLOTS CAST,215-Kingman Central
Mohave,4391,1604,2535,252,,Ballots Cast,,BALLOTS CAST,216-Kingman North
Mohave,5709,1992,3492,225,,Ballots Cast,,BALLOTS CAST,217-Kingman South
Mohave,6285,2094,3860,331,,Ballots Cast,,BALLOTS CAST,218-Kingman East
