county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
Yavapai,201 - EAGLE,U.S. SENATOR,,"KIRKPATRICK, ANN",DEM,35,848,1,884
Yavapai,201 - EAGLE,U.S. SENATOR,,Write-In,DEM,2,29,0,31
Yavapai,201 - EAGLE,U.S. SENATOR,,Write-In,GRN,0,3,0,3
Yavapai,201 - EAGLE,U.S. SENATOR,,Write-In,LBT,1,5,0,6
Yavapai,201 - EAGLE,U.S. SENATOR,,"MCCAIN, JOHN",REP,97,1393,0,1490
Yavapai,201 - EAGLE,U.S. SENATOR,,"MELUSKEY, ALEX",REP,5,148,0,153
Yavapai,201 - EAGLE,U.S. SENATOR,,"VAN STEENWYK, CLAIR",REP,5,60,0,65
Yavapai,201 - EAGLE,U.S. SENATOR,,"WARD, KELLI",REP,102,909,2,1013
Yavapai,201 - EAGLE,U.S. SENATOR,,Write-In,REP,0,6,0,6
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"O'HALLERAN, TOM",DEM,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"OLIVAS, MIGUEL",DEM,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,Write-In,DEM,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,Write-In,,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"BABEU, PAUL",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"BENNETT, KEN",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"GOWAN, DAVID",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"KIEHNE, GARY",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"REDD, SHAWN",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,"ROGERS, WENDY",REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 1,,Write-In,REP,0,0,0,0
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,"WEISSER, MIKEL",DEM,35,764,1,800
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,Write-In,DEM,0,15,0,15
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,Write-In,,1,5,0,6
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,"GOSAR, PAUL",REP,153,1841,2,1996
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,"STRAUSS, RAY",REP,46,588,0,634
Yavapai,201 - EAGLE,U.S. REP IN CONGRESS - DIST. 4,,Write-In,REP,0,5,0,5
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 1,,Write-In,DEM,2,40,0,42
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 1,,Write-In,GRN,0,2,0,2
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 1,,Write-In,LBT,0,3,0,3
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 1,,"FANN, KAREN",REP,174,2110,2,2286
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 1,,Write-In,REP,1,18,0,19
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,"BAGLEY, NIKKI CHECK",DEM,0,0,0,0
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,Write-In,DEM,0,0,0,0
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,Write-In,GRN,0,0,0,0
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,Write-In,LBT,0,0,0,0
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,"ALLEN, SYLVIA TENNEY",REP,0,0,0,0
Yavapai,201 - EAGLE,STATE SENATOR - DIST. 6,,Write-In,REP,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,"PIERSON, PETER",DEM,37,796,0,833
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,Write-In,DEM,0,48,0,48
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,"KNAUER, HARYAKSHA GREGOR",GRN,2,5,0,7
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,Write-In,GRN,0,1,0,1
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,Write-In,LBT,0,4,0,4
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,"CAMPBELL, NOEL",REP,141,1726,2,1869
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,"DAVIS, CHIP",REP,71,1172,2,1245
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,"STRINGER, DAVID",REP,106,1101,0,1207
Yavapai,201 - EAGLE,STATE REP - DIST. 1,,Write-In,REP,1,8,0,9
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,"MARTINEZ, ALEX",DEM,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,Write-In,DEM,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,Write-In,GRN,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,Write-In,LBT,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,"BARTON, BRENDA",REP,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,"THORPE, BOB",REP,0,0,0,0
Yavapai,201 - EAGLE,STATE REP - DIST. 6,,Write-In,REP,0,0,0,0
