county,precinct,votes,early_voting,election_day,provisional,polling_place_votes_ds200,early_votes_ds200,provisional_votes_ds200,party,office,district,candidate,subjurisdiction
Apache,ALPINE 02.1-02.7,37,0,0,0,0,0,0,,Registered Voters,,,
Apache,CANYON DE CHELLY 03.1,374,0,0,0,0,0,0,,Registered Voters,,,
Apache,CHINLE 05.1,183,0,0,0,0,0,0,,Registered Voters,,,
Apache,CONCHO,189,0,0,0,0,0,0,,Registered Voters,,,
Apache,CORNFIELDS 10.1 SD20,73,0,0,0,0,0,0,,Registered Voters,,,
Apache,COTTONWOOD 11.1,136,0,0,0,0,0,0,,Registered Voters,,,
Apache,CORONADO 12.1/12.2,91,0,0,0,0,0,0,,Registered Voters,,,
Apache,DENNEHOTSO 13.1,109,0,0,0,0,0,0,,Registered Voters,,,
Apache,EAGAR 16.1/16.2,113,0,0,0,0,0,0,,Registered Voters,,,
Apache,FLAT TOP 17.1-17.4,86,0,0,0,0,0,0,,Registered Voters,,,
Apache,FT DEFIANCE 19.1 SD08,299,0,0,0,0,0,0,,Registered Voters,,,
Apache,GANADO NORTH 22.1 SD20,76,0,0,0,0,0,0,,Registered Voters,,,
Apache,GANADO SOUTH 23.1 SD20,120,0,0,0,0,0,0,,Registered Voters,,,
Apache,GREER,15,0,0,0,0,0,0,,Registered Voters,,,
Apache,HOUCK 27.1 SD18,111,0,0,0,0,0,0,,Registered Voters,,,
Apache,KINLICHEE,104,0,0,0,0,0,0,,Registered Voters,,,
Apache,KLAGETOH,83,0,0,0,0,0,0,,Registered Voters,,,
Apache,LUKACHUKAI 33.1/33.2,183,0,0,0,0,0,0,,Registered Voters,,,
Apache,LUPTON 35.1 SD18,68,0,0,0,0,0,0,,Registered Voters,,,
Apache,MCNARY 37.1 SD23,20,0,0,0,0,0,0,,Registered Voters,,,
Apache,MANY FARMS 39.1/39.2,188,0,0,0,0,0,0,,Registered Voters,,,
Apache,MEXICAN WATER 41.1,25,0,0,0,0,0,0,,Registered Voters,,,
Apache,NAZLINI 43.1,104,0,0,0,0,0,0,,Registered Voters,,,
Apache,NUTRIOSO 45.1-45.4,31,0,0,0,0,0,0,,Registered Voters,,,
Apache,OAK SPRINGS,45,0,0,0,0,0,0,,Registered Voters,,,
Apache,PUERCO 48.1 SD18,146,0,0,0,0,0,0,,Registered Voters,,,
Apache,RED MESA 51.1,46,0,0,0,0,0,0,,Registered Voters,,,
Apache,RED VALLEY 52.1,98,0,0,0,0,0,0,,Registered Voters,,,
Apache,ROCK POINT 54.1,144,0,0,0,0,0,0,,Registered Voters,,,
Apache,ROUGH ROCK 56.1/56.2,79,0,0,0,0,0,0,,Registered Voters,,,
Apache,ROUND ROCK 58.1,98,0,0,0,0,0,0,,Registered Voters,,,
Apache,ROUND VALLEY 59.1-59.5,70,0,0,0,0,0,0,,Registered Voters,,,
Apache,ST JOHNS 61.1-61.4,136,0,0,0,0,0,0,,Registered Voters,,,
