county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional
La Paz,051 Parker,REGISTERED VOTERS,,REGISTERED VOTERS,,3297,0,0,0
La Paz,052 Poston,REGISTERED VOTERS,,REGISTERED VOTERS,,390,0,0,0
La Paz,054 Upriver,REGISTERED VOTERS,,REGISTERED VOTERS,,1972,0,0,0
La Paz,055 Bouse,REGISTERED VOTERS,,REGISTERED VOTERS,,512,0,0,0
La Paz,056 Wenden,REGISTERED VOTERS,,REGISTERED VOTERS,,206,0,0,0
La Paz,057 Salome,REGISTERED VOTERS,,REGISTERED VOTERS,,897,0,0,0
La Paz,058 Quartzsite Two,REGISTERED VOTERS,,REGISTERED VOTERS,,1236,0,0,0
La Paz,059 Cibola,REGISTERED VOTERS,,REGISTERED VOTERS,,137,0,0,0
La Paz,060 Ehrenberg,REGISTERED VOTERS,,REGISTERED VOTERS,,570,0,0,0
La Paz,062 Vicksburg,REGISTERED VOTERS,,REGISTERED VOTERS,,282,0,0,0
La Paz,064 Quartzsite Three,REGISTERED VOTERS,,REGISTERED VOTERS,,549,0,0,0
La Paz,051 Parker,BALLOTS CAST,,BALLOTS CAST,,1431,644,648,139
La Paz,052 Poston,BALLOTS CAST,,BALLOTS CAST,,158,52,91,15
La Paz,054 Upriver,BALLOTS CAST,,BALLOTS CAST,,1092,673,308,111
La Paz,055 Bouse,BALLOTS CAST,,BALLOTS CAST,,329,196,104,29
La Paz,056 Wenden,BALLOTS CAST,,BALLOTS CAST,,100,53,34,13
La Paz,057 Salome,BALLOTS CAST,,BALLOTS CAST,,608,358,169,81
La Paz,058 Quartzsite Two,BALLOTS CAST,,BALLOTS CAST,,704,412,207,85
La Paz,059 Cibola,BALLOTS CAST,,BALLOTS CAST,,60,30,24,6
La Paz,060 Ehrenberg,BALLOTS CAST,,BALLOTS CAST,,216,114,76,26
La Paz,062 Vicksburg,BALLOTS CAST,,BALLOTS CAST,,157,127,14,16
La Paz,064 Quartzsite Three,BALLOTS CAST,,BALLOTS CAST,,309,223,54,32
La Paz,051 Parker,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,1,1,0,0
La Paz,052 Poston,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,054 Upriver,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,3,1,2,0
La Paz,055 Bouse,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,1,0,1,0
La Paz,056 Wenden,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,057 Salome,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,058 Quartzsite Two,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,1,0,1,0
La Paz,059 Cibola,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,060 Ehrenberg,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,062 Vicksburg,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,064 Quartzsite Three,BALLOTS CAST - BLANK,,BALLOTS CAST - BLANK,,0,0,0,0
La Paz,051 Parker,U.S. Senate,,"MCSALLY, MARTHA",REP,701,362,273,66
La Paz,052 Poston,U.S. Senate,,"MCSALLY, MARTHA",REP,40,15,23,2
La Paz,054 Upriver,U.S. Senate,,"MCSALLY, MARTHA",REP,789,487,215,87
La Paz,055 Bouse,U.S. Senate,,"MCSALLY, MARTHA",REP,246,143,79,24
La Paz,056 Wenden,U.S. Senate,,"MCSALLY, MARTHA",REP,61,27,26,8
La Paz,057 Salome,U.S. Senate,,"MCSALLY, MARTHA",REP,433,256,121,56
La Paz,058 Quartzsite Two,U.S. Senate,,"MCSALLY, MARTHA",REP,458,274,131,53
La Paz,059 Cibola,U.S. Senate,,"MCSALLY, MARTHA",REP,44,21,17,6
La Paz,060 Ehrenberg,U.S. Senate,,"MCSALLY, MARTHA",REP,161,87,57,17
La Paz,062 Vicksburg,U.S. Senate,,"MCSALLY, MARTHA",REP,119,93,10,16
La Paz,064 Quartzsite Three,U.S. Senate,,"MCSALLY, MARTHA",REP,213,152,36,25
La Paz,051 Parker,U.S. Senate,,"SINEMA, KYRSTEN",DEM,652,252,335,65
La Paz,052 Poston,U.S. Senate,,"SINEMA, KYRSTEN",DEM,110,34,64,12
La Paz,054 Upriver,U.S. Senate,,"SINEMA, KYRSTEN",DEM,248,154,77,17
La Paz,055 Bouse,U.S. Senate,,"SINEMA, KYRSTEN",DEM,65,40,20,5
La Paz,056 Wenden,U.S. Senate,,"SINEMA, KYRSTEN",DEM,33,21,8,4
La Paz,057 Salome,U.S. Senate,,"SINEMA, KYRSTEN",DEM,154,89,45,20
La Paz,058 Quartzsite Two,U.S. Senate,,"SINEMA, KYRSTEN",DEM,180,102,58,20
La Paz,059 Cibola,U.S. Senate,,"SINEMA, KYRSTEN",DEM,13,7,6,0
La Paz,060 Ehrenberg,U.S. Senate,,"SINEMA, KYRSTEN",DEM,44,24,13,7
La Paz,062 Vicksburg,U.S. Senate,,"SINEMA, KYRSTEN",DEM,32,29,3,0
La Paz,064 Quartzsite Three,U.S. Senate,,"SINEMA, KYRSTEN",DEM,78,59,15,4
La Paz,051 Parker,U.S. Senate,,"GREEN, ANGELA",GRN,56,23,27,6
La Paz,052 Poston,U.S. Senate,,"GREEN, ANGELA",GRN,7,2,4,1
La Paz,054 Upriver,U.S. Senate,,"GREEN, ANGELA",GRN,27,15,5,7
La Paz,055 Bouse,U.S. Senate,,"GREEN, ANGELA",GRN,14,12,2,0
La Paz,056 Wenden,U.S. Senate,,"GREEN, ANGELA",GRN,4,3,0,1
La Paz,057 Salome,U.S. Senate,,"GREEN, ANGELA",GRN,18,11,3,4
La Paz,058 Quartzsite Two,U.S. Senate,,"GREEN, ANGELA",GRN,44,27,8,9
La Paz,059 Cibola,U.S. Senate,,"GREEN, ANGELA",GRN,1,1,0,0
La Paz,060 Ehrenberg,U.S. Senate,,"GREEN, ANGELA",GRN,8,3,3,2
La Paz,062 Vicksburg,U.S. Senate,,"GREEN, ANGELA",GRN,3,3,0,0
La Paz,064 Quartzsite Three,U.S. Senate,,"GREEN, ANGELA",GRN,17,11,3,3
La Paz,051 Parker,U.S. Senate,,WRITE-IN,NON,2,1,1,0
La Paz,052 Poston,U.S. Senate,,WRITE-IN,NON,1,1,0,0
La Paz,054 Upriver,U.S. Senate,,WRITE-IN,NON,1,0,1,0
La Paz,055 Bouse,U.S. Senate,,WRITE-IN,NON,0,0,0,0
La Paz,056 Wenden,U.S. Senate,,WRITE-IN,NON,1,1,0,0
La Paz,057 Salome,U.S. Senate,,WRITE-IN,NON,1,1,0,0
La Paz,058 Quartzsite Two,U.S. Senate,,WRITE-IN,NON,1,1,0,0
La Paz,059 Cibola,U.S. Senate,,WRITE-IN,NON,0,0,0,0
La Paz,060 Ehrenberg,U.S. Senate,,WRITE-IN,NON,1,0,1,0
La Paz,062 Vicksburg,U.S. Senate,,WRITE-IN,NON,0,0,0,0
La Paz,064 Quartzsite Three,U.S. Senate,,WRITE-IN,NON,0,0,0,0
La Paz,051 Parker,U.S. Senate,,OVER VOTES,,2,1,1,0
La Paz,052 Poston,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,054 Upriver,U.S. Senate,,OVER VOTES,,2,0,2,0
La Paz,055 Bouse,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,056 Wenden,U.S. Senate,,OVER VOTES,,1,1,0,0
La Paz,057 Salome,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,058 Quartzsite Two,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,059 Cibola,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,060 Ehrenberg,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,062 Vicksburg,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,064 Quartzsite Three,U.S. Senate,,OVER VOTES,,0,0,0,0
La Paz,051 Parker,U.S. Senate,,UNDER VOTES,,18,5,11,2
La Paz,052 Poston,U.S. Senate,,UNDER VOTES,,0,0,0,0
La Paz,054 Upriver,U.S. Senate,,UNDER VOTES,,25,17,8,0
La Paz,055 Bouse,U.S. Senate,,UNDER VOTES,,4,1,3,0
La Paz,056 Wenden,U.S. Senate,,UNDER VOTES,,0,0,0,0
La Paz,057 Salome,U.S. Senate,,UNDER VOTES,,2,1,0,1
La Paz,058 Quartzsite Two,U.S. Senate,,UNDER VOTES,,21,8,10,3
La Paz,059 Cibola,U.S. Senate,,UNDER VOTES,,2,1,1,0
La Paz,060 Ehrenberg,U.S. Senate,,UNDER VOTES,,2,0,2,0
La Paz,062 Vicksburg,U.S. Senate,,UNDER VOTES,,3,2,1,0
La Paz,064 Quartzsite Three,U.S. Senate,,UNDER VOTES,,1,1,0,0
La Paz,051 Parker,U.S. House,4,"GOSAR, PAUL",REP,786,398,316,72
La Paz,052 Poston,U.S. House,4,"GOSAR, PAUL",REP,53,19,28,6
La Paz,054 Upriver,U.S. House,4,"GOSAR, PAUL",REP,839,518,233,88
La Paz,055 Bouse,U.S. House,4,"GOSAR, PAUL",REP,259,153,81,25
La Paz,056 Wenden,U.S. House,4,"GOSAR, PAUL",REP,73,34,29,10
La Paz,057 Salome,U.S. House,4,"GOSAR, PAUL",REP,459,270,130,59
La Paz,058 Quartzsite Two,U.S. House,4,"GOSAR, PAUL",REP,503,300,142,61
La Paz,059 Cibola,U.S. House,4,"GOSAR, PAUL",REP,45,22,18,5
La Paz,060 Ehrenberg,U.S. House,4,"GOSAR, PAUL",REP,162,85,57,20
La Paz,062 Vicksburg,U.S. House,4,"GOSAR, PAUL",REP,125,97,13,15
La Paz,064 Quartzsite Three,U.S. House,4,"GOSAR, PAUL",REP,229,163,40,26
La Paz,051 Parker,U.S. House,4,"BRILL, DAVID",DEM,577,219,295,63
La Paz,052 Poston,U.S. House,4,"BRILL, DAVID",DEM,100,32,61,7
La Paz,054 Upriver,U.S. House,4,"BRILL, DAVID",DEM,217,139,62,16
La Paz,055 Bouse,U.S. House,4,"BRILL, DAVID",DEM,55,35,16,4
La Paz,056 Wenden,U.S. House,4,"BRILL, DAVID",DEM,22,14,5,3
La Paz,057 Salome,U.S. House,4,"BRILL, DAVID",DEM,123,71,33,19
La Paz,058 Quartzsite Two,U.S. House,4,"BRILL, DAVID",DEM,157,90,52,15
La Paz,059 Cibola,U.S. House,4,"BRILL, DAVID",DEM,9,5,4,0
La Paz,060 Ehrenberg,U.S. House,4,"BRILL, DAVID",DEM,41,26,10,5
La Paz,062 Vicksburg,U.S. House,4,"BRILL, DAVID",DEM,29,27,1,1
La Paz,064 Quartzsite Three,U.S. House,4,"BRILL, DAVID",DEM,69,50,14,5
La Paz,051 Parker,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,23,9,14,0
La Paz,052 Poston,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,4,1,2,1
La Paz,054 Upriver,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,12,7,3,2
La Paz,055 Bouse,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,5,3,2,0
La Paz,056 Wenden,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,2,2,0,0
La Paz,057 Salome,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,4,2,2,0
La Paz,058 Quartzsite Two,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,14,8,4,2
La Paz,059 Cibola,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,1,1,0,0
La Paz,060 Ehrenberg,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,5,0,4,1
La Paz,062 Vicksburg,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,0,0,0,0
La Paz,064 Quartzsite Three,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GRN,6,5,0,1
La Paz,051 Parker,U.S. House,4,WRITE-IN,NON,2,0,2,0
La Paz,052 Poston,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,054 Upriver,U.S. House,4,WRITE-IN,NON,1,0,1,0
La Paz,055 Bouse,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,056 Wenden,U.S. House,4,WRITE-IN,NON,2,2,0,0
La Paz,057 Salome,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,058 Quartzsite Two,U.S. House,4,WRITE-IN,NON,1,1,0,0
La Paz,059 Cibola,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,060 Ehrenberg,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,062 Vicksburg,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,064 Quartzsite Three,U.S. House,4,WRITE-IN,NON,0,0,0,0
La Paz,051 Parker,U.S. House,4,OVER VOTES,,2,2,0,0
La Paz,052 Poston,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,054 Upriver,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,055 Bouse,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,056 Wenden,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,057 Salome,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,058 Quartzsite Two,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,059 Cibola,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,060 Ehrenberg,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,062 Vicksburg,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,064 Quartzsite Three,U.S. House,4,OVER VOTES,,0,0,0,0
La Paz,051 Parker,U.S. House,4,UNDER VOTES,,41,16,21,4
La Paz,052 Poston,U.S. House,4,UNDER VOTES,,1,0,0,1
La Paz,054 Upriver,U.S. House,4,UNDER VOTES,,23,9,9,5
La Paz,055 Bouse,U.S. House,4,UNDER VOTES,,10,5,5,0
La Paz,056 Wenden,U.S. House,4,UNDER VOTES,,1,1,0,0
La Paz,057 Salome,U.S. House,4,UNDER VOTES,,22,15,4,3
La Paz,058 Quartzsite Two,U.S. House,4,UNDER VOTES,,29,13,9,7
La Paz,059 Cibola,U.S. House,4,UNDER VOTES,,5,2,2,1
La Paz,060 Ehrenberg,U.S. House,4,UNDER VOTES,,8,3,5,0
La Paz,062 Vicksburg,U.S. House,4,UNDER VOTES,,3,3,0,0
La Paz,064 Quartzsite Three,U.S. House,4,UNDER VOTES,,5,5,0,0
La Paz,051 Parker,Governor,,"DUCEY, DOUG",REP,869,442,344,83
La Paz,052 Poston,Governor,,"DUCEY, DOUG",REP,68,23,37,8
La Paz,054 Upriver,Governor,,"DUCEY, DOUG",REP,896,553,247,96
La Paz,055 Bouse,Governor,,"DUCEY, DOUG",REP,281,165,89,27
La Paz,056 Wenden,Governor,,"DUCEY, DOUG",REP,75,39,26,10
La Paz,057 Salome,Governor,,"DUCEY, DOUG",REP,505,300,139,66
La Paz,058 Quartzsite Two,Governor,,"DUCEY, DOUG",REP,560,338,156,66
La Paz,059 Cibola,Governor,,"DUCEY, DOUG",REP,52,25,21,6
La Paz,060 Ehrenberg,Governor,,"DUCEY, DOUG",REP,168,93,59,16
La Paz,062 Vicksburg,Governor,,"DUCEY, DOUG",REP,136,107,13,16
La Paz,064 Quartzsite Three,Governor,,"DUCEY, DOUG",REP,242,172,43,27
La Paz,051 Parker,Governor,,"GARCIA, DAVID",DEM,493,180,266,47
La Paz,052 Poston,Governor,,"GARCIA, DAVID",DEM,83,28,49,6
La Paz,054 Upriver,Governor,,"GARCIA, DAVID",DEM,162,98,51,13
La Paz,055 Bouse,Governor,,"GARCIA, DAVID",DEM,41,28,11,2
La Paz,056 Wenden,Governor,,"GARCIA, DAVID",DEM,19,11,6,2
La Paz,057 Salome,Governor,,"GARCIA, DAVID",DEM,92,50,27,15
La Paz,058 Quartzsite Two,Governor,,"GARCIA, DAVID",DEM,116,62,42,12
La Paz,059 Cibola,Governor,,"GARCIA, DAVID",DEM,7,5,2,0
La Paz,060 Ehrenberg,Governor,,"GARCIA, DAVID",DEM,35,17,12,6
La Paz,062 Vicksburg,Governor,,"GARCIA, DAVID",DEM,20,19,1,0
La Paz,064 Quartzsite Three,Governor,,"GARCIA, DAVID",DEM,54,41,9,4
La Paz,051 Parker,Governor,,"TORRES, ANGEL",GRN,47,17,25,5
La Paz,052 Poston,Governor,,"TORRES, ANGEL",GRN,5,1,4,0
La Paz,054 Upriver,Governor,,"TORRES, ANGEL",GRN,21,15,5,1
La Paz,055 Bouse,Governor,,"TORRES, ANGEL",GRN,4,3,1,0
La Paz,056 Wenden,Governor,,"TORRES, ANGEL",GRN,3,2,0,1
La Paz,057 Salome,Governor,,"TORRES, ANGEL",GRN,8,6,2,0
La Paz,058 Quartzsite Two,Governor,,"TORRES, ANGEL",GRN,20,11,4,5
La Paz,059 Cibola,Governor,,"TORRES, ANGEL",GRN,0,0,0,0
La Paz,060 Ehrenberg,Governor,,"TORRES, ANGEL",GRN,10,3,4,3
La Paz,062 Vicksburg,Governor,,"TORRES, ANGEL",GRN,0,0,0,0
La Paz,064 Quartzsite Three,Governor,,"TORRES, ANGEL",GRN,11,8,2,1
La Paz,051 Parker,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,052 Poston,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,054 Upriver,Governor,,WRITE-IN,NON,2,0,2,0
La Paz,055 Bouse,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,056 Wenden,Governor,,WRITE-IN,NON,2,1,1,0
La Paz,057 Salome,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,058 Quartzsite Two,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,059 Cibola,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,060 Ehrenberg,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,062 Vicksburg,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,064 Quartzsite Three,Governor,,WRITE-IN,NON,0,0,0,0
La Paz,051 Parker,Governor,,OVER VOTES,,1,1,0,0
La Paz,052 Poston,Governor,,OVER VOTES,,0,0,0,0
La Paz,054 Upriver,Governor,,OVER VOTES,,1,0,0,1
La Paz,055 Bouse,Governor,,OVER VOTES,,0,0,0,0
La Paz,056 Wenden,Governor,,OVER VOTES,,0,0,0,0
La Paz,057 Salome,Governor,,OVER VOTES,,1,0,1,0
La Paz,058 Quartzsite Two,Governor,,OVER VOTES,,0,0,0,0
La Paz,059 Cibola,Governor,,OVER VOTES,,0,0,0,0
La Paz,060 Ehrenberg,Governor,,OVER VOTES,,0,0,0,0
La Paz,062 Vicksburg,Governor,,OVER VOTES,,0,0,0,0
La Paz,064 Quartzsite Three,Governor,,OVER VOTES,,0,0,0,0
La Paz,051 Parker,Governor,,UNDER VOTES,,21,4,13,4
