county,precinct,office,district,candidate,party,votes,election_day,early_voting,provisional,early_voting_ds200
Santa Cruz,Nogales 1,Registered Voters,,,,62,0,0,0,0
Santa Cruz,Nogales 2,Registered Voters,,,,169,0,0,0,0
Santa Cruz,Nogales 3,Registered Voters,,,,97,0,0,0,0
Santa Cruz,Nogales 4,Registered Voters,,,,47,0,0,0,0
Santa Cruz,Coronado 5,Registered Voters,,,,119,0,0,0,0
Santa Cruz,Elgin 6,Registered Voters,,,,63,0,0,0,0
Santa Cruz,Rio Rico 7,Registered Voters,,,,338,0,0,0,0
Santa Cruz,Nogales 8,Registered Voters,,,,227,0,0,0,0
Santa Cruz,Nogales 9,Registered Voters,,,,37,0,0,0,0
Santa Cruz,Nogales 10,Registered Voters,,,,112,0,0,0,0
Santa Cruz,Tubac 11,Registered Voters,,,,175,0,0,0,0
Santa Cruz,Nogales 12,Registered Voters,,,,68,0,0,0,0
Santa Cruz,Santa Cruz 13,Registered Voters,,,,40,0,0,0,0
Santa Cruz,Patagonia 14,Registered Voters,,,,92,0,0,0,0
Santa Cruz,Sonoita 15,Registered Voters,,,,86,0,0,0,0
Santa Cruz,Nogales 16,Registered Voters,,,,58,0,0,0,0
Santa Cruz,Calabasas 17,Registered Voters,,,,294,0,0,0,0
Santa Cruz,Nogales 18,Registered Voters,,,,63,0,0,0,0
Santa Cruz,Baca 19,Registered Voters,,,,254,0,0,0,0
Santa Cruz,Nogales 20,Registered Voters,,,,118,0,0,0,0
Santa Cruz,Peck Canyon 21,Registered Voters,,,,215,0,0,0,0
Santa Cruz,Potrero 22,Registered Voters,,,,60,0,0,0,0
Santa Cruz,Mountain 23,Registered Voters,,,,5,0,0,0,0
Santa Cruz,Lake Patagonia 24,Registered Voters,,,,14,0,0,0,0
Santa Cruz,Nogales 1,Ballots Cast,,,,25,7,16,1,0
Santa Cruz,Nogales 2,Ballots Cast,,,,58,15,37,5,0
Santa Cruz,Nogales 3,Ballots Cast,,,,37,10,24,2,0
Santa Cruz,Nogales 4,Ballots Cast,,,,19,4,13,1,0
Santa Cruz,Coronado 5,Ballots Cast,,,,59,16,39,4,0
Santa Cruz,Elgin 6,Ballots Cast,,,,48,10,36,1,0
Santa Cruz,Rio Rico 7,Ballots Cast,,,,179,38,129,11,0
Santa Cruz,Nogales 8,Ballots Cast,,,,100,26,65,8,0
Santa Cruz,Nogales 9,Ballots Cast,,,,18,5,12,0,0
Santa Cruz,Nogales 10,Ballots Cast,,,,42,9,28,3,0
Santa Cruz,Tubac 11,Ballots Cast,,,,128,22,101,3,0
Santa Cruz,Nogales 12,Ballots Cast,,,,28,8,18,1,0
Santa Cruz,Santa Cruz 13,Ballots Cast,,,,22,6,13,2,0
Santa Cruz,Patagonia 14,Ballots Cast,,,,63,16,44,2,0
Santa Cruz,Sonoita 15,Ballots Cast,,,,69,18,47,3,0
Santa Cruz,Nogales 16,Ballots Cast,,,,19,6,11,1,0
Santa Cruz,Calabasas 17,Ballots Cast,,,,137,34,93,9,0
Santa Cruz,Nogales 18,Ballots Cast,,,,35,11,22,2,0
Santa Cruz,Baca 19,Ballots Cast,,,,100,21,69,9,0
Santa Cruz,Nogales 20,Ballots Cast,,,,50,14,32,4,0
Santa Cruz,Peck Canyon 21,Ballots Cast,,,,86,21,57,7,0
Santa Cruz,Potrero 22,Ballots Cast,,,,21,4,15,1,0
Santa Cruz,Mountain 23,Ballots Cast,,,,4,0,3,0,0
Santa Cruz,Lake Patagonia 24,Ballots Cast,,,,10,1,9,0,0
Santa Cruz,Nogales 1,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 2,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 3,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 4,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Coronado 5,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Elgin 6,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Rio Rico 7,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 8,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 9,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 10,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Tubac 11,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 12,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Santa Cruz 13,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Patagonia 14,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Sonoita 15,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 16,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Calabasas 17,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 18,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Baca 19,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 20,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Peck Canyon 21,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Potrero 22,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Mountain 23,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Lake Patagonia 24,Blank Ballots Cast,,,,0,0,0,0,0
Santa Cruz,Nogales 1,U.S. Senate,,"SINEMA, KYRSTEN",DEM,20,5,13,1,0
Santa Cruz,Nogales 2,U.S. Senate,,"SINEMA, KYRSTEN",DEM,44,12,27,4,0
Santa Cruz,Nogales 3,U.S. Senate,,"SINEMA, KYRSTEN",DEM,30,8,19,2,0
Santa Cruz,Nogales 4,U.S. Senate,,"SINEMA, KYRSTEN",DEM,14,4,10,0,0
Santa Cruz,Coronado 5,U.S. Senate,,"SINEMA, KYRSTEN",DEM,45,12,29,3,0
Santa Cruz,Elgin 6,U.S. Senate,,"SINEMA, KYRSTEN",DEM,17,2,14,0,0
Santa Cruz,Rio Rico 7,U.S. Senate,,"SINEMA, KYRSTEN",DEM,107,21,77,8,0
Santa Cruz,Nogales 8,U.S. Senate,,"SINEMA, KYRSTEN",DEM,79,19,52,7,0
Santa Cruz,Nogales 9,U.S. Senate,,"SINEMA, KYRSTEN",DEM,11,3,8,0,0
Santa Cruz,Nogales 10,U.S. Senate,,"SINEMA, KYRSTEN",DEM,31,7,20,3,0
Santa Cruz,Tubac 11,U.S. Senate,,"SINEMA, KYRSTEN",DEM,75,13,60,1,0
Santa Cruz,Nogales 12,U.S. Senate,,"SINEMA, KYRSTEN",DEM,23,7,14,1,0
Santa Cruz,Santa Cruz 13,U.S. Senate,,"SINEMA, KYRSTEN",DEM,14,4,8,1,0
Santa Cruz,Patagonia 14,U.S. Senate,,"SINEMA, KYRSTEN",DEM,41,9,29,1,0
Santa Cruz,Sonoita 15,U.S. Senate,,"SINEMA, KYRSTEN",DEM,26,4,20,0,0
Santa Cruz,Nogales 16,U.S. Senate,,"SINEMA, KYRSTEN",DEM,13,4,8,1,0
Santa Cruz,Calabasas 17,U.S. Senate,,"SINEMA, KYRSTEN",DEM,100,25,66,8,0
Santa Cruz,Nogales 18,U.S. Senate,,"SINEMA, KYRSTEN",DEM,26,7,16,2,0
Santa Cruz,Baca 19,U.S. Senate,,"SINEMA, KYRSTEN",DEM,73,15,50,7,0
Santa Cruz,Nogales 20,U.S. Senate,,"SINEMA, KYRSTEN",DEM,41,11,26,3,0
Santa Cruz,Peck Canyon 21,U.S. Senate,,"SINEMA, KYRSTEN",DEM,62,16,40,5,0
Santa Cruz,Potrero 22,U.S. Senate,,"SINEMA, KYRSTEN",DEM,17,4,11,1,0
Santa Cruz,Mountain 23,U.S. Senate,,"SINEMA, KYRSTEN",DEM,1,0,1,0,0
Santa Cruz,Lake Patagonia 24,U.S. Senate,,"SINEMA, KYRSTEN",DEM,5,0,5,0,0
Santa Cruz,Nogales 1,U.S. Senate,,"MCSALLY, MARTHA",REP,3,1,2,0,0
Santa Cruz,Nogales 2,U.S. Senate,,"MCSALLY, MARTHA",REP,10,2,8,0,0
Santa Cruz,Nogales 3,U.S. Senate,,"MCSALLY, MARTHA",REP,5,1,3,0,0
Santa Cruz,Nogales 4,U.S. Senate,,"MCSALLY, MARTHA",REP,3,0,2,0,0
Santa Cruz,Coronado 5,U.S. Senate,,"MCSALLY, MARTHA",REP,11,3,8,0,0
Santa Cruz,Elgin 6,U.S. Senate,,"MCSALLY, MARTHA",REP,30,7,21,1,0
Santa Cruz,Rio Rico 7,U.S. Senate,,"MCSALLY, MARTHA",REP,65,15,47,3,0
Santa Cruz,Nogales 8,U.S. Senate,,"MCSALLY, MARTHA",REP,13,4,9,0,0
Santa Cruz,Nogales 9,U.S. Senate,,"MCSALLY, MARTHA",REP,5,1,3,0,0
Santa Cruz,Nogales 10,U.S. Senate,,"MCSALLY, MARTHA",REP,8,1,6,0,0
Santa Cruz,Tubac 11,U.S. Senate,,"MCSALLY, MARTHA",REP,49,9,38,2,0
Santa Cruz,Nogales 12,U.S. Senate,,"MCSALLY, MARTHA",REP,4,0,3,0,0
Santa Cruz,Santa Cruz 13,U.S. Senate,,"MCSALLY, MARTHA",REP,7,2,4,0,0
Santa Cruz,Patagonia 14,U.S. Senate,,"MCSALLY, MARTHA",REP,19,6,12,0,0
Santa Cruz,Sonoita 15,U.S. Senate,,"MCSALLY, MARTHA",REP,41,13,26,2,0
Santa Cruz,Nogales 16,U.S. Senate,,"MCSALLY, MARTHA",REP,4,1,2,0,0
Santa Cruz,Calabasas 17,U.S. Senate,,"MCSALLY, MARTHA",REP,30,7,21,1,0
Santa Cruz,Nogales 18,U.S. Senate,,"MCSALLY, MARTHA",REP,8,2,5,0,0
Santa Cruz,Baca 19,U.S. Senate,,"MCSALLY, MARTHA",REP,22,4,16,1,0
Santa Cruz,Nogales 20,U.S. Senate,,"MCSALLY, MARTHA",REP,7,2,4,0,0
Santa Cruz,Peck Canyon 21,U.S. Senate,,"MCSALLY, MARTHA",REP,19,4,14,1,0
Santa Cruz,Potrero 22,U.S. Senate,,"MCSALLY, MARTHA",REP,3,0,2,0,0
Santa Cruz,Mountain 23,U.S. Senate,,"MCSALLY, MARTHA",REP,2,0,1,0,0
Santa Cruz,Lake Patagonia 24,U.S. Senate,,"MCSALLY, MARTHA",REP,4,0,3,0,0
Santa Cruz,Nogales 1,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,1,0,0
Santa Cruz,Nogales 2,U.S. Senate,,"GREEN, ANGELA",GRN,2,0,1,0,0
Santa Cruz,Nogales 3,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,1,0,0
Santa Cruz,Nogales 4,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0
Santa Cruz,Coronado 5,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,1,0,0
Santa Cruz,Elgin 6,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,0,0,0
Santa Cruz,Rio Rico 7,U.S. Senate,,"GREEN, ANGELA",GRN,4,0,3,0,0
Santa Cruz,Nogales 8,U.S. Senate,,"GREEN, ANGELA",GRN,4,1,3,0,0
Santa Cruz,Nogales 9,U.S. Senate,,"GREEN, ANGELA",GRN,0,0,0,0,0
Santa Cruz,Nogales 10,U.S. Senate,,"GREEN, ANGELA",GRN,1,0,1,0,0
