county,precinct,office,district,candidate,party,votes,election_day,early_voting,provisional
Graham,Solomon #1,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,954,0,0,0
Graham,Safford #2,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1521,0,0,0
Graham,Safford #3,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,625,0,0,0
Graham,Layton #4,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,506,0,0,0
Graham,Layton #5,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1353,0,0,0
Graham,Thatcher #6,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,787,0,0,0
Graham,Thatcher #7,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1742,0,0,0
Graham,Central #8,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,534,0,0,0
Graham,Pima #9,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2241,0,0,0
Graham,Ft Thomas #10,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,256,0,0,0
Graham,Bylas #11,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1176,0,0,0
Graham,Klondyke #12,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,58,0,0,0
Graham,Bonita #13,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,145,0,0,0
Graham,Thunderbird #14,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,327,0,0,0
Graham,Safford #15,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1507,0,0,0
Graham,Peridot #16,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,915,0,0,0
Graham,Cactus #17,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,202,0,0,0
Graham,Jackson #18,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1102,0,0,0
Graham,Desert Hills #19,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1113,0,0,0
