county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional
Pinal,KEARNY,Registered Voters,,,,140,0,0,0
Pinal,DUDLEYVILLE,Registered Voters,,,,61,0,0,0
Pinal,SAN MANUEL,Registered Voters,,,,187,0,0,0
Pinal,MAMMOTH,Registered Voters,,,,94,0,0,0
Pinal,ORACLE,Registered Voters,,,,232,0,0,0
Pinal,SADDLEBROOKE WEST,Registered Voters,,,,275,0,0,0
Pinal,ARIZONA CITY,Registered Voters,,,,207,0,0,0
Pinal,TOLTEC SOUTH,Registered Voters,,,,222,0,0,0
Pinal,PICACHO,Registered Voters,,,,30,0,0,0
Pinal,ELOY,Registered Voters,,,,111,0,0,0
Pinal,TOLTEC,Registered Voters,,,,243,0,0,0
Pinal,ELOY SOUTH,Registered Voters,,,,119,0,0,0
Pinal,SADDLEBROOKE EAST,Registered Voters,,,,267,0,0,0
Pinal,RED ROCK,Registered Voters,,,,195,0,0,0
Pinal,COOLIDGE NE,Registered Voters,,,,142,0,0,0
Pinal,COOLIDGE NW,Registered Voters,,,,301,0,0,0
Pinal,COOLIDGE SOUTH,Registered Voters,,,,160,0,0,0
Pinal,RANDOLPH,Registered Voters,,,,78,0,0,0
Pinal,CENTRAL ARIZONA COLLEGE,Registered Voters,,,,91,0,0,0
Pinal,ELEVEN MILE CORNER,Registered Voters,,,,78,0,0,0
Pinal,FLORENCE NORTH,Registered Voters,,,,157,0,0,0
Pinal,FLORENCE SOUTH,Registered Voters,,,,151,0,0,0
Pinal,CACTUS FOREST,Registered Voters,,,,142,0,0,0
Pinal,JOHNSON RANCH,Registered Voters,,,,310,0,0,0
Pinal,POSTON BUTTE,Registered Voters,,,,597,0,0,0
Pinal,QUEEN CREEK,Registered Voters,,,,420,0,0,0
Pinal,SACATON,Registered Voters,,,,101,0,0,0
Pinal,MARICOPA,Registered Voters,,,,290,0,0,0
Pinal,STANFIELD,Registered Voters,,,,48,0,0,0
Pinal,CASA GRANDE NORTH,Registered Voters,,,,195,0,0,0
Pinal,CASA GRANDE N CENTRAL,Registered Voters,,,,187,0,0,0
Pinal,CASA GRANDE S CENTRAL,Registered Voters,,,,205,0,0,0
Pinal,CASA GRANDE NE,Registered Voters,,,,189,0,0,0
Pinal,CASA GRANDE SE,Registered Voters,,,,216,0,0,0
Pinal,CASA GRANDE NW,Registered Voters,,,,290,0,0,0
Pinal,CASA GRANDE SW,Registered Voters,,,,144,0,0,0
Pinal,CASA GRANDE RANCHO GRANDE,Registered Voters,,,,251,0,0,0
Pinal,APACHE JCT SUPERSTITION,Registered Voters,,,,255,0,0,0
Pinal,CASA GRANDE INTERCHANGE,Registered Voters,,,,241,0,0,0
Pinal,APACHE JCT NW,Registered Voters,,,,183,0,0,0
Pinal,APACHE JCT SW,Registered Voters,,,,249,0,0,0
Pinal,APACHE JCT SE,Registered Voters,,,,279,0,0,0
Pinal,APACHE JCT NE,Registered Voters,,,,223,0,0,0
Pinal,APACHE JCT EAST,Registered Voters,,,,190,0,0,0
Pinal,APACHE JCT CENTRAL,Registered Voters,,,,217,0,0,0
Pinal,GOLD CANYON,Registered Voters,,,,214,0,0,0
Pinal,QUEEN VALLEY,Registered Voters,,,,53,0,0,0
Pinal,SUPERIOR,Registered Voters,,,,147,0,0,0
Pinal,SUPERIOR WEST,Registered Voters,,,,3,0,0,0
Pinal,SUTTON SUMMIT,Registered Voters,,,,14,0,0,0
Pinal,CHUI CHU,Registered Voters,,,,24,0,0,0
Pinal,THUNDERBIRD FARMS,Registered Voters,,,,167,0,0,0
Pinal,CASA GRANDE WEST,Registered Voters,,,,236,0,0,0
Pinal,APACHE JUNCTION NORTH,Registered Voters,,,,208,0,0,0
Pinal,APACHE JUNCTION N CENTRAL,Registered Voters,,,,234,0,0,0
Pinal,APACHE JUNCTION E CENTRAL,Registered Voters,,,,173,0,0,0
Pinal,APACHE JUNCTION SOUTH,Registered Voters,,,,269,0,0,0
Pinal,BLACKWATER,Registered Voters,,,,72,0,0,0
Pinal,SAN TAN,Registered Voters,,,,87,0,0,0
Pinal,CASA BLANCA,Registered Voters,,,,92,0,0,0
Pinal,APACHE TRAIL,Registered Voters,,,,150,0,0,0
Pinal,SUPERSTITION MOUNTAIN,Registered Voters,,,,253,0,0,0
Pinal,MOUNTAINBROOK VILLAGE,Registered Voters,,,,153,0,0,0
Pinal,HIDDEN VALLEY,Registered Voters,,,,132,0,0,0
Pinal,SAN TAN PARK,Registered Voters,,,,276,0,0,0
Pinal,BELLA VISTA,Registered Voters,,,,164,0,0,0
Pinal,COPPER BASIN,Registered Voters,,,,250,0,0,0
Pinal,SCHNEPF,Registered Voters,,,,214,0,0,0
Pinal,PERALTA,Registered Voters,,,,102,0,0,0
Pinal,SANTA ROSA,Registered Voters,,,,156,0,0,0
Pinal,EL DORADO,Registered Voters,,,,261,0,0,0
Pinal,WALKER BUTTE,Registered Voters,,,,285,0,0,0
Pinal,PECAN CREEK NORTH,Registered Voters,,,,262,0,0,0
Pinal,AK CHIN COMMUNITY,Registered Voters,,,,41,0,0,0
Pinal,MARICOPA MEADOWS,Registered Voters,,,,251,0,0,0
Pinal,MARICOPA FIESTA,Registered Voters,,,,286,0,0,0
Pinal,PROVINCE,Registered Voters,,,,507,0,0,0
Pinal,IRONWOOD COMMON,Registered Voters,,,,248,0,0,0
Pinal,CRUZ PARK,Registered Voters,,,,115,0,0,0
Pinal,COYOTE RANCH,Registered Voters,,,,288,0,0,0
Pinal,GOLD CANYON NORTH,Registered Voters,,,,109,0,0,0
Pinal,SAN TAN HEIGHTS,Registered Voters,,,,263,0,0,0
Pinal,CIRCLE CROSS RANCH,Registered Voters,,,,358,0,0,0
Pinal,JOHNSON RANCH EAST,Registered Voters,,,,236,0,0,0
Pinal,IRONWOOD CROSSING,Registered Voters,,,,580,0,0,0
Pinal,QUAIL HOLLOW,Registered Voters,,,,314,0,0,0
Pinal,SENITA,Registered Voters,,,,241,0,0,0
Pinal,SILVERBELL,Registered Voters,,,,156,0,0,0
Pinal,EAGLE CREST,Registered Voters,,,,354,0,0,0
Pinal,ORACLE SOUTH,Registered Voters,,,,143,0,0,0
Pinal,SKYLINE RANCH,Registered Voters,,,,242,0,0,0
Pinal,QUEEN CREEK SOUTH,Registered Voters,,,,205,0,0,0
Pinal,SAN TAN RANCHES,Registered Voters,,,,161,0,0,0
Pinal,COPPER BASIN SOUTHEAST,Registered Voters,,,,227,0,0,0
Pinal,LINKS ESTATES,Registered Voters,,,,187,0,0,0
Pinal,MISSION VALLEY,Registered Voters,,,,230,0,0,0
Pinal,0 DESERT CEDARS,Registered Voters,,,,227,0,0,0
Pinal,1 ALTERRA NORTH,Registered Voters,,,,250,0,0,0
Pinal,2 MARICOPA WELLS,Registered Voters,,,,295,0,0,0
Pinal,3 SAN CARLOS COMMUNITY,Registered Voters,,,,0,0,0,0
Pinal,4 PICACHO SOUTH,Registered Voters,,,,22,0,0,0
Pinal,5 TOLTEC SOUTHWEST,Registered Voters,,,,15,0,0,0
Pinal,KEARNY,Ballots Cast,,,,83,53,28,1
Pinal,DUDLEYVILLE,Ballots Cast,,,,36,23,11,1
Pinal,SAN MANUEL,Ballots Cast,,,,113,79,29,4
Pinal,MAMMOTH,Ballots Cast,,,,52,39,11,2
Pinal,ORACLE,Ballots Cast,,,,184,152,28,4
Pinal,SADDLEBROOKE WEST,Ballots Cast,,,,240,201,33,6
