county,precinct,office,district,candidate,party,early_voting,election_day,provisional,votes
Coconino,Flagstaff 1,U.S. Senate,,Times Counted,,978,169,32,1179
Coconino,Flagstaff 1,U.S. Senate,,Times Blank Voted,,7,5,0,12
Coconino,Flagstaff 1,U.S. Senate,,Times Over Voted,,1,0,0,1
Coconino,Flagstaff 1,U.S. Senate,,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,U.S. Senate,,"SINEMA, KYRSTEN",DEM,778,109,26,913
Coconino,Flagstaff 1,U.S. Senate,,"MCSALLY, MARTHA",REP,161,51,4,216
Coconino,Flagstaff 1,U.S. Senate,,"GREEN, ANGELA",GRN,30,4,2,36
Coconino,Flagstaff 1,U.S. Senate,,Write-ins,,1,0,0,1
Coconino,Flagstaff 1,U.S. House,1,Times Counted,,978,169,32,1179
Coconino,Flagstaff 1,U.S. House,1,Times Blank Voted,,18,2,0,20
Coconino,Flagstaff 1,U.S. House,1,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,U.S. House,1,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,U.S. House,1,"O'HALLERAN, TOM",DEM,806,116,27,949
Coconino,Flagstaff 1,U.S. House,1,"ROGERS, WENDY",REP,154,51,5,210
Coconino,Flagstaff 1,U.S. House,1,Write-ins,,0,0,0,0
Coconino,Flagstaff 1,Governor,,Times Counted,,973,166,32,1171
Coconino,Flagstaff 1,Governor,,Times Blank Voted,,6,4,0,10
Coconino,Flagstaff 1,Governor,,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,Governor,,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,Governor,,"GARCIA, DAVID",DEM,749,110,26,885
Coconino,Flagstaff 1,Governor,,"DUCEY, DOUG",REP,200,49,4,253
Coconino,Flagstaff 1,Governor,,"TORRES, ANGEL",GRN,18,3,2,23
Coconino,Flagstaff 1,Governor,,Write-ins,,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,Times Counted,,973,166,32,1171
Coconino,Flagstaff 1,State Senate,6,Times Blank Voted,,30,6,0,36
Coconino,Flagstaff 1,State Senate,6,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,State Senate,6,"CARLISLE, WADE",DEM,778,113,27,918
Coconino,Flagstaff 1,State Senate,6,"ALLEN, SYLVIA TENNEY",REP,165,47,5,217
Coconino,Flagstaff 1,State Senate,6,Write-ins,,0,0,0,0
Coconino,Flagstaff 1,State House,6,Times Counted,,973,166,32,1171
Coconino,Flagstaff 1,State House,6,Times Blank Voted,,24,7,0,31
Coconino,Flagstaff 1,State House,6,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,State House,6,Number of Under Votes,,101,31,12,144
Coconino,Flagstaff 1,State House,6,"FRENCH, FELICIA",DEM,772,105,27,904
Coconino,Flagstaff 1,State House,6,"TYLER, BOBBY",DEM,701,95,17,813
Coconino,Flagstaff 1,State House,6,"BLACKMAN, WALTER",REP,161,41,2,204
Coconino,Flagstaff 1,State House,6,"THORPE, BOB",REP,163,45,6,214
Coconino,Flagstaff 1,State House,6,Write-ins,,0,1,0,1
Coconino,Flagstaff 1,Secretary of State,,Times Counted,,973,166,32,1171
Coconino,Flagstaff 1,Secretary of State,,Times Blank Voted,,21,4,0,25
Coconino,Flagstaff 1,Secretary of State,,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,Secretary of State,,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,Secretary of State,,"HOBBS, KATIE",DEM,779,110,27,916
Coconino,Flagstaff 1,Secretary of State,,"GAYNOR, STEVE",REP,173,52,5,230
Coconino,Flagstaff 1,Secretary of State,,Write-ins,,0,0,0,0
Coconino,Flagstaff 1,Attorney General,,Times Counted,,973,166,32,1171
Coconino,Flagstaff 1,Attorney General,,Times Blank Voted,,31,7,0,38
Coconino,Flagstaff 1,Attorney General,,Times Over Voted,,0,0,0,0
Coconino,Flagstaff 1,Attorney General,,Number of Under Votes,,0,0,0,0
Coconino,Flagstaff 1,Attorney General,,"CONTRERAS, JANUARY",DEM,765,108,27,900
Coconino,Flagstaff 1,Attorney General,,"BRNOVICH, MARK",REP,175,51,5,231
