county,precinct,office,district,candidate,party,votes,election_day,early_voting,provisional
Yavapai,201 - EAGLE,Registered Voters,,,,7916,,,
Yavapai,202 - COURT,Registered Voters,,,,6128,,,
Yavapai,203 - FAIR,Registered Voters,,,,4408,,,
Yavapai,204 - GOLF,Registered Voters,,,,6419,,,
Yavapai,205 - MINE,Registered Voters,,,,811,,,
Yavapai,206 - HILL,Registered Voters,,,,79,,,
Yavapai,207 - MESQUITE,Registered Voters,,,,1321,,,
Yavapai,208 - YARN,Registered Voters,,,,759,,,
Yavapai,209 - WICK,Registered Voters,,,,567,,,
Yavapai,210 - WALNUT,Registered Voters,,,,68,,,
Yavapai,211 - SPRINGS,Registered Voters,,,,35,,,
Yavapai,212 - PLEASANT,Registered Voters,,,,0,,,
Yavapai,213 - SKULL,Registered Voters,,,,371,,,
Yavapai,214 - KIRK,Registered Voters,,,,649,,,
Yavapai,215 - BUCK,Registered Voters,,,,4208,,,
Yavapai,216 - CREEK,Registered Voters,,,,2499,,,
Yavapai,217 - WIND,Registered Voters,,,,117,,,
Yavapai,218 - WELL,Registered Voters,,,,2680,,,
Yavapai,219 - FORT,Registered Voters,,,,6204,,,
Yavapai,220 - RIM,Registered Voters,,,,28,,,
Yavapai,221 - SALT,Registered Voters,,,,377,,,
Yavapai,222 - BUG,Registered Voters,,,,3331,,,
Yavapai,223 - SUNSET,Registered Voters,,,,1744,,,
Yavapai,224 - TOWERS,Registered Voters,,,,114,,,
Yavapai,225 - IRON,Registered Voters,,,,5972,,,
Yavapai,226 - SPIRIT,Registered Voters,,,,61,,,
Yavapai,227 - RUBY,Registered Voters,,,,5681,,,
Yavapai,228 - SCARLET,Registered Voters,,,,4785,,,
Yavapai,229 - ONYX,Registered Voters,,,,7330,,,
Yavapai,230 - AZURE,Registered Voters,,,,6754,,,
Yavapai,231 - QUAIL,Registered Voters,,,,345,,,
Yavapai,232 - GHOST,Registered Voters,,,,2470,,,
Yavapai,233 - BRIDGE,Registered Voters,,,,67,,,
Yavapai,234 - WATSON,Registered Voters,,,,8273,,,
Yavapai,235 - RANCH,Registered Voters,,,,4180,,,
Yavapai,236 - CAMP,Registered Voters,,,,569,,,
Yavapai,237 - BASIN,Registered Voters,,,,5952,,,
Yavapai,238 - GRAZE,Registered Voters,,,,7072,,,
Yavapai,239 - COYOTE,Registered Voters,,,,2491,,,
Yavapai,240 - CARS,Registered Voters,,,,846,,,
Yavapai,241 - STONE,Registered Voters,,,,609,,,
Yavapai,242 - WATER,Registered Voters,,,,5123,,,
Yavapai,243 - BURRO,Registered Voters,,,,7331,,,
Yavapai,244 - BISON,Registered Voters,,,,8898,,,
Yavapai,245 - BIGHORN,Registered Voters,,,,5082,,,
Yavapai,201 - EAGLE,U.S. Senate,,"MCSALLY, MARTHA",REPUBLICAN PARTY,3914,3507,376,31
Yavapai,201 - EAGLE,U.S. Senate,,"SINEMA, KYRSTEN",DEMOCRATIC PARTY,2554,2331,211,12
Yavapai,201 - EAGLE,U.S. Senate,,"GREEN, ANGELA",GREEN PARTY,140,129,9,2
Yavapai,201 - EAGLE,U.S. Senate,,WRITE-IN 133,,6,3,3,0
Yavapai,201 - EAGLE,U.S. House,4,"GOSAR, PAUL",REPUBLICAN PARTY,4043,3613,396,34
Yavapai,201 - EAGLE,U.S. House,4,"BRILL, DAVID",DEMOCRATIC PARTY,2443,2242,191,10
Yavapai,201 - EAGLE,U.S. House,4,"KNAUER, HARYAKSHA GREGOR",GREEN PARTY,66,59,6,1
Yavapai,201 - EAGLE,U.S. House,4,WRITE-IN 234,,2,0,2,0
Yavapai,201 - EAGLE,Governor,,"DUCEY, DOUG",REPUBLICAN PARTY,4474,4025,415,34
Yavapai,201 - EAGLE,Governor,,"GARCIA, DAVID",DEMOCRATIC PARTY,2034,1855,171,8
Yavapai,201 - EAGLE,Governor,,"TORRES, ANGEL",GREEN PARTY,98,86,9,3
Yavapai,201 - EAGLE,Governor,,WRITE-IN 416,,6,4,2,0
Yavapai,201 - EAGLE,State Senate,1,"FANN, KAREN",REPUBLICAN PARTY,4318,3884,402,32
Yavapai,201 - EAGLE,State Senate,1,"CRAYCRAFT, JO",DEMOCRATIC PARTY,2206,2011,184,11
Yavapai,201 - EAGLE,State Senate,1,WRITE-IN 235,,6,3,2,1
Yavapai,201 - EAGLE,State House,1,"CAMPBELL, NOEL",REPUBLICAN PARTY,4005,3624,354,27
Yavapai,201 - EAGLE,State House,1,"STRINGER, DAVID",REPUBLICAN PARTY,3600,3234,342,24
Yavapai,201 - EAGLE,State House,1,"GOGEK, ED",DEMOCRATIC PARTY,2045,1888,147,10
Yavapai,201 - EAGLE,State House,1,"MANOLIS, JAN",DEMOCRATIC PARTY,2215,2023,181,11
Yavapai,201 - EAGLE,State House,1,WRITE-IN 240,,11,7,4,0
Yavapai,201 - EAGLE,Secretary of State,,"GAYNOR, STEVE",REPUBLICAN PARTY,3938,3519,387,32
Yavapai,201 - EAGLE,Secretary of State,,"HOBBS, KATIE",DEMOCRATIC PARTY,2360,2150,197,13
Yavapai,201 - EAGLE,Secretary of State,,WRITE-IN 417,,5,3,2,0
Yavapai,201 - EAGLE,Attorney General,,"BRNOVICH, MARK",REPUBLICAN PARTY,4095,3667,397,31
Yavapai,201 - EAGLE,Attorney General,,"CONTRERAS, JANUARY",DEMOCRATIC PARTY,2215,2019,182,14
Yavapai,201 - EAGLE,Attorney General,,WRITE-IN 418,,8,7,1,0
Yavapai,201 - EAGLE,State Treasurer,,"YEE, KIMBERLY",REPUBLICAN PARTY,4138,3701,403,34
Yavapai,201 - EAGLE,State Treasurer,,"MANOIL, MARK",DEMOCRATIC PARTY,2096,1913,173,10
Yavapai,201 - EAGLE,State Treasurer,,WRITE-IN 419,,5,4,1,0
Yavapai,201 - EAGLE,Superintendent of Public Instruction,,"RIGGS, FRANK",REPUBLICAN PARTY,3760,3357,371,32
Yavapai,201 - EAGLE,Superintendent of Public Instruction,,"HOFFMAN, KATHY",DEMOCRATIC PARTY,2463,2252,199,12
Yavapai,201 - EAGLE,Superintendent of Public Instruction,,WRITE-IN 420,,10,7,3,0
Yavapai,201 - EAGLE,State Mine Inspector,,"HART, JOE",REPUBLICAN PARTY,3938,3542,367,29
Yavapai,201 - EAGLE,State Mine Inspector,,"PIERCE, WILLIAM BILL""""",DEMOCRATIC PARTY,2303,2089,201,13
Yavapai,201 - EAGLE,State Mine Inspector,,WRITE-IN 421,,8,4,3,1
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"GLASSMAN, RODNEY",REPUBLICAN PARTY,3720,3343,350,27
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"OLSON, JUSTIN",REPUBLICAN PARTY,3653,3305,325,23
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"KENNEDY, SANDRA",DEMOCRATIC PARTY,2346,2144,191,11
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,"SEARS, KIANA MARIA",DEMOCRATIC PARTY,2142,1976,155,11
Yavapai,201 - EAGLE,CORPORATION COMMISSIONER,,WRITE-IN 134,,4,2,2,0
Yavapai,201 - EAGLE,CLERK OF THE SUPERIOR COURT,,"MCQUALITY, DONNA",REPUBLICAN PARTY,4686,4196,453,37
Yavapai,201 - EAGLE,CLERK OF THE SUPERIOR COURT,,WRITE-IN 422,,46,37,7,2
Yavapai,201 - EAGLE,JUSTICE OF THE PEACE: PRESCOTT,,"SAVONA, GLENN",REPUBLICAN PARTY,4588,4096,452,40
Yavapai,201 - EAGLE,JUSTICE OF THE PEACE: PRESCOTT,,WRITE-IN 425,,53,45,8,0
Yavapai,201 - EAGLE,CONSTABLE: PRESCOTT,,"WILLIAMS, RON",REPUBLICAN PARTY,4594,4107,449,38
Yavapai,201 - EAGLE,CONSTABLE: PRESCOTT,,WRITE-IN 430,,44,39,5,0
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 1,,"MACKEY, DAVID",,4395,3946,410,39
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 1,,WRITE-IN 144,,32,24,8,0
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 2,,"NAPPER, JOHN",,4177,3744,397,36
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 2,,WRITE-IN 173,,27,20,7,0
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 3,,"AINLEY, TINA",,4240,3806,398,36
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 3,,WRITE-IN 174,,26,20,6,0
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 5,,"HANCOCK, CELÉ",,4195,3762,399,34
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 5,,WRITE-IN 184,,23,16,6,1
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 6,,"YOUNG, ANNA",,4217,3783,399,35
Yavapai,201 - EAGLE,JUDGE OF THE SUPERIOR COURT - DIV. 6,,WRITE-IN 189,,25,17,7,1
Yavapai,201 - EAGLE,BOLICK - JUSTICE OF THE AZ SUPREME COURT,,YES,,3984,3610,343,31
Yavapai,201 - EAGLE,BOLICK - JUSTICE OF THE AZ SUPREME COURT,,NO,,781,683,93,5
Yavapai,201 - EAGLE,PELANDER - JUSTICE OF THE AZ SUPREME COURT,,YES,,4066,3681,351,34
Yavapai,201 - EAGLE,PELANDER - JUSTICE OF THE AZ SUPREME COURT,,NO,,712,626,84,2
Yavapai,201 - EAGLE,YAVAPAI COLLEGE DIST. 1: 6-YEAR TERM,,"MEDDAUGH, WAYNE",,2393,2160,215,18
Yavapai,201 - EAGLE,YAVAPAI COLLEGE DIST. 1: 6-YEAR TERM,,"SIGAFOOS, RAY",,2118,1893,207,18
