county,precinct,office,district,candidate,party,votes,election_day,early_voting,late_early_voting,provisional
Navajo,RED BUTTE,Registered Voters,,,,11971,0,0,0,0
Navajo,PAINTED DESERT,Registered Voters,,,,1511,0,0,0,0
Navajo,HUBBELL,Registered Voters,,,,236,0,0,0,0
Navajo,BLACK BUTTES,Registered Voters,,,,8772,0,0,0,0
Navajo,CEDAR VALLEY,Registered Voters,,,,1904,0,0,0,0
Navajo,STONE BUTTE,Registered Voters,,,,757,0,0,0,0
Navajo,PIONEER,Registered Voters,,,,7328,0,0,0,0
Navajo,ANTELOPE,Registered Voters,,,,3533,0,0,0,0
Navajo,JUNIPER,Registered Voters,,,,1516,0,0,0,0
Navajo,BISON,Registered Voters,,,,953,0,0,0,0
Navajo,MOGOLLON,Registered Voters,,,,2807,0,0,0,0
Navajo,WOODLAND,Registered Voters,,,,1209,0,0,0,0
Navajo,SITGREAVES,Registered Voters,,,,8408,0,0,0,0
Navajo,SUNRISE,Registered Voters,,,,12129,0,0,0,0
Navajo,RED BUTTE,Ballots Cast,,,,5405,3490,158,27,5
Navajo,PAINTED DESERT,Ballots Cast,,,,815,552,22,3,1
Navajo,HUBBELL,Ballots Cast,,,,189,94,7,1,0
Navajo,BLACK BUTTES,Ballots Cast,,,,4437,1995,201,36,6
Navajo,CEDAR VALLEY,Ballots Cast,,,,986,663,26,3,2
Navajo,STONE BUTTE,Ballots Cast,,,,424,354,6,0,0
Navajo,PIONEER,Ballots Cast,,,,5131,1886,261,60,3
Navajo,ANTELOPE,Ballots Cast,,,,2235,877,113,20,2
Navajo,JUNIPER,Ballots Cast,,,,996,234,68,7,0
Navajo,BISON,Ballots Cast,,,,729,264,37,8,0
Navajo,MOGOLLON,Ballots Cast,,,,2149,460,151,16,0
Navajo,WOODLAND,Ballots Cast,,,,811,228,47,9,1
Navajo,SITGREAVES,Ballots Cast,,,,5988,1446,394,57,2
Navajo,SUNRISE,Ballots Cast,,,,6881,2611,363,53,10
Navajo,RED BUTTE,Blank Ballots Cast,,,,3,3,0,0,0
Navajo,PAINTED DESERT,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,HUBBELL,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,BLACK BUTTES,Blank Ballots Cast,,,,1,0,0,0,0
Navajo,CEDAR VALLEY,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,STONE BUTTE,Blank Ballots Cast,,,,1,1,0,0,0
Navajo,PIONEER,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,ANTELOPE,Blank Ballots Cast,,,,40,16,1,0,0
Navajo,JUNIPER,Blank Ballots Cast,,,,1,1,0,0,0
Navajo,BISON,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,MOGOLLON,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,WOODLAND,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,SITGREAVES,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,SUNRISE,Blank Ballots Cast,,,,0,0,0,0,0
Navajo,RED BUTTE,U.S. Senate,,"MCSALLY, MARTHA",REP,742,491,20,4,0
Navajo,PAINTED DESERT,U.S. Senate,,"MCSALLY, MARTHA",REP,154,87,5,1,0
Navajo,HUBBELL,U.S. Senate,,"MCSALLY, MARTHA",REP,96,40,5,0,0
Navajo,BLACK BUTTES,U.S. Senate,,"MCSALLY, MARTHA",REP,1143,419,58,12,1
Navajo,CEDAR VALLEY,U.S. Senate,,"MCSALLY, MARTHA",REP,126,93,3,0,0
Navajo,STONE BUTTE,U.S. Senate,,"MCSALLY, MARTHA",REP,42,33,0,0,0
Navajo,PIONEER,U.S. Senate,,"MCSALLY, MARTHA",REP,4217,1618,206,50,2
Navajo,ANTELOPE,U.S. Senate,,"MCSALLY, MARTHA",REP,1303,555,61,12,1
Navajo,JUNIPER,U.S. Senate,,"MCSALLY, MARTHA",REP,688,167,47,5,0
Navajo,BISON,U.S. Senate,,"MCSALLY, MARTHA",REP,593,228,29,6,0
Navajo,MOGOLLON,U.S. Senate,,"MCSALLY, MARTHA",REP,1556,373,104,13,0
Navajo,WOODLAND,U.S. Senate,,"MCSALLY, MARTHA",REP,558,174,30,6,0
Navajo,SITGREAVES,U.S. Senate,,"MCSALLY, MARTHA",REP,4286,1139,270,41,1
Navajo,SUNRISE,U.S. Senate,,"MCSALLY, MARTHA",REP,3263,887,205,30,2
Navajo,RED BUTTE,U.S. Senate,,"SINEMA, KYRSTEN",DEM,4300,2768,127,21,4
Navajo,PAINTED DESERT,U.S. Senate,,"SINEMA, KYRSTEN",DEM,625,443,15,1,1
