county,precinct,office,district,candidate,party,votes,early_voting,election_day,late_early_voting,provisional,subjurisdiction
Yuma,PRECINCT 001,Registered Voters,,,,119,0,0,0,0,
Yuma,PRECINCT 002,Registered Voters,,,,132,0,0,0,0,
Yuma,PRECINCT 003,Registered Voters,,,,156,0,0,0,0,
Yuma,PRECINCT 004,Registered Voters,,,,386,0,0,0,0,
Yuma,PRECINCT 005,Registered Voters,,,,192,0,0,0,0,
Yuma,PRECINCT 006,Registered Voters,,,,240,0,0,0,0,
Yuma,PRECINCT 007,Registered Voters,,,,349,0,0,0,0,
Yuma,PRECINCT 008,Registered Voters,,,,109,0,0,0,0,
Yuma,PRECINCT 009,Registered Voters,,,,212,0,0,0,0,
Yuma,PRECINCT 010,Registered Voters,,,,376,0,0,0,0,
Yuma,PRECINCT 011,Registered Voters,,,,230,0,0,0,0,
Yuma,PRECINCT 012,Registered Voters,,,,212,0,0,0,0,
Yuma,PRECINCT 013,Registered Voters,,,,189,0,0,0,0,
Yuma,PRECINCT 014,Registered Voters,,,,64,0,0,0,0,
Yuma,PRECINCT 015,Registered Voters,,,,252,0,0,0,0,
Yuma,PRECINCT 016,Registered Voters,,,,192,0,0,0,0,
Yuma,PRECINCT 017,Registered Voters,,,,324,0,0,0,0,
Yuma,PRECINCT 018,Registered Voters,,,,28,0,0,0,0,
Yuma,PRECINCT 019,Registered Voters,,,,19,0,0,0,0,
Yuma,PRECINCT 020,Registered Voters,,,,227,0,0,0,0,
Yuma,PRECINCT 021,Registered Voters,,,,0,0,0,0,0,
Yuma,PRECINCT 022,Registered Voters,,,,256,0,0,0,0,
Yuma,PRECINCT 023,Registered Voters,,,,186,0,0,0,0,
Yuma,PRECINCT 024,Registered Voters,,,,477,0,0,0,0,
Yuma,PRECINCT 025,Registered Voters,,,,278,0,0,0,0,
Yuma,PRECINCT 026,Registered Voters,,,,73,0,0,0,0,
Yuma,PRECINCT 027,Registered Voters,,,,101,0,0,0,0,
Yuma,PRECINCT 028,Registered Voters,,,,85,0,0,0,0,
Yuma,PRECINCT 029,Registered Voters,,,,420,0,0,0,0,
Yuma,PRECINCT 030,Registered Voters,,,,361,0,0,0,0,
Yuma,PRECINCT 031,Registered Voters,,,,483,0,0,0,0,
Yuma,PRECINCT 032,Registered Voters,,,,148,0,0,0,0,
Yuma,PRECINCT 033,Registered Voters,,,,59,0,0,0,0,
Yuma,PRECINCT 034,Registered Voters,,,,67,0,0,0,0,
Yuma,PRECINCT 035,Registered Voters,,,,173,0,0,0,0,
Yuma,PRECINCT 036,Registered Voters,,,,231,0,0,0,0,
Yuma,PRECINCT 037,Registered Voters,,,,214,0,0,0,0,
Yuma,PRECINCT 038,Registered Voters,,,,200,0,0,0,0,
Yuma,PRECINCT 039,Registered Voters,,,,191,0,0,0,0,
Yuma,PRECINCT 040,Registered Voters,,,,198,0,0,0,0,
Yuma,PRECINCT 041,Registered Voters,,,,228,0,0,0,0,
Yuma,PRECINCT 042,Registered Voters,,,,288,0,0,0,0,
Yuma,PRECINCT 043,Registered Voters,,,,3,0,0,0,0,
Yuma,PRECINCT 044,Registered Voters,,,,0,0,0,0,0,
Yuma,PRECINCT 001,Ballots Cast,,,,46,29,11,5,1,
Yuma,PRECINCT 002,Ballots Cast,,,,58,32,16,7,1,
Yuma,PRECINCT 003,Ballots Cast,,,,53,33,11,7,1,
Yuma,PRECINCT 004,Ballots Cast,,,,174,113,34,23,2,
Yuma,PRECINCT 005,Ballots Cast,,,,122,81,20,18,2,
Yuma,PRECINCT 006,Ballots Cast,,,,103,50,25,24,2,
Yuma,PRECINCT 007,Ballots Cast,,,,133,62,36,32,2,
Yuma,PRECINCT 008,Ballots Cast,,,,77,60,10,6,0,
Yuma,PRECINCT 009,Ballots Cast,,,,117,72,24,18,1,
Yuma,PRECINCT 010,Ballots Cast,,,,222,156,36,24,4,
Yuma,PRECINCT 011,Ballots Cast,,,,123,73,30,18,1,
Yuma,PRECINCT 012,Ballots Cast,,,,126,89,22,12,1,
Yuma,PRECINCT 013,Ballots Cast,,,,77,47,16,11,1,
Yuma,PRECINCT 014,Ballots Cast,,,,28,17,8,2,0,
Yuma,PRECINCT 015,Ballots Cast,,,,137,92,29,12,3,
Yuma,PRECINCT 016,Ballots Cast,,,,99,64,20,12,2,
Yuma,PRECINCT 017,Ballots Cast,,,,183,132,32,17,2,
Yuma,PRECINCT 018,Ballots Cast,,,,13,8,3,0,0,
Yuma,PRECINCT 019,Ballots Cast,,,,8,6,1,0,0,
Yuma,PRECINCT 020,Ballots Cast,,,,134,82,34,15,2,
Yuma,PRECINCT 021,Ballots Cast,,,,1,0,1,0,0,
Yuma,PRECINCT 022,Ballots Cast,,,,145,98,29,15,2,
Yuma,PRECINCT 023,Ballots Cast,,,,137,107,19,9,1,
Yuma,PRECINCT 024,Ballots Cast,,,,346,276,45,21,3,
Yuma,PRECINCT 025,Ballots Cast,,,,193,143,29,17,2,
Yuma,PRECINCT 026,Ballots Cast,,,,28,17,4,5,0,
Yuma,PRECINCT 027,Ballots Cast,,,,48,30,10,6,0,
Yuma,PRECINCT 028,Ballots Cast,,,,30,18,6,5,0,
Yuma,PRECINCT 029,Ballots Cast,,,,133,61,35,35,1,
Yuma,PRECINCT 030,Ballots Cast,,,,126,56,31,37,0,
Yuma,PRECINCT 031,Ballots Cast,,,,166,69,42,53,2,
Yuma,PRECINCT 032,Ballots Cast,,,,58,34,13,9,1,
Yuma,PRECINCT 033,Ballots Cast,,,,34,22,7,4,0,
Yuma,PRECINCT 034,Ballots Cast,,,,42,28,8,5,0,
Yuma,PRECINCT 035,Ballots Cast,,,,99,66,20,10,1,
Yuma,PRECINCT 036,Ballots Cast,,,,118,76,25,14,1,
Yuma,PRECINCT 037,Ballots Cast,,,,90,56,22,10,1,
Yuma,PRECINCT 038,Ballots Cast,,,,104,65,21,15,1,
Yuma,PRECINCT 039,Ballots Cast,,,,110,72,22,12,2,
Yuma,PRECINCT 040,Ballots Cast,,,,113,77,20,13,1,
Yuma,PRECINCT 041,Ballots Cast,,,,128,79,25,22,1,
Yuma,PRECINCT 042,Ballots Cast,,,,135,81,26,24,3,
Yuma,PRECINCT 043,Ballots Cast,,,,2,1,0,0,0,
Yuma,PRECINCT 044,Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 001,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 002,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 003,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 004,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 005,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 006,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 007,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 008,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 009,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 010,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 011,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 012,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 013,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 014,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 015,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 016,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 017,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 018,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 019,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 020,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 021,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 022,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 023,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 024,Blank Ballots Cast,,,,0,0,0,0,0,
Yuma,PRECINCT 025,Blank Ballots Cast,,,,0,0,0,0,0,
