county,precinct,office,district,candidate,party,votes,early_voting,election_day,provisional
Cochise,01 BE BENSON,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1492,0,0,0
Cochise,02 BE J-SIX,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1790,0,0,0
Cochise,03 BE SAN PEDRO,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1723,0,0,0
Cochise,04 BI BISBEE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1255,0,0,0
Cochise,05 BI DON LUIS,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1347,0,0,0
Cochise,06 BI WARREN,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1306,0,0,0
Cochise,07 BOWIE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,299,0,0,0
Cochise,08 COCHISE STRONGHOLD,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1571,0,0,0
Cochise,09 DO CALVARY,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1379,0,0,0
Cochise,10 DO CARLSON,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1798,0,0,0
Cochise,11 DO CASTRO PARK,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1796,0,0,0
Cochise,12 DO GADSDEN,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1351,0,0,0
Cochise,13 DO SUNNYSIDE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1601,0,0,0
Cochise,14 GREATER SAN PEDRO,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1705,0,0,0
Cochise,15 HEREFORD,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1866,0,0,0
Cochise,16 HUACHUCA,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1057,0,0,0
Cochise,17 MCNEAL,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,873,0,0,0
Cochise,18 NACO,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,670,0,0,0
Cochise,19 PALOMINAS,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1277,0,0,0
Cochise,20 PIRTLEVILLE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1410,0,0,0
Cochise,21 POMERENE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1050,0,0,0
Cochise,22 PORTAL,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,298,0,0,0
Cochise,23 SAN SIMON,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,221,0,0,0
Cochise,24 ST DAVID,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1781,0,0,0
Cochise,25 SUNIZONA,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,469,0,0,0
Cochise,26 SV AVENIDA DEL SOL,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2093,0,0,0
Cochise,27 SV BUFFALO SOLDIER,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2622,0,0,0
Cochise,28 SV BUSBY,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1683,0,0,0
Cochise,29 SV CARMELITA,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1102,0,0,0
Cochise,30 SV CLOUD,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,982,0,0,0
Cochise,31 SV COLLEGE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1742,0,0,0
Cochise,32 SV COUNTRY CLUB,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2117,0,0,0
Cochise,33 SV ESTATES,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1806,0,0,0
Cochise,34 SV HOPI,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1547,0,0,0
Cochise,35 SV MOSON,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1855,0,0,0
Cochise,36 SV PUEBLO DEL SOL,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1355,0,0,0
Cochise,37 SV RAMSEY,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1444,0,0,0
Cochise,38 SV SNYDER,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1105,0,0,0
Cochise,39 SV SOLDIER CREEK,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2386,0,0,0
Cochise,40 SV TOWN & COUNTRY,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1876,0,0,0
Cochise,41 SV VILLAGE MEADOWS,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2314,0,0,0
Cochise,42 SV VISTA VILLAGE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1578,0,0,0
Cochise,43 SV YAQUI,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2117,0,0,0
Cochise,44 TOMBSTONE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1607,0,0,0
Cochise,45 WEBB,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,611,0,0,0
Cochise,46 WHETSTONE,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,2133,0,0,0
Cochise,47 WI KANSAS SETTLEMENT,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1299,0,0,0
Cochise,48 WI STEWART,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,1181,0,0,0
Cochise,49 WI WILLCOX,REGISTERED VOTERS,,REGISTERED VOTERS - TOTAL,,914,0,0,0
Cochise,01 BE BENSON,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1032,738,241,53
Cochise,02 BE J-SIX,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1308,993,279,36
Cochise,03 BE SAN PEDRO,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1150,909,211,30
Cochise,04 BI BISBEE,BALLOTS CAST,,BALLOTS CAST - TOTAL,,947,790,129,28
Cochise,05 BI DON LUIS,BALLOTS CAST,,BALLOTS CAST - TOTAL,,889,709,160,20
Cochise,06 BI WARREN,BALLOTS CAST,,BALLOTS CAST - TOTAL,,980,797,161,22
Cochise,07 BOWIE,BALLOTS CAST,,BALLOTS CAST - TOTAL,,170,105,57,8
Cochise,08 COCHISE STRONGHOLD,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1176,885,256,35
Cochise,09 DO CALVARY,BALLOTS CAST,,BALLOTS CAST - TOTAL,,681,540,96,45
Cochise,10 DO CARLSON,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1050,851,157,42
Cochise,11 DO CASTRO PARK,BALLOTS CAST,,BALLOTS CAST - TOTAL,,798,605,132,61
Cochise,12 DO GADSDEN,BALLOTS CAST,,BALLOTS CAST - TOTAL,,587,437,104,46
Cochise,13 DO SUNNYSIDE,BALLOTS CAST,,BALLOTS CAST - TOTAL,,711,562,110,39
Cochise,14 GREATER SAN PEDRO,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1209,869,308,32
Cochise,15 HEREFORD,BALLOTS CAST,,BALLOTS CAST - TOTAL,,1367,1078,252,37
Cochise,16 HUACHUCA,BALLOTS CAST,,BALLOTS CAST - TOTAL,,586,368,191,27
Cochise,17 MCNEAL,BALLOTS CAST,,BALLOTS CAST - TOTAL,,633,447,158,28
