county,office,district,party,candidate,votes,winner,write-in,notes
Apache,U.S. Senate,,DEM,Stuart Starky,7717,,,
Cochise,U.S. Senate,,DEM,Stuart Starky,6067,,,
Coconino,U.S. Senate,,DEM,Stuart Starky,6839,,,
Gila,U.S. Senate,,DEM,Stuart Starky,3998,,,
Graham,U.S. Senate,,DEM,Stuart Starky,2409,,,
Greenlee,U.S. Senate,,DEM,Stuart Starky,1308,,,
La Paz,U.S. Senate,,DEM,Stuart Starky,646,,,
Maricopa,U.S. Senate,,DEM,Stuart Starky,76462,,,
Mohave,U.S. Senate,,DEM,Stuart Starky,4769,,,
Navajo,U.S. Senate,,DEM,Stuart Starky,5210,,,
Pima,U.S. Senate,,DEM,Stuart Starky,34987,,,
Pinal,U.S. Senate,,DEM,Stuart Starky,8330,,,
Santa Cruz,U.S. Senate,,DEM,Stuart Starky,2882,,,
Yavapai,U.S. Senate,,DEM,Stuart Starky,6273,,,
Yuma,U.S. Senate,,DEM,Stuart Starky,5643,,,
,U.S. Senate,,DEM,Stuart Starky,173540,True,,
Apache,U.S. Senate,,LBT,Ernest Hancock,80,,,
Cochise,U.S. Senate,,LBT,Ernest Hancock,86,,,
Coconino,U.S. Senate,,LBT,Ernest Hancock,83,,,
Gila,U.S. Senate,,LBT,Ernest Hancock,28,,,
Graham,U.S. Senate,,LBT,Ernest Hancock,11,,,
Greenlee,U.S. Senate,,LBT,Ernest Hancock,1,,,
La Paz,U.S. Senate,,LBT,Ernest Hancock,10,,,
Maricopa,U.S. Senate,,LBT,Ernest Hancock,1420,,,
Mohave,U.S. Senate,,LBT,Ernest Hancock,112,,,
Navajo,U.S. Senate,,LBT,Ernest Hancock,112,,,
Pima,U.S. Senate,,LBT,Ernest Hancock,451,,,
Pinal,U.S. Senate,,LBT,Ernest Hancock,92,,,
Santa Cruz,U.S. Senate,,LBT,Ernest Hancock,18,,,
Yavapai,U.S. Senate,,LBT,Ernest Hancock,171,,,
Yuma,U.S. Senate,,LBT,Ernest Hancock,81,,,
,U.S. Senate,,LBT,Ernest Hancock,2756,True,,
Apache,U.S. Senate,,REP,John McCain,1654,,,
Cochise,U.S. Senate,,REP,John McCain,9037,,,
Coconino,U.S. Senate,,REP,John McCain,3834,,,
Gila,U.S. Senate,,REP,John McCain,3601,,,
Graham,U.S. Senate,,REP,John McCain,2073,,,
Greenlee,U.S. Senate,,REP,John McCain,335,,,
La Paz,U.S. Senate,,REP,John McCain,1300,,,
Maricopa,U.S. Senate,,REP,John McCain,205267,,,
Mohave,U.S. Senate,,REP,John McCain,15446,,,
Navajo,U.S. Senate,,REP,John McCain,4487,,,
Pima,U.S. Senate,,REP,John McCain,50741,,,
Pinal,U.S. Senate,,REP,John McCain,7323,,,
Santa Cruz,U.S. Senate,,REP,John McCain,1179,,,
Yavapai,U.S. Senate,,REP,John McCain,19224,,,
Yuma,U.S. Senate,,REP,John McCain,6219,,,
,U.S. Senate,,REP,John McCain,331720,True,,
Apache,U.S. House,1,DEM,Paul Babbitt,6637,,,
Coconino,U.S. House,1,DEM,Paul Babbitt,7658,,,
Gila,U.S. House,1,DEM,Paul Babbitt,3164,,,
Graham,U.S. House,1,DEM,Paul Babbitt,1838,,,
Greenlee,U.S. House,1,DEM,Paul Babbitt,731,,,
Navajo,U.S. House,1,DEM,Paul Babbitt,4391,,,
Pinal,U.S. House,1,DEM,Paul Babbitt,5000,,,
Yavapai,U.S. House,1,DEM,Paul Babbitt,6003,,,
,U.S. House,1,DEM,Paul Babbitt,35422,True,,
Apache,U.S. House,1,DEM,Bob Donahue,2616,,,
Coconino,U.S. House,1,DEM,Bob Donahue,1419,,,
Gila,U.S. House,1,DEM,Bob Donahue,1669,,,
Graham,U.S. House,1,DEM,Bob Donahue,1273,,,
Greenlee,U.S. House,1,DEM,Bob Donahue,861,,,
Navajo,U.S. House,1,DEM,Bob Donahue,1498,,,
Pinal,U.S. House,1,DEM,Bob Donahue,1841,,,
Yavapai,U.S. House,1,DEM,Bob Donahue,1452,,,
,U.S. House,1,DEM,Bob Donahue,12629,,,
Apache,U.S. House,1,LBT,John Crockett,70,,,
Coconino,U.S. House,1,LBT,John Crockett,79,,,
Gila,U.S. House,1,LBT,John Crockett,30,,,
Graham,U.S. House,1,LBT,John Crockett,12,,,
Greenlee,U.S. House,1,LBT,John Crockett,1,,,
Navajo,U.S. House,1,LBT,John Crockett,108,,,
Pinal,U.S. House,1,LBT,John Crockett,42,,,
Yavapai,U.S. House,1,LBT,John Crockett,163,,,
,U.S. House,1,LBT,John Crockett,505,True,,
Apache,U.S. House,1,REP,Rick Renzi,1613,,,
Coconino,U.S. House,1,REP,Rick Renzi,3567,,,
Gila,U.S. House,1,REP,Rick Renzi,3575,,,
Graham,U.S. House,1,REP,Rick Renzi,2170,,,
Greenlee,U.S. House,1,REP,Rick Renzi,329,,,
Navajo,U.S. House,1,REP,Rick Renzi,4338,,,
Pinal,U.S. House,1,REP,Rick Renzi,2455,,,
Yavapai,U.S. House,1,REP,Rick Renzi,18676,,,
,U.S. House,1,REP,Rick Renzi,36723,True,,
Coconino,U.S. House,2,DEM,Randy Camacho,31,,,
La Paz,U.S. House,2,DEM,Randy Camacho,1,,,
Maricopa,U.S. House,2,DEM,Randy Camacho,9949,,,
Mohave,U.S. House,2,DEM,Randy Camacho,2734,,,
Navajo,U.S. House,2,DEM,Randy Camacho,118,,,
Yavapai,U.S. House,2,DEM,Randy Camacho,0,,,
,U.S. House,2,DEM,Randy Camacho,12833,True,,
Coconino,U.S. House,2,DEM,Larry Coor,13,,,
La Paz,U.S. House,2,DEM,Larry Coor,0,,,
Maricopa,U.S. House,2,DEM,Larry Coor,4393,,,
Mohave,U.S. House,2,DEM,Larry Coor,1202,,,
Navajo,U.S. House,2,DEM,Larry Coor,44,,,
Yavapai,U.S. House,2,DEM,Larry Coor,0,,,
,U.S. House,2,DEM,Larry Coor,5652,,,
Coconino,U.S. House,2,DEM,Gene Scharer,12,,,
La Paz,U.S. House,2,DEM,Gene Scharer,0,,,
Maricopa,U.S. House,2,DEM,Gene Scharer,4424,,,
Mohave,U.S. House,2,DEM,Gene Scharer,1397,,,
Navajo,U.S. House,2,DEM,Gene Scharer,42,,,
Yavapai,U.S. House,2,DEM,Gene Scharer,0,,,
,U.S. House,2,DEM,Gene Scharer,5875,,,
Coconino,U.S. House,2,LBT,Powell Gammill,1,,,
La Paz,U.S. House,2,LBT,Powell Gammill,0,,,
Maricopa,U.S. House,2,LBT,Powell Gammill,249,,,
Mohave,U.S. House,2,LBT,Powell Gammill,111,,,
Navajo,U.S. House,2,LBT,Powell Gammill,4,,,
Yavapai,U.S. House,2,LBT,Powell Gammill,0,,,
,U.S. House,2,LBT,Powell Gammill,365,True,,
Coconino,U.S. House,2,REP,Trent Franks,8,,,
La Paz,U.S. House,2,REP,Trent Franks,0,,,
Maricopa,U.S. House,2,REP,Trent Franks,37116,,,
Mohave,U.S. House,2,REP,Trent Franks,8116,,,
Navajo,U.S. House,2,REP,Trent Franks,21,,,
Yavapai,U.S. House,2,REP,Trent Franks,0,,,
,U.S. House,2,REP,Trent Franks,45261,True,,
Coconino,U.S. House,2,REP,Rick L. Murphy,12,,,
La Paz,U.S. House,2,REP,Rick L. Murphy,1,,,
Maricopa,U.S. House,2,REP,Rick L. Murphy,17243,,,
Mohave,U.S. House,2,REP,Rick L. Murphy,8601,,,
Navajo,U.S. House,2,REP,Rick L. Murphy,14,,,
Yavapai,U.S. House,2,REP,Rick L. Murphy,0,,,
,U.S. House,2,REP,Rick L. Murphy,25871,,,
Maricopa,U.S. House,3,LBT,Mark Yannone,337,,,
,U.S. House,3,LBT,Mark Yannone,337,True,,
Maricopa,U.S. House,3,REP,John Shadegg,43552,,,
,U.S. House,3,REP,John Shadegg,43552,True,,
Maricopa,U.S. House,4,DEM,Ed Pastor,15201,,,
,U.S. House,4,DEM,Ed Pastor,15201,True,,
Maricopa,U.S. House,4,LBT,Gary Fallon,235,,,
,U.S. House,4,LBT,Gary Fallon,235,True,,
Maricopa,U.S. House,4,REP,Don Karg,8854,,,
,U.S. House,4,REP,Don Karg,8854,True,,
Maricopa,U.S. House,5,DEM,Ronald Maynard,4985,,,
,U.S. House,5,DEM,Ronald Maynard,4985,,,
Maricopa,U.S. House,5,DEM,Elizabeth Rogers,11362,,,
,U.S. House,5,DEM,Elizabeth Rogers,11362,True,,
Maricopa,U.S. House,5,LBT,Michael Kielsky,330,,,
,U.S. House,5,LBT,Michael Kielsky,330,True,,
Maricopa,U.S. House,5,REP,J. D. Hayworth,43166,,,
,U.S. House,5,REP,J. D. Hayworth,43166,True,,
Maricopa,U.S. House,5,REP,Roselyn O'Connell,11296,,,
,U.S. House,5,REP,Roselyn O'Connell,11296,,,
Maricopa,U.S. House,6,LBT,Craig Stritar,234,,,
Pinal,U.S. House,6,LBT,Craig Stritar,38,,,
,U.S. House,6,LBT,Craig Stritar,272,True,,
Maricopa,U.S. House,6,REP,Stan Barnes,21981,,,
Pinal,U.S. House,6,REP,Stan Barnes,1205,,,
,U.S. House,6,REP,Stan Barnes,23186,,,
Maricopa,U.S. House,6,REP,Jeff Flake,32125,,,
Pinal,U.S. House,6,REP,Jeff Flake,1659,,,
,U.S. House,6,REP,Jeff Flake,33784,True,,
La Paz,U.S. House,7,DEM,Ra�l Grijalva,621,,,
Maricopa,U.S. House,7,DEM,Ra�l Grijalva,2213,,,
Pima,U.S. House,7,DEM,Ra�l Grijalva,13702,,,
Pinal,U.S. House,7,DEM,Ra�l Grijalva,502,,,
Santa Cruz,U.S. House,7,DEM,Ra�l Grijalva,3113,,,
Yuma,U.S. House,7,DEM,Ra�l Grijalva,6299,,,
,U.S. House,7,DEM,Ra�l Grijalva,26450,True,,
La Paz,U.S. House,7,LBT,Dave Kaplan,10,,,
Maricopa,U.S. House,7,LBT,Dave Kaplan,30,,,
Pima,U.S. House,7,LBT,Dave Kaplan,153,,,
Pinal,U.S. House,7,LBT,Dave Kaplan,9,,,
Santa Cruz,U.S. House,7,LBT,Dave Kaplan,13,,,
Yuma,U.S. House,7,LBT,Dave Kaplan,79,,,
,U.S. House,7,LBT,Dave Kaplan,294,True,,
La Paz,U.S. House,7,REP,Lou Mu�oz,243,,,
Maricopa,U.S. House,7,REP,Lou Mu�oz,475,,,
Pima,U.S. House,7,REP,Lou Mu�oz,2569,,,
Pinal,U.S. House,7,REP,Lou Mu�oz,69,,,
Santa Cruz,U.S. House,7,REP,Lou Mu�oz,275,,,
Yuma,U.S. House,7,REP,Lou Mu�oz,1476,,,
,U.S. House,7,REP,Lou Mu�oz,5107,,,
La Paz,U.S. House,7,REP,Joseph Sweeney,916,,,
Maricopa,U.S. House,7,REP,Joseph Sweeney,2125,,,
Pima,U.S. House,7,REP,Joseph Sweeney,3800,,,
Pinal,U.S. House,7,REP,Joseph Sweeney,218,,,
Santa Cruz,U.S. House,7,REP,Joseph Sweeney,377,,,
Yuma,U.S. House,7,REP,Joseph Sweeney,4554,,,
,U.S. House,7,REP,Joseph Sweeney,11990,True,,
Cochise,U.S. House,8,DEM,Eva Bacal,3615,,,
Pima,U.S. House,8,DEM,Eva Bacal,15994,,,
Pinal,U.S. House,8,DEM,Eva Bacal,325,,,
Santa Cruz,U.S. House,8,DEM,Eva Bacal,282,,,
,U.S. House,8,DEM,Eva Bacal,20216,True,,
Cochise,U.S. House,8,DEM,"Jeffrey ""Jeff"" Chimene",1419,,,
