county,office,district,party,candidate,votes,winner,write-in,notes
Apache,President,,DEM,William Barchilon,17,,,
Cochise,President,,DEM,William Barchilon,3,,,
Coconino,President,,DEM,William Barchilon,6,,,
Gila,President,,DEM,William Barchilon,3,,,
Graham,President,,DEM,William Barchilon,0,,,
Greenlee,President,,DEM,William Barchilon,1,,,
La Paz,President,,DEM,William Barchilon,1,,,
Maricopa,President,,DEM,William Barchilon,42,,,
Mohave,President,,DEM,William Barchilon,4,,,
Navajo,President,,DEM,William Barchilon,20,,,
Pima,President,,DEM,William Barchilon,18,,,
Pinal,President,,DEM,William Barchilon,6,,,
Santa Cruz,President,,DEM,William Barchilon,3,,,
Yavapai,President,,DEM,William Barchilon,9,,,
Yuma,President,,DEM,William Barchilon,3,,,
,President,,DEM,William Barchilon,136,,,
Apache,President,,DEM,Dianne Barker,30,,,
Cochise,President,,DEM,Dianne Barker,7,,,
Coconino,President,,DEM,Dianne Barker,24,,,
Gila,President,,DEM,Dianne Barker,10,,,
Graham,President,,DEM,Dianne Barker,6,,,
Greenlee,President,,DEM,Dianne Barker,1,,,
La Paz,President,,DEM,Dianne Barker,1,,,
Maricopa,President,,DEM,Dianne Barker,78,,,
Mohave,President,,DEM,Dianne Barker,9,,,
Navajo,President,,DEM,Dianne Barker,17,,,
Pima,President,,DEM,Dianne Barker,30,,,
Pinal,President,,DEM,Dianne Barker,13,,,
Santa Cruz,President,,DEM,Dianne Barker,0,,,
Yavapai,President,,DEM,Dianne Barker,8,,,
Yuma,President,,DEM,Dianne Barker,23,,,
,President,,DEM,Dianne Barker,257,,,
Apache,President,,DEM,Keith Brand,47,,,
Cochise,President,,DEM,Keith Brand,5,,,
Coconino,President,,DEM,Keith Brand,14,,,
Gila,President,,DEM,Keith Brand,8,,,
Graham,President,,DEM,Keith Brand,5,,,
Greenlee,President,,DEM,Keith Brand,2,,,
La Paz,President,,DEM,Keith Brand,1,,,
Maricopa,President,,DEM,Keith Brand,51,,,
Mohave,President,,DEM,Keith Brand,3,,,
Navajo,President,,DEM,Keith Brand,32,,,
Pima,President,,DEM,Keith Brand,29,,,
Pinal,President,,DEM,Keith Brand,11,,,
Santa Cruz,President,,DEM,Keith Brand,1,,,
Yavapai,President,,DEM,Keith Brand,4,,,
Yuma,President,,DEM,Keith Brand,12,,,
,President,,DEM,Keith Brand,225,,,
Apache,President,,DEM,Carol Moseley Braun,20,,,
Cochise,President,,DEM,Carol Moseley Braun,2,,,
Coconino,President,,DEM,Carol Moseley Braun,28,,,
Gila,President,,DEM,Carol Moseley Braun,7,,,
Graham,President,,DEM,Carol Moseley Braun,2,,,
Greenlee,President,,DEM,Carol Moseley Braun,3,,,
La Paz,President,,DEM,Carol Moseley Braun,2,,,
Maricopa,President,,DEM,Carol Moseley Braun,133,,,
Mohave,President,,DEM,Carol Moseley Braun,4,,,
Navajo,President,,DEM,Carol Moseley Braun,29,,,
Pima,President,,DEM,Carol Moseley Braun,52,,,
Pinal,President,,DEM,Carol Moseley Braun,12,,,
Santa Cruz,President,,DEM,Carol Moseley Braun,1,,,
Yavapai,President,,DEM,Carol Moseley Braun,8,,,
Yuma,President,,DEM,Carol Moseley Braun,22,,,
,President,,DEM,Carol Moseley Braun,325,,,
Apache,President,,DEM,Ray Caplette,22,,,
Cochise,President,,DEM,Ray Caplette,1,,,
Coconino,President,,DEM,Ray Caplette,9,,,
Gila,President,,DEM,Ray Caplette,4,,,
Graham,President,,DEM,Ray Caplette,1,,,
Greenlee,President,,DEM,Ray Caplette,1,,,
La Paz,President,,DEM,Ray Caplette,0,,,
Maricopa,President,,DEM,Ray Caplette,13,,,
Mohave,President,,DEM,Ray Caplette,5,,,
Navajo,President,,DEM,Ray Caplette,9,,,
Pima,President,,DEM,Ray Caplette,3,,,
Pinal,President,,DEM,Ray Caplette,2,,,
Santa Cruz,President,,DEM,Ray Caplette,0,,,
Yavapai,President,,DEM,Ray Caplette,3,,,
Yuma,President,,DEM,Ray Caplette,4,,,
,President,,DEM,Ray Caplette,77,,,
Apache,President,,DEM,Wesley K. Clark,877,,,
Cochise,President,,DEM,Wesley K. Clark,2153,,,
Coconino,President,,DEM,Wesley K. Clark,2175,,,
Gila,President,,DEM,Wesley K. Clark,1045,,,
Graham,President,,DEM,Wesley K. Clark,447,,,
Greenlee,President,,DEM,Wesley K. Clark,294,,,
La Paz,President,,DEM,Wesley K. Clark,209,,,
Maricopa,President,,DEM,Wesley K. Clark,31191,,,
Mohave,President,,DEM,Wesley K. Clark,1584,,,
Navajo,President,,DEM,Wesley K. Clark,1203,,,
Pima,President,,DEM,Wesley K. Clark,15593,,,
Pinal,President,,DEM,Wesley K. Clark,2816,,,
Santa Cruz,President,,DEM,Wesley K. Clark,364,,,
Yavapai,President,,DEM,Wesley K. Clark,2333,,,
Yuma,President,,DEM,Wesley K. Clark,972,,,
,President,,DEM,Wesley K. Clark,63256,,,
Apache,President,,DEM,Howard Dean,494,,,
Cochise,President,,DEM,Howard Dean,1161,,,
Coconino,President,,DEM,Howard Dean,1104,,,
Gila,President,,DEM,Howard Dean,305,,,
Graham,President,,DEM,Howard Dean,108,,,
Greenlee,President,,DEM,Howard Dean,60,,,
La Paz,President,,DEM,Howard Dean,68,,,
Maricopa,President,,DEM,Howard Dean,15202,,,
Mohave,President,,DEM,Howard Dean,579,,,
Navajo,President,,DEM,Howard Dean,419,,,
Pima,President,,DEM,Howard Dean,10858,,,
Pinal,President,,DEM,Howard Dean,905,,,
Santa Cruz,President,,DEM,Howard Dean,267,,,
Yavapai,President,,DEM,Howard Dean,1198,,,
Yuma,President,,DEM,Howard Dean,827,,,
,President,,DEM,Howard Dean,33555,,,
Apache,President,,DEM,John Edwards,208,,,
Cochise,President,,DEM,John Edwards,376,,,
Coconino,President,,DEM,John Edwards,436,,,
Gila,President,,DEM,John Edwards,234,,,
Graham,President,,DEM,John Edwards,71,,,
Greenlee,President,,DEM,John Edwards,50,,,
La Paz,President,,DEM,John Edwards,41,,,
Maricopa,President,,DEM,John Edwards,8921,,,
Mohave,President,,DEM,John Edwards,502,,,
Navajo,President,,DEM,John Edwards,255,,,
Pima,President,,DEM,John Edwards,3608,,,
Pinal,President,,DEM,John Edwards,523,,,
Santa Cruz,President,,DEM,John Edwards,86,,,
Yavapai,President,,DEM,John Edwards,815,,,
Yuma,President,,DEM,John Edwards,470,,,
,President,,DEM,John Edwards,16596,,,
Apache,President,,DEM,Dick Gephardt,28,,,
Cochise,President,,DEM,Dick Gephardt,25,,,
Coconino,President,,DEM,Dick Gephardt,27,,,
Gila,President,,DEM,Dick Gephardt,13,,,
Graham,President,,DEM,Dick Gephardt,5,,,
Greenlee,President,,DEM,Dick Gephardt,10,,,
La Paz,President,,DEM,Dick Gephardt,1,,,
Maricopa,President,,DEM,Dick Gephardt,346,,,
Mohave,President,,DEM,Dick Gephardt,22,,,
